,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
155,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
156,,,,,10,6,UPA,,Cluster Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
157,20160711,Amended from Buffer to Civic Utility,,20160802,,,,7915-0133-00,Civic Utility,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
158,,,,,10,6,UPA,,Cluster Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
159,,,,,10,6,UPA,,Cluster Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
160,,,,20111115,,,,,Conifer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
161,20160307,Amended From Low Density Residential 6-10 u.p.a.to School,,,,,,7911-0014-00,School,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
162,,,,,,,,,Buffer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
163,20171218,As of Corporate Report (File 6520-20),R259,20180117,15,10,UPA,,Park / Open Space,20180403,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
164,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
165,,,,20180514,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180514,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
166,,,,,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
167,20160725,Amended From Urban Transitional Up to 8 u.p.a. to Low Density Residential 6-10 u.p.a.,,20161026,10,6,UPA,7915-0084-00,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
168,,,,20171212,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
169,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
170,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
171,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
172,,,,,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
173,,,,,,,,,Buffer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
174,,,,20111115,,,,,Conifer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
175,,,,,,,,,Drainage Corridor 20m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
176,,,,,25,15,UPA,,Multiple Residential 15-25 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
177,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
178,,,,,,,,,Drainage Corridor 20m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
179,,,,,15,10,UPA,,Multiple Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
180,,,,,,,,,Drainage Corridor 10m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
181,20171218,As of Corporate Report (File 6520-20),R259,20180117,15,10,UPA,,Neighbourhood Commercial,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
182,20171002,,,20171212,,,,7916-0022-00,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
183,,,,,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
184,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
185,20171218,As of Corporate Report (File 6520-20),R259,20180117,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
186,,,,,,,,,Neighbourhood Commercial,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
187,,,,,25,15,UPA,,Multiple Residential 15-25 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
188,20170206,Amended From Multiple Residential 15-25 u.p.a. to Cluster Residential 10-15 u.p.a.,,20170208,25,15,UPA,7915-0087-00,Cluster Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
189,,,,20111115,,,,,Conifer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
190,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
191,,,,20160309,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
192,,,,20170605,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
193,,,,20170605,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
194,20160307,Amended from School to Medium Density Residential 10-15 u.p.a.,,20180514,15,10,UPA,7913-0154-00,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
195,20170424,,RES.R17-1089,20170519,15,10,UPA,7912-0290-00,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
196,,,,20111115,,,,,Mixed,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
197,20160307,Amended from School to Medium Density Residential 10-15 u.p.a.,,20180514,15,10,UPA,7913-0154-00,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
198,,,,,15,10,UPA,,Cluster Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
199,,,,20170518,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
200,,,,20170518,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
201,,,,,,,,,Drainage Corridor 10m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
202,20170424,Amendment from Low Density Residential 6-10 u.p.a. to Medium Density Residential 10-15 u.p.a.,RES.R17-1092,,15,10,UPA,7915-0046-00,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
203,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
204,,,,,,,,,Proposed Flex Street 20m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
205,20180423,Amended from Low Density Residential 6-10 u.p.a. to Medium Density Residential 10-15 u.p.a.,,20180514,10,6,UPA,7916-0312-00,Medium Density Residential 10-15 u.p.a.,20180514,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
206,,,,,,,,,Buffer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
207,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
208,,,,20131015,,,,,Buffer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
209,,,,20111115,,,,,Conifer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
210,,,,,25,15,UPA,,Multiple Residential 15-25 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
