,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
83,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
84,,,,,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
85,,,,20130705,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
86,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
87,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
88,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
89,,,,,,,,,Technology Park or Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
90,,,,,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
91,,,,,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
92,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
93,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
94,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
95,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
96,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
97,,,,,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
98,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
99,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
100,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
101,,,,20111118,,,,,Business Park (Office),20161102,Campbell Heights,Approved,Local Area Plan,2000
102,,,,20111118,,,,,Business Park (Office),20161102,Campbell Heights,Approved,Local Area Plan,2000
103,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
104,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
105,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
106,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
107,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
108,,,,,,,,,Commercial,20161102,Campbell Heights,Approved,Local Area Plan,2000
109,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
110,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
111,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
112,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
113,20100412,AMENDMENT Open Space Corridors/Buffers to Business Park   7909-0065-00,RES.R10-674,20120612,,,,7909-0065-00,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
114,20160608,Amended From Open Space Corridors/Buffers to Business Park,,20160616,,,,13-0127-00,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
115,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
116,,,,,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
117,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
118,,,,,,,,,Technology Park or Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
119,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
120,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
121,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
122,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
123,,,,,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
124,,,,,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
125,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
126,,,,,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
127,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
128,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
129,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
130,,,,,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
131,,,,,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
132,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
133,,,,,,,,,Technology Park or Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
134,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
135,,,,20130705,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
136,,,,,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
137,,,,,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
