,SITE_NAME,TREE_SPECIES,TREE_STATUS,SIGNIFICANT_TREE_NO,HERITAGE_TREE_NO,HERITAGE_PLAQUE_NO,OWNER,CRE_DATE,MOD_DATE,Latitude,Longitude
387,King George Blvd - 2310,English Oak,Operating,327,Yes,,City of Surrey,20100224,20110318,49.044276,-122.791658
388,King George Blvd - 2320,English Oak,Operating,329,Yes,,City of Surrey,20100224,20110318,49.044495,-122.791968
389,King George Blvd - 2336,English Oak,Operating,330,Yes,,City of Surrey,20100224,20110318,49.044682,-122.792202
390,King George Blvd - 2251,English Oak,Operating,316,Yes,,City of Surrey,20100224,20110318,49.042877,-122.790481
391,King George Blvd - 2255,English Oak,Operating,317,Yes,,City of Surrey,20100224,20110318,49.043077,-122.790727
392,King George Blvd - 2281,English Oak,Operating,318,Yes,,City of Surrey,20100224,20110318,49.043278,-122.790979
393,King George Blvd - 2293,English Oak,Operating,319,Yes,,City of Surrey,20100224,20110318,49.043490,-122.791247
394,King George Blvd - 2297,English Oak,Operating,320,Yes,,City of Surrey,20100224,20110318,49.043771,-122.791638
395,King George Blvd - 2301,English Oak,Operating,322,Yes,,City of Surrey,20100224,20110318,49.043950,-122.791860
396,King George Blvd - 2315,English Oak,Operating,328,Yes,,City of Surrey,20100224,20110318,49.044110,-122.792063
397,King George Blvd - 2355,English Oak,Operating,332,Yes,,City of Surrey,20100224,20110318,49.044737,-122.792826
398,King George Blvd - 2377,English Oak,Operating,333,Yes,,City of Surrey,20100224,20110318,49.044948,-122.793091
399,King George Blvd - 2381,English Oak,Operating,334,Yes,,City of Surrey,20100224,20110318,49.045365,-122.793614
400,King George Blvd - 2423,English Oak,Operating,335,Yes,,City of Surrey,20100224,20110318,49.046126,-122.794549
401,King George Blvd - 2451,English Oak,Operating,338,Yes,,City of Surrey,20100224,20110318,49.046385,-122.794870
402,King George Blvd - 2461,English Oak,Operating,340,Yes,,City of Surrey,20100224,20110318,49.046692,-122.795257
403,King George Blvd - 2471,English Oak,Operating,342,Yes,,City of Surrey,20100224,20110318,49.046869,-122.795482
404,King George Blvd - 2491,English Oak,Operating,344,Yes,,City of Surrey,20100224,20110318,49.047215,-122.795910
405,Green Timbers RCMP E Division,Sugar Maple,Operating,287,196,Group 9,Federal,,20110318,49.179252,-122.829472
