,SITE_NAME,TREE_SPECIES,TREE_STATUS,SIGNIFICANT_TREE_NO,HERITAGE_TREE_NO,HERITAGE_PLAQUE_NO,OWNER,CRE_DATE,MOD_DATE,Latitude,Longitude
165,13124 14A Ave,Western Red Cedar,Operating,308,,,City of Surrey,20110316,20110323,49.028222,-122.858734
166,8375 168 St,Weeping Willow,Operating,295,,,City of Surrey,20110323,20110323,49.154997,-122.756771
167,The Glades - 561 172 St,California Bay Tree,Operating,166,078,Group 8,City of Surrey,,20110323,49.011634,-122.746928
168,Royal Kwantlen Park,Western Red Cedar,Operating,298,,,City of Surrey,20110323,20110323,49.192573,-122.861338
169,Enver Creek Park,Giant Sequoia,Operating,299,,,City of Surrey,20110323,20110323,49.151852,-122.816497
170,Sullivan Park - 6272 152 St,Butternut/White Walnut,Operating,095,005,1,City of Surrey,,20110323,49.116280,-122.796376
171,Laronde Park,Giant Sequoia,Operating,301,,,City of Surrey,20110323,20110323,49.035948,-122.859210
172,Cloverdale Athletic Park,Douglas Fir,Operating,302,,,City of Surrey,20110323,20110323,49.116342,-122.753251
173,Hjorth Road Park,Dawn Redwood,Operating,305,,,City of Surrey,20110323,20110323,49.189771,-122.814106
174,Unwin Park,Giant Sequoia,Operating,306,,,City of Surrey,20110323,20110323,49.127448,-122.854014
175,8135 132 St,American Elm,Operating,296,,,City of Surrey,20110323,20110323,49.150460,-122.856990
176,Elgin Heritage Park,White Spruce,Operating,297,,,City of Surrey,20110323,20110323,49.063232,-122.846936
177,Tynehead Regional Park,Sitka Spruce,Operating,174,087,,Metro Vancouver,,20140509,49.179470,-122.763033
178,Tynehead Regional Park,Sitka Spruce,Operating,175,088,,Metro Vancouver,,20140509,49.184208,-122.770325
179,12645 14B Ave,Common Horse Chestnut,Operating,379,,,City of Surrey,20140527,,49.029207,-122.871569
180,9700 Block - 168 St,Giant Sequoia,Operating,380,,,City of Surrey,20140527,,49.178679,-122.756635
181,Sullivan Park,Yellow Buckeye,Operating,300,,,City of Surrey,20110323,20110323,49.116372,-122.795751
182,Surrey Nature Centre at Green Timbers,Cockspur Thorn,Operating,304,,,City of Surrey,20110323,20110323,49.179080,-122.829873
183,Hillcrest Park,Jeffrey Pine,Operating,307,,,City of Surrey,20110323,20110323,49.122629,-122.706246
184,Redwood Park - 17900 20 Ave,Dawn Redwood,Operating,144,054,Group 5,City of Surrey,,20110318,49.035523,-122.725464
185,King George Blvd - 2050,English Oak,Operating,006,Yes,,City of Surrey,,20110318,49.039212,-122.785333
186,Port Kells Elementary School - 19076 88 Ave,Douglas Fir,Operating,244,156,Group 16,School District #36,,20110318,49.161976,-122.694452
187,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152576,-122.701669
188,Port Kells Park - 19340 88 Ave,Douglas Fir,Operating,236,148,Group 14,City of Surrey,,20110318,49.159741,-122.686525
189,Port Kells Park - 19340 88 Ave,Hedge Maple,Operating,210,122,Group 14,City of Surrey,,20110318,49.162766,-122.687452
190,Port Kells Park - 19340 88 Ave,English Oak,Operating,224,136,Group 14,City of Surrey,,20110318,49.162116,-122.686002
191,Port Kells Park - 19340 88 Ave,English Oak,Operating,227,139,Group 14,City of Surrey,,20110318,49.161867,-122.685995
192,Port Kells Park - 19340 88 Ave,Common Beech,Operating,228,140,Group 14,City of Surrey,,20110318,49.161811,-122.685986
193,Port Kells Park - 19340 88 Ave,English Oak,Operating,205,117,Group 14,City of Surrey,,20110318,49.161471,-122.687544
194,Port Kells Park - 19340 88 Ave,English Oak,Operating,216,128,Group 14,City of Surrey,,20110318,49.162773,-122.686533
195,18029 Hwy 10 - Bourassa Property,Black Walnut,Operating,180,093,,Private,,20110318,49.105697,-122.721569
196,Dart's Hill Garden Park - 1660 168 St,Oriental Spruce,Operating,118,029,Group 1,City of Surrey,,20110318,49.032163,-122.755511
197,Port Kells Park - 19340 88 Ave,English Oak,Operating,229,141,Group 14,City of Surrey,,20110318,49.161730,-122.685991
198,Heritage Stump - 8920 Queen Mary Blvd,Western Redcedar (stump),Operating,051,,,City of Surrey,,20110318,49.164825,-122.862279
199,Dart's Hill Garden Park - 1660 168 St,Sweet Chestnut,Operating,111,022,Group 1,City of Surrey,,20110318,49.032082,-122.755402
200,6091 181a St,Butternut,Operating,172,084,28,Private,,20110318,49.113286,-122.720129
201,Port Kells Park - 19340 88 Ave,English Oak,Operating,208,120,Group 14,City of Surrey,,20110318,49.162362,-122.687564
202,Dart's Hill Garden Park - 1660 168 St,Variegated Hiba Arborvitae,Operating,120,031,Group 1,City of Surrey,,20110318,49.032009,-122.755074
203,Port Kells Park - 19340 88 Ave,Hedge Maple,Operating,217,129,Group 14,City of Surrey,,20110318,49.162773,-122.686423
204,Colebrook Park - 13275 Colebrook Rd,Purple Beech,Operating,197,110,Group 12,City of Surrey,,20110318,49.096261,-122.854276
205,18029 Hwy 10 - Bourassa Property,Horse Chestnut,Operating,177,090,,Private,,20110318,49.104895,-122.721190
206,Bell Park - 1782 136 St,Douglas Fir,Operating,184,097,Group 11,City of Surrey,,20110318,49.034278,-122.844443
207,King George Blvd - 2078,English Oak,Operating,007,Yes,,City of Surrey,,20110318,49.039663,-122.785864
208,King George Blvd - 2205,English Oak,Operating,015,Yes,,City of Surrey,,20110318,49.041972,-122.789426
209,King George Blvd - 2525,English Oak,Operating,017,Yes,,City of Surrey,,20110318,49.047870,-122.796695
210,King George Blvd - 2023,English Oak,Operating,005,Yes,,City of Surrey,,20110318,49.038861,-122.785526
211,King George Blvd - 2130,English Oak,Operating,010,Yes,,City of Surrey,,20110318,49.040366,-122.786732
212,King George Blvd - 2195,English Oak,Operating,014,Yes,,City of Surrey,,20110318,49.041747,-122.789126
213,King George Blvd - 2620,English Oak,Operating,021,Yes,,City of Surrey,,20110318,49.049823,-122.798452
214,King George Blvd - 2155,English Oak,Operating,013,Yes,,City of Surrey,,20110318,49.041098,-122.788307
215,King George Blvd - 2619,English Oak,Operating,020,Yes,,City of Surrey,,20110318,49.049410,-122.798618
216,King George Blvd - 2121,English Oak,Operating,009,Yes,,City of Surrey,,20110318,49.040205,-122.787175
217,Crescent Road - as per Bylaw No. 7716 (1983),Various,Operating,049,,,City of Surrey,,20110318,49.062402,-122.847668
218,14166 Hyland Rd,Douglas Fir,Operating,193,105,24,City of Surrey,,20110318,49.125598,-122.829876
219,1614 184 St,Western Redcedar,Operating,153,064,13,Private,,20110318,49.031318,-122.712996
220,9353 160 St (Hemlock Park),English Oak,Operating,104,015,8,City of Surrey,,20110318,49.172693,-122.779007
221,18029 Hwy 10 - Bourassa Property,English Walnut,Operating,179,092,,Private,,20110318,49.105248,-122.721763
222,10648 127 St,,Operating,124,035,,Private,,20110318,49.196371,-122.869410
223,Semiahmoo Trail,Various,Operating,202,,,City of Surrey,,20110318,49.040648,-122.803675
224,12731 Beckett Rd,Brewer's Weeping Spruce,Operating,195,107,26,Private,,20110318,49.054657,-122.869399
225,19587 0 Ave,Western Redcedar,Operating,130,040,9,Private,,20110318,49.003880,-122.681350
226,Crescent Road - as per Bylaw No. 7716 (1983),Various,Operating,049,,,City of Surrey,,20110318,49.065852,-122.837541
227,Peace Arch Park - Hwy 99 @ Canada-US border,Crimson King Maple,Operating,136,046,Group 3,Province of BC,,20110318,49.004003,-122.757974
228,Semiahmoo Trail,Various,Operating,202,,,City of Surrey,,20110318,49.044499,-122.804043
229,Mound Farm Park - 5288 168 St,Douglas Fir,Operating,160,071,Group 7,City of Surrey,,20110318,49.098343,-122.746981
230,St. Helen's Church - 10787 Old Yale Rd,Various,Operating,044,,,Synod of the Diocese of New Westminster,,20110318,49.198944,-122.868033
231,Mound Farm Park - 5288 168 St,Douglas Fir,Operating,158,069,Group 7,City of Surrey,,20110318,49.099432,-122.747427
232,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152846,-122.701667
233,Mound Farm Park - 5288 168 St,Western Redcedar,Operating,156,067,Group 7,City of Surrey,,20110318,49.097671,-122.745964
234,King George Blvd - 2511,English Oak,Operating,016,Yes,,City of Surrey,,20110318,49.047652,-122.796436
235,18029 Hwy 10 - Bourassa Property,Black Walnut,Operating,181,094,,Private,,20110318,49.105157,-122.721490
236,Peace Arch Park - Hwy 99 @ Canada-US border,Maidenhair Tree,Operating,137,047,Group 3,Province of BC,,20110318,49.003261,-122.756090
237,Dart's Hill Garden Park - 1660 168 St,Chinese Elm,Operating,119,030,Group 1,City of Surrey,,20110318,49.032449,-122.754689
238,Port Kells Park - 19340 88 Ave,Sitka Spruce,Operating,234,146,Group 14,City of Surrey,,20110318,49.161027,-122.686174
239,Colebrook Park - 13275 Colebrook Rd,Purple Beech,Operating,196,109,Group 12,City of Surrey,,20110318,49.096297,-122.854413
240,Peace Arch Park - Hwy 99 @ Canada-US border,Western White Pine,Operating,132,042,Group 3,Province of BC,,20110318,49.003530,-122.755720
241,Redwood Park - 17900 20 Ave,Hiba Arborvitae,Operating,147,057,Group 5,City of Surrey,,20110318,49.034844,-122.727711
242,Peace Arch Park - Hwy 99 @ Canada-US border,Atlas Cedar,Operating,135,045,Group 3,Province of BC,,20110318,49.005047,-122.758352
243,Dart's Hill Garden Park - 1660 168 St,Bigleaf Magnolia,Operating,113,024,Group 1,City of Surrey,,20110318,49.032215,-122.754731
244,Port Kells Community Hall - 18918 88 Ave,Douglas Fir,Operating,239,151,Group 15,City of Surrey,,20110318,49.162414,-122.698607
245,Pillath House - 11113 148 St,Various,Operating,048,,,City of Surrey,,20110318,49.204588,-122.813405
246,King George Blvd - 2140,English Oak,Operating,011,Yes,,City of Surrey,,20110318,49.040615,-122.787040
247,King George Blvd - 2601,English Oak,Operating,019,Yes,,City of Surrey,,20110318,49.049194,-122.798345
248,King George Blvd - 2646,English Oak,Operating,022,Yes,,City of Surrey,,20110318,49.050274,-122.798984
249,King George Blvd - 2120,English Oak,Operating,008,Yes,,City of Surrey,,20110318,49.039906,-122.786164
250,King George Blvd - 2150,English Oak,Operating,012,Yes,,City of Surrey,,20110318,49.040889,-122.787391
251,King George Blvd - 1210,English Oak,Operating,071,Yes,,City of Surrey,,20110318,49.024180,-122.766753
252,King George Blvd - 1187,English Oak,Operating,068,Yes,,City of Surrey,,20110318,49.023388,-122.766333
253,The Glades - 561 172 St,Mirbeck's Oak,Operating,167,079,Group 8,City of Surrey,,20110318,49.011238,-122.746657
254,Port Kells Park - 19340 88 Ave,English Oak,Operating,209,121,Group 14,City of Surrey,,20110318,49.162524,-122.687563
255,Dart's Hill Garden Park - 1660 168 St,Ironwood,Operating,116,027,Group 1,City of Surrey,,20110318,49.032318,-122.756619
256,Colebrook Park - 13275 Colebrook Rd,Weeping Linden,Operating,199,112,Group 12,City of Surrey,,20110318,49.095838,-122.854332
257,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152774,-122.701667
258,Dart's Hill Garden Park - 1660 168 St,Sekkan Sugi Japanese Cedar,Operating,110,021,Group 1,City of Surrey,,20110318,49.031873,-122.754692
259,Port Kells Park - 19340 88 Ave,Common Beech,Operating,231,143,Group 14,City of Surrey,,20110318,49.161518,-122.686005
260,Dart's Hill Garden Park - 1660 168 St,Nordmann Fir,Operating,106,017,Group 1,City of Surrey,,20110318,49.031505,-122.755022
261,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152109,-122.701671
262,Port Kells Park - 19340 88 Ave,Common Beech,Operating,203,115,Group 14,City of Surrey,,20110318,49.161219,-122.687544
263,Redwood Park - 17900 20 Ave,Incense Cedar,Operating,140,050,Group 5,City of Surrey,,20110318,49.034565,-122.727658
264,Port Kells Park - 19340 88 Ave,English Oak,Operating,212,124,Group 14,City of Surrey,,20110318,49.162774,-122.686944
265,13398 Vine Maple Dr,Sitka Spruce,Operating,103,014,7,Private,,20110318,49.054604,-122.851253
266,Dart's Hill Garden Park - 1660 168 St,Spanish Fir,Operating,107,018,Group 1,City of Surrey,,20110318,49.031812,-122.755513
267,Port Kells Community Hall - 18918 88 Ave,Douglas Fir,Operating,242,154,Group 15,City of Surrey,,20110318,49.162389,-122.698325
268,Crescent Road - as per Bylaw No. 7716 (1983),Various,Operating,049,,,City of Surrey,,20110318,49.057436,-122.853939
269,1990 134 St,Douglas Fir,Operating,099,010,16,Private,,20110318,49.038379,-122.850300
270,Peace Arch Park - Hwy 99 @ Canada-US border,Red Japanese Maple,Operating,134,044,Group 3,Province of BC,,20110318,49.003614,-122.757388
271,15438 Kildare Dr (74C - Greenbelt),Douglas Fir,Operating,094,004,2,City of Surrey,,20110318,49.109933,-122.794180
272,Dart's Hill Garden Park - 1660 168 St,Antarctic Beech,Operating,115,026,Group 1,City of Surrey,,20110318,49.032310,-122.756865
273,Semiahmoo Trail,Various,Operating,202,,,City of Surrey,,20110318,49.064874,-122.820870
274,Robert Dougal MacKenzie House - 5418 184 St,Scotch Elm,Operating,105,016,12,Private,,20110318,49.100745,-122.712514
275,King George Blvd - 2337,English Oak,Operating,331,Yes,,City of Surrey,20100224,20110318,49.044468,-122.792512
276,Green Timbers - Arboretum - 14266 96 Ave,Various,Operating,170,082,Group 9,City of Surrey,,20110318,49.179070,-122.831648
277,8495 144 St,Sugar Maple,Decommissioned,,114,Group 13,City of Surrey,,20110318,49.157100,-122.823500
278,8495 144 St,Sugar Maple,Decommissioned,,114,Group 13,City of Surrey,,20110318,49.157172,-122.823500
279,The Glades - 561 172 St,Eastern White Pine,Decommissioned,165,076,Group 8,City of Surrey,,20110318,49.011886,-122.747173
280,Green Timbers Way,Black Locust,Operating,282,191,Group 9,Province of BC,,20110318,49.179787,-122.831505
281,Surrey Nature Centre at Green Timbers,European Beech,Operating,261,170,Group 9,City of Surrey,,20110318,49.178955,-122.830545
282,Surrey Nature Centre at Green Timbers,Whitebeam Mountain Ash,Operating,257,165,Group 9,City of Surrey,,20110318,49.179106,-122.829749
283,King George Blvd - 1251,English Oak,Operating,076,Yes,,City of Surrey,,20110318,49.025038,-122.768418
284,King George Blvd - 2567,English Oak,Operating,018,Yes,,City of Surrey,,20110318,49.048086,-122.796981
285,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152306,-122.701670
286,12101 Sullivan St,Madrone,Operating,098,009,17,Private,,20110318,49.056609,-122.886654
287,Port Kells Park - 19340 88 Ave,English Oak,Operating,232,144,Group 14,City of Surrey,,20110318,49.161460,-122.686002
288,Port Kells Park - 19340 88 Ave,English Oak,Operating,218,130,Group 14,City of Surrey,,20110318,49.162772,-122.686327
289,12976 Old Yale Rd,Tulip Tree,Operating,188,102,20,City of Surrey,,20110318,49.191156,-122.862960
290,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152630,-122.701668
291,Port Kells Park - 19340 88 Ave,Sitka Spruce,Operating,233,145,Group 14,City of Surrey,,20110318,49.161027,-122.686242
292,The Glades - 561 172 St,Kobus Magnolia,Operating,162,073,Group 8,City of Surrey,,20110318,49.011764,-122.748801
293,Port Kells Community Hall - 18918 88 Ave,Douglas Fir,Operating,241,153,Group 15,City of Surrey,,20110318,49.162348,-122.698343
294,Dart's Hill Garden Park - 1660 168 St,Incense Cedar,Operating,108,019,Group 1,City of Surrey,,20110318,49.032437,-122.756877
295,13722 56 Ave,English Oak,Operating,186,099,,Private,,20110318,49.104764,-122.842332
296,The Glades - 561 172 St,Dove Tree,Operating,163,074,Group 8,City of Surrey,,20110318,49.011869,-122.747624
297,Dart's Hill Garden Park - 1660 168 St,Incense Cedar,Operating,108,019,Group 1,City of Surrey,,20110318,49.032432,-122.756808
298,The Glades - 561 172 St,Dawn Redwood,Operating,164,075,Group 8,City of Surrey,,20110318,49.011771,-122.747693
299,Port Kells Park - 19340 88 Ave,English Oak,Operating,214,126,Group 14,City of Surrey,,20110318,49.162772,-122.686738
300,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152441,-122.701669
301,Hunter Park - 5480 184a St,Douglas Fir,Operating,151,062,21,City of Surrey,,20110318,49.102299,-122.708203
302,9016 164 St,Douglas Fir,Operating,100,011,5,Private,,20110318,49.166361,-122.765716
303,Semiahmoo Trail (123A) - 15100 22 Ave,Douglas Fir,Operating,096,007,3,City of Surrey,,20110318,49.042020,-122.804613
304,Port Kells Community Hall - 18918 88 Ave,Douglas Fir,Operating,238,150,Group 15,City of Surrey,,20110318,49.162507,-122.698671
305,Port Kells Park - 19340 88 Ave,Common Beech,Operating,204,116,Group 14,City of Surrey,,20110318,49.161377,-122.687543
306,4117 152 St,Oriental Plane,Operating,152,063,10,Private,,20110318,49.076861,-122.801835
307,The Glades - 561 172 St,Weeping Norway Spruce,Operating,161,072,Group 8,City of Surrey,,20110318,49.011557,-122.748720
308,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152162,-122.701671
309,19251 76 Ave,English Walnut,Operating,189,103,,Private,,20110318,49.141272,-122.689164
310,Cloverdale Elementary School,Horse Chestnut,Operating,139,049,Group 4,School District #36,,20110318,49.104314,-122.728366
311,Redwood Park - 17900 20 Ave,Giant Sequoia,Operating,146,056,Group 5,City of Surrey,,20110318,49.034620,-122.728082
312,King George Blvd - 2200,English Oak,Operating,309,Yes,,City of Surrey,20100224,20110318,49.042056,-122.788888
313,King George Blvd - 2202,English Oak,Operating,310,Yes,,City of Surrey,20100224,20110318,49.042235,-122.789122
314,King George Blvd - 2204,English Oak,Operating,311,Yes,,City of Surrey,20100224,20110318,49.042376,-122.789288
315,King George Blvd - 2206,English Oak,Operating,312,Yes,,City of Surrey,20100224,20110318,49.042555,-122.789507
316,Surrey Nature Centre at Green Timbers,Sawara False Cypress,Operating,266,175,Group 9,City of Surrey,,20110318,49.178765,-122.830122
317,Surrey Nature Centre at Green Timbers,European Mountain Ash,Operating,263,172,Group 9,City of Surrey,,20110318,49.178913,-122.830441
318,Surrey Nature Centre at Green Timbers,Golden Atlas Cedar,Operating,265,174,Group 9,City of Surrey,,20110318,49.178802,-122.830204
319,King George Blvd - 1150,English Oak,Decommissioned,062,Yes,,City of Surrey,20110318,20110318,49.022724,-122.764911
320,King George Blvd - 1160,English Oak,Decommissioned,063,Yes,,City of Surrey,20110318,20110318,49.023109,-122.765365
321,King George Blvd - 1170,English Oak,Decommissioned,064,Yes,,City of Surrey,20110318,20110318,49.023278,-122.765589
322,King George Blvd - 1180,English Oak,Decommissioned,065,Yes,,City of Surrey,20110318,20110318,49.023643,-122.766061
323,King George Blvd - 1190,English Oak,Decommissioned,066,Yes,,City of Surrey,20110318,20110318,49.023834,-122.766295
324,King George Blvd - 1200,English Oak,Decommissioned,067,Yes,,City of Surrey,20110318,20110318,49.024011,-122.766515
325,8261 152 St,Ponderosa Pine,Operating,,061,,Private,,20110318,49.153034,-122.801586
326,14239 Melrose Dr,Golden Locust,Operating,149,059,,Private,,20110318,49.206193,-122.827580
327,Port Kells Park - 19340 88 Ave,Hedge Maple,Operating,220,132,Group 14,City of Surrey,,20110318,49.162771,-122.686012
328,Dart's Hill Garden Park - 1660 168 St,Medlar,Operating,114,025,Group 1,City of Surrey,,20110318,49.032326,-122.756290
329,Port Kells Park - 19340 88 Ave,English Oak,Operating,223,135,Group 14,City of Surrey,,20110318,49.162250,-122.686006
330,Port Kells Park - 19340 88 Ave,English Oak,Operating,206,118,Group 14,City of Surrey,,20110318,49.161624,-122.687541
331,Surrey Nature Centre at Green Timbers,Thornless Honeylocust,Operating,259,167,Group 9,City of Surrey,,20110318,49.179099,-122.830024
332,Surrey Nature Centre at Green Timbers,Sawara False Cypress,Operating,260,169,Group 9,City of Surrey,,20110318,49.178944,-122.830622
