,ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
12548,,1,4,Tee,1001435717,,1196010166,400,DI,,12.7,,In Service,1209-5040-00,2011,Surrey,,,Initial AB,,,,,,20121005,20121005,49.187021,-122.890190
12549,0,1,0,Cap,1000306582,13602,1196810155,,,13.65,,,In Service,,1994,Surrey,,,,,,,,,19951117,20121005,49.187068,-122.889918
12550,,1,3,Tap,1001435797,,1196210166,200,DI,,,,In Service,1209-5040-00,2011,Surrey,,,Initial AB,,,,,,20121005,20121005,49.187021,-122.890122
12551,,1,4,Tee,1001204541,,1476403224,300,DI,,31.38,,In Service,7809-0236-00,2013,Surrey,,,Final AB,,,,,,20130820,20130906,49.061302,-122.813249
12552,0,1,4,Tee,1000298087,4358,1196008434,,,93.82,,,In Service,,1976,Surrey,,,,,,,,,19890413,20121005,49.155946,-122.890208
12553,,1,0,Cap,1001909265,,1319801338,150,DI,,,,In Service,1212-3190-00,2016,Surrey,,,Final AB,,,,,,20170227,20170606,49.027236,-122.856481
12554,,1,0,Cap,1001909266,,1319801338,150,DI,,,,In Service,1212-3190-00,2016,Surrey,,,Final AB,,,,,,20170227,20170606,49.027236,-122.856475
12555,,1,4,Tee,1001194361,,1689807779,300,DI,,10.9,,In Service,7806-0317-00,2011,Surrey,,,Final AB,,,,,,20110331,20121009,49.143626,-122.754080
12556,,1,4,Tee,1001194384,,1697707818,300,DI,,11.56,,In Service,7806-0317-00,2011,Surrey,,,Final AB,,,,,,20110401,20121009,49.144315,-122.751901
12557,,1,0,Cap,1001908886,,1568008767,100,DI,,,,In Service,1212-3130-00,2016,Surrey,,,Final AB,,,,,,20170224,20170606,49.161570,-122.787589
12558,0,1,4,Tee,1000304186,8877,1317610141,,,93,,,In Service,,1997,Surrey,,,,,,,,,19980522,20130801,49.186532,-122.856614
12559,,1,4,Tee,1001912962,,1840307214,300,DI,,,,In Service,4083,1976,Surrey,,,Final AB,,,,,,20170314,20170606,49.133301,-122.712623
12560,0,1,4,Tee,1000304176,13319,1317610025,,,94.37,,,In Service,,1966,Surrey,,,,,,,,,19930512,20130801,49.184437,-122.856625
12561,0,1,4,Tee,1000303943,8451,1316809725,,,78.56,,,In Service,,1976,Surrey,,,,,,,,,19891220,20130801,49.179013,-122.856855
12562,,1,0,Cap,1001908941,,1319501364,150,DI,,,,In Service,1212-3190-00,2016,Surrey,,,Initial AB,,,,,,20170224,20170606,49.027716,-122.856548
12563,0,1,4,Tee,1000299777,8366,1399310220,,,100.58,,,In Service,,1974,Surrey,,,,,,,,,19891214,20140505,49.188182,-122.834044
12564,,1,0,Cap,1001908942,,1319501364,150,DI,,,,In Service,1212-3190-00,2016,Surrey,,,Initial AB,,,,,,20170224,20170606,49.027716,-122.856543
12565,0,1,4,Tee,1000311437,6004,1309408946,,,58.05,,,In Service,,1976,Surrey,,,,,,,,,19890621,20140505,49.165168,-122.858899
12566,0,1,1,Cross,1000315401,8787,1359702745,,,70.13,,,In Service,,1962,Surrey,,,,,,,,,19900221,20140505,49.052977,-122.845385
12567,0,1,4,Tee,1000304605,14855,1918405569,,,11.08,,,In Service,,1997,Surrey,,,,,,,,,19990217,20140505,49.103472,-122.691280
12568,,1,0,Cap,1001908943,,1323901364,150,DI,,,,In Service,1212-3190-00,2016,Surrey,,,Final AB,,,,,,20170224,20170606,49.027710,-122.855331
12569,0,1,0,Cap,1000307594,17067,1500106394,250,CAS,,11,,In Service,W-137-02,1992,Surrey,,,,,,,,,20030527,20140505,49.118664,-122.806496
12570,,1,4,Tee,1001204538,,1472103194,200,DI,,27.51,,In Service,7809-0236-00,2013,Surrey,,,Final AB,,,,,,20130820,20130906,49.060757,-122.814446
12571,0,1,4,Tee,1000311446,7353,1341209290,,,60.35,,,In Service,,1989,Surrey,,,,,,,,,19890928,20140505,49.171127,-122.850141
12572,0,1,4,Tee,1000297679,16269,1452708174,200,CAS,32.11,32.7,-0.59,In Service,7896-0094-01,2000,Surrey,,,Final AB,,,,,,20021029,20140331,49.150889,-122.819451
12573,,1,3,Tap,1000862129,,1313906014,300,DI,,97.33,,In Service,1207-3090-00,2008,Surrey,,,Final AB,,,,,,20081104,20120625,49.111850,-122.857857
12574,,1,0,Cap,1001897692,,1641601563,200,DI,,,,Abandoned,MOTH 12449-2014,2014,Surrey,,,Final AB,,,,,,20161122,20161122,49.031157,-122.767909
12575,0,1,4,Tee,1000297678,16268,1451908219,200,CAS,32.11,36.9,-4.79,In Service,7896-0094-01,2000,Surrey,,,Final AB,,,,,,20021029,20140331,49.151709,-122.819654
12576,0,1,2,Reducer,1000847164,,1918806680,350,DI,,,,In Service,7804-0247-00,2008,Surrey,,350 X 300 REDUCER,Final AB,,,,,,20080318,20130718,49.123579,-122.691048
12577,0,1,4,Tee,1000847163,,1919606680,350,DI,,,,In Service,7804-0247-00,2008,Surrey,,,Final AB,,,,,,20080318,20130718,49.123578,-122.690802
12578,0,1,2,Reducer,1000847165,,1918706680,350,DI,,,,In Service,7804-0247-00,2008,Surrey,,350 X 300 REDUCER,Final AB,,,,,,20080318,20130718,49.123579,-122.691070
12579,0,1,4,Tee,1000304251,18342,1326010424,300,DI,,86.41,,In Service,7803-0310-00,2013,Surrey,,,,,,,,,20040930,20131016,49.191657,-122.854275
12580,,1,4,Tee,1001180937,,1326110272,300,DI,,91.8,,In Service,7805-0401-00,2010,Surrey,,,Final AB,,,,,,20101105,20131016,49.188899,-122.854259
12581,,1,2,Reducer,1001418188,,1594009273,200,DI,,74.43,,In Service,7810-0082-00,2012,Surrey,,200X100,Final AB,,,,,,20120713,20130722,49.170709,-122.780393
12582,,1,3,Tap,1001897695,,1641701563,500,DI,,,,In Service,MOTH 12449-2014,2014,Surrey,,,Final AB,,,,,,20161122,20161122,49.031157,-122.767868
12583,0,0,4,Tee,1000313907,3127,1681101446,,,29.5,,,Abandoned,,1987,Surrey,,,,,,,,,19910514,20140605,49.029339,-122.757051
12584,0,0,4,Tee,1000310613,9697,1681101547,,,46,,,Abandoned,,1952,Surrey,,,,,,,,,19900315,20140605,49.031166,-122.757025
