,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
148,20070625,From Urban Storm Water Pond to Medium-High Density (15-25 upa),R07-1833,,25,15,UPA,7904-0262-00,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
149,,,,20170420,,,,,Special Setback and Landscaping Buffers,20170420,East Clayton,Approved,Neighbourhood Concept Plan,2003
150,,"For more detail on future land uses, see Aloha Estates Infill Area Land Use Concept, approved by Council on October 28, 2013", ,20170419,10,6,UPA,7914-0107-00,6-10 u.p.a. (Low Density),20171222,East Clayton,Approved,Neighbourhood Concept Plan,2003
151,, , ,,,,, ,Institutional,,East Clayton,Approved,Neighbourhood Concept Plan,2003
152,, , ,,,,, ,Road Median,,East Clayton,Approved,Neighbourhood Concept Plan,2003
153,,,,,,,,,Storm Water Ponds (100 year flood event),,East Clayton,Approved,Neighbourhood Concept Plan,2003
154,, ,,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
155,,,,20120606,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
156,, , ,,,,, ,Special Setback and Landscaping Buffers,20140528,East Clayton,Approved,Neighbourhood Concept Plan,2003
157,, , ,,,,, ,Neighbourhood Commercial,,East Clayton,Approved,Neighbourhood Concept Plan,2003
158,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
159,,,,20111114,,,,,Special Setback and Landscaping Buffers,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
160,, , ,,,,, ,Road Median,,East Clayton,Approved,Neighbourhood Concept Plan,2003
161,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
162,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
163,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
164,, , ,,15,10,UPA, ,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
165,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
166,, , ,20140528,,,, ,Specialty Community-Oriented Commercial,20150611,East Clayton,Approved,Neighbourhood Concept Plan,2003
167,20140728,Amended From Specialty Community-Oriented Commercial to 22-45 u.p.a. (High Density), ,20140528,45,22,UPA,13-0030-00,22-45 u.p.a. (High Density),20160331,East Clayton,Approved,Neighbourhood Concept Plan,2003
168,20140728,Amended From Public Open Space/Park to Specialty Community-Oriented Commercial, ,,,,,13-0030-00,Specialty Community-Oriented Commercial,20160331,East Clayton,Approved,Neighbourhood Concept Plan,2003
169,, , ,,25,15,UPA, ,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
170,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
171,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
172,,,,,25,15,UPA,,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
173,,,,20111114,,,,,Special Setback and Landscaping Buffers,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
174,20070626,From Medium High Density (15-25 upa) and Low Density (6-10 upa) to Medium Density (10-15 upa),R07-1945,,15,10,UPA,7906-0116-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
175,,,,20111114,,,,,Special Setback and Landscaping Buffers,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
176,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
177,, , ,,,,, ,School & Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
178,,"For more detail on future land uses, see Aloha Estates Infill Area Land Use Concept, approved by Council on October 28, 2013", ,,,,, ,Half Acre Residential,20180514,East Clayton,Approved,Neighbourhood Concept Plan,2003
179,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
180,20111017,22-45 upa (High Density) to 30-70 upa (High Density)   7911-0035-00 Shawn Low,RES.R11-1783,,70,30,UPA,7911-0035-00,30-70 u.p.a. (High Density),20121218,East Clayton,Approved,Neighbourhood Concept Plan,2003
181,, , ,,,,, ,Storm Water Ponds,,East Clayton,Approved,Neighbourhood Concept Plan,2003
182,,,,,15,10,UPA,,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
183,,,,,15,10,UPA,,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
184,,,,,,,,,Business Park,20120606,East Clayton,Approved,Neighbourhood Concept Plan,2003
185,, , ,,,,, ,Commercial/Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
186,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
187,, , ,,45,22,UPA, ,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
188,,,,,15,10,UPA,,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
189,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
190,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
191,,,,,15,10,UPA,,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
192,, , ,,15,10,UPA, ,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
193,,,,20111114,,,,,Special Setback and Landscaping Buffers,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
194,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
195,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
196,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
197,, , ,,,,, ,Road Median,,East Clayton,Approved,Neighbourhood Concept Plan,2003
198,20140728,Amended From Riparian Protection Area to 22-45 u.p.a. (High Density), ,20140528,45,22,UPA,13-0030-00,22-45 u.p.a. (High Density),20160331,East Clayton,Approved,Neighbourhood Concept Plan,2003
