,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
52,GEDS-7MKUBS,Save On Foods #2263 - Deli,18710 Fraser Hwy,Surrey,Restaurant,49.12422162,-122.70339163
53,A019791    ,Save On Foods #903 - Deli,3033 152 St,Surrey,Restaurant,49.05707032,-122.8020864
54,GEDS-79JU38,Save On Foods #910 - Deli,7320 King George Blvd,Surrey,Restaurant,49.13512719,-122.84513975
55,SHEN-9UJU2N,Save On Foods #918 - Kitchen,9014 152 St,Surrey,Restaurant,49.16697429,-122.79924081
56,GEDS-66S2CD,Save On Foods #939 - Deli,12130 Nordel Way,Surrey,Restaurant,49.16125226,-122.88603247
57,JRON-67B26M,Save On Foods #939 - Seafood Section,12130 Nordel Way,Surrey,Restaurant,49.16125226,-122.88603247
58,SDFO-8EUQ7N,Sawbuck's Pub,1626 152 St,Surrey,Restaurant,49.0316488,-122.80089611
59,SHEN-ABMQFG,Scott Hill Pizza,9380 120 St,Surrey,Restaurant,49.17352547,-122.88992003
60,NDAA-9R9MQD,Scott Hill Pizza,15154 Fraser Hwy,Surrey,Restaurant,49.16640004,-122.80266692
61,GEDS-6TSR35,Scott Hill Pizza (137th St),7330 137 St,Surrey,Restaurant,49.13602606,-122.84257911
62,SWOD-AQFQD7,Scott's 96 Pizza,15932 96 Ave,Surrey,Restaurant,49.17674494,-122.78081937
63,SWOD-A54NS4,Scott's Landing,14877 108 Ave,Surrey,Restaurant,49.19944932,-122.80927913
64,A018893    ,Scottsdale Lanes Snack/Lounge,12033 84 Ave,Surrey,Restaurant,49.15611731,-122.88898871
65,GEDS-6E8Q78,Seahorse Grill,12147 Sullivan St,Surrey,Restaurant,49.05601542,-122.8852786
66,SPLH-9SZQ3M,Second Cup - Store #9686,13750 96 Ave,Surrey,Restaurant,49.1768222,-122.84244062
67,SDFO-8MMLPS,Select Pizza,8434 120 St,Surrey,Restaurant,49.15659098,-122.89007953
68,ACAK-8XGPZ4,Select Pizza (72nd Ave),13633 72 Ave,Surrey,Restaurant,49.13373571,-122.84449695
69,ACAK-8HLT5U,Semiahmoo House Society,15306 24 Ave,Surrey,Restaurant,49.04543687,-122.79802571
70,A016809    ,Semiahmoo Secondary School,1785 148 St,Surrey,Restaurant,49.03511455,-122.81297114
71,SHEN-AGNMSP,Seniors Come Share Society Day Program for Adults,15355 102A Ave,Surrey,Restaurant,49.18894853,-122.79663936
72,NDAA-9RNU4U,Seoul Grill House,15155 101 Ave,Surrey,Restaurant,49.18629935,-122.80223401
73,A019043    ,Shagun Sweets (Surrey),8388 128 St,Surrey,Restaurant,49.15488649,-122.86770069
74,GEDS-6MQ252,Shakerz Show Lounge,10458 Whalley Blvd,Surrey,Restaurant,49.19268665,-122.84192208
75,SDFO-8KCLSD,Shannon Donair,17581 57 Ave,Surrey,Restaurant,49.10609837,-122.73536299
76,NDAA-9H4SAQ,Sharondale Lodge,17826 57 Ave,Surrey,Restaurant,49.10591655,-122.72876489
77,NDAA-APCPMF,Shawarma Palace,7218 King George Blvd,Surrey,Restaurant,49.1343323,-122.84521322
78,SHEN-AU2UNF,Sheila's Catering,2201 148 St,Surrey,Restaurant,49.04327446,-122.81479456
79,GEDS-66BRLC,Sheraton Vancouver Guildford Hotel - Fresh Lounge,15269 104 Ave,Surrey,Restaurant,49.19170882,-122.79884661
80,GEDS-66BRNT,Sheraton Vancouver Guildford Hotel - Fresh Restaurant,15269 104 Ave,Surrey,Restaurant,49.19170882,-122.79884661
81,NDAA-ALUPSA,Short & Sweet Patisserie and Bakery,16793 60 Ave,Surrey,Restaurant,49.11167704,-122.75748196
82,NDAA-APCP2Z,Showshaa,3020 152 St,Surrey,Restaurant,49.0572222,-122.80085018
83,GEDS-6732QE,Shree Sanata Dharam Sabha (Fiji) of BC,8473 124 St,Surrey,Restaurant,49.15709529,-122.87944944
84,SYOG-5M59W3,Shri Durga Mandir,7750 128 St,Surrey,Restaurant,49.14358109,-122.86765344
85,ACAK-8XKQ6L,Sikh Academy,12895 85 Ave,Surrey,Restaurant,49.15761124,-122.86500539
86,SHEN-9TZMQD,Silverspoon Pizza & Curry,12889 84 Ave,Surrey,Restaurant,49.15556846,-122.86572959
87,KSMH-ARNU8N,Sindbad,9627 128 St,Surrey,Restaurant,49.17775768,-122.86821562
88,SHEN-A7GU4C,Sky Zone Trampoline Park,11125 124 St,Surrey,Restaurant,49.20478745,-122.87898096
89,HCAR-ASNP97,Snowy Village (Surrey),10090 152 St,Surrey,Restaurant,49.18575463,-122.80058146
90,HCAR-AVPPMX,Sockeye Sushi,18818 68 Ave,Surrey,Restaurant,49.12601123,-122.70109667
91,SDFO-894RT6,Sodexo Food Services - Surrey Campus,12666 72 Ave,Surrey,Restaurant,49.13362169,-122.87132535
92,GEDS-7P929P,Sofi's Shawarma & Donairs,8928 152 St,Surrey,Restaurant,49.16516372,-122.80115648
93,SHEN-AP5NAA,Softball City Extra Innings - Sport & Grill,2201 148 St,Surrey,Restaurant,49.04327446,-122.81479456
94,SHEN-AP5NF6,Softball City Extra Innings - Time Out Concession,2201 148 St,Surrey,Restaurant,49.04327446,-122.81479456
95,GEDS-6XZP8T,Song Huong Vietnamese Restaurant,14667 108 Ave,Surrey,Restaurant,49.19887903,-122.81590389
96,SWOD-AHRVAL,Song's Snack Stop & Convenience Store,9613 192 St,Surrey,Restaurant,49.17736128,-122.69071803
97,GEDS-7R5P2M,Soo's Grocery,13980 108 Ave,Surrey,Restaurant,49.19866862,-122.83459774
98,NDAA-9QERMR,Sources Connection Cafe & Catering,14601 20 Ave,Surrey,Restaurant,49.03980925,-122.81862201
99,GEDS-7UDPRX,Sources Life Skills Resource Centre,12996 60 Ave,Surrey,Restaurant,49.11169934,-122.86225504
100,NDAA-9QJQ4J,Sources Women's Place,15318 20 Ave,Surrey,Restaurant,49.03817959,-122.79801683
101,A016829    ,South Surrey Ice Arena - Lower Concession,2199 148 St,Surrey,Restaurant,49.04156877,-122.81524429
102,A016828    ,South Surrey Ice Arena - Upper Concession,2199 148 St,Surrey,Restaurant,49.04156877,-122.81524429
103,NDAA-APCQAP,Spice 'N' Curry,18640 Fraser Hwy,Surrey,Restaurant,49.12546293,-122.70609458
104,SWOD-A5GVJT,Spice 72 Indian Restaurant & Lounge,12025 72 Ave,Surrey,Restaurant,49.13426727,-122.88969705
105,NDAA-9A7QNA,Spice Kings,15325 56 Ave,Surrey,Restaurant,49.10524442,-122.79842902
106,DMIL-96GQWF,Spice Meats,7028 120 St,Surrey,Restaurant,49.13087217,-122.89004487
107,JDSO-AEFNMX,Spice of Nepal,13486 72 Ave,Surrey,Restaurant,49.13339373,-122.84878949
108,SHEN-A79US9,Spice of Punjab Sweets & Restaurant,6350 120 St,Surrey,Restaurant,49.11815677,-122.8900634
109,SHEN-AKAW3E,Spicy Bowl Restaurant Inc,10725 King George Blvd,Surrey,Restaurant,49.19747121,-122.84569205
110,SWOD-AHPVGB,Spinhouse Cycling Studio,16041 24 Ave,Surrey,Restaurant,49.04630357,-122.77770572
111,NDAA-9GUMV3,Sportica's Excellent Ice - On Ice Grill,15000 54A Ave,Surrey,Restaurant,49.10157588,-122.80801841
112,NDAA-9GUN4K,Sportica's Excellent Ice - Snack Bar,15000 54A Ave,Surrey,Restaurant,49.10157588,-122.80801841
113,SYOG-5M55P6,St Bernadette Parish Hall,6555 132 St,Surrey,Restaurant,49.12138486,-122.85668239
114,A018350    ,Starbucks Coffee #139,17967 56 Ave,Surrey,Restaurant,49.10433763,-122.72502686
115,JCOE-67H9B8,Starbucks Coffee #142,1658 128 St,Surrey,Restaurant,49.03233639,-122.86726889
116,A019329    ,Starbucks Coffee #144,7380 King George Blvd,Surrey,Restaurant,49.13673593,-122.84521073
117,ACAK-8VGVCP,Starbucks Coffee #17256,17455 56 Ave,Surrey,Restaurant,49.10436862,-122.73959754
118,A017915    ,Starbucks Coffee #175,8898 152 St,Surrey,Restaurant,49.16465749,-122.80117032
119,NDAA-93TW5R,Starbucks Coffee #18290,15850 26 Ave,Surrey,Restaurant,49.04901067,-122.78305075
120,A016904    ,Starbucks Coffee #194,1730 152 St,Surrey,Restaurant,49.03340524,-122.80092717
121,NDAA-9BFS8W,Starbucks Coffee #19771,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
122,NDAA-9NUQZV,Starbucks Coffee #22435,13737 96 Ave,Surrey,Restaurant,49.17720977,-122.84275097
123,SHEN-AMTPVU,Starbucks Coffee #29383,10385 120 St,Surrey,Restaurant,49.19157709,-122.89069274
124,SDFO-8EAUE3,Starbucks Coffee #4105,15941 Fraser Hwy,Surrey,Restaurant,49.15831657,-122.78059687
125,A019360    ,Starbucks Coffee #4255,10362 King George Blvd,Surrey,Restaurant,49.19096128,-122.84505611
126,A014724    ,Starbucks Coffee #4406,3061 152 St,Surrey,Restaurant,49.05755824,-122.80210265
127,GEDS-68T2FB,Starbucks Coffee #4468,10174 152 St,Surrey,Restaurant,49.18723165,-122.80063261
128,NDAA-9R8Q9Z,Starbucks Coffee #4473,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
129,GEDS-6HQPVN,Starbucks Coffee #4593,2670 152 St,Surrey,Restaurant,49.05026809,-122.80093219
130,GEDS-6GTQ2V,Starbucks Coffee #4596,3278 King George Blvd,Surrey,Restaurant,49.06115882,-122.81215251
131,GEDS-6NLNUT,Starbucks Coffee #4620,18737 Fraser Hwy,Surrey,Restaurant,49.12463696,-122.70301653
132,GEDS-7D4VHM,Starbucks Coffee #4715,12830 96 Ave,Surrey,Restaurant,49.17696905,-122.86709444
133,GEDS-74DUWT,Starbucks Coffee #4775,6476 176 St,Surrey,Restaurant,49.12001039,-122.73457578
134,GEDS-77ZUHF,Starbucks Coffee #4811,15976 108 Ave,Surrey,Restaurant,49.19859349,-122.77942957
135,GEDS-7RRUYU,Starbucks Coffee #4865,2453 161A St,Surrey,Restaurant,49.04707987,-122.77611766
136,GEDS-7YSU36,Starbucks Coffee #4941,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
137,GEDS-7W7V3T,Starbucks Coffee #4976,12025 Nordel Way,Surrey,Restaurant,49.16237241,-122.8888952
138,NDAA-9P7SJ7,Starbucks Coffee Company #21565,9908 King George Blvd,Surrey,Restaurant,49.18334718,-122.84499471
139,KSMH-AQCM7G,Sticky's Candy Ocean Park,12885 16 Ave,Surrey,Restaurant,49.03150033,-122.86538278
140,GEDS-6M4MKD,Sub Garden #1,13482 72 Ave,Surrey,Restaurant,49.13339404,-122.84889395
141,GEDS-6HKMMM,Subway #10105,12842 96 Ave,Surrey,Restaurant,49.17696476,-122.86655037
142,GEDS-7E5PUV,Subway #10452,1797 152 St,Surrey,Restaurant,49.03448175,-122.80146488
