,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
235,SDFO-8MLMNB,Cafe Central,10350 University Dr,Surrey,Restaurant,49.19066593,-122.84946025
236,NDAA-9R8NDB,Cafe Central (Surrey Leisure Complex),16555 Fraser Hwy,Surrey,Restaurant,49.15194416,-122.76410396
237,ACAK-8VHNXU,Cafe Madras,8381 128 St,Surrey,Restaurant,49.15512434,-122.86935706
238,SHEN-ALXT55,Cafe Nelly,13401 108 Ave,Surrey,Restaurant,49.1990937,-122.85025486
239,SDFO-8MXMMA,Calgary Sweets,7928 128 St,Surrey,Restaurant,49.14675376,-122.86766512
240,GEDS-7X3VKR,Calvary Christian Church,16293 104 Ave,Surrey,Restaurant,49.19200637,-122.77081733
241,GEDS-66ZW24,Calypso Foods,8322 130 St,Surrey,Restaurant,49.15374911,-122.86203637
242,SWOD-9X7QKV,Camy's Pizza,12849 96 Ave,Surrey,Restaurant,49.1773134,-122.86594137
243,ACAK-9CALHP,Canada Safeway #1 - Snack Bar & Deli,10355 King George Blvd,Surrey,Restaurant,49.19071922,-122.84579893
244,ACAK-9CALNC,Canada Safeway #1 - Starbucks Coffee,10355 King George Blvd,Surrey,Restaurant,49.19071922,-122.84579893
245,ACAK-9CANVB,Canada Safeway #109 - Deli,12825 16 Ave,Surrey,Restaurant,49.03148969,-122.86670337
246,ACAK-9CAP6G,Canada Safeway #184 - Deli,7165 138 St,Surrey,Restaurant,49.13282901,-122.83916029
247,ACAK-9CAP73,Canada Safeway #184 - Starbucks Coffee,7165 138 St,Surrey,Restaurant,49.13282901,-122.83916029
248,ACAK-9CAMG4,Canada Safeway #47 - China Kitchen,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.79750443
249,ACAK-9CAME9,Canada Safeway #47 - Deli,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.79750443
250,ACAK-9CAMF5,Canada Safeway #47 - Starbucks Coffee,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.79750443
251,ACAK-9CAMPV,Canada Safeway #62 - Deli,8870 152 St,Surrey,Restaurant,49.16332387,-122.80119131
252,ACAK-9CAMQN,Canada Safeway #62 - Starbucks Coffee,8870 152 St,Surrey,Restaurant,49.16332387,-122.80119131
253,ACAK-9CAMVN,Canada Safeway #92 - Deli,7450 120 St,Surrey,Restaurant,49.13826544,-122.89002096
254,ACAK-9CAMWJ,Canada Safeway #92 - Starbucks Coffee,7450 120 St,Surrey,Restaurant,49.13826544,-122.89002096
255,A019458    ,Canadian 2 For 1 Pizza (152nd St),10070 152 St,Surrey,Restaurant,49.18541427,-122.80059532
256,GEDS-6ZNPG3,Canadian 2 For 1 Pizza (72nd Ave),13791 72 Ave,Surrey,Restaurant,49.13426936,-122.83906049
257,GEDS-5Z6MPG,Canadian Singh Sabha Gurdwara Society,8115 132 St,Surrey,Restaurant,49.15020581,-122.85711154
258,SHEN-A3JU7Q,Canuel Caterers,2656 160 St,Surrey,Restaurant,49.05006748,-122.77859997
259,PNEL-8QKN49,Canuel Caterers - Agriplex,6050A 176 St,Surrey,Restaurant,49.11225879,-122.73472819
260,PNEL-8QKN34,Canuel Caterers - Shannon Hall,6050A 176 St,Surrey,Restaurant,49.11225879,-122.73472819
261,PNEL-8QKMYB,Canuel Caterers - Show Barn,6050A 176 St,Surrey,Restaurant,49.11225879,-122.73472819
262,PNEL-8QKN5F,Canuel Caterers - Stetson Bowl,6050A 176 St,Surrey,Restaurant,49.11225879,-122.73472819
263,SWOD-AHFN3G,Captain Meat & Poultry Ltd (72nd Ave),13753 72 Ave,Surrey,Restaurant,49.13377078,-122.84058109
264,GEDS-7CVR6H,CareLife Fleetwood - Food Service,8265 159 St,Surrey,Restaurant,49.15269221,-122.78202227
265,ACAK-98ULJQ,Caribbean Spoon,6820 188 St,Surrey,Restaurant,49.1266045,-122.70143301
266,SHEN-A6LW3S,Carl's Jr. Restaurants,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
267,HCAR-AUFQDK,Casa Mia Cafe,9172 120 St,Surrey,Restaurant,49.16998256,-122.8899906
268,HCAR-ATQP7E,Castro's Tacos,13646 Grosvenor Rd,Surrey,Restaurant,49.19962849,-122.84402627
269,NDAA-8WQS48,Catering Visions,13375 115 Ave,Surrey,Restaurant,49.21175112,-122.85178846
270,A013627    ,Cedar Grove Child Development Centre Food Service,10330 144 St,Surrey,Restaurant,49.19047368,-122.82282352
271,SPLH-9P8MJG,CEFA - Fleetwood,16050 Fraser Hwy,Surrey,Restaurant,49.15664752,-122.77745304
272,NDAA-9QXQR7,Cefa Early Learning,5446 152 St,Surrey,Restaurant,49.10133068,-122.80073673
273,NDAA-9E9SK8,Cefa Guildford,10172 152A St,Surrey,Restaurant,49.18732171,-122.7992571
274,NDAA-AC7QX3,CEFA South Surrey/Morgan Crossing,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.79750443
275,GEDS-65BNJH,Celebration & Rainbow Manor Food Service,10130 159A St,Surrey,Restaurant,49.18640578,-122.77991666
276,GEDS-66KMAS,Central City Brewing Company,13450 102 Ave,Surrey,Restaurant,49.18791904,-122.84876653
277,NDAA-ATHQYX,Centric Culinary Inc,18394 Fraser Hwy,Surrey,Restaurant,49.1287315,-122.71321455
278,SHEN-9Z5V5E,Chaba Thai Restaurant,5723 176 St,Surrey,Restaurant,49.10638755,-122.73519222
279,SHEN-9YTPMB,Chan's Kitchen,15277 100 Ave,Surrey,Restaurant,49.1844401,-122.79879019
280,SHEN-9W7N2C,Charcoal & Woodz,17530 64 Ave,Surrey,Restaurant,49.11854087,-122.73720867
281,GEDS-84RSPW,Charley's Philly Steaks,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
282,SHEN-A63NQL,Chatime,10255 King George Blvd,Surrey,Restaurant,49.18915003,-122.84575001
283,SPLH-AUXP4D,Cheema Bros Meat Shop,12477 88 Ave,Surrey,Restaurant,49.16395195,-122.8770559
284,ACAK-8WDT8J,Chef's Kebab Restaurant,16225 Fraser Hwy,Surrey,Restaurant,49.15490374,-122.77200069
285,SWOD-A57QHG,Chefe Daniel Restaurant,13620 80 Ave,Surrey,Restaurant,49.14801946,-122.84506883
286,A019554    ,Cherington Place Food Service,13453 111A Ave,Surrey,Restaurant,49.20548586,-122.84929835
287,NDAA-9EWU8F,Chili House Restaurant,19571 Fraser Hwy,Surrey,Restaurant,49.11450481,-122.68063504
288,SWOD-APMV26,Chilies Thai Restaurant,8077 King George Blvd,Surrey,Restaurant,49.1494583,-122.8460133
289,A019021    ,China Village Wonton House,9644 King George Blvd,Surrey,Restaurant,49.17776025,-122.84529704
290,SHEN-A7LVFF,Chipotle Mexican Grill,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
291,GEDS-5Y7VCY,Choice Billiards & Cafe,7728 128 St,Surrey,Restaurant,49.1427663,-122.86766933
292,GEDS-6GMR6P,Choices Market - Deli,3248 King George Blvd,Surrey,Restaurant,49.06103122,-122.81198806
293,SHEN-A6QNHL,Chongqing Restaurant,8220 120 St,Surrey,Restaurant,49.15256867,-122.89004467
294,SPLH-9N6RN7,Chopped Leaf,15775 Croydon Dr,Surrey,Restaurant,49.04768716,-122.78492695
295,KSMH-AU6VQG,Chopped Leaf,9900 King George Hwy,Surrey,Restaurant,49.18235922,-122.84490698
296,A018928    ,Chrysalis 22 Food Service,14122 113 Ave,Surrey,Restaurant,49.20750257,-122.83098214
297,A018912    ,Chrysalis 24 Food Service,14124 113 Ave,Surrey,Restaurant,49.20750257,-122.83098214
298,SPLH-98CNQM,Chui Hong Korean Chinese Restaurant,15976 108 Ave,Surrey,Restaurant,49.19859349,-122.77942957
299,A016526    ,Church's Chicken #1715,10542 King George Blvd,Surrey,Restaurant,49.19418298,-122.84498766
300,A013656    ,Church's Chicken #3630,8434 120 St,Surrey,Restaurant,49.15659098,-122.89007953
301,A017564    ,Church's Chicken #4475,14877 108 Ave,Surrey,Restaurant,49.19944932,-122.80927913
302,A018178    ,Church's Chicken #5621,15318 Fraser Hwy,Surrey,Restaurant,49.16467278,-122.79828012
303,GEDS-65QN9E,Cineplex Odeon,12161 72 Ave,Surrey,Restaurant,49.13501244,-122.88650119
304,SPLH-9KKNN4,Cinnzeo,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
305,SHEN-9T5QBB,Citrus Bar & Grill,10410 158 St,Surrey,Restaurant,49.19204926,-122.7839164
306,SHEN-ATTR6G,City Centre Pizza Factory,10470 King George Blvd,Surrey,Restaurant,49.19289827,-122.84505798
307,A017441    ,Classic OP Pizza,3189 King George Blvd,Surrey,Restaurant,49.05963853,-122.81161686
308,SHEN-AP8PQH,Clayton Gate Pizza,6820 188 St,Surrey,Restaurant,49.1266045,-122.70143301
309,A017685    ,Clayton Heights Secondary School Cafeteria,7003 188 St,Surrey,Restaurant,49.12921586,-122.70191415
310,ACAK-99FQMH,Clover Heights Retirement Home,6209 184 St,Surrey,Restaurant,49.11514003,-122.71285117
311,A017390    ,Clover Hill Market,5996 184 St,Surrey,Restaurant,49.11122362,-122.71237248
312,GEDS-7ANM86,Clover Ridge Pizza,5989 168 St,Surrey,Restaurant,49.11117004,-122.75683844
313,A016814    ,Cloverdale Bakery,5780 176A St,Surrey,Restaurant,49.10748286,-122.73348836
314,SWOD-9UHPGQ,Cloverdale Coffee Co,5674 176 St,Surrey,Restaurant,49.10547949,-122.73476794
315,SDFO-8LUUGU,Cloverdale Country Farms - Deli,5688 168 St,Surrey,Restaurant,49.10517451,-122.75619765
316,A016586    ,Cloverdale Ice Arena,6090 176 St,Surrey,Restaurant,49.11322319,-122.73436566
317,NDAA-9YLSGB,Cloverdale Minor Softball Association Concession #2,6330 168 St,Surrey,Restaurant,49.11721874,-122.75643514
318,SDFO-8GRKRZ,Cloverdale Recreation Centre,6188 176 St,Surrey,Restaurant,49.11519194,-122.73446036
319,A018157    ,Coast & Country Diner,17608 56 Ave,Surrey,Restaurant,49.10399109,-122.73468052
320,ACAK-97WNC9,COBS Bread,12857 16 Ave,Surrey,Restaurant,49.03150395,-122.86585053
321,NDAA-9QMNYX,COBS Bread #9030,1711 152 St,Surrey,Restaurant,49.0331143,-122.80166897
322,KHON-6RKPB6,COBS Bread (152nd St),2990 152 St,Surrey,Restaurant,49.05622799,-122.80089259
323,SDFO-88VM3L,COBS Bread (Fraser Hwy),18775 Fraser Hwy,Surrey,Restaurant,49.12479487,-122.7020931
324,KSMH-ARJTF9,COBS Bread (Guildford Town Centre),10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
325,HCAR-AW6UF4,CoCo Fresh Tea & Juice,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
326,SHEN-AP8QAU,Coffee Monster,15285 101 Ave,Surrey,Restaurant,49.18638766,-122.79867467
327,A019462    ,Come Share Centre (26th Ave),15008 26 Ave,Surrey,Restaurant,49.04891781,-122.80419909
328,A020331    ,Come Share Centre (68th Ave),13855 68 Ave,Surrey,Restaurant,49.12674536,-122.83893841
329,GEDS-66K2CZ,Community Access-Arcus Community Resources Food Service,12388 Pattullo Pl,Surrey,Restaurant,49.20246838,-122.87986064
330,SDFO-896MB7,Contracted Food Service Provider,5500 180 St,Surrey,Restaurant,49.10172376,-122.72353775
331,SHEN-APFUUQ,Cooking Secret Restaurant,2982 152 St,Surrey,Restaurant,49.05569682,-122.80090882
332,SHEN-ABJUB9,Corner Cafe,19415 56 Ave,Surrey,Restaurant,49.10463067,-122.68521544
333,SDFO-8L4T27,Corporate Classic Caterers,14033 92 Ave,Surrey,Restaurant,49.17027007,-122.83238285
334,JDSO-ACMLL6,Corporate Classic Caterers (Nav Canada),7421 135 St,Surrey,Restaurant,49.13725773,-122.84865173
335,SWOD-A58ML4,Corporate Classics Caterers,14123 92 Ave,Surrey,Restaurant,49.1702696,-122.83101089
336,GEDS-6N4UKL,Costco Wholesale (Surrey) Snack Bar,7423 King George Blvd,Surrey,Restaurant,49.13844942,-122.84597685
337,SHEN-APFPYJ,Cranked,16780 64 Ave,Surrey,Restaurant,49.11868842,-122.75753449
338,GEDS-858UK4,Cranked Sports Supplements,7130 120 St,Surrey,Restaurant,49.13256483,-122.88946309
339,NDAA-ALQN84,Crawford Manor,10010 128 St,Surrey,Restaurant,49.18468154,-122.86738782
340,GEDS-72NPVF,Creekside Withdrawal Management Centre,13740 94A Ave,Surrey,Restaurant,49.17451181,-122.84205001
341,A017534    ,Crescent Beach Bistro,12251 Beecher St,Surrey,Restaurant,49.05283008,-122.88240408
342,A016603    ,Crescent Beach Yacht Club,12555 Crescent Rd,Surrey,Restaurant,49.05628746,-122.87133071
343,GEDS-78FNZB,Crescent Coffee House,12219 Beecher St,Surrey,Restaurant,49.05263184,-122.88326666
344,GEDS-6E3N2T,Crescent Gardens Food Service,1222 King George Blvd,Surrey,Restaurant,49.02445374,-122.76678998
345,SPLH-A9UTKA,Crescent Harbour House Restaurant,12233 Beecher St,Surrey,Restaurant,49.05269948,-122.88304641
346,SYOG-5M59J9,CRESST South Fraser,13525 98 Ave,Surrey,Restaurant,49.1806863,-122.84761777
347,SPLH-987TB4,Crispy Falafel (Surrey),2408 King George Blvd,Surrey,Restaurant,49.04586836,-122.79332917
348,GEDS-83VU7U,Crown Palace Banquet Hall,12025 Nordel Way,Surrey,Restaurant,49.16237241,-122.8888952
349,A018956    ,Croydon Villa Food Service,2828 Croydon Dr,Surrey,Restaurant,49.05339555,-122.79319728
350,HCAR-AVKSJF,Crustos Pizza & Wings,8910 120 St,Surrey,Restaurant,49.16515223,-122.89006953
351,SHEN-A85RZ3,Crystal Ball Room/Crystal Banquet Hall,12888 80 Ave,Surrey,Restaurant,49.14799486,-122.86604834
352,SPLH-987TJ5,Cuatro Coffee,9014 152 St,Surrey,Restaurant,49.16697429,-122.79924081
353,GEDS-6ZHTCN,Cuisine and Company,3487 King George Blvd,Surrey,Restaurant,49.06520259,-122.8184368
354,NDAA-9KHSD9,Cultive Frozen Yogurt,2940 King George Blvd,Surrey,Restaurant,49.05558062,-122.80546001
355,NDAA-9B2SJL,Cultures,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
356,SHEN-9ZGSYW,Cupcakes (Surrey),10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
357,NDAA-9QSVRT,Cupcakes by Heather and Lori,2438 160 St,Surrey,Restaurant,49.04681178,-122.77880291
358,SHEN-A7GVK6,Curry & Kabab Indian Cuisine,7500 120 St,Surrey,Restaurant,49.13913715,-122.8900684
359,NDAA-9H3PTE,Curry Indian Cuisine,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
360,ACAK-8XGSPG,Curry Sensation Indian Restaurant,2828 152 St,Surrey,Restaurant,49.05326246,-122.80090544
361,GEDS-7ELNSQ,Czorny Alzheimer Centre - Main Kitchen,16850 66 Ave,Surrey,Restaurant,49.12241117,-122.75508657
362,A019953    ,D-Plus Pizza (152nd Ave),9547 152 St,Surrey,Restaurant,49.17590414,-122.80128332
363,MARO-AWUQ2U,D-Plus Pizza (192nd St),7228 192 St,Surrey,Restaurant,49.13415694,-122.69047175
364,GEDS-5Z5PM3,D-Plus Pizza (88th Ave),13588 88 Ave,Surrey,Restaurant,49.16252802,-122.84686461
365,SDFO-8ESVZE,D-Plus Pizza (Fraser Hwy),15933 Fraser Hwy,Surrey,Restaurant,49.15909621,-122.78079001
366,ACAK-8UASYF,D-Plus Pizza (King George Blvd),10207 King George Blvd,Surrey,Restaurant,49.18799242,-122.8460614
367,GEDS-66RRQQ,Dad's Bistro,12411 King George Blvd,Surrey,Restaurant,49.20660045,-122.87798388
368,JDSO-ACANKX,Dad's Donair & Specialty Foods,15989 108 Ave,Surrey,Restaurant,49.19896015,-122.77929824
369,SPLH-9P7SUH,Dae-Ji,15940 Fraser Hwy,Surrey,Restaurant,49.15704507,-122.78096494
370,GEDS-7WDP3L,Dairy Queen #26978,14741 108 Ave,Surrey,Restaurant,49.19889005,-122.81387986
371,A019545    ,Dairy Queen #27001,9436 King George Blvd,Surrey,Restaurant,49.17441007,-122.84552392
372,A017823    ,Dairy Queen #27109,7115 138 St,Surrey,Restaurant,49.1320397,-122.83918107
373,ACAK-8VATBP,Dairy Queen #27172,9110 152 St,Surrey,Restaurant,49.16855491,-122.80106785
374,GEDS-7BJQJ5,Dairy Queen #27173,2071 152 St,Surrey,Restaurant,49.03961998,-122.80145099
375,GEDS-744NQ8,Dairy Queen #27268,17720 56 Ave,Surrey,Restaurant,49.10399592,-122.73182925
376,GEDS-7VRLJL,Dairy Queen #27348,5630 152 St,Surrey,Restaurant,49.10523388,-122.80044714
377,NDAA-9BHSZE,Dairy Queen Treat Centre Guildford,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
378,SWOD-AFPMMZ,Dana Hospitality-Life Labs (Surrey),7455 130 St,Surrey,Restaurant,49.13852906,-122.86201728
379,A017345    ,Danica's Bistro,1959 152 St,Surrey,Restaurant,49.03727504,-122.80146689
380,SHEN-AGNP8P,Darbar Sri Guru Granth Sahibji Surrey,8820 168 St,Surrey,Restaurant,49.16347571,-122.75631461
381,SHEN-ABYQX2,Dasarang Chicken,10320 152 St,Surrey,Restaurant,49.19010913,-122.80059715
382,SWOD-APPTA7,Dashiwa Sushi Japanese Restaurant,6351 152 St,Surrey,Restaurant,49.11798242,-122.80127608
383,SWOD-9YXP6Z,Davids Tea (Morgan Crossing),15755 Croydon Dr,Surrey,Restaurant,49.04581558,-122.78293616
384,SWOD-AHBPCH,Dawood's Meat & Pizzaria,14620 64 Ave,Surrey,Restaurant,49.11892615,-122.81709905
385,SHEN-AGKN8N,DBD Food Services,5337 180 St,Surrey,Restaurant,49.09979624,-122.72419535
386,NDAA-9ENPGX,DDDN Pizza,16033 108 Ave,Surrey,Restaurant,49.1989669,-122.77775438
387,SPLH-9KJPHF,De Dutch #10,2433 161A St,Surrey,Restaurant,49.04668069,-122.77530164
388,GEDS-74ZNBL,De Dutch Pannekoek House #22,5630 176 St,Surrey,Restaurant,49.10466194,-122.73475791
389,A019941    ,De Dutch Pannekoek House #25,7310 120 St,Surrey,Restaurant,49.1357896,-122.89000833
390,LCAL-7FFQXD,De Dutch Pannekoek House (Fraser Hwy),15235 Fraser Hwy,Surrey,Restaurant,49.16586259,-122.80028219
391,A019364    ,Delitalia Fine Foods,1629 128 St,Surrey,Restaurant,49.03178116,-122.86773823
392,A020396    ,Dell Lanes,10576 King George Blvd,Surrey,Restaurant,49.1952329,-122.84492543
393,A019000    ,Delrios,1669 128 St,Surrey,Restaurant,49.03263244,-122.86780099
394,A019749    ,Delta Pizza,12921 84 Ave,Surrey,Restaurant,49.15557656,-122.86452158
395,SWOD-AHRUPK,Deluxe Noodle House,19255 Fraser Hwy,Surrey,Restaurant,49.11894729,-122.68943107
396,SHEN-AP5QBH,Denji Japanese Restaurant,6820 188 St,Surrey,Restaurant,49.1266045,-122.70143301
397,NDAA-A9ZQH8,Denny's Restaurant #9300,6850 King George Blvd,Surrey,Restaurant,49.12727733,-122.84516987
398,HCAR-ASQMHF,Desi Bites Restaurants,12877 80 Ave,Surrey,Restaurant,49.14842952,-122.86514353
399,DMIL-92PTGQ,Dhaliwal Bakery,12824 Anvil Way,Surrey,Restaurant,49.14451548,-122.86726053
400,GEDS-68RU3A,Dhaliwal Banquet Hall,8166 128 St,Surrey,Restaurant,49.15130553,-122.86739367
401,A019805    ,Dhaliwal Sweets Ltd,8430 128 St,Surrey,Restaurant,49.15584278,-122.86769842
402,A018261    ,Dhoom Restaurant & Bar,7938 128 St,Surrey,Restaurant,49.14687516,-122.86577071
403,SDFO-8MXQXX,Di Reggae Cafe,13593 King George Blvd,Surrey,Restaurant,49.19931401,-122.84556469
404,NDAA-9DNQLJ,Diamond Sweets & Restaurant,7228 192 St,Surrey,Restaurant,49.13415694,-122.69047175
405,SDFO-8G4L6D,Diamond Sweets and Restaurant,15933 Fraser Hwy,Surrey,Restaurant,49.15909621,-122.78079001
406,SNOE-AE2SZG,Divine Delicacies,13483 78 Ave,Surrey,Restaurant,49.14465398,-122.84850041
407,NDAA-92MTDP,Domino's Pizza #10024,19475 Fraser Hwy,Surrey,Restaurant,49.11542665,-122.68277875
408,GEDS-6TSPYU,Domino's Pizza #10027,10346 Whalley Blvd,Surrey,Restaurant,49.19068709,-122.84170662
409,HCAR-ATHRE5,Domino's Pizza #10063,9450 120 St,Surrey,Restaurant,49.17459759,-122.88900451
410,NDAA-9PPT45,Domino's Pizza #10085,13391 72 Ave,Surrey,Restaurant,49.13381399,-122.85191173
411,NDAA-94NRF7,Domino's Pizza #10088,2389 King George Blvd,Surrey,Restaurant,49.04498218,-122.79437051
412,HCAR-AWLS36,Don Asian Kitchen,2181 160 St,Surrey,Restaurant,49.04158125,-122.77956356
413,SHEN-9YPQN6,Don Chepe's Restaurant,13780 104 Ave,Surrey,Restaurant,49.19140671,-122.8405099
414,SHEN-9SSP8G,Donair Affair,12080 Nordel Way,Surrey,Restaurant,49.16109806,-122.8886041
415,JDSO-AD4M9J,Donair Affair,14350 64 Ave,Surrey,Restaurant,49.11891915,-122.82462973
416,RORS-63QTKM,Donair Affair (Surrey),10786 148 St,Surrey,Restaurant,49.19809906,-122.81225654
417,SWOD-9XJUAY,Donegal's Pub,12054 96 Ave,Surrey,Restaurant,49.17699459,-122.88759089
418,GLAE-9WERHV,Doni Korean Restaurant,10592 King George Blvd,Surrey,Restaurant,49.19548888,-122.84419132
419,ACAK-96MQ4H,Dragon Lounge,17755 60 Ave,Surrey,Restaurant,49.11171557,-122.72963312
420,GEDS-69UQZB,Dragon Village Restaurant,5678 176 St,Surrey,Restaurant,49.10561084,-122.73476688
421,NDAA-8WZLHY,Dragon's Chop Suey House,16055 Fraser Hwy,Surrey,Restaurant,49.1569391,-122.77710268
422,GEDS-6XLQY8,Dublin Crossing Irish Pub,18789 Fraser Hwy,Surrey,Restaurant,49.12428644,-122.70225806
423,A020308    ,Eagle Quest Golf Centers Creekside Grill,7778 152 St,Surrey,Restaurant,49.14390528,-122.80072227
424,A019772    ,Eagle Quest Golf Centers Main Banquet Kitchen,7778 152 St,Surrey,Restaurant,49.14390528,-122.80072227
425,A020375    ,Earl Marriott Secondary School Food Service,15751 16 Ave,Surrey,Restaurant,49.03126025,-122.78544102
426,GEDS-6ACQMD,Earl's Guildford,10160 152 St,Surrey,Restaurant,49.18699498,-122.80051348
427,NDAA-9RPTJE,East West Fusion Kitchen,12043 88 Ave,Surrey,Restaurant,49.16338853,-122.88908594
428,NDAA-A9KPX4,Easy Grill,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
429,NDAA-95LSNV,Edith and Arthur Public House,8410 160 St,Surrey,Restaurant,49.1556693,-122.77858695
430,NDAA-9QTQG2,Edo Japan,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
431,ACAK-96MPZY,Elements Casino - Diamond Buffet,17755 60 Ave,Surrey,Restaurant,49.11171557,-122.72963312
432,ACAK-96MPND,Elements Casino - Foodies,17755 60 Ave,Surrey,Restaurant,49.11171557,-122.72963312
433,A017781    ,Elements Casino - Homestretch,17755 60 Ave,Surrey,Restaurant,49.11171557,-122.72963312
434,ACAK-96MQ7L,Elements Casino - Main Kitchen,17755 60 Ave,Surrey,Restaurant,49.11171557,-122.72963312
435,NDAA-A6USGM,Elements Casino - Molson Canadian Lounge,17755 60 Ave,Surrey,Restaurant,49.11171557,-122.72963312
436,ACAK-96MPWQ,Elements Casino - Poker Room,17755 60 Ave,Surrey,Restaurant,49.11171557,-122.72963312
437,A018637    ,Elena's Country Kitchen,5630 176 St,Surrey,Restaurant,49.10466194,-122.73475791
438,PNEL-8QKM26,Elevation Fitness,15110 54A Ave,Surrey,Restaurant,49.10151119,-122.80270892
439,RORS-5UYPM9,Elgin Park Secondary School Cafeteria,13484 24 Ave,Surrey,Restaurant,49.04555246,-122.84858872
440,GEDS-6G2STZ,Elim Village - The Emerald Food Service,9080 158 St,Surrey,Restaurant,49.16792415,-122.78434432
441,SDFO-88VT2K,Elisabeth's Chalet Restaurant,17785 56 Ave,Surrey,Restaurant,49.1042963,-122.72986665
442,SHEN-AASVAD,Elvis Pizza,14916 104 Ave,Surrey,Restaurant,49.19133805,-122.80824716
443,A013790    ,Enver Creek Secondary School Cafeteria,14505 84 Ave,Surrey,Restaurant,49.15582818,-122.8202501
444,GEDS-6N4RWE,Espresso Cafe,7330 137 St,Surrey,Restaurant,49.13602606,-122.84257911
445,GEDS-7HXQ8S,Esquires Coffee House (Crescent Rd),12823 Crescent Rd,Surrey,Restaurant,49.05320652,-122.86698325
446,A020410    ,Esso Whalley - Tim Hortons,10416 King George Blvd,Surrey,Restaurant,49.19204825,-122.84506736
447,KSMH-AK2REG,Ethical Addiction,1558 128 St,Surrey,Restaurant,49.03060606,-122.86736234
448,A019867    ,Eurest Dining Services #63384,16705 Fraser Hwy,Surrey,Restaurant,49.14956759,-122.75800969
449,SHEN-APFPTJ,Everbean,15331 16 Ave,Surrey,Restaurant,49.03132543,-122.79862524
450,A018173    ,Evergreen Hamlets - Main Kitchen,8382 156 St,Surrey,Restaurant,49.15520885,-122.78984905
451,SHEN-AU9QAR,Fab Burgers,7320 137 St,Surrey,Restaurant,49.13598565,-122.84267962
452,SWOD-A3VQMW,Famoso Guildford,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
453,NDAA-9HDSBY,Famoso Neapolitan,15865 Croydon Dr,Surrey,Restaurant,49.04587135,-122.78245943
454,SHEN-A34Q6W,Fast Donair & Falafel,6820 188 St,Surrey,Restaurant,49.1266045,-122.70143301
455,NDAA-9GA28R,Fatburger (Surrey),1750 152 St,Surrey,Restaurant,49.03414465,-122.80097274
456,HCAR-AUQP2U,Fatburger at Grandview Corner,16070 24 Ave,Surrey,Restaurant,49.04520078,-122.77735281
457,GEDS-6YDQLJ,Fieldstone Artisan Breads,12823 Crescent Rd,Surrey,Restaurant,49.05320652,-122.86698325
458,NDAA-8R8UMV,Fiji Canada Association,13629 108 Ave,Surrey,Restaurant,49.19896859,-122.8443615
459,HCAR-ASRQ6K,Fiona's Playdate Cafe,6820 188 St,Surrey,Restaurant,49.1266045,-122.70143301
460,GEDS-7E5PJ5,Fish Net #1,12211 Beecher St,Surrey,Restaurant,49.0525937,-122.8836791
461,PLAE-7SQTAA,Five Corner Convenience,5989 168 St,Surrey,Restaurant,49.11117004,-122.75683844
462,SDFO-87TMCK,Five Guys Burgers & Fries,2245 160 St,Surrey,Restaurant,49.04289123,-122.77955252
463,A018410    ,Fleetwood Park Fastpitch Concession,15802 80 Ave,Surrey,Restaurant,49.14807967,-122.7831528
464,A016980    ,Fleetwood Park Secondary School,7940 156 St,Surrey,Restaurant,49.14718681,-122.78983897
465,LCAL-64WQUJ,Fleetwood Place Food Service,16011 83rd Ave,Surrey,Restaurant,49.15378461,-122.77798853
466,SHEN-9SGNXL,Fleetwood Sushi Restaurant,15930 Fraser Hwy,Surrey,Restaurant,49.15706506,-122.78187991
467,GEDS-69UQBR,Fleetwood Triple O,15588 Fraser Hwy,Surrey,Restaurant,49.1617117,-122.79063133
468,GEDS-6DLT74,Fleetwood Villa Food Service,16028 83rd Ave,Surrey,Restaurant,49.15344194,-122.77802813
469,NDAA-9QCMD8,Flex Fitness Club,7130 120 St,Surrey,Restaurant,49.13256483,-122.88946309
470,A018553    ,Fong's Eatery,12308 Beecher St,Surrey,Restaurant,49.05281221,-122.88084142
471,GEDS-65SNSU,Fortune Wok (Surrey),1711 152 St,Surrey,Restaurant,49.0331143,-122.80166897
472,NDAA-948T7W,Four Seasons,14351 104 Ave,Surrey,Restaurant,49.19172759,-122.82418348
