,CRE_DATE,MOD_DATE,ROADEDGE_TYPE,ROADEDGE_TYPE_2
12900,,20121212,8,"Paved, 2 Lane, Undivided"
12901,,20121212,8,"Paved, 2 Lane, Undivided"
12902,,20121212,8,"Paved, 2 Lane, Undivided"
12903,,20121212,8,"Paved, 2 Lane, Undivided"
12904,,20121213,8,"Paved, 2 Lane, Undivided"
12905,,20121213,8,"Paved, 2 Lane, Undivided"
12906,,20121213,8,"Paved, 2 Lane, Undivided"
12907,,20121213,8,"Paved, 2 Lane, Undivided"
12908,,20121214,8,"Paved, 2 Lane, Undivided"
12909,,20121219,8,"Paved, 2 Lane, Undivided"
12910,,20121219,8,"Paved, 2 Lane, Undivided"
12911,,20121220,8,"Paved, 2 Lane, Undivided"
12912,,20121221,8,"Paved, 2 Lane, Undivided"
12913,,20121221,8,"Paved, 2 Lane, Undivided"
12914,,20121221,8,"Paved, 2 Lane, Undivided"
12915,,20121224,11,"Paved, 4 Lane, Undivided"
12916,,20121224,11,"Paved, 4 Lane, Undivided"
12917,,20130108,8,"Paved, 2 Lane, Undivided"
12918,,20130108,8,"Paved, 2 Lane, Undivided"
12919,,20130108,8,"Paved, 2 Lane, Undivided"
12920,,20130108,4,Lane
12921,,20130108,4,Lane
12922,,20130108,8,"Paved, 2 Lane, Undivided"
12923,20130108,20130108,8,"Paved, 2 Lane, Undivided"
12924,,20130109,8,"Paved, 2 Lane, Undivided"
12925,,20130109,8,"Paved, 2 Lane, Undivided"
12926,,20130111,8,"Paved, 2 Lane, Undivided"
12927,,20130111,8,"Paved, 2 Lane, Undivided"
12928,,20130111,8,"Paved, 2 Lane, Undivided"
12929,20130111,20130111,8,"Paved, 2 Lane, Undivided"
12930,,20130115,4,Lane
12931,,20130115,4,Lane
12932,,20130115,8,"Paved, 2 Lane, Undivided"
12933,,20130116,11,"Paved, 4 Lane, Undivided"
12934,,20130117,4,Lane
12935,,20130117,8,"Paved, 2 Lane, Undivided"
12936,20130117,20130117,8,"Paved, 2 Lane, Undivided"
12937,,20130118,8,"Paved, 2 Lane, Undivided"
12938,,20130118,8,"Paved, 2 Lane, Undivided"
12939,,20130118,8,"Paved, 2 Lane, Undivided"
12940,,20130118,8,"Paved, 2 Lane, Undivided"
12941,,20130118,8,"Paved, 2 Lane, Undivided"
12942,,20130118,8,"Paved, 2 Lane, Undivided"
12943,,20130118,8,"Paved, 2 Lane, Undivided"
12944,,20130118,8,"Paved, 2 Lane, Undivided"
12945,,20130118,6,On / Off Ramp
12946,,20130118,6,On / Off Ramp
12947,,20130118,8,"Paved, 2 Lane, Undivided"
12948,,20130121,8,"Paved, 2 Lane, Undivided"
12949,,20130121,8,"Paved, 2 Lane, Undivided"
12950,,20130121,8,"Paved, 2 Lane, Undivided"
12951,,20130121,8,"Paved, 2 Lane, Undivided"
12952,20130121,20130121,8,"Paved, 2 Lane, Undivided"
12953,20130121,20130121,8,"Paved, 2 Lane, Undivided"
12954,20130121,20130121,8,"Paved, 2 Lane, Undivided"
12955,,20130124,8,"Paved, 2 Lane, Undivided"
12956,,20130124,8,"Paved, 2 Lane, Undivided"
12957,,20130124,4,Lane
12958,,20130124,4,Lane
12959,,20130124,8,"Paved, 2 Lane, Undivided"
12960,,20130124,8,"Paved, 2 Lane, Undivided"
12961,20120529,20130125,8,"Paved, 2 Lane, Undivided"
12962,,20130130,4,Lane
12963,,20130130,4,Lane
12964,,20130130,8,"Paved, 2 Lane, Undivided"
12965,20130130,,8,"Paved, 2 Lane, Undivided"
12966,,20130130,8,"Paved, 2 Lane, Undivided"
12967,,20130206,10,"Paved, 4 Lane, Divided"
12968,,20130206,6,On / Off Ramp
12969,,20130206,8,"Paved, 2 Lane, Undivided"
12970,,20130206,9,"Paved, 3 Lane"
12971,,20130206,8,"Paved, 2 Lane, Undivided"
12972,,20130206,10,"Paved, 4 Lane, Divided"
12973,,20130212,8,"Paved, 2 Lane, Undivided"
12974,20130212,20130212,8,"Paved, 2 Lane, Undivided"
12975,,20130212,8,"Paved, 2 Lane, Undivided"
12976,,20130212,8,"Paved, 2 Lane, Undivided"
12977,,20130212,8,"Paved, 2 Lane, Undivided"
12978,20130212,20130212,8,"Paved, 2 Lane, Undivided"
12979,,20130214,8,"Paved, 2 Lane, Undivided"
12980,,20130214,8,"Paved, 2 Lane, Undivided"
12981,,20130214,8,"Paved, 2 Lane, Undivided"
12982,,20130214,8,"Paved, 2 Lane, Undivided"
12983,20130214,20130214,8,"Paved, 2 Lane, Undivided"
12984,20130214,20130214,8,"Paved, 2 Lane, Undivided"
12985,,20130214,8,"Paved, 2 Lane, Undivided"
12986,,20130215,4,Lane
12987,,20130215,4,Lane
12988,20130214,20130215,8,"Paved, 2 Lane, Undivided"
12989,20130215,20130215,8,"Paved, 2 Lane, Undivided"
12990,,20130215,8,"Paved, 2 Lane, Undivided"
12991,,20130301,11,"Paved, 4 Lane, Undivided"
12992,,20130301,8,"Paved, 2 Lane, Undivided"
12993,,20130301,11,"Paved, 4 Lane, Undivided"
12994,,20130301,11,"Paved, 4 Lane, Undivided"
12995,,20130301,11,"Paved, 4 Lane, Undivided"
12996,,20130307,10,"Paved, 4 Lane, Divided"
12997,,20130307,8,"Paved, 2 Lane, Undivided"
12998,,20130307,8,"Paved, 2 Lane, Undivided"
12999,,20130307,8,"Paved, 2 Lane, Undivided"
13000,,20130307,8,"Paved, 2 Lane, Undivided"
13001,,20130307,8,"Paved, 2 Lane, Undivided"
13002,,20130307,8,"Paved, 2 Lane, Undivided"
13003,,20130308,8,"Paved, 2 Lane, Undivided"
13004,,20130308,8,"Paved, 2 Lane, Undivided"
13005,,20130308,8,"Paved, 2 Lane, Undivided"
13006,,20130308,8,"Paved, 2 Lane, Undivided"
13007,,20130308,8,"Paved, 2 Lane, Undivided"
13008,,20130308,8,"Paved, 2 Lane, Undivided"
13009,20130308,20130308,8,"Paved, 2 Lane, Undivided"
13010,,20130308,8,"Paved, 2 Lane, Undivided"
13011,,20130308,8,"Paved, 2 Lane, Undivided"
13012,,20130308,8,"Paved, 2 Lane, Undivided"
13013,,20130308,8,"Paved, 2 Lane, Undivided"
13014,20130312,20130312,8,"Paved, 2 Lane, Undivided"
13015,,20130312,8,"Paved, 2 Lane, Undivided"
13016,20130312,20130312,8,"Paved, 2 Lane, Undivided"
13017,20130312,20130312,8,"Paved, 2 Lane, Undivided"
13018,,20130312,8,"Paved, 2 Lane, Undivided"
13019,,20130312,8,"Paved, 2 Lane, Undivided"
13020,,20130314,8,"Paved, 2 Lane, Undivided"
13021,,20130314,8,"Paved, 2 Lane, Undivided"
13022,,20130314,8,"Paved, 2 Lane, Undivided"
13023,20130314,,8,"Paved, 2 Lane, Undivided"
13024,20130320,20130320,8,"Paved, 2 Lane, Undivided"
13025,,20130322,10,"Paved, 4 Lane, Divided"
13026,,20130322,10,"Paved, 4 Lane, Divided"
13027,,20130326,8,"Paved, 2 Lane, Undivided"
13028,,20130404,8,"Paved, 2 Lane, Undivided"
13029,,20130404,8,"Paved, 2 Lane, Undivided"
13030,,20130405,8,"Paved, 2 Lane, Undivided"
13031,,20130405,8,"Paved, 2 Lane, Undivided"
13032,,20130405,8,"Paved, 2 Lane, Undivided"
13033,,20130410,3,"Gravel, 2 Lane, Undivided"
13034,20130410,20130410,8,"Paved, 2 Lane, Undivided"
13035,20130410,20130410,8,"Paved, 2 Lane, Undivided"
13036,,20130410,8,"Paved, 2 Lane, Undivided"
13037,,20130416,8,"Paved, 2 Lane, Undivided"
13038,,20130416,10,"Paved, 4 Lane, Divided"
13039,,20130417,8,"Paved, 2 Lane, Undivided"
13040,20130418,20130418,8,"Paved, 2 Lane, Undivided"
13041,20130418,20130418,8,"Paved, 2 Lane, Undivided"
13042,,20130424,8,"Paved, 2 Lane, Undivided"
13043,,20130424,8,"Paved, 2 Lane, Undivided"
13044,20130320,20130429,8,"Paved, 2 Lane, Undivided"
13045,,20130429,8,"Paved, 2 Lane, Undivided"
13046,,20130502,8,"Paved, 2 Lane, Undivided"
13047,,20130502,8,"Paved, 2 Lane, Undivided"
13048,20130502,20130502,8,"Paved, 2 Lane, Undivided"
13049,,20130503,6,On / Off Ramp
13050,,20130503,6,On / Off Ramp
13051,,20130503,8,"Paved, 2 Lane, Undivided"
13052,,20130507,8,"Paved, 2 Lane, Undivided"
13053,,20130507,8,"Paved, 2 Lane, Undivided"
13054,20130502,20130507,8,"Paved, 2 Lane, Undivided"
13055,,20130507,8,"Paved, 2 Lane, Undivided"
13056,,20130507,8,"Paved, 2 Lane, Undivided"
13057,20130506,20130508,8,"Paved, 2 Lane, Undivided"
13058,20130506,20130508,8,"Paved, 2 Lane, Undivided"
13059,,20130509,8,"Paved, 2 Lane, Undivided"
13060,,20130509,4,Lane
13061,,20130509,4,Lane
13062,,20130513,8,"Paved, 2 Lane, Undivided"
13063,,20130514,8,"Paved, 2 Lane, Undivided"
13064,,20130514,8,"Paved, 2 Lane, Undivided"
13065,,20130514,8,"Paved, 2 Lane, Undivided"
13066,,20130516,8,"Paved, 2 Lane, Undivided"
13067,20130517,,8,"Paved, 2 Lane, Undivided"
13068,,20130523,8,"Paved, 2 Lane, Undivided"
13069,,20130523,8,"Paved, 2 Lane, Undivided"
13070,20130523,20130523,8,"Paved, 2 Lane, Undivided"
13071,20130523,20130523,8,"Paved, 2 Lane, Undivided"
13072,,20130527,8,"Paved, 2 Lane, Undivided"
13073,,20130527,8,"Paved, 2 Lane, Undivided"
13074,20130527,20130527,8,"Paved, 2 Lane, Undivided"
13075,20130527,20130527,8,"Paved, 2 Lane, Undivided"
13076,,20130529,8,"Paved, 2 Lane, Undivided"
13077,20130529,20130529,8,"Paved, 2 Lane, Undivided"
13078,,20130529,8,"Paved, 2 Lane, Undivided"
13079,20130604,,8,"Paved, 2 Lane, Undivided"
13080,,20130604,8,"Paved, 2 Lane, Undivided"
13081,,20130619,8,"Paved, 2 Lane, Undivided"
13082,,20130621,8,"Paved, 2 Lane, Undivided"
13083,,20130621,8,"Paved, 2 Lane, Undivided"
13084,,20130624,8,"Paved, 2 Lane, Undivided"
13085,20130624,20130624,8,"Paved, 2 Lane, Undivided"
13086,,20130624,8,"Paved, 2 Lane, Undivided"
13087,,20130624,8,"Paved, 2 Lane, Undivided"
13088,,20130703,8,"Paved, 2 Lane, Undivided"
13089,,20130704,8,"Paved, 2 Lane, Undivided"
13090,,20130704,8,"Paved, 2 Lane, Undivided"
13091,20130704,20130704,10,"Paved, 4 Lane, Divided"
13092,,20130705,8,"Paved, 2 Lane, Undivided"
13093,,20130705,4,Lane
13094,20130705,20130705,8,"Paved, 2 Lane, Undivided"
13095,,20130705,8,"Paved, 2 Lane, Undivided"
13096,,20130705,10,"Paved, 4 Lane, Divided"
13097,20130705,20130705,8,"Paved, 2 Lane, Undivided"
13098,,20130708,2,"Gravel, 1 Lane, Undivided"
13099,,20130708,2,"Gravel, 1 Lane, Undivided"
13100,,20130708,8,"Paved, 2 Lane, Undivided"
13101,,20130708,8,"Paved, 2 Lane, Undivided"
13102,,20130708,8,"Paved, 2 Lane, Undivided"
