,CRE_DATE,MOD_DATE,ROADEDGE_TYPE,ROADEDGE_TYPE_2
0,,,8,"Paved, 2 Lane, Undivided"
1,,,12,Rough Road
2,,,8,"Paved, 2 Lane, Undivided"
3,,,4,Lane
4,,,8,"Paved, 2 Lane, Undivided"
5,,,8,"Paved, 2 Lane, Undivided"
6,,,8,"Paved, 2 Lane, Undivided"
7,,,8,"Paved, 2 Lane, Undivided"
8,,,4,Lane
9,,,8,"Paved, 2 Lane, Undivided"
10,,,10,"Paved, 4 Lane, Divided"
11,,,11,"Paved, 4 Lane, Undivided"
12,,,4,Lane
13,,,11,"Paved, 4 Lane, Undivided"
14,,,8,"Paved, 2 Lane, Undivided"
15,,,11,"Paved, 4 Lane, Undivided"
16,,,8,"Paved, 2 Lane, Undivided"
17,,,8,"Paved, 2 Lane, Undivided"
18,,,3,"Gravel, 2 Lane, Undivided"
19,,,8,"Paved, 2 Lane, Undivided"
20,,,8,"Paved, 2 Lane, Undivided"
21,,,10,"Paved, 4 Lane, Divided"
22,,,4,Lane
23,,,8,"Paved, 2 Lane, Undivided"
24,,,8,"Paved, 2 Lane, Undivided"
25,,,0,Overpass
26,,,0,Overpass
27,,,8,"Paved, 2 Lane, Undivided"
28,,,8,"Paved, 2 Lane, Undivided"
29,,,8,"Paved, 2 Lane, Undivided"
30,,,8,"Paved, 2 Lane, Undivided"
31,,,8,"Paved, 2 Lane, Undivided"
32,,,8,"Paved, 2 Lane, Undivided"
33,,,12,Rough Road
34,,,8,"Paved, 2 Lane, Undivided"
35,,,8,"Paved, 2 Lane, Undivided"
36,,,8,"Paved, 2 Lane, Undivided"
37,,,4,Lane
38,,,8,"Paved, 2 Lane, Undivided"
39,,,4,Lane
40,,,4,Lane
41,,,4,Lane
42,,,10,"Paved, 4 Lane, Divided"
43,,,8,"Paved, 2 Lane, Undivided"
44,,,8,"Paved, 2 Lane, Undivided"
45,,,8,"Paved, 2 Lane, Undivided"
46,,,12,Rough Road
47,,,12,Rough Road
48,,,4,Lane
49,,,8,"Paved, 2 Lane, Undivided"
50,,,8,"Paved, 2 Lane, Undivided"
51,,,8,"Paved, 2 Lane, Undivided"
52,,,3,"Gravel, 2 Lane, Undivided"
53,,,8,"Paved, 2 Lane, Undivided"
54,,,8,"Paved, 2 Lane, Undivided"
55,,,12,Rough Road
56,,,4,Lane
57,,,8,"Paved, 2 Lane, Undivided"
58,,,8,"Paved, 2 Lane, Undivided"
59,,,4,Lane
60,,,8,"Paved, 2 Lane, Undivided"
61,,,8,"Paved, 2 Lane, Undivided"
62,,,8,"Paved, 2 Lane, Undivided"
63,,,8,"Paved, 2 Lane, Undivided"
64,,,4,Lane
65,,,8,"Paved, 2 Lane, Undivided"
66,,,8,"Paved, 2 Lane, Undivided"
67,,,2,"Gravel, 1 Lane, Undivided"
68,,,8,"Paved, 2 Lane, Undivided"
69,,,8,"Paved, 2 Lane, Undivided"
70,,,0,Overpass
71,,,12,Rough Road
72,,,8,"Paved, 2 Lane, Undivided"
73,,,8,"Paved, 2 Lane, Undivided"
74,,,8,"Paved, 2 Lane, Undivided"
75,,,10,"Paved, 4 Lane, Divided"
76,,,8,"Paved, 2 Lane, Undivided"
77,,,8,"Paved, 2 Lane, Undivided"
78,,,8,"Paved, 2 Lane, Undivided"
79,,,8,"Paved, 2 Lane, Undivided"
80,,,8,"Paved, 2 Lane, Undivided"
81,,,8,"Paved, 2 Lane, Undivided"
82,,,10,"Paved, 4 Lane, Divided"
83,,,8,"Paved, 2 Lane, Undivided"
84,,,11,"Paved, 4 Lane, Undivided"
85,,,12,Rough Road
86,,,10,"Paved, 4 Lane, Divided"
87,,,8,"Paved, 2 Lane, Undivided"
88,,,12,Rough Road
89,,,8,"Paved, 2 Lane, Undivided"
90,,,8,"Paved, 2 Lane, Undivided"
91,,,8,"Paved, 2 Lane, Undivided"
92,,,8,"Paved, 2 Lane, Undivided"
93,,,4,Lane
94,,,8,"Paved, 2 Lane, Undivided"
95,,,8,"Paved, 2 Lane, Undivided"
96,,,8,"Paved, 2 Lane, Undivided"
97,,,4,Lane
98,,,8,"Paved, 2 Lane, Undivided"
99,,,8,"Paved, 2 Lane, Undivided"
100,,,3,"Gravel, 2 Lane, Undivided"
101,,,12,Rough Road
102,,,8,"Paved, 2 Lane, Undivided"
103,,,6,On / Off Ramp
104,,,8,"Paved, 2 Lane, Undivided"
105,,,8,"Paved, 2 Lane, Undivided"
106,,,4,Lane
107,,,12,Rough Road
108,,,0,Overpass
109,,,4,Lane
110,,,8,"Paved, 2 Lane, Undivided"
111,,,6,On / Off Ramp
112,,,8,"Paved, 2 Lane, Undivided"
113,,,4,Lane
114,,,8,"Paved, 2 Lane, Undivided"
115,,,8,"Paved, 2 Lane, Undivided"
116,,,8,"Paved, 2 Lane, Undivided"
117,,,8,"Paved, 2 Lane, Undivided"
118,,,4,Lane
119,,,8,"Paved, 2 Lane, Undivided"
120,,,10,"Paved, 4 Lane, Divided"
121,,,4,Lane
122,,,4,Lane
123,,,8,"Paved, 2 Lane, Undivided"
124,,,12,Rough Road
125,,,8,"Paved, 2 Lane, Undivided"
126,,,4,Lane
127,,,8,"Paved, 2 Lane, Undivided"
128,,,8,"Paved, 2 Lane, Undivided"
129,,,8,"Paved, 2 Lane, Undivided"
130,,,8,"Paved, 2 Lane, Undivided"
131,,,8,"Paved, 2 Lane, Undivided"
132,,,4,Lane
133,,,11,"Paved, 4 Lane, Undivided"
134,,,8,"Paved, 2 Lane, Undivided"
135,,,4,Lane
136,,,8,"Paved, 2 Lane, Undivided"
137,,,2,"Gravel, 1 Lane, Undivided"
138,,,8,"Paved, 2 Lane, Undivided"
139,,,10,"Paved, 4 Lane, Divided"
140,,,8,"Paved, 2 Lane, Undivided"
141,,,4,Lane
142,,,8,"Paved, 2 Lane, Undivided"
143,,,8,"Paved, 2 Lane, Undivided"
144,,,4,Lane
145,,,12,Rough Road
146,,,12,Rough Road
147,,,8,"Paved, 2 Lane, Undivided"
148,,,8,"Paved, 2 Lane, Undivided"
149,,,8,"Paved, 2 Lane, Undivided"
150,,,8,"Paved, 2 Lane, Undivided"
151,,,8,"Paved, 2 Lane, Undivided"
152,,,10,"Paved, 4 Lane, Divided"
153,,,4,Lane
154,,,8,"Paved, 2 Lane, Undivided"
155,,,4,Lane
156,,,11,"Paved, 4 Lane, Undivided"
157,,,8,"Paved, 2 Lane, Undivided"
158,,,8,"Paved, 2 Lane, Undivided"
159,,,10,"Paved, 4 Lane, Divided"
160,,,4,Lane
161,,,8,"Paved, 2 Lane, Undivided"
162,,,0,Overpass
163,,,12,Rough Road
164,,,8,"Paved, 2 Lane, Undivided"
165,,,4,Lane
166,,,8,"Paved, 2 Lane, Undivided"
167,,,10,"Paved, 4 Lane, Divided"
168,,,8,"Paved, 2 Lane, Undivided"
169,,,8,"Paved, 2 Lane, Undivided"
170,,,0,Overpass
171,,,8,"Paved, 2 Lane, Undivided"
172,,,4,Lane
173,,,8,"Paved, 2 Lane, Undivided"
174,,,12,Rough Road
175,,,4,Lane
176,,,0,Overpass
177,,,8,"Paved, 2 Lane, Undivided"
178,,,8,"Paved, 2 Lane, Undivided"
179,,,8,"Paved, 2 Lane, Undivided"
180,,,4,Lane
181,,,2,"Gravel, 1 Lane, Undivided"
182,,,8,"Paved, 2 Lane, Undivided"
183,,,8,"Paved, 2 Lane, Undivided"
184,,,8,"Paved, 2 Lane, Undivided"
185,,,11,"Paved, 4 Lane, Undivided"
186,,,4,Lane
187,,,8,"Paved, 2 Lane, Undivided"
188,,,10,"Paved, 4 Lane, Divided"
189,,,8,"Paved, 2 Lane, Undivided"
190,,,8,"Paved, 2 Lane, Undivided"
191,,,8,"Paved, 2 Lane, Undivided"
192,,,4,Lane
193,,,8,"Paved, 2 Lane, Undivided"
194,,,4,Lane
195,,,8,"Paved, 2 Lane, Undivided"
196,,,8,"Paved, 2 Lane, Undivided"
197,,,8,"Paved, 2 Lane, Undivided"
198,,,8,"Paved, 2 Lane, Undivided"
199,,,8,"Paved, 2 Lane, Undivided"
200,,,8,"Paved, 2 Lane, Undivided"
201,,,8,"Paved, 2 Lane, Undivided"
202,,,8,"Paved, 2 Lane, Undivided"
203,,,4,Lane
204,,,8,"Paved, 2 Lane, Undivided"
205,,,11,"Paved, 4 Lane, Undivided"
206,,,8,"Paved, 2 Lane, Undivided"
207,,,4,Lane
208,,,8,"Paved, 2 Lane, Undivided"
209,,,4,Lane
210,,,8,"Paved, 2 Lane, Undivided"
211,,,10,"Paved, 4 Lane, Divided"
212,,,8,"Paved, 2 Lane, Undivided"
213,,,8,"Paved, 2 Lane, Undivided"
214,,,8,"Paved, 2 Lane, Undivided"
215,,,8,"Paved, 2 Lane, Undivided"
216,,,8,"Paved, 2 Lane, Undivided"
217,,,12,Rough Road
218,,,8,"Paved, 2 Lane, Undivided"
219,,,8,"Paved, 2 Lane, Undivided"
220,,,8,"Paved, 2 Lane, Undivided"
221,,,8,"Paved, 2 Lane, Undivided"
222,,,10,"Paved, 4 Lane, Divided"
223,,,8,"Paved, 2 Lane, Undivided"
224,,,12,Rough Road
225,,,10,"Paved, 4 Lane, Divided"
226,,,8,"Paved, 2 Lane, Undivided"
227,,,8,"Paved, 2 Lane, Undivided"
228,,,8,"Paved, 2 Lane, Undivided"
229,,,10,"Paved, 4 Lane, Divided"
230,,,8,"Paved, 2 Lane, Undivided"
231,,,4,Lane
232,,,8,"Paved, 2 Lane, Undivided"
233,,,4,Lane
234,,,6,On / Off Ramp
235,,,8,"Paved, 2 Lane, Undivided"
236,,,12,Rough Road
237,,,8,"Paved, 2 Lane, Undivided"
238,,,4,Lane
239,,,4,Lane
240,,,12,Rough Road
241,,,8,"Paved, 2 Lane, Undivided"
242,,,10,"Paved, 4 Lane, Divided"
243,,,8,"Paved, 2 Lane, Undivided"
244,,,6,On / Off Ramp
245,,,12,Rough Road
246,,,8,"Paved, 2 Lane, Undivided"
247,,,8,"Paved, 2 Lane, Undivided"
248,,,0,Overpass
249,,,8,"Paved, 2 Lane, Undivided"
250,,,8,"Paved, 2 Lane, Undivided"
251,,,12,Rough Road
252,,,8,"Paved, 2 Lane, Undivided"
253,,,8,"Paved, 2 Lane, Undivided"
254,,,8,"Paved, 2 Lane, Undivided"
255,,,8,"Paved, 2 Lane, Undivided"
256,,,8,"Paved, 2 Lane, Undivided"
257,,,4,Lane
258,,,4,Lane
259,,,10,"Paved, 4 Lane, Divided"
260,,,8,"Paved, 2 Lane, Undivided"
261,,,8,"Paved, 2 Lane, Undivided"
262,,,4,Lane
263,,,4,Lane
264,,,4,Lane
265,,,8,"Paved, 2 Lane, Undivided"
266,,,8,"Paved, 2 Lane, Undivided"
267,,,8,"Paved, 2 Lane, Undivided"
268,,,11,"Paved, 4 Lane, Undivided"
269,,,8,"Paved, 2 Lane, Undivided"
270,,,4,Lane
271,,,8,"Paved, 2 Lane, Undivided"
272,,,10,"Paved, 4 Lane, Divided"
273,,,8,"Paved, 2 Lane, Undivided"
274,,,8,"Paved, 2 Lane, Undivided"
275,,,8,"Paved, 2 Lane, Undivided"
276,,,8,"Paved, 2 Lane, Undivided"
277,,,8,"Paved, 2 Lane, Undivided"
278,,,8,"Paved, 2 Lane, Undivided"
279,,,12,Rough Road
280,,,8,"Paved, 2 Lane, Undivided"
281,,,8,"Paved, 2 Lane, Undivided"
282,,,8,"Paved, 2 Lane, Undivided"
283,,,12,Rough Road
284,,,8,"Paved, 2 Lane, Undivided"
285,,,8,"Paved, 2 Lane, Undivided"
286,,,8,"Paved, 2 Lane, Undivided"
287,,,8,"Paved, 2 Lane, Undivided"
288,,,4,Lane
289,,,10,"Paved, 4 Lane, Divided"
290,,,4,Lane
291,,,8,"Paved, 2 Lane, Undivided"
292,,,4,Lane
293,,,8,"Paved, 2 Lane, Undivided"
294,,,8,"Paved, 2 Lane, Undivided"
295,,,4,Lane
296,,,8,"Paved, 2 Lane, Undivided"
297,,,8,"Paved, 2 Lane, Undivided"
298,,,8,"Paved, 2 Lane, Undivided"
299,,,8,"Paved, 2 Lane, Undivided"
300,,,8,"Paved, 2 Lane, Undivided"
301,,,8,"Paved, 2 Lane, Undivided"
302,,,2,"Gravel, 1 Lane, Undivided"
303,,,12,Rough Road
304,,,8,"Paved, 2 Lane, Undivided"
305,,,8,"Paved, 2 Lane, Undivided"
306,,,0,Overpass
307,,,8,"Paved, 2 Lane, Undivided"
308,,,11,"Paved, 4 Lane, Undivided"
309,,,8,"Paved, 2 Lane, Undivided"
310,,,8,"Paved, 2 Lane, Undivided"
311,,,4,Lane
312,,,8,"Paved, 2 Lane, Undivided"
313,,,8,"Paved, 2 Lane, Undivided"
314,,,8,"Paved, 2 Lane, Undivided"
315,,,4,Lane
316,,,3,"Gravel, 2 Lane, Undivided"
317,,,10,"Paved, 4 Lane, Divided"
318,,,8,"Paved, 2 Lane, Undivided"
319,,,8,"Paved, 2 Lane, Undivided"
320,,,4,Lane
321,,,12,Rough Road
322,,,4,Lane
323,,,8,"Paved, 2 Lane, Undivided"
324,,,4,Lane
325,,,8,"Paved, 2 Lane, Undivided"
326,,,10,"Paved, 4 Lane, Divided"
327,,,0,Overpass
328,,,8,"Paved, 2 Lane, Undivided"
329,,,8,"Paved, 2 Lane, Undivided"
330,,,8,"Paved, 2 Lane, Undivided"
331,,,8,"Paved, 2 Lane, Undivided"
332,,,4,Lane
333,,,8,"Paved, 2 Lane, Undivided"
334,,,8,"Paved, 2 Lane, Undivided"
335,,,12,Rough Road
336,,,4,Lane
337,,,8,"Paved, 2 Lane, Undivided"
338,,,8,"Paved, 2 Lane, Undivided"
339,,,8,"Paved, 2 Lane, Undivided"
340,,,8,"Paved, 2 Lane, Undivided"
341,,,8,"Paved, 2 Lane, Undivided"
342,,,12,Rough Road
343,,,12,Rough Road
344,,,8,"Paved, 2 Lane, Undivided"
345,,,4,Lane
346,,,8,"Paved, 2 Lane, Undivided"
347,,,6,On / Off Ramp
348,,,8,"Paved, 2 Lane, Undivided"
349,,,4,Lane
350,,,8,"Paved, 2 Lane, Undivided"
351,,,8,"Paved, 2 Lane, Undivided"
352,,,11,"Paved, 4 Lane, Undivided"
353,,,4,Lane
354,,,8,"Paved, 2 Lane, Undivided"
355,,,8,"Paved, 2 Lane, Undivided"
356,,,8,"Paved, 2 Lane, Undivided"
357,,,8,"Paved, 2 Lane, Undivided"
358,,,8,"Paved, 2 Lane, Undivided"
359,,,0,Overpass
360,,,10,"Paved, 4 Lane, Divided"
361,,,8,"Paved, 2 Lane, Undivided"
362,,,8,"Paved, 2 Lane, Undivided"
363,,,12,Rough Road
364,,,8,"Paved, 2 Lane, Undivided"
365,,,3,"Gravel, 2 Lane, Undivided"
366,,,8,"Paved, 2 Lane, Undivided"
367,,,8,"Paved, 2 Lane, Undivided"
368,,,4,Lane
369,,,6,On / Off Ramp
370,,,8,"Paved, 2 Lane, Undivided"
371,,,8,"Paved, 2 Lane, Undivided"
372,,,0,Overpass
373,,,8,"Paved, 2 Lane, Undivided"
374,,,4,Lane
375,,,8,"Paved, 2 Lane, Undivided"
376,,,8,"Paved, 2 Lane, Undivided"
377,,,8,"Paved, 2 Lane, Undivided"
378,,,4,Lane
379,,,8,"Paved, 2 Lane, Undivided"
380,,,4,Lane
381,,,8,"Paved, 2 Lane, Undivided"
382,,,4,Lane
383,,,12,Rough Road
384,,,12,Rough Road
385,,,8,"Paved, 2 Lane, Undivided"
386,,,8,"Paved, 2 Lane, Undivided"
387,,,8,"Paved, 2 Lane, Undivided"
388,,,8,"Paved, 2 Lane, Undivided"
389,,,8,"Paved, 2 Lane, Undivided"
390,,,8,"Paved, 2 Lane, Undivided"
391,,,8,"Paved, 2 Lane, Undivided"
392,,,8,"Paved, 2 Lane, Undivided"
393,,,4,Lane
394,,,8,"Paved, 2 Lane, Undivided"
395,,,3,"Gravel, 2 Lane, Undivided"
396,,,6,On / Off Ramp
397,,,8,"Paved, 2 Lane, Undivided"
398,,,12,Rough Road
399,,,8,"Paved, 2 Lane, Undivided"
400,,,8,"Paved, 2 Lane, Undivided"
401,,,8,"Paved, 2 Lane, Undivided"
402,,,8,"Paved, 2 Lane, Undivided"
403,,,8,"Paved, 2 Lane, Undivided"
404,,,8,"Paved, 2 Lane, Undivided"
405,,,8,"Paved, 2 Lane, Undivided"
406,,,8,"Paved, 2 Lane, Undivided"
407,,,8,"Paved, 2 Lane, Undivided"
408,,,8,"Paved, 2 Lane, Undivided"
409,,,8,"Paved, 2 Lane, Undivided"
410,,,12,Rough Road
411,,,8,"Paved, 2 Lane, Undivided"
412,,,8,"Paved, 2 Lane, Undivided"
413,,,8,"Paved, 2 Lane, Undivided"
414,,,6,On / Off Ramp
415,,,8,"Paved, 2 Lane, Undivided"
416,,,8,"Paved, 2 Lane, Undivided"
417,,,8,"Paved, 2 Lane, Undivided"
418,,,8,"Paved, 2 Lane, Undivided"
419,,,8,"Paved, 2 Lane, Undivided"
420,,,8,"Paved, 2 Lane, Undivided"
421,,,12,Rough Road
422,,,8,"Paved, 2 Lane, Undivided"
423,,,8,"Paved, 2 Lane, Undivided"
424,,,8,"Paved, 2 Lane, Undivided"
425,,,8,"Paved, 2 Lane, Undivided"
426,,,8,"Paved, 2 Lane, Undivided"
427,,,8,"Paved, 2 Lane, Undivided"
428,,,12,Rough Road
429,,,8,"Paved, 2 Lane, Undivided"
430,,,10,"Paved, 4 Lane, Divided"
431,,,6,On / Off Ramp
432,,,8,"Paved, 2 Lane, Undivided"
433,,,8,"Paved, 2 Lane, Undivided"
434,,,2,"Gravel, 1 Lane, Undivided"
435,,,8,"Paved, 2 Lane, Undivided"
436,,,8,"Paved, 2 Lane, Undivided"
437,,,8,"Paved, 2 Lane, Undivided"
438,,,8,"Paved, 2 Lane, Undivided"
439,,,4,Lane
440,,,8,"Paved, 2 Lane, Undivided"
441,,,6,On / Off Ramp
442,,,8,"Paved, 2 Lane, Undivided"
443,,,8,"Paved, 2 Lane, Undivided"
444,,,8,"Paved, 2 Lane, Undivided"
445,,,8,"Paved, 2 Lane, Undivided"
446,,,10,"Paved, 4 Lane, Divided"
447,,,8,"Paved, 2 Lane, Undivided"
448,,,8,"Paved, 2 Lane, Undivided"
449,,,8,"Paved, 2 Lane, Undivided"
450,,,8,"Paved, 2 Lane, Undivided"
451,,,3,"Gravel, 2 Lane, Undivided"
452,,,0,Overpass
453,,,8,"Paved, 2 Lane, Undivided"
454,,,8,"Paved, 2 Lane, Undivided"
455,,,4,Lane
456,,,8,"Paved, 2 Lane, Undivided"
457,,,8,"Paved, 2 Lane, Undivided"
458,,,8,"Paved, 2 Lane, Undivided"
459,,,8,"Paved, 2 Lane, Undivided"
460,,,8,"Paved, 2 Lane, Undivided"
461,,,8,"Paved, 2 Lane, Undivided"
462,,,8,"Paved, 2 Lane, Undivided"
463,,,8,"Paved, 2 Lane, Undivided"
464,,,8,"Paved, 2 Lane, Undivided"
465,,,3,"Gravel, 2 Lane, Undivided"
466,,,12,Rough Road
467,,,8,"Paved, 2 Lane, Undivided"
468,,,11,"Paved, 4 Lane, Undivided"
469,,,4,Lane
470,,,8,"Paved, 2 Lane, Undivided"
471,,,8,"Paved, 2 Lane, Undivided"
472,,,8,"Paved, 2 Lane, Undivided"
473,,,8,"Paved, 2 Lane, Undivided"
474,,,8,"Paved, 2 Lane, Undivided"
475,,,12,Rough Road
476,,,8,"Paved, 2 Lane, Undivided"
477,,,8,"Paved, 2 Lane, Undivided"
478,,,4,Lane
479,,,8,"Paved, 2 Lane, Undivided"
480,,,8,"Paved, 2 Lane, Undivided"
481,,,10,"Paved, 4 Lane, Divided"
482,,,8,"Paved, 2 Lane, Undivided"
483,,,12,Rough Road
484,,,8,"Paved, 2 Lane, Undivided"
485,,,4,Lane
486,,,8,"Paved, 2 Lane, Undivided"
487,,,8,"Paved, 2 Lane, Undivided"
488,,,2,"Gravel, 1 Lane, Undivided"
489,,,10,"Paved, 4 Lane, Divided"
490,,,3,"Gravel, 2 Lane, Undivided"
491,,,11,"Paved, 4 Lane, Undivided"
492,,,8,"Paved, 2 Lane, Undivided"
493,,,8,"Paved, 2 Lane, Undivided"
494,,,11,"Paved, 4 Lane, Undivided"
495,,,8,"Paved, 2 Lane, Undivided"
496,,,8,"Paved, 2 Lane, Undivided"
497,,,8,"Paved, 2 Lane, Undivided"
498,,,11,"Paved, 4 Lane, Undivided"
499,,,2,"Gravel, 1 Lane, Undivided"
500,,,8,"Paved, 2 Lane, Undivided"
501,,,8,"Paved, 2 Lane, Undivided"
502,,,0,Overpass
503,,,8,"Paved, 2 Lane, Undivided"
504,,,8,"Paved, 2 Lane, Undivided"
505,,,8,"Paved, 2 Lane, Undivided"
506,,,4,Lane
507,,,8,"Paved, 2 Lane, Undivided"
508,,,8,"Paved, 2 Lane, Undivided"
509,,,4,Lane
510,,,8,"Paved, 2 Lane, Undivided"
511,,,4,Lane
512,,,8,"Paved, 2 Lane, Undivided"
513,,,8,"Paved, 2 Lane, Undivided"
514,,,8,"Paved, 2 Lane, Undivided"
515,,,8,"Paved, 2 Lane, Undivided"
516,,,8,"Paved, 2 Lane, Undivided"
517,,,8,"Paved, 2 Lane, Undivided"
518,,,8,"Paved, 2 Lane, Undivided"
519,,,8,"Paved, 2 Lane, Undivided"
520,,,8,"Paved, 2 Lane, Undivided"
521,,,12,Rough Road
522,,,4,Lane
523,,,10,"Paved, 4 Lane, Divided"
524,,,8,"Paved, 2 Lane, Undivided"
525,,,8,"Paved, 2 Lane, Undivided"
526,,,8,"Paved, 2 Lane, Undivided"
527,,,8,"Paved, 2 Lane, Undivided"
528,,,8,"Paved, 2 Lane, Undivided"
529,,,8,"Paved, 2 Lane, Undivided"
530,,,8,"Paved, 2 Lane, Undivided"
531,,,12,Rough Road
532,,,8,"Paved, 2 Lane, Undivided"
533,,,8,"Paved, 2 Lane, Undivided"
534,,,4,Lane
535,,,8,"Paved, 2 Lane, Undivided"
536,,,4,Lane
537,,,4,Lane
538,,,8,"Paved, 2 Lane, Undivided"
539,,,8,"Paved, 2 Lane, Undivided"
540,,,12,Rough Road
541,,,4,Lane
542,,,4,Lane
543,,,8,"Paved, 2 Lane, Undivided"
544,,,8,"Paved, 2 Lane, Undivided"
545,,,8,"Paved, 2 Lane, Undivided"
546,,,4,Lane
547,,,4,Lane
548,,,3,"Gravel, 2 Lane, Undivided"
549,,,8,"Paved, 2 Lane, Undivided"
550,,,8,"Paved, 2 Lane, Undivided"
551,,,8,"Paved, 2 Lane, Undivided"
552,,,8,"Paved, 2 Lane, Undivided"
553,,,8,"Paved, 2 Lane, Undivided"
554,,,4,Lane
555,,,8,"Paved, 2 Lane, Undivided"
556,,,8,"Paved, 2 Lane, Undivided"
557,,,8,"Paved, 2 Lane, Undivided"
558,,,4,Lane
559,,,4,Lane
560,,,8,"Paved, 2 Lane, Undivided"
561,,,10,"Paved, 4 Lane, Divided"
562,,,12,Rough Road
563,,,8,"Paved, 2 Lane, Undivided"
564,,,8,"Paved, 2 Lane, Undivided"
565,,,8,"Paved, 2 Lane, Undivided"
566,,,4,Lane
567,,,8,"Paved, 2 Lane, Undivided"
568,,,0,Overpass
569,,,8,"Paved, 2 Lane, Undivided"
570,,,8,"Paved, 2 Lane, Undivided"
571,,,4,Lane
572,,,8,"Paved, 2 Lane, Undivided"
573,,,4,Lane
574,,,8,"Paved, 2 Lane, Undivided"
575,,,8,"Paved, 2 Lane, Undivided"
576,,,8,"Paved, 2 Lane, Undivided"
577,,,11,"Paved, 4 Lane, Undivided"
578,,,8,"Paved, 2 Lane, Undivided"
579,,,8,"Paved, 2 Lane, Undivided"
580,,,10,"Paved, 4 Lane, Divided"
581,,,8,"Paved, 2 Lane, Undivided"
582,,,8,"Paved, 2 Lane, Undivided"
583,,,8,"Paved, 2 Lane, Undivided"
584,,,8,"Paved, 2 Lane, Undivided"
585,,,12,Rough Road
586,,,8,"Paved, 2 Lane, Undivided"
587,,,8,"Paved, 2 Lane, Undivided"
588,,,8,"Paved, 2 Lane, Undivided"
589,,,8,"Paved, 2 Lane, Undivided"
590,,,8,"Paved, 2 Lane, Undivided"
591,,,4,Lane
592,,,8,"Paved, 2 Lane, Undivided"
593,,,8,"Paved, 2 Lane, Undivided"
594,,,12,Rough Road
595,,,8,"Paved, 2 Lane, Undivided"
596,,,4,Lane
597,,,8,"Paved, 2 Lane, Undivided"
598,,,8,"Paved, 2 Lane, Undivided"
599,,,8,"Paved, 2 Lane, Undivided"
600,,,8,"Paved, 2 Lane, Undivided"
601,,,8,"Paved, 2 Lane, Undivided"
602,,,8,"Paved, 2 Lane, Undivided"
603,,,4,Lane
604,,,8,"Paved, 2 Lane, Undivided"
605,20111123,20111123,8,"Paved, 2 Lane, Undivided"
606,,20111123,8,"Paved, 2 Lane, Undivided"
607,,,8,"Paved, 2 Lane, Undivided"
608,,,8,"Paved, 2 Lane, Undivided"
609,,,12,Rough Road
610,,,4,Lane
611,,,4,Lane
612,,,4,Lane
613,,,8,"Paved, 2 Lane, Undivided"
614,,,4,Lane
615,,,8,"Paved, 2 Lane, Undivided"
616,,,4,Lane
617,,,4,Lane
618,,,8,"Paved, 2 Lane, Undivided"
619,,,8,"Paved, 2 Lane, Undivided"
620,,,8,"Paved, 2 Lane, Undivided"
621,,,8,"Paved, 2 Lane, Undivided"
622,,,8,"Paved, 2 Lane, Undivided"
623,,,8,"Paved, 2 Lane, Undivided"
624,,,8,"Paved, 2 Lane, Undivided"
625,,,2,"Gravel, 1 Lane, Undivided"
626,,,12,Rough Road
627,,,8,"Paved, 2 Lane, Undivided"
628,,,8,"Paved, 2 Lane, Undivided"
629,,,0,Overpass
630,,,8,"Paved, 2 Lane, Undivided"
631,,,8,"Paved, 2 Lane, Undivided"
632,,,6,On / Off Ramp
633,,,11,"Paved, 4 Lane, Undivided"
634,,,8,"Paved, 2 Lane, Undivided"
635,,,8,"Paved, 2 Lane, Undivided"
636,,,8,"Paved, 2 Lane, Undivided"
637,,,3,"Gravel, 2 Lane, Undivided"
638,,,8,"Paved, 2 Lane, Undivided"
639,,,8,"Paved, 2 Lane, Undivided"
640,,,10,"Paved, 4 Lane, Divided"
641,,,8,"Paved, 2 Lane, Undivided"
642,,,8,"Paved, 2 Lane, Undivided"
643,,,8,"Paved, 2 Lane, Undivided"
644,,,4,Lane
645,,,5,Miscellaneous Road
646,,,3,"Gravel, 2 Lane, Undivided"
647,,,12,Rough Road
648,,,8,"Paved, 2 Lane, Undivided"
649,,,10,"Paved, 4 Lane, Divided"
650,,,8,"Paved, 2 Lane, Undivided"
651,,,8,"Paved, 2 Lane, Undivided"
652,,,8,"Paved, 2 Lane, Undivided"
653,,,8,"Paved, 2 Lane, Undivided"
654,,,4,Lane
655,,,8,"Paved, 2 Lane, Undivided"
656,,,12,Rough Road
657,,,4,Lane
658,,,8,"Paved, 2 Lane, Undivided"
659,,,8,"Paved, 2 Lane, Undivided"
660,,,8,"Paved, 2 Lane, Undivided"
661,,,10,"Paved, 4 Lane, Divided"
662,,,6,On / Off Ramp
663,,,8,"Paved, 2 Lane, Undivided"
664,,,5,Miscellaneous Road
665,,,8,"Paved, 2 Lane, Undivided"
666,,,8,"Paved, 2 Lane, Undivided"
667,,,3,"Gravel, 2 Lane, Undivided"
668,,,12,Rough Road
669,,,8,"Paved, 2 Lane, Undivided"
670,,,12,Rough Road
671,,,8,"Paved, 2 Lane, Undivided"
672,,,2,"Gravel, 1 Lane, Undivided"
673,,,8,"Paved, 2 Lane, Undivided"
674,,,3,"Gravel, 2 Lane, Undivided"
675,,,8,"Paved, 2 Lane, Undivided"
676,,,6,On / Off Ramp
677,,,8,"Paved, 2 Lane, Undivided"
678,,,8,"Paved, 2 Lane, Undivided"
679,,,8,"Paved, 2 Lane, Undivided"
