,PLAN_NO,PLAN_TYPE,YR
0,10002,Subdivision,1948
1,100041E,Title,1932
2,10007,Reference Plan,1946
3,10020,Explanatory,1946
4,10028,Subdivision,1948
5,10033,Explanatory,1946
6,10040,Explanatory,1946
7,10052,Explanatory,1946
8,10058,Reference Plan,1946
9,1006,Subdivision,1907
10,1006,Subdivision,1907
11,10067,Reference Plan,1946
12,10067,Subdivision,1948
13,10070,Subdivision,1948
14,10071,Subdivision,1948
15,10071,Subdivision,1948
16,10089,Explanatory,1948
17,10110,Subdivision,1948
18,10114,Explanatory,1946
19,10132,Subdivision,1948
20,10132,Subdivision,1948
21,10140,Subdivision,1948
22,10143,Reference Plan,1946
23,10161,Reference Plan,1946
24,10162,Explanatory,1946
25,10178,Subdivision,1948
26,10178,Subdivision,1948
27,10181,Subdivision,1948
28,10194,Subdivision,1948
29,101962E,Title,1984
30,1020,Subdivision,1907
31,1020,Subdivision,1907
32,10207,Reference Plan,1946
33,10208,Subdivision,1948
34,10208,Subdivision,1948
35,10209,Subdivision,1948
36,10212,Subdivision,1948
37,10212,Subdivision,1948
38,10227,Explanatory,1946
39,10231,Subdivision,1948
40,10244,Subdivision,1948
41,10244,Subdivision,1948
42,10249,Subdivision,1948
43,10250,Subdivision,1948
44,10250,Subdivision,1948
45,10256,Subdivision,1948
46,10256,Subdivision,1948
47,10256,Subdivision,1948
48,10263,Subdivision,1948
49,10263,Subdivision,1948
50,10270,Subdivision,1948
51,10274,Subdivision,1948
52,10276,Subdivision,1948
53,10278,Subdivision,1948
54,10286,Reference Plan,1946
55,10292,Subdivision,1948
56,10298,Reference Plan,1947
57,10319,Explanatory,1946
58,10320,Subdivision,1948
59,10320,Subdivision,1948
60,10324,Subdivision,1948
61,10331,Explanatory,1947
62,10339,Subdivision,1948
63,10345,Explanatory,1947
64,10356,Explanatory,1947
65,10357,Explanatory,1947
66,10360,Explanatory,1947
67,10367,Subdivision,1948
68,10372,Subdivision,1948
69,10377,Subdivision,1948
70,10377,Subdivision,1948
71,10384,Subdivision,1948
72,10392,Subdivision,1948
73,10432,Explanatory,1947
74,10434,Explanatory,1946
75,10438,Explanatory,1947
76,10449,Explanatory,1947
77,10450,Subdivision,1948
78,10453,Subdivision,1948
79,10458,Subdivision,1948
80,10458,Subdivision,1948
81,10460,Subdivision,1948
82,10484,Subdivision,1948
83,10489,Subdivision,1948
84,10490,Subdivision,1948
85,10494,Subdivision,1948
86,10494,Subdivision,1948
87,10495,Explanatory,1947
88,10499,Subdivision,1948
89,10501,Subdivision,1948
90,10502,Subdivision,1948
91,10503,Subdivision,1948
92,10508,Explanatory,1947
93,10521,Subdivision,1948
94,10525,Explanatory,1947
95,10527,Explanatory,1947
96,10539,Explanatory,1948
97,1055,Subdivision,1908
98,1055,Subdivision,1908
99,1055,Subdivision,1909
100,1055,Subdivision,1909
101,1055,Subdivision,1919
102,1055,Subdivision,1919
103,1055,Subdivision,1919
104,105686E,Title,1981
105,10569,Explanatory,1947
106,1057,Subdivision,1908
107,10587,Subdivision,1948
108,105966E,Title,1979
109,10597,Subdivision,1948
110,10598,Subdivision,1948
111,10610,Subdivision,1948
112,10610,Subdivision,1948
113,10615,Subdivision,1948
114,10616,Subdivision,1948
115,10619,Subdivision,1948
116,1062,Subdivision,1908
117,1062,Subdivision,1908
118,1062,Subdivision,1908
119,1062,Subdivision,1908
120,1062,Subdivision,1908
121,1062,Subdivision,1908
122,10642,Subdivision,1948
123,10646,Explanatory,1947
124,10649,Subdivision,1948
125,1065,Subdivision,1908
126,1065,Subdivision,1908
127,1065,Subdivision,1908
128,1065,Subdivision,1908
129,10650,Subdivision,1948
130,10654,Subdivision,1948
131,1066,Subdivision,1908
132,10660,Subdivision,1948
133,1067,Subdivision,1908
134,1067,Subdivision,1908
135,1067,Subdivision,1908
136,1067,Subdivision,1908
137,1067,Subdivision,1908
138,1067,Subdivision,1908
139,1067,Subdivision,1908
140,10674,Subdivision,1948
141,10691,Subdivision,1949
142,10693,Subdivision,1949
143,10698,Subdivision,1949
144,1070,Subdivision,1908
145,1070,Subdivision,1908
146,1070,Subdivision,1908
147,10701,Subdivision,1949
148,10703,Subdivision,1949
149,10703,Subdivision,1949
150,10709,Subdivision,1949
151,10729,Explanatory,1947
152,10729,Subdivision,1949
153,10729,Subdivision,1949
154,10735,Subdivision,1949
155,10737,Reference Plan,1947
156,10741,Sketch,1947
157,10742,Subdivision,1949
158,10743,Subdivision,1949
159,10745,Explanatory,1947
160,10746,Explanatory,1947
161,1075,Subdivision,1908
162,10752,Reference Plan,1947
163,10753,Subdivision,1949
164,10754,Subdivision,1949
165,10756,Explanatory,1949
166,10760,Explanatory,1947
167,10764,Explanatory,1949
168,10769,Subdivision,1914
169,10769,Reference Plan,1949
170,10769,Reference Plan,1949
171,10769,Reference Plan,1949
172,10769,Reference Plan,1949
173,10769,Reference Plan,1949
174,10769,Reference Plan,1949
175,10769,Reference Plan,1949
176,10769,Reference Plan,1949
177,10769,Reference Plan,1949
178,10769,Reference Plan,1949
179,10769,Reference Plan,1949
180,10769,Reference Plan,1949
181,10769,Right of Way,1949
182,10769,Right of Way,1949
183,10769,Right of Way,1949
184,10769,Right of Way,1949
185,10769,Right of Way,1949
186,10769,Subdivision,1949
187,10770,Right of Way,1949
188,10771,Reference Plan,1948
189,10771,Reference Plan,1948
190,10771,Reference Plan,1948
191,10771,Reference Plan,1948
192,10771,Reference Plan,1948
193,10773,Subdivision,1949
194,10773,Subdivision,1949
195,10773,Subdivision,1949
196,10773,Subdivision,1949
197,10773,Subdivision,1949
198,10780,Explanatory,1947
199,10788,Subdivision,1949
200,10791,Subdivision,1949
201,10801,Subdivision,1949
202,10812,Explanatory,1947
203,10817,Subdivision,1949
204,1082,Subdivision,1908
205,10823,Subdivision,1949
206,10827,Subdivision,1949
207,10829,Subdivision,1949
208,10829,Subdivision,1949
209,1083,Subdivision,1908
210,1083,Subdivision,1908
211,1083,Subdivision,1908
212,10832,Explanatory,1948
213,10847,Subdivision,1949
214,1084A,Subdivision,1908
215,1084A,Subdivision,1908
216,10853,Subdivision,1949
217,1086,Subdivision,1908
218,10868,Subdivision,1949
219,10868,Subdivision,2007
220,10880,Subdivision,1949
221,10888,Explanatory,1948
222,10894,Sketch,1948
223,1090,Subdivision,1908
224,1090,Subdivision,1908
225,1090,Subdivision,1908
226,1090,Subdivision,1908
227,1090,Subdivision,1908
228,1090,Subdivision,1908
229,10900,Explanatory,1948
230,10904,Subdivision,1949
231,10914,Subdivision,1949
232,10923,Reference Plan,1948
233,10923,Subdivision,1949
234,10942,Subdivision,1949
235,10943,Explanatory,1948
236,10949,Subdivision,1949
237,10949,Subdivision,1949
238,10951,Explanatory,1948
239,10951,Subdivision,1949
240,10951,Subdivision,1949
241,10973,Subdivision,1949
242,10991,Reference Plan,1948
243,10999,Subdivision,1949
244,11001,Subdivision,1949
245,11002,Explanatory,1948
246,11011,Subdivision,1949
247,11011,Subdivision,1949
248,11011,Subdivision,1949
249,11014,Subdivision,1949
250,11016,Explanatory,1948
251,11018,Subdivision,1949
252,11020,Subdivision,1949
253,110231E,Title,1935
254,11033,Reference Plan,1948
255,110350E,Title,1972
256,11037,Subdivision,1949
257,11038,Reference Plan,1948
258,11050,Explanatory,1948
259,11053,Reference Plan,1948
260,11057,Explanatory,1948
261,11059,Subdivision,1949
262,11073,Explanatory,1948
263,11080,Explanatory,1948
264,11090,Explanatory,1948
265,11102,Subdivision,1949
266,111055E,Title,1935
267,11123,Subdivision,1949
268,11138,Subdivision,1949
269,11141,Subdivision,1949
270,11141,Subdivision,1949
271,11149,Explanatory,1948
272,11150,Explanatory,1948
273,11152,Explanatory,1948
274,11160,Subdivision,1949
275,11180,Subdivision,1949
276,11182,Reference Plan,1948
277,11183,Subdivision,1949
278,11185,Explanatory,1948
279,11197,Explanatory,1948
280,11197,Subdivision,1949
281,11198,Subdivision,1949
282,11206,Explanatory,1949
283,11212,Explanatory,1948
284,11215,Explanatory,1948
285,11228,Subdivision,1949
286,11230,Subdivision,1949
287,11230,Subdivision,1949
288,11234,Reference Plan,1948
289,11234,Subdivision,1949
290,1126,Reference Plan,1911
291,11264,Subdivision,1949
292,11275,Explanatory,1948
293,11276,Subdivision,1949
294,11276,Subdivision,1949
295,11278,Subdivision,1949
296,11286,Subdivision,1949
297,11294,Subdivision,1949
298,11298,Subdivision,1949
299,11312,Explanatory,1948
300,11315,Explanatory,1949
301,11321,Reference Plan,1949
302,11323,Explanatory,1948
303,11333,Explanatory,1948
304,11334,Subdivision,1949
305,11338,Subdivision,1949
306,11349,Explanatory,1949
307,11354,Explanatory,1949
308,11355,Explanatory,1949
309,1136,Subdivision,1908
310,11363,Reference Plan,1948
311,11369,Subdivision,1949
312,11371,Subdivision,1949
313,11378,Reference Plan,1948
314,11380,Subdivision,1949
315,11384,Subdivision,1949
316,11389,Subdivision,1949
317,11390,Subdivision,1950
318,11417,Explanatory,1949
319,11417,Subdivision,1950
320,11417,Subdivision,1950
321,11419,Explanatory,1948
322,1142,Subdivision,1908
323,1142,Title,1908
324,11420,Subdivision,1950
325,11420,Subdivision,1950
326,1143,Subdivision,1908
327,1143,Subdivision,1908
328,11450,Reference Plan,1949
329,11453,Subdivision,1950
330,11470,Explanatory,1949
331,11476,Subdivision,1950
332,11476,Subdivision,1950
333,11477,Explanatory,1949
334,11481,Subdivision,1950
335,11488,Subdivision,1950
336,11488,Subdivision,1950
337,11488,Subdivision,1950
338,11499,Subdivision,1950
339,11505,Reference Plan,1949
340,11506,Subdivision,1950
341,1151,Subdivision,1909
342,1151,Subdivision,1909
343,1151,Subdivision,1909
344,1151,Subdivision,1909
345,1151,Subdivision,1909
346,1151,Subdivision,1909
347,1151,Subdivision,1909
348,1151,Subdivision,1909
349,1151,Subdivision,2001
350,11518,Subdivision,1950
351,11520,Subdivision,1950
352,11539,Reference Plan,1949
353,11557,Explanatory,1949
354,11560,Subdivision,1950
355,11560,Subdivision,1950
356,11560,Subdivision,1950
357,11563,Explanatory,1949
358,11569,Subdivision,1950
359,11569,Subdivision,1950
360,11575,Subdivision,1950
361,11576,Subdivision,1950
362,1158,Subdivision,1909
363,1158,Subdivision,1909
364,1158,Subdivision,1909
365,1158,Subdivision,1909
366,1158,Subdivision,1909
367,11594,Explanatory,1949
368,1160,Subdivision,1909
369,1160,Subdivision,1909
370,11601,Subdivision,1950
371,11601,Subdivision,1950
372,11603,Explanatory,1949
373,11606,Explanatory,1949
374,11634,Subdivision,1950
375,11635,Subdivision,1950
376,11641,Explanatory,1949
377,11645,Subdivision,1950
378,11646,Explanatory,1949
379,11655,Subdivision,1950
380,11662,Subdivision,1950
381,11670,Subdivision,1950
382,11674,Subdivision,1950
383,11677,Reference Plan,1949
384,11681,Subdivision,1950
385,11686,Explanatory,1949
386,11695,Subdivision,1950
387,11695,Subdivision,1950
388,11695,Subdivision,1950
389,11695,Subdivision,1950
390,11696,Explanatory,1949
391,11696,Subdivision,1950
392,11696,Subdivision,1950
393,11696,Subdivision,1950
394,11696,Subdivision,1950
395,11704,Explanatory,1949
396,1171,Subdivision,1909
397,1171,Subdivision,1909
398,11714,Explanatory,1949
399,11717,Subdivision,1950
400,11722,Explanatory,1949
401,11733,Subdivision,1950
402,11733,Subdivision,1950
403,11736,Explanatory,1949
404,11741,Reference Plan,1949
405,11752,Subdivision,1950
406,11752,Subdivision,1950
407,11752,Subdivision,1950
408,11758,Reference Plan,1947
409,11763,Subdivision,1950
410,11775,Explanatory,1949
411,11775,Explanatory,1949
412,11775,Explanatory,1949
413,11778,Subdivision,1950
414,117929E,Title,1981
415,11797,Subdivision,1950
416,11806,Subdivision,1950
417,11809,Subdivision,1950
418,1181,Subdivision,1909
419,11815,Subdivision,1950
420,11816,Subdivision,1950
421,11816,Subdivision,1950
422,11816,Subdivision,1950
423,11828,Subdivision,1950
424,1183,Subdivision,1909
425,11831,Subdivision,1950
426,11840,Subdivision,1950
427,11840,Subdivision,1950
428,11841,Subdivision,1950
429,11853,Subdivision,1950
430,11853,Subdivision,1950
431,11855,Subdivision,1950
432,11856,Explanatory,1950
433,11862,Reference Plan,1949
434,11862,Subdivision,1950
435,11874,Subdivision,1950
436,11879,Reference Plan,1950
437,11890,Explanatory,1950
438,11890,Subdivision,1950
439,11894,Subdivision,1950
440,11895,Subdivision,1950
441,11898,Title,1993
442,11899,Explanatory,1950
443,11901,Subdivision,1950
444,11902,Explanatory,1950
445,11922,Subdivision,1950
446,11926,Reference Plan,1949
447,11928,Subdivision,1950
448,11934,Subdivision,1950
449,11951,Explanatory,1950
450,11960,Explanatory,1950
451,11967,Explanatory,1950
452,11969,Subdivision,1950
453,11971,Explanatory,1950
454,11972,Reference Plan,1950
455,11976,Subdivision,1950
456,11976,Subdivision,1950
457,11976,Subdivision,1950
458,11976,Subdivision,1950
459,11985,Explanatory,1950
460,11992,Subdivision,1951
461,12003,Subdivision,1950
462,12007,Subdivision,1951
463,12016,Subdivision,1951
464,12030,Reference Plan,1950
465,12036,Subdivision,1951
466,12043,Subdivision,1951
467,12048,Subdivision,1951
468,12049,Subdivision,1951
469,12049,Subdivision,1951
470,12054,Explanatory,1950
471,120625E,Title,1937
472,12064,Explanatory,1950
473,12066,Subdivision,1951
474,12074,Reference Plan,1950
475,12075,Subdivision,1951
476,12078,Explanatory,1950
477,12088,Subdivision,1951
478,12090,Explanatory,1950
479,12095,Explanatory,1950
480,12098,Subdivision,1951
481,12113,Reference Plan,1950
482,12144,Explanatory,1950
483,12166,Reference Plan,1950
484,12168,Explanatory,1950
485,12170,Subdivision,1951
486,12184,Subdivision,1951
487,12184,Subdivision,1951
488,12187,Subdivision,1951
489,12191,Subdivision,1951
490,12195,Subdivision,1951
491,12198,Subdivision,1951
492,12206,Subdivision,1951
493,12209,Subdivision,1951
494,12216,Explanatory,1950
495,12221,Reference Plan,1950
496,12224,Explanatory,1950
497,12240,Subdivision,1951
498,12241,Explanatory,1950
499,12244,Subdivision,1951
500,12252,Subdivision,1951
501,12252,Subdivision,1951
502,12257,Explanatory,1950
503,1226,Reference Plan,1909
504,12265,Subdivision,1951
505,12271,Subdivision,1951
506,12279,Reference Plan,1951
507,12280,Subdivision,1951
508,12281,Subdivision,1951
509,12281,Subdivision,1951
510,12282,Explanatory,1951
511,12286,Subdivision,1951
512,12286,Subdivision,1951
513,122891E,Title,1977
514,12294,Explanatory,1950
515,12306,Subdivision,1951
516,12306,Subdivision,1951
517,12317,Explanatory,1951
518,12323,Subdivision,1951
519,12325,Subdivision,1951
520,12326,Explanatory,1951
521,12330,Subdivision,1951
522,12332,Explanatory,1951
523,12334,Subdivision,1951
524,12335,Explanatory,1951
525,12339,Reference Plan,1950
526,12355,Subdivision,1951
527,12360,Explanatory,1950
528,12369,Subdivision,1951
529,12371,Reference Plan,1947
530,12371,Subdivision,1951
531,12371,Subdivision,1951
532,12385,Explanatory,1951
533,12385,Subdivision,1951
534,12385,Subdivision,1951
535,12385,Subdivision,1951
536,12399,Explanatory,1951
537,12401,Explanatory,1951
538,12404,Subdivision,1951
539,12404,Subdivision,1951
540,12404,Subdivision,1951
541,12408,Subdivision,1951
542,12411,Subdivision,1951
543,12418,Subdivision,1951
544,12420,Explanatory,1951
545,12436,Explanatory,1951
546,12446,Explanatory,1951
547,12449,Subdivision,1951
548,12454,Explanatory,1951
549,12456,Subdivision,1951
550,1246,Subdivision,1909
551,1246,Subdivision,1909
552,1246,Subdivision,1909
553,1246,Subdivision,1909
554,12467,Reference Plan,1951
555,12474,Explanatory,1951
556,12491,Subdivision,1951
557,12498,Explanatory,1951
558,12502,Subdivision,1951
559,12502,Subdivision,1951
560,12502,Subdivision,1951
561,12502,Subdivision,1951
562,12502,Subdivision,1951
563,12502,Subdivision,1951
564,12508,Explanatory,1951
565,12516,Subdivision,1951
566,12520,Explanatory,1951
567,12520,Subdivision,1951
568,12528,Reference Plan,1951
569,1253,Reference Plan,1908
570,12535,Explanatory,1951
571,12535,Subdivision,1951
572,12538,Subdivision,1951
573,12550,Explanatory,1951
574,12551,Subdivision,1951
575,12553,Subdivision,1951
576,12555,Explanatory,1951
577,12562,Subdivision,1952
578,12574,Reference Plan,1951
579,12575,Explanatory,1951
580,12588,Explanatory,1951
581,12606,Subdivision,1952
582,12607,Explanatory,1951
583,12609,Reference Plan,1952
584,12612,Explanatory,1951
585,12614,Subdivision,1952
586,12614,Subdivision,1952
587,12614,Subdivision,1952
588,12621,Explanatory,1951
589,12634,Subdivision,1952
590,12634,Subdivision,1952
591,12635,Subdivision,1952
592,12636,Subdivision,1952
593,12636,Subdivision,1952
594,12640,Explanatory,1951
595,12644,Explanatory,1951
596,1266,Subdivision,1909
597,1266,Subdivision,1909
598,1266,Subdivision,1909
599,12661,Subdivision,1952
600,12661,Subdivision,1952
601,12675,Subdivision,1952
602,12682,Explanatory,1952
603,126911E,Title,1974
604,12699,Explanatory,1952
605,12708,Subdivision,1952
606,12715,Subdivision,1952
607,12716,Explanatory,1952
608,12723,Subdivision,1952
609,12725,Explanatory,1952
610,12726,Subdivision,1952
611,12727,Explanatory,1952
612,12731,Explanatory,1952
613,12739,Subdivision,1952
614,127431E,Title,1982
615,12756,Subdivision,1952
616,12756,Subdivision,1952
617,12756,Subdivision,1952
618,12763,Explanatory,1952
619,12765,Subdivision,1952
620,12786,Subdivision,1952
621,12787,Explanatory,1952
622,12789,Explanatory,1952
623,12794,Subdivision,1952
624,12797,Subdivision,1952
625,12802,Explanatory,1952
626,12816,Explanatory,1952
627,12817,Explanatory,1952
628,12821,Reference Plan,1952
629,12823,Explanatory,1952
630,12823,Subdivision,1952
631,12839,Subdivision,1952
632,12849,Subdivision,1952
633,12854,Subdivision,1952
634,12857,Explanatory,1952
635,12865,Subdivision,1952
636,12866,Subdivision,1952
637,12866,Subdivision,1952
638,12870,Explanatory,1952
639,12873,Subdivision,1952
640,12875,Subdivision,1952
641,12876,Subdivision,1952
642,12882,Explanatory,1952
643,12882,Subdivision,1952
644,128951E,Title,1938
645,12896,Explanatory,1952
646,12909,Subdivision,1952
647,12914,Subdivision,1952
648,12925,Subdivision,1952
649,12931,Subdivision,1952
650,12933,Subdivision,1952
651,12938,Explanatory,1952
652,12941,Subdivision,1952
653,12943,Subdivision,1952
654,12948,Subdivision,1952
655,12954,Subdivision,1952
656,12957,Explanatory,1952
657,12962,Subdivision,1952
658,12964,Subdivision,1952
659,12973,Reference Plan,1952
660,12973,Subdivision,1952
661,12974,Subdivision,1952
662,12994,Subdivision,1952
663,1300,Subdivision,1909
664,13012,Subdivision,1952
665,13012,Subdivision,1952
666,13013,Explanatory,1952
667,13016,Reference Plan,1951
668,13029,Subdivision,1952
669,13030,Subdivision,1952
670,13035,Subdivision,1952
671,13035,Subdivision,1952
672,13037,Subdivision,1952
673,13037,Subdivision,1952
674,13047,Reference Plan,1952
675,13050,Explanatory,1952
676,13050,Subdivision,1952
677,13050,Subdivision,1952
678,13050,Subdivision,1952
679,13055,Subdivision,1952
680,13056,Explanatory,1952
681,13062,Reference Plan,1952
682,13063,Subdivision,1952
683,13063,Subdivision,1952
684,13063,Subdivision,1952
685,13064,Explanatory,1952
686,13070,Subdivision,1952
687,13070,Subdivision,1952
688,13070,Subdivision,1952
689,13071,Subdivision,1952
690,13072,Reference Plan,1952
691,13072,Subdivision,1952
692,13072,Subdivision,1952
693,13073,Subdivision,1952
694,13074,Subdivision,1952
695,13084,Subdivision,1952
696,13084,Subdivision,1952
697,13085,Subdivision,1952
698,13085,Subdivision,1952
699,13086,Explanatory,1952
700,13090,Subdivision,1952
701,13092,Explanatory,1953
702,13093,Subdivision,1952
703,13102,Subdivision,1952
704,13104,Subdivision,1952
705,13104,Subdivision,1952
706,13104,Subdivision,1952
707,13104,Subdivision,1952
708,13105,Subdivision,1952
709,13105,Subdivision,1952
710,13105,Subdivision,1952
711,13105,Subdivision,1952
712,13108,Explanatory,1953
713,13110,Subdivision,1952
714,13110,Subdivision,1952
715,13110,Subdivision,1952
716,13113,Explanatory,1952
717,13114,Explanatory,1952
718,13123,Subdivision,1952
719,13126,Subdivision,1952
720,1313,Subdivision,1909
721,13138,Subdivision,1952
722,13138,Subdivision,1952
723,13145,Sketch,1953
724,13147,Subdivision,1952
725,13150,Subdivision,1952
726,13151,Subdivision,1952
727,13151,Subdivision,1952
728,13157,Subdivision,1952
729,13177,Subdivision,1952
730,13180,Subdivision,1952
731,13184,Subdivision,1952
732,13184,Subdivision,1952
733,13184,Explanatory,1953
734,13191,Explanatory,1953
735,13192,Reference Plan,1951
736,13205,Subdivision,1952
737,13207,Subdivision,1952
738,13211,Explanatory,1952
739,13221,Explanatory,1953
740,13223,Subdivision,1952
741,13224,Subdivision,1952
742,13224,Subdivision,1952
743,13227,Subdivision,1952
744,13228,Subdivision,1952
745,13231,Subdivision,1952
746,13234,Explanatory,1953
747,13237,Explanatory,1953
748,13239,Subdivision,1952
749,13248,Subdivision,1952
750,13251,Explanatory,1953
751,13256,Subdivision,1952
752,13266,Subdivision,1952
753,13272,Reference Plan,1953
754,13275,Explanatory,1953
755,13279,Subdivision,1952
756,13280,Subdivision,1952
757,13284,Subdivision,1952
758,13285,Subdivision,1952
759,13286,Subdivision,1953
760,13286,Subdivision,1953
761,13288,Subdivision,1953
762,13288,Subdivision,1953
763,13288,Subdivision,1953
764,13288,Subdivision,1953
765,13296,Subdivision,1953
766,13298,Subdivision,1953
767,13306,Subdivision,1953
768,13306,Subdivision,1953
769,13306,Subdivision,1953
770,13308,Explanatory,1953
771,13327,Subdivision,1953
772,13327,Subdivision,1953
773,13329,Explanatory,1953
774,13330,Subdivision,1953
775,13330,Subdivision,1953
776,13330,Subdivision,1953
777,13340,Subdivision,1953
778,13345,Reference Plan,1953
779,13349,Explanatory,1953
780,13373,Explanatory,1953
781,13373,Explanatory,1953
782,13375,Explanatory,1953
783,13376,Subdivision,1953
784,13377,Explanatory,1953
785,13377,Subdivision,1953
786,13380,Subdivision,1953
787,13383,Reference Plan,1953
788,13385,Explanatory,1953
789,13395,Subdivision,1953
790,13396,Subdivision,1953
791,13396,Subdivision,1953
792,13396,Subdivision,1953
793,13396,Subdivision,1953
794,13396,Subdivision,1953
795,13396,Subdivision,1953
796,13396,Subdivision,1953
797,13397,Explanatory,1953
798,13405,Subdivision,1953
799,13405,Subdivision,1953
800,13405,Subdivision,1953
801,13416,Explanatory,1953
802,13427,Subdivision,1953
803,13437,Explanatory,1953
804,13437,Subdivision,1953
805,13437,Subdivision,1953
806,13439,Subdivision,1953
807,13439,Subdivision,1953
808,13439,Subdivision,1953
809,13439,Subdivision,1953
810,13439,Subdivision,1953
811,13439,Subdivision,1953
812,13439,Subdivision,1953
813,13439,Subdivision,1953
814,13446,Explanatory,1953
815,13456,Reference Plan,1953
816,13462,Explanatory,1953
817,13467,Subdivision,1953
818,13470,Explanatory,1953
819,13475,Subdivision,1953
820,13475,Subdivision,1953
821,13477,Subdivision,1953
822,13482,Subdivision,1953
823,13491,Subdivision,1953
824,13501,Explanatory,1953
825,13514,Explanatory,1953
826,13517,Subdivision,1953
827,13517,Subdivision,1953
828,13525,Explanatory,1953
829,13529,Explanatory,1953
830,13542,Subdivision,1953
831,13546,Explanatory,1953
832,13547,Subdivision,1953
833,13548,Subdivision,1953
834,13549,Subdivision,1953
835,13549,Subdivision,1953
836,13553,Subdivision,1953
837,13554,Explanatory,1953
838,13557,Subdivision,1953
839,13561,Subdivision,1952
840,13562,Subdivision,1953
841,13567,Subdivision,1953
842,13569,Subdivision,1953
843,13577,Explanatory,1953
844,13580,Subdivision,1953
845,13582,Explanatory,1953
846,13584,Explanatory,1953
847,13598,Subdivision,1953
848,13602,Explanatory,1953
849,13608,Subdivision,1953
850,1361,Subdivision,1910
851,1361,Subdivision,1910
852,13610,Subdivision,1953
853,13611,Explanatory,1953
854,13616,Explanatory,1953
855,13640,Subdivision,1953
856,13642,Explanatory,1954
857,13643,Subdivision,1953
858,13647,Subdivision,1953
859,13647,Subdivision,1953
860,13647,Explanatory,1954
861,1365,Subdivision,1909
862,1365,Subdivision,1909
863,1365,Subdivision,1909
864,1365,Subdivision,1909
865,13654,Subdivision,1953
866,13689,Subdivision,1953
867,13691,Explanatory,1954
868,13695,Subdivision,1953
869,13698,Subdivision,1953
870,13702,Explanatory,1953
871,13707,Subdivision,1953
872,13707,Subdivision,1953
873,1372,Subdivision,1910
874,13721,Subdivision,1953
875,13721,Subdivision,1953
876,13723,Subdivision,1953
877,13723,Explanatory,1954
878,13729,Explanatory,1954
879,13736,Subdivision,1953
880,13743,Subdivision,1953
881,13745,Subdivision,1953
882,13745,Subdivision,1953
883,13747,Explanatory,1954
884,13748,Subdivision,1953
885,1376,Subdivision,1910
886,13761,Subdivision,1953
887,13764,Subdivision,1953
888,13767,Subdivision,1953
889,13767,Subdivision,1953
890,13768,Explanatory,1954
891,13770,Subdivision,1953
892,13770,Subdivision,1953
893,13777,Explanatory,1954
894,1378,Subdivision,1910
895,1378,Subdivision,1910
896,1378,Subdivision,1910
897,13786,Explanatory,1954
898,13790,Explanatory,1954
899,13795,Subdivision,1953
900,13807,Explanatory,1954
901,13812,Subdivision,1953
902,13814,Explanatory,1954
903,13815,Subdivision,1953
904,13815,Subdivision,1953
905,13815,Subdivision,1953
906,13832,Subdivision,1953
907,13832,Explanatory,1954
908,13843,Subdivision,1953
909,13844,Explanatory,1954
910,13845,Subdivision,1953
911,13845,Subdivision,1953
912,13845,Subdivision,1953
913,13845,Subdivision,1953
914,13845,Subdivision,1953
915,13848,Subdivision,1953
916,13851,Subdivision,1953
917,13851,Subdivision,1953
918,13851,Subdivision,1953
919,13861,Subdivision,1953
920,13862,Subdivision,1953
921,13862,Subdivision,1953
922,13885,Subdivision,1953
923,13887,Subdivision,1953
924,13893,Subdivision,1953
925,13898,Subdivision,1953
926,13907,Explanatory,1954
927,13914,Subdivision,1953
928,13914,Subdivision,1953
929,13914,Subdivision,1953
930,13914,Subdivision,1953
931,13914,Explanatory,1954
932,13916,Subdivision,1953
933,13920,Subdivision,1953
934,13920,Subdivision,1953
935,13923,Subdivision,1953
936,13925,Reference Plan,1954
937,13926,Explanatory,1954
938,13927,Explanatory,1951
939,13930,Subdivision,1953
940,13930,Subdivision,1953
941,13930,Subdivision,1953
942,13931,Subdivision,1953
943,13932,Subdivision,1953
944,13934,Subdivision,1953
945,13937,Subdivision,1953
946,13942,Subdivision,1953
947,13949,Subdivision,1953
948,13957,Explanatory,1954
949,13960,Subdivision,1953
950,13960,Subdivision,1953
951,13961,Subdivision,1953
952,13962,Reference Plan,1953
953,13964,Subdivision,1953
954,13964,Subdivision,1953
955,13971,Subdivision,1953
956,13971,Subdivision,1953
957,13976,Subdivision,1953
958,13985,Subdivision,1953
959,13985,Subdivision,1953
960,13992,Subdivision,1953
961,14003,Explanatory,1954
962,14006,Subdivision,1953
963,14007,Subdivision,1953
964,14007,Subdivision,1953
965,14009,Subdivision,1953
966,14014,Subdivision,1953
967,14017,Explanatory,1954
968,14021,Explanatory,1954
969,14022,Subdivision,1953
970,14023,Subdivision,1953
971,14028,Reference Plan,1954
972,14033,Subdivision,1953
973,14035,Subdivision,1953
974,14046,Explanatory,1953
975,14046,Explanatory,1954
976,140486E,Title,1940
977,14058,Explanatory,1954
978,14067,Explanatory,1954
979,14068,Subdivision,1953
980,14068,Subdivision,1953
981,14068,Subdivision,1953
982,14070,Subdivision,1953
983,14075,Explanatory,1954
984,14076,Subdivision,1953
985,14082,Explanatory,1954
986,14083,Subdivision,1953
987,14085,Subdivision,1953
988,14086,Subdivision,1953
989,14094,Explanatory,1954
990,14100,Subdivision,1953
991,14101,Explanatory,1954
992,14102,Explanatory,1954
993,14103,Subdivision,1953
994,14104,Explanatory,1954
