,PLAN_NO,PLAN_TYPE,YR
19216,LMS1569,Strata,1994
19217,LMS1573,Strata,1995
19218,LMS160,Strata,1993
19219,LMS1604,Strata,1994
19220,LMS1607,Strata,1994
19221,LMS1622,Strata,1994
19222,LMS1634,Strata,1995
19223,LMS1639,Strata,1994
19224,LMS1643,Strata,1994
19225,LMS1649,Strata,1995
19226,LMS1652,Strata,1994
19227,LMS1660,Strata,1994
19228,LMS1680,Strata,1995
19229,LMS1700,Strata,1994
19230,LMS1722,Strata,1994
19231,LMS1739,Strata,1994
19232,LMS1754,Strata,1994
19233,LMS177,Strata,1991
19234,LMS1773,Strata,1995
19235,LMS1774,Strata,1995
19236,LMS1777,Strata,1995
19237,LMS1781,Strata,1995
19238,LMS1786,Strata,1995
19239,LMS1792,Strata,1995
19240,LMS1831,Strata,1995
19241,LMS1831,Strata,1995
19242,LMS1838,Strata,1995
19243,LMS1840,Strata,1995
19244,LMS1859,Strata,1995
19245,LMS1874,Strata,1997
19246,LMS1904,Strata,1995
19247,LMS1908,Strata,1995
19248,LMS1913,Strata,1995
19249,LMS1914,Strata,1995
19250,LMS1918,Strata,1995
19251,LMS1944,Strata,1997
19252,LMS1947,Strata,1995
19253,LMS1949,Strata,1995
19254,LMS1972,Strata,1995
19255,LMS1973,Strata,1995
19256,LMS2002,Strata,1995
19257,LMS201,Strata,1991
19258,LMS2011,Strata,1995
19259,LMS2030,Strata,1995
19260,LMS2031,Strata,1995
19261,LMS2040,Strata,1997
19262,LMS2042,Strata,1995
19263,LMS2045,Strata,1995
19264,LMS2048,Strata,1997
19265,LMS2068,Strata,1995
19266,LMS2071,Strata,1995
19267,LMS2076,Strata,1995
19268,LMS2093,Strata,1995
19269,LMS2118,Strata,1995
19270,LMS2124,Strata,1996
19271,LMS2130,Strata,1997
19272,LMS2149,Strata,1995
19273,LMS2150,Strata,1997
19274,LMS2162,Strata,1997
19275,LMS2168,Strata,1995
19276,LMS2175,Strata,1995
19277,LMS2176,Strata,1995
19278,LMS2183,Strata,1995
19279,LMS2184,Strata,1995
19280,LMS2197,Strata,1995
19281,LMS2198,Strata,1995
19282,LMS2209,Strata,1995
19283,LMS222,Strata,1993
19284,LMS2236,Strata,1995
