,ACCESSIBILITY,COMMENTS,CRE_DATE,MATERIAL,MOD_DATE,ROAD_CLASS,WEBLINK
714,Open,,20120822,Asphalt,20161031,Local,
715,,Parking Lot,,,20170605,Other,
716,,Parking Lot,,,20170605,Other,
717,,Parking Lot,20160204,,20170605,Other,
718,,,,,,,
719,,Parking Lot,20170605,,20170605,,
720,,Parking Lot,,,20170605,,
721,,,20160202,,,Other,
722,,,20151117,,20180627,Local,
723,Open,,20120822,Asphalt,,,
724,Open,,20131203,,20150727,,
725,Open,,20131121,,20160203,,
726,Open,,20140506,,20160111,,
727,Closed to Traffic,,20140113,Asphalt,20140113,,
728,,,20151126,,20151126,,
729,Open,,20121219,Asphalt,20180504,,
730,Open,,20121219,Asphalt,20121004,,
731,,,20170413,,20170413,,
732,Open,,20140219,Asphalt,20160203,,
733,Open,,20121219,,20130710,,
734,,,20170413,,20170608,,
735,Open,,20170822,Asphalt,20170822,Ramp,
736,Open,,20120822,Asphalt,,,
737,,,20130118,,,,
738,,Parking Lot,20130125,Asphalt,20151208,Unknown,
739,Open,,20121019,Asphalt,20130121,Local,
740,,,20130121,,,,
741,,Parking Lot,20160202,,20170605,Other,
742,,Parking Lot,,,20170605,,
743,,Parking Lot,,,20170605,,
744,Open,,20121001,Asphalt,20160201,Arterial,
745,Open,,20140310,Concrete,20150409,Ramp,
746,Open,,20121019,Asphalt,20150409,Arterial,
747,Open,,20121019,Asphalt,20121019,Local,
748,,,20151126,,20151126,,
749,Open,Overpass,20131220,Concrete,20150317,Ramp,
750,,,20151126,,,,
751,Open,,20140219,Asphalt,20140219,,
752,,,20120822,Asphalt,20140109,,
753,,,20140505,,,,
754,,,20170518,,,,
755,,,20130718,,20130719,,
756,,,20130718,,,,
757,,,20130719,,20130719,,
758,,,20131007,,20131007,,
759,,,20140424,,,,
760,Open,,20120822,Asphalt,,,
761,Open,,20170322,Asphalt,20170322,,
762,Open,,20130712,,20130712,,
763,Open,,20121219,Asphalt,20170728,,
764,Open,,20170821,Concrete,20170821,Ramp,
765,Open,Overpass,20140729,Concrete,20160114,Local,
766,Open,,20121001,Asphalt,20170718,Local,
767,Open,,20121211,Gravel,20121001,Lane,
768,Open,,20120822,Asphalt,,,
769,Open,,20121211,Asphalt,20121102,Local,
770,Open,,20131203,Asphalt,20130710,Local,
771,Open,,20121211,Asphalt,20150605,Highway,
772,,,20170321,,,,
773,,Strata,20150825,,20150825,Other,
774,,,20151125,,20151125,,
775,Open,,20131203,Asphalt,20170124,,
776,,,20170320,,,,
777,Open,,20131203,,20180329,,
778,Open,,20121211,Asphalt,20121102,Local,
779,,,20121220,,20160205,,
780,,,20131203,,20170731,,
781,,,20170321,,,,
782,,,20170328,,20170328,,
783,,,20170321,,,,
784,,,20170403,,20170403,,
785,,,20170403,,20170403,,
786,,,20170328,,20170328,,
787,,,20170403,,,,
788,,,20170331,,20170331,,
789,,,20170403,,20180416,,
790,,,20121220,,20121102,,
791,,,20170321,,20170321,,
792,,,20170410,,20170410,,
793,,,20170410,,,,
794,,,20170410,,,,
795,,,20170321,,20180328,,
796,,,20121220,,20170731,,
797,Open,Strata,20140821,Asphalt,20140822,Other,
798,Open,,20131203,,20180710,,
799,Open,Strata,20140821,Asphalt,20140822,Other,
800,,,20131203,,20151223,,
801,Open,,20120822,Asphalt,20171026,,
802,Open,,20121107,Asphalt,20170123,Local,
803,Open,,20121107,Asphalt,20180717,Local,
804,Open,Parking Lot,20140320,Asphalt,20180814,Other,
805,Closed to Traffic,Truck Weight Station,20121107,Asphalt,20180814,Other,
806,Open,,20121107,Asphalt,20160929,Collector,
807,Open,,20121107,Asphalt,20161006,Collector,
808,Open,,20121001,Asphalt,20161028,,
809,Open,,20121220,Asphalt,20121102,,
810,,Parking Lot,20170315,,20170605,,
811,,,20151126,,20151126,Other,
812,,,20121220,,20160118,,
813,Open,,20120822,Asphalt,,,
814,Open,,20121211,Gravel,20121102,Lane,
815,Open,,20121001,Gravel,20150714,Lane,
816,Open,,20121001,Asphalt,20150714,Local,
817,Open,,20121211,Asphalt,20121102,Local,
818,,,20121220,,20171027,,
819,Open,,20121211,Asphalt,20150624,Local,
820,Open,,20121001,Asphalt,20180507,Local,
821,,,20140902,,20140902,,
822,,,20131203,,20150525,,
823,,,20121220,,20171027,,
824,,Parking Lot,20170320,,20170605,,
825,,,20121220,,20150525,,
826,Open,,20120822,Asphalt,,,
827,,,20121220,,20171026,,
828,,,20121220,,20170410,,
829,Open,,20131203,,20180620,,
830,,,20130424,,20131203,,
831,,,20131203,,20131203,,
832,Open,Trailer Park,20140818,Asphalt,20140822,Other,
833,Open,Trailer Park,20140819,Asphalt,20140822,Other,
834,Open,Strata,20140821,Asphalt,20140822,Other,
835,Open,Strata,20140821,Asphalt,20140822,Other,
836,Open,Strata,20140117,Asphalt,20140117,Other,
837,Null,,20130708,Asphalt,20160817,Arterial,
838,Open,,20121219,,20140918,,
839,Open,,20170524,Asphalt,20170524,Lane,
840,Open,,20170524,Asphalt,20170524,Lane,
841,Open,,20120822,Asphalt,20120928,Local,
842,Open,,20170524,Asphalt,20170524,Lane,
843,Open,,20170524,Asphalt,20170524,Lane,
844,Open,,20170524,Asphalt,20170524,,
845,Open,,20121219,Asphalt,20170524,Local,
846,Open,Strata,20140117,Asphalt,20140117,Other,
847,,,20170922,,20170922,Other,
848,Closed to Traffic,,20140113,Asphalt,20160215,Lane,
849,Open,,20140116,Asphalt,20160121,Arterial,
850,Open,,20170524,Asphalt,20170524,Lane,
851,Open,,20120822,Asphalt,20161012,Local,
852,Open,,20120822,Asphalt,20161012,Collector,
853,Open,,20120822,Asphalt,20161012,Collector,
854,Open,,20120822,Asphalt,20160928,Local,
855,Open,,20121219,Asphalt,20170823,,
856,,,20121220,,20131016,,
857,,,20121220,,20121102,,
858,,Parking Lot,20151127,,20170605,Other,
859,,,20121220,,20121102,,
860,,,20121220,,20170829,,
861,,,20121220,,20131203,,
862,,,20121220,,20140826,,
863,,,20121220,,20160714,,
864,,,20151117,,20151117,Local,
865,,,20121220,,20170717,,
866,,,20140505,,,,
867,Open,,20120822,Asphalt,,,
868,Open,,20121217,Asphalt,20121001,Local,
869,Open,,20121001,Gravel,20150715,Lane,
870,,,20170320,,20170320,,
871,,,20151116,,20151116,Other,
872,Open,,20150825,Asphalt,20150825,Lane,
873,,,20170830,,,,
874,,,20150820,,20180503,Local,
875,,,20150820,,20150820,Local,
876,,,20151116,,20151116,Other,
877,,,20150820,,20151207,Other,
878,,,20151124,,20151124,Other,
879,,,20170413,,20170413,,
880,,,20151120,,20151120,Other,
881,Open,,20120822,Asphalt,20171017,,
882,,,20121220,,20160718,,
883,,,20121219,,20121102,,
884,Open,Trailer Park,20140819,Asphalt,20140822,Other,
885,Open,,20121219,,20131203,,
886,Open,,20131203,,20180607,,
887,Open,,20131203,,20131203,,
888,Open,,20170821,,20170821,Ramp,
889,Open,,20131203,,20170117,,
890,,Parking Lot,20150820,,20151207,Unknown,
891,,,20170621,,,,
892,,,20170621,,,,
893,,,20140930,,20141027,Other,
894,Open,Strata,20140117,Asphalt,20140117,Other,
895,,,20180209,,20180209,Arterial,
896,,Parking Lot,20140829,,20151218,Other,
897,Open,,20121211,Asphalt,20151218,Local,
898,,,20140829,,20141027,,
899,Open,Strata,20140829,Asphalt,20140829,,
900,Open,Strata,20140829,Asphalt,20140829,,
901,Open,,20121219,,20161024,,
902,Open,Strata,20140822,Asphalt,20140822,Other,
903,Open,,20121211,Asphalt,20120928,Local,
904,Open,,20120822,Asphalt,20150119,Collector,
905,,Parking Lot,20140829,,20160201,Other,
906,Open,,20121211,Asphalt,20160129,Lane,
907,Open,,20121219,Asphalt,20130709,,
908,,,20151127,,20151127,Other,
909,,,20121220,,20150716,,
910,,,20170316,,,,
911,,,20121220,,20160721,,
912,,,20131121,,20131121,,
913,,,20170316,,20170803,,
914,,,20121220,,20170803,,
915,Open,,20140121,,20170822,Ramp,
916,Open,,20120822,Asphalt,,,
917,,,20121220,,20170822,,
918,,,20140529,,20150813,Local,
919,,,20150820,,20150820,Null,
920,,,20140717,,20180326,,
921,,,20151118,,,Other,
922,,,20121219,,20170125,Highway,
923,Open,,20120822,Asphalt,,,
924,,,20121219,,20140527,,
925,,,20130424,,20130424,,
926,,,20130424,,,,
927,,,20121219,,20180619,,
928,,,20121219,,20121102,,
929,Open,,20121102,Asphalt,20121102,Local,
930,Open,,20121102,Asphalt,20121102,Lane,
931,,,20151127,,20151127,,
932,Open,,20121102,Asphalt,20121102,Lane,
933,Open,,20121219,Asphalt,20150717,,
934,Open,Strata,20140822,Asphalt,20140822,Other,
935,,Strata,20140829,,20140829,Other,
936,,,20130416,,20130416,,
937,Open,Strata,20130418,Asphalt,20140117,Other,
938,Open,,20120822,Asphalt,,,
939,,,20130404,,20130404,,
940,Closed to Traffic,Parking Lot,20130405,Asphalt,20140117,Other,
941,,Strata,20130404,,20140829,,
942,Open,,20121219,Asphalt,20180803,Local,
943,Closed to Traffic,Parking Lot,20130405,Asphalt,20140117,Other,
944,Closed to Traffic,Parking Lot,20130405,Asphalt,20140117,Other,
945,Closed to Traffic,Parking Lot,20130405,Asphalt,20140117,Other,
946,Open,,20121219,Asphalt,20180803,Local,
947,,,20130404,,20150218,,
948,Null,,20130708,Asphalt,20130708,,
949,,Strata,20130405,,20140117,Other,
950,Open,,20121219,Asphalt,20180803,Local,
951,Open,,20121211,Asphalt,20120928,Lane,
952,Open,,20140116,Gravel,20160704,Other,
953,Open,,20130709,,20170322,Highway,
954,Open,,20140116,Asphalt,20140114,,
955,Open,,20120822,Asphalt,,,
956,,,20151130,,,Other,
957,,,20151130,,20151130,Other,
958,,,20151130,,20151130,Other,
959,,,20151130,,,Other,
960,,Parking Lot,20170317,,20170605,,
961,,Parking Lot,20170317,,20170605,,
962,,Parking Lot,20151130,,20170605,Other,
963,,,20151130,,,Other,
964,,,20151130,,,Other,
965,,,20151201,,20151201,Other,
966,,,20151201,,,Other,
967,,,20151130,,,Other,
968,,,20151201,,,Other,
969,,,20151201,,,Other,
970,,,20151201,,,Other,
971,,Parking Lot,20170317,,20180416,,
972,,,20151201,,20151201,Other,
973,,,20151201,,,Other,
974,Open,,20120822,Asphalt,,,
975,Open,,20120822,Asphalt,,,
976,,,20131204,,,,
977,Open,,20131204,,20131204,,
978,Open,,20120822,Asphalt,20121102,Arterial,
979,Open,Overpass,20120822,Asphalt,20170804,Ramp,
980,Open,,20131121,,20180411,,
981,,,20121220,,20170804,,
982,,,20121220,,20160718,,
983,,,20130903,,20160718,,
984,Open,,20131121,,20160128,,
985,Open,,20131121,Asphalt,20170822,Arterial,
986,,,20131203,,20131203,,
987,Open,,20120822,Asphalt,20170818,Ramp,
988,,,20140908,,20150915,Arterial,
989,,,20121219,,20170125,,
990,,,20131121,,20180612,,
991,Open,,20120822,Asphalt,20170822,Ramp,
992,Open,,20120822,Asphalt,20130712,,
993,,,20121219,,20121102,,
994,Open,,20140423,,20170628,,
995,,,20130424,,20130424,,
996,,,20180509,,20180509,Local,
997,Open,,20120822,Asphalt,20170822,Ramp,
998,Open,,20121219,,20131115,,
999,Null,,20120822,Asphalt,20130710,,
1000,,,20151127,,20151127,,
1001,,,20151127,,20151127,,
1002,,,20151127,,20151127,,
1003,Open,,20131203,,20130710,,
1004,Open,,20150611,,20150617,,
1005,,,20151125,,20151125,Other,
1006,,,20151125,,20151125,Other,
1007,Open,,20150611,,20160107,,
1008,,,20170621,,,,
1009,,,20170719,,,,
1010,,,20170719,,,,
1011,Open,Strata,20130404,Asphalt,20140117,Other,
1012,,,20130404,,20150811,,
1013,Closed to Traffic,Strata,20130710,Asphalt,20140829,Other,
1014,Open,,20140116,Asphalt,20160704,Highway,
1015,Closed to Traffic,,20140117,Asphalt,20140117,Other,
1016,Closed to Traffic,,20130321,Asphalt,20140117,Other,
1017,,Strata,20140829,,20141027,Other,
1018,Open,,20131121,Asphalt,20180604,,
1019,,Parking Lot,20130321,,20140116,,
1020,Open,,20131219,Asphalt,20180802,Highway,
1021,Closed to Traffic,Parking Lot,20130321,Asphalt,20140117,Other,
1022,Open,,20121219,Asphalt,20180604,,
1023,Open,,20150317,Asphalt,20180618,,
1024,Open,,20121219,Asphalt,20131203,,
1025,,,20170315,,,,
1026,,Parking Lot,20130124,,20170605,,
1027,,,20130122,,20130122,,
1028,,Parking Lot,20170605,,20170605,,
1029,Open,,20131203,,20180524,,
1030,,,20161130,,20161130,,
1031,,,20130109,Asphalt,20130212,,
1032,,,20130122,,20161124,,
1033,,,20131203,,20130109,,
1034,,,20131203,,20180508,,
1035,,,20141202,,20141202,,
1036,Open,,20120822,Asphalt,,,
1037,Open,,20120822,Asphalt,,,
1038,Open,,20130314,,20160829,,
1039,,,20150820,,20150820,Local,
1040,Open,,20131203,,20131203,,
1041,,,20150820,,20150820,Local,
1042,,,20141027,,20150820,Lane,
1043,Open,,20151208,Asphalt,20151208,Other,
1044,Open,,20120822,Asphalt,,,
1045,,,20131203,,20130507,,
1046,Open,,20120822,Asphalt,,,
1047,,,20170822,,20170822,Ramp,
1048,,,20160209,,20160209,Arterial,
1049,,,20131015,,20131015,,
1050,,,20121219,,20160830,,
1051,Open,,20120822,Asphalt,,,
1052,,,20131015,,20150814,,
1053,Open,,20120822,Asphalt,20160209,,
1054,,,20160209,,20160209,Arterial,
1055,,,20151127,,,,
1056,,,20151130,,20151130,,
1057,,,20151120,,20151120,Other,
1058,,,20151127,,,,
1059,,,20121219,,20180221,,
1060,Open,,20131121,,20130725,,
1061,,,20151125,,20170116,Other,
1062,,,20151125,,20151125,Other,
1063,Open,,20131121,Asphalt,20150720,,
1064,Open,,20170821,,20170821,Ramp,
1065,,,20130320,,20150623,,
1066,Open,,20130320,,20160229,,
1067,,,20150820,,20150820,Other,
1068,,,20141027,,20151014,Local,
1069,Open,,20121219,Asphalt,20160118,,
1070,Open,,20131121,Asphalt,20180430,,
1071,Open,,20121219,Asphalt,20160118,,
1072,Open,,20131203,Asphalt,,,
1073,Open,,20131203,Asphalt,20131203,,
1074,Open,,20121019,Asphalt,20121019,Local,
1075,,,20160729,,,,
1076,,,20130125,,,,
1077,Open,,20131121,Asphalt,20160129,,
1078,Open,,20120822,Asphalt,20130709,,
1079,,,20130117,,20130117,,
1080,,,20141029,,20141029,,
1081,,,20151201,,,Other,
1082,,,20141029,,20141029,,
1083,Open,,20131203,,20131203,,
1084,Open,,20120822,Asphalt,,,
1085,,,20160524,Gravel,20160831,Other,
1086,,,20131203,,20150717,,
1087,,,20151125,,20160401,Local,
1088,Closed to Traffic,,20120822,Gravel,20120928,Lane,
1089,,,20121219,,20121102,,
1090,,,20121219,,20121102,,
1091,Open,,20130117,,20171025,,
1092,Open,,20121219,,20180606,,
1093,Open,,20121219,,20170821,,
1094,Open,,20170821,,20170822,,
1095,,Parking Lot,20130710,,20140121,,
1096,Open,,20130423,,20130822,,
1097,Open,,20130320,,20170315,,
1098,Open,,20130709,Asphalt,20130709,,
1099,Open,,20121019,Asphalt,20130219,Local,
1100,,,20131203,,20160118,,
1101,,,20170822,,20131203,,
1102,Open,,20121001,Asphalt,20121001,Local,
1103,Open,,20131203,,20160219,,
1104,Open,,20121219,,20160219,,
1105,Open,,20121219,,20170614,,
1106,Open,,20121219,,20160722,,
1107,Open,,20120822,Asphalt,,,
1108,Open,,20130926,Asphalt,20161019,,
1109,Open,,20161019,Asphalt,20161025,,
1110,Open,,20120822,Asphalt,,,
1111,Open,,20150622,,20150622,,
1112,Open,,20170821,,20180327,,
1113,Open,,20121220,,20170123,,
1114,Open,,20130821,,20170126,,
1115,,,20151125,,,Other,
1116,Open,,20151207,Asphalt,20151207,Ramp,
1117,,,20170125,,20170125,Arterial,
1118,Open,,20131203,Asphalt,20131203,,
1119,,Parking Lot,20160202,,20170605,Other,
1120,,,20151208,,20151208,Other,
1121,,Parking Lot,20170605,,20170605,Other,
1122,,,20160202,,20160202,Other,
1123,,,20160202,,,Other,
1124,,,20160202,,,Other,
1125,Open,Parking Lot,20151201,,20160202,Unknown,
1126,,,,,,,
1127,,Parking Lot,,,20170605,,
1128,Open,,20120822,Asphalt,,,
1129,,,20140505,,,,
1130,Null,,20130710,,20130710,,
1131,Open,,20121219,,20160111,,
1132,Open,,20120822,Asphalt,,,
1133,,,20151126,,,,
1134,,,20130425,,,,
1135,,,20130425,,,,
1136,Open,,20131121,Asphalt,20180626,,
1137,Open,,20131203,,20180328,,
1138,Open,Overpass,20140121,Concrete,20160628,Ramp,
1139,Open,,20121219,Asphalt,,,
1140,Open,,20131203,Asphalt,,,
1141,Open,,20131203,Asphalt,20151207,,
1142,Open,,20121019,Asphalt,20121019,Local,
1143,,,,,,Other,
1144,,,20130125,,20160204,,
1145,Open,Parking Lot,20130125,Asphalt,20151208,Unknown,
1146,,,20130121,,20130121,,
1147,,,,,,Other,
1148,,,,,20170605,,
1149,Open,,20121019,Asphalt,20121019,Local,
1150,,,20130121,,20130121,,
1151,,,20130125,,,,
1152,,Parking Lot,,,20170605,,
1153,Open,,20120822,Asphalt,20151208,,
1154,Open,,20121019,Asphalt,20121019,Lane,
1155,Open,,20121019,Asphalt,20121019,Local,
1156,,,20151125,,20151125,Other,
1157,Open,,20140404,Asphalt,20130930,,
1158,,,20130719,,20130719,,
1159,Open,,20140219,Asphalt,20140219,,
1160,,,20130719,,,,
1161,,,20131007,,20131007,,
1162,Open,,20120822,Asphalt,20130305,,
1163,Open,,20120822,Asphalt,,,
1164,,,20180509,,20180509,Unknown,
1165,Open,,20140218,,20180613,,
1166,,,20140121,,20160623,,
1167,,,20130117,,20130117,,
1168,Open,,20151207,Asphalt,20151207,Lane,
1169,Open,,20120822,Asphalt,,Local,
1170,Open,,20130711,,20130711,,
1171,Open,,20121220,Asphalt,20170802,,
1172,Open,,20121001,Asphalt,20121001,Local,
1173,,,20170320,,,,
1174,Open,,20131203,Asphalt,20121102,Local,
1175,,,20150415,,20150415,,
1176,Open,,20120822,Asphalt,20150825,Local,
1177,Open,,20121211,Asphalt,20130711,Local,
1178,,,20151125,,20151125,,
1179,,,20170320,,,,
1180,,,20151125,,20151125,,
1181,,,20150814,,20150814,Other,
1182,Open,,20150818,Asphalt,20150818,Lane,
1183,,,20121220,,20180416,,
1184,,,20120822,Asphalt,20150818,Lane,
1185,,,20131011,,20150622,,
1186,Open,,20130710,Asphalt,20121102,Local,
1187,,,20170322,,20170322,,
1188,,,20170403,,,,
1189,,,20151119,,20151119,Other,
1190,,,20170403,,,,
1191,,,20130920,,20121102,,
1192,Open,Strata,20140821,Asphalt,20140822,Other,
1193,Open,Strata,20140821,Asphalt,20140822,Other,
1194,Open,Strata,20140821,Asphalt,20140822,Other,
1195,,,20140929,,20141027,Other,
1196,,,20121220,,20161026,,
1197,Open,Strata,20140821,Asphalt,20140822,Other,
1198,Open,,20121219,,20130708,,
1199,Open,,20121219,,20161021,,
1200,,,20131203,,20151223,,
1201,Open,,20121219,Asphalt,20161108,,
1202,,,20130813,,20130813,,
1203,Open,,20131203,Asphalt,20161108,,
1204,Open,,20170118,Asphalt,20170118,,
1205,Open,,20130123,Asphalt,20180824,,
1206,Open,,20121219,Asphalt,,,
1207,Open,,20170821,Asphalt,20170117,Arterial,
1208,Open,,20131203,Asphalt,20170821,Arterial,
1209,Open,,20130422,,20160112,,
1210,Open,,20130422,,20130710,,
1211,Open,,20121219,Asphalt,20180108,,
1212,Open,,20120822,Asphalt,,,
1213,Open,,20120822,Asphalt,20170124,Arterial,
1214,,,20170627,,20170628,,
1215,Open,,20120822,Asphalt,20160113,Arterial,
1216,,Parking Lot,20170524,,20180814,Other,
1217,Open,,20120822,Asphalt,20160113,Arterial,
1218,,Parking Lot,20170524,,20180814,Other,
1219,Closed to Traffic,Parking Lot,20140115,Asphalt,20170524,Lane,
1220,Open,,20140116,Asphalt,20140121,Arterial,
1221,Open,,20121107,Asphalt,20160927,Lane,
1222,Open,,20121107,Asphalt,20160929,Local,
1223,Closed to Traffic,,20170524,,20160215,Lane,
1224,Open,,20140116,Asphalt,20160122,Highway,
1225,,,20160606,Asphalt,20160606,Lane,
1226,Open,,20121220,Asphalt,20160914,,
1227,,,20151126,,20151126,Other,
1228,,,20151126,,20151126,Other,
1229,Open,,20121001,Asphalt,20171107,,
1230,Open,,20121220,Asphalt,20160119,,
1231,,,20121220,,20160118,,
1232,,,20131203,,20160315,,
1233,Open,,20120822,Asphalt,,,
1234,Open,,20120822,Asphalt,,,
1235,Open,,20131203,Asphalt,20150715,Collector,
1236,Open,,20150714,Asphalt,20150714,Collector,
1237,Open,,20121211,Asphalt,20121102,Lane,
1238,,,20131203,,20141106,,
1239,,,20170320,,,,
1240,,,20140225,,20150818,Lane,
1241,Open,,20140225,Asphalt,20171211,,
1242,,,20121220,,20180328,,
1243,,,20170320,,,,
1244,,,20121220,,20121102,,
1245,Open,,20120822,Asphalt,,,
1246,,,20130213,,20121102,,
1247,,,20121220,,20170124,,
1248,,,20170328,,,,
1249,,,20121220,,20170206,,
1250,Open,,20130424,,20160119,,
1251,,,20130424,,20160119,,
1252,Open,,20130424,,20130710,,
1253,Open,,20131203,,20180124,,
1254,,,20160909,,20160909,Other,
1255,Open,,20131203,,20161021,,
1256,Open,,20121219,,20130710,,
1257,Open,,20121219,,20151221,,
1258,Open,Strata,20140821,Asphalt,20140822,Other,
1259,Open,,20121218,Asphalt,20121102,Lane,
1260,Open,,20121218,Asphalt,20150702,Lane,
1261,Open,Strata,20140821,Asphalt,20140822,Other,
1262,Open,Strata,20140821,Asphalt,20140822,Other,
1263,Open,Strata,20140821,Asphalt,20140822,Other,
1264,Open,,20121219,,20150828,,
1265,Open,,20170524,Asphalt,20170524,Lane,
1266,Open,,20170524,Asphalt,20170524,Lane,
1267,Open,,20130125,Asphalt,20170524,,
1268,Open,,20170524,Asphalt,20170524,Lane,
1269,,,20160607,,20160607,Lane,
1270,,,20170628,,,,
1271,,,20170922,,20170922,Other,
1272,Open,Strata,20140117,,20140117,Other,
1273,Open,,20131203,Asphalt,20180409,,
1274,Open,,20121107,Asphalt,20160929,Lane,
1275,Open,,20120822,Asphalt,20161006,Local,
1276,Open,,20120822,Asphalt,20170110,Local,
1277,Open,,20121107,Asphalt,20150218,Collector,
1278,Open,,20120822,Asphalt,20161012,Local,
1279,Open,Strata,20140117,Asphalt,20140117,Other,
1280,Open,,20130301,,20160120,,
1281,,,20170315,,,,
1282,Open,,20120822,Asphalt,,,
1283,,,20151117,,20151117,Local,
1284,,,20131121,,20130507,,
1285,Open,,20120822,Asphalt,,,
1286,,,20170830,,,,
1287,,,20130913,,,,
1288,,,20130913,,20130913,,
1289,Closed to Traffic,,20121217,Gravel,20121001,Lane,
1290,Open,,20121001,Asphalt,20161017,Arterial,
1291,,,20131203,,,,
1292,,,20161021,,20161021,Arterial,
1293,,,20150820,,20170731,Local,
1294,,,20131203,,20150825,Local,
1295,,,20150820,,20170731,Local,
1296,,,20151207,,,Other,
1297,,,20170518,,,,
1298,,,20170320,,,,
1299,,,20170320,,,,
1300,,,20121220,,20170118,,
1301,,,20170320,,,,
1302,,,20130523,,,,
1303,,,20170518,,20170518,,
1304,,,20130909,,20150825,Arterial,
1305,,,20170609,,,,
1306,,,20121219,,20171026,,
1307,Open,,20131203,,20141114,,
1308,,,20170412,,20170412,,
1309,Open,,20121219,,20150724,,
1310,,,20170412,,20170412,,
1311,,,20121219,,20170118,,
1312,,,20121219,,20140527,,
1313,,,20121220,,20170612,,
1314,Open,,20120822,Asphalt,20171017,Lane,
1315,Open,,20121219,,20171017,,
1316,Open,,20121219,,20171017,,
1317,Open,,20131203,,20131203,,
1318,Open,,20170821,,20170822,Ramp,
1319,Open,,20170822,,20170822,Ramp,
1320,Open,Parking Lot,20180802,Asphalt,20180802,Other,
1321,Open,,20170822,,20150720,,
1322,,,20130424,,20180802,,
1323,Open,Parking Lot,20130710,Asphalt,20180802,Other,
1324,Open,,20121219,,20160823,,
1325,Open,,20120822,Asphalt,20130423,,
1326,,,20170614,,20170614,,
1327,Open,,20121219,,20130710,,
1328,Open,,20121219,,20170117,,
1329,Open,,20121219,,20160823,,
1330,,,20170621,,20170621,,
1331,,,20140930,,20141027,Other,
1332,Open,,20121211,Asphalt,20151217,Lane,
1333,Open,,20121219,Asphalt,20161222,,
1334,,,20140930,,20141027,Other,
1335,,Strata,20140829,,20140829,Other,
1336,Open,Strata,20140822,Asphalt,20140822,Other,
1337,Open,,20120928,Asphalt,20160129,Lane,
1338,Open,,20121211,Asphalt,20160108,Local,
1339,Open,,20120822,Asphalt,20151102,Local,
1340,Open,,20131203,Asphalt,20130709,,
1341,,,20121220,,20131203,,
1342,,,20170316,,20180725,,
1343,,,20170316,,20180725,,
1344,,,20140602,,20160129,,
1345,,,20151127,,20151127,Other,
1346,,Parking Lot,20170316,,20170605,,
1347,,,20151130,,20151130,Other,
1348,,,20151130,,,Other,
1349,,,20130219,,20121102,,
1350,Open,,20120822,Asphalt,,,
1351,,,20140505,,,,
1352,,,20131121,,20140213,,
1353,,,20121220,,20170822,,
1354,,,20121220,,20121102,,
1355,Open,,20121217,Asphalt,20161017,Local,
1356,Open,,20121001,Asphalt,20150715,Local,
1357,,,20151116,,20151116,Other,
1358,,,20130118,Asphalt,,,
1359,,,20150820,,20150820,Local,
1360,,,20150820,,20150820,Local,
1361,,,20150820,,20150820,Local,
1362,,,20131121,,20180509,,
1363,,,20140326,,20150820,Local,
1364,,,20170518,,20170518,,
1365,,,20170822,,20170822,Ramp,
1366,Open,,20150820,,20150820,Local,
1367,Open,,20120822,Asphalt,20180507,Lane,
1368,,,20170413,,20170413,,
1369,,,20170413,,,,
1370,Open,,20131203,,20130710,,
1371,,,20121219,,20150521,,
1372,,,20150820,,20170711,Other,
1373,,,20121219,,20160617,,
1374,Open,,20121102,Asphalt,20121102,Local,
1375,Open,,20121219,,20130710,,
1376,Open,,20121102,Asphalt,20121102,Local,
1377,Open,,20121219,,20160202,,
1378,Open,Strata,20140822,Asphalt,20140822,Other,
1379,Open,,20121219,Asphalt,20150827,,
1380,Open,,20121219,Asphalt,,,
1381,,,20170621,,,,
1382,Open,,20120822,Asphalt,20120928,Lane,
1383,,,20130417,,,,
1384,,,20130416,,20170407,,
1385,,,20130708,,20170410,,
1386,,,20130418,,20170410,,
1387,,,20130405,,,,
1388,,,20130405,,20150827,,
1389,,,20130416,,20150717,,
1390,Closed to Traffic,Parking Lot,20130405,Asphalt,20140117,Other,
1391,,Strata,20140829,,20140829,Other,
1392,,Parking Lot,20130404,,20140829,,
1393,Open,Strata,20130404,Asphalt,20140117,Other,
1394,Open,,20121211,Asphalt,20120928,Lane,
1395,Open,,20121211,Asphalt,,Lane,
1396,,,20170316,,20170316,,
1397,,Parking Lot,20170316,,20170605,,
1398,,Parking Lot,20170317,,20170803,,
1399,,,20170317,,,,
1400,,Parking Lot,20170317,,20170605,,
1401,,Parking Lot,20170317,,20170605,,
1402,,,20151130,,,Other,
1403,,,20151201,,,Other,
1404,,,20151201,,20151201,Other,
1405,,,20151201,,,Other,
1406,,,20151201,,20151201,Other,
1407,Open,,20121102,Asphalt,20170802,Local,
1408,Open,,20121220,Asphalt,20141211,Local,
1409,Open,,20120822,Asphalt,,,
1410,,,20121220,,20170803,,
1411,Open,,20131121,,20170804,,
1412,,,20141027,,20150902,Local,
1413,,,20171012,,20171012,Lane,
1414,Open,,20120822,Asphalt,20121102,Arterial,
1415,Open,,20141027,Asphalt,20160314,Local,
1416,Open,,20120822,Asphalt,,,
1417,Open,,20120822,Asphalt,,,
1418,,,20121220,,20130903,,
1419,Open,,20131203,,20131121,,
1420,,,20140908,,20150915,Ramp,
1421,Open,,20120822,Asphalt,,,
