,ACCESSIBILITY,COMMENTS,CRE_DATE,MATERIAL,MOD_DATE,ROAD_CLASS,WEBLINK
161,Open,Overpass,20120822,Concrete,20140313,Ramp,
162,Open,,20131121,,20140313,Arterial,
163,,,20151116,,,Other,
164,,,20170413,,20170922,,
165,,,20151116,,20151116,Other,
166,Open,,20150813,Concrete,20150813,Local,
167,,,20140529,,20150825,Local,
168,,,20130628,,20140320,,
169,,,20131203,,20170505,Lane,
170,,,20151118,,20151118,Other,
171,,,20170419,,20180507,,
172,,,20130424,,20170119,,
173,,,20121219,,20121102,,
174,Open,,20121219,,20130710,,
175,Open,,20121219,,20170117,,
176,Open,,20121219,,20130710,,
177,Open,,20121219,,20130710,,
178,Open,,20120822,Asphalt,20170117,Lane,
179,Open,,20121219,,20170117,,
180,Open,,20121102,Asphalt,20131203,Local,
181,Open,,20121219,,20130710,,
182,Open,,20121102,Asphalt,20121102,Lane,
183,,,20151127,,,,
184,Open,,20131203,,20150817,,
185,Open,,20121219,,20160928,,
186,,,20151127,,20160928,,
187,Open,,20121219,Asphalt,20150826,,
188,,Strata,20140829,,20140829,Arterial,
189,,,20170614,,,,
190,,,20130417,,20130417,,
191,,,20130708,,20130418,,
192,,,20130418,,,,
193,Open,,20130416,,20170410,,
194,,,20130416,,20130416,,
195,Closed to Traffic,Parking Lot,20130405,Asphalt,20140117,Other,
196,Open,Strata,20130404,Asphalt,20140117,Other,
197,Open,,20121219,Asphalt,20170823,Local,
198,Open,,20121211,Asphalt,20160928,Local,
199,Open,,20121211,Asphalt,20170119,Local,
200,Closed to Traffic,,20160701,Asphalt,20160704,Highway,
201,Open,,20121219,Asphalt,20170823,Local,
202,Open,,20120822,Asphalt,20170119,,
203,,Parking Lot,20170317,,20170605,,
204,,Parking Lot,20170317,,20170605,,
205,,Parking Lot,20170316,,20170605,,
206,,,20170317,,,,
207,,,20170317,,20170317,,
208,,,20151130,,,Other,
209,,,20151201,,,Other,
210,Open,,20120822,Asphalt,,,
211,,,20131203,,20180416,,
212,,,20121220,,20180626,,
213,,,20131203,,20170803,,
214,Open,,20121102,Asphalt,20151201,Local,
215,Open,,20130822,,20180327,,
216,Open,,20180524,,20180524,,
217,,,20141027,,20151116,Local,
218,,,20151119,,20151119,Other,
219,,,20121220,,20151009,,
220,Open,,20120822,Asphalt,20130709,,
221,Open,,20120822,Asphalt,20170818,Ramp,
222,Open,,20120822,Asphalt,,,
223,,,20151118,,20151118,Other,
224,,,20140324,,20180801,,
225,Open,,20121219,,20131115,,
226,Null,,20120822,Asphalt,20130710,,
227,,,20130424,,20180803,,
228,Open,,20131203,,20130710,,
229,Open,,20131203,,20130710,,
230,,,20151125,,20151125,Other,
231,,,20121219,,20121102,,
232,Open,,20121219,,20160928,,
233,,,20151125,,20151125,Other,
234,,,20151125,,20151125,Other,
235,Open,,20130722,,20160128,,
236,Open,,20131203,,20130711,,
237,,,20121219,,20151007,,
238,,,20170621,,,,
239,,,20170719,,,,
240,Open,,20131205,,20180328,,
241,Open,,20131203,,20131203,,
242,Open,,20131203,,20150617,,
243,Open,,20160107,,20160107,,
244,Open,,20121219,,20170822,,
245,Open,,20130712,,20180413,,
246,Open,Strata,20130404,Asphalt,20140117,Other,
247,,,20130321,,20130321,,
248,Closed to Traffic,Parking Lot,20140117,Asphalt,20140117,Other,
249,Closed to Traffic,Parking Lot,20130321,Asphalt,20140117,Other,
250,,,20130320,,,,
