,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MATERIAL,INVERT,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,YTD_COST,LIFECYCLE_COST,CONDITION,CONDITIONDATE,FLOW_WEIR,LAST_INSP_DATE,INSTALL_DATE,MAKE,MODEL,MANUFACTURER,VENDOR,I_I_SOURCE,I_I_QUANTITY,CONDITION_NOTATION,CRE_DATE,MOD_DATE,ENABLED,Latitude,Longitude
109,0,Ball,1000141369,28184,1265611500,63,Ductile Iron,,In Service,4515,1978,Surrey,,LINE BE-D,Final AB,,,,,,,,,,,,,,,,20051128,,1,49.211149,-122.870914
110,0,Ball,1000141370,28191,1277611501,75,Ductile Iron,0.89,In Service,4515,1978,Surrey,,LINE BE-D,Final AB,,,,,,,,,,,,,,,,20051128,,1,49.211159,-122.867578
111,3,Gate,1000141392,21701,1380403576,600,Ductile Iron,,In Service,SF-1912,1994,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011017,,1,49.067714,-122.839667
112,0,Ball,1000141209,27282,1194710379,200,Ductile Iron,1.39,Abandoned,S-757,1978,Surrey,,SEE ALSO S-019-096,Final AB,,,,,,,,,,,,,,,,20051024,20160708,0,49.190876,-122.890526
113,3,Gate,1001929233,,1544005979,200,Cast Iron,,In Service,4714-4040-00,2016,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20170501,20170501,1,49.111134,-122.794421
114,0,Ball,1000141212,27627,1207710356,100,Clay Tile,0.92,Abandoned,4516,1978,Surrey,,LINE BSW-H,Final AB,,,,,,,,,,,,,,,,20051102,20160708,0,49.190458,-122.886954
115,3,Gate,1000141241,22470,1179610713,250,Ductile Iron,,Abandoned,4857-002,1999,Surrey,,,Final AB,,,,,,,,,,,,,,,,20020104,20160708,0,49.196927,-122.894688
116,0,Ball,1000141284,27721,1287711594,75,PVC Plastic,0.92,Abandoned,4515,1978,Surrey,,LINE BE-I,Final AB,,,,,,,,,,,,,,,,20051105,20160708,0,49.212842,-122.864806
117,0,Ball,1000141285,27730,1287611624,75,Ductile Iron,0.63,Abandoned,4515,1978,Surrey,,LINE BE-H,Final AB,,,,,,,,,,,,,,,,20051107,20160708,0,49.213377,-122.864810
118,0,Ball,1000141289,27757,1299111624,150,Ductile Iron,0.9,Abandoned,1794-308,2000,Surrey,,,Final AB,,,,,,,,,,,,,,,,20051107,20160708,0,49.213372,-122.861644
119,0,Ball,1000141292,27776,1290311624,75,PVC Plastic,0.68,Abandoned,4515,1978,Surrey,,LINE BE-H,Final AB,,,,,,,,,,,,,,,,20051108,20160708,0,49.213376,-122.864063
120,0,Ball,1000141293,27778,1289411624,75,Ductile Iron,1.01,Abandoned,4515,1978,Surrey,,LINE BE-H,Final AB,,,,,,,,,,,,,,,,20051108,20160708,0,49.213376,-122.864319
121,0,Ball,1000141294,27783,1289011594,75,Ductile Iron,0.59,Abandoned,4515,1978,Surrey,,,Final AB,,,,,,,,,,,,,,,,20051108,20160708,0,49.212842,-122.864433
122,0,Ball,1000141315,27892,1227311437,75,Ductile Iron,0.52,Abandoned,4515,1977,Surrey,,LINE BW-C,Final AB,,,,,,,,,,,,,,,,20051115,20160708,0,49.210022,-122.881497
123,0,Ball,1000141317,27901,1233211494,63,Ductile Iron,1.11,Abandoned,4515,1977,Surrey,,LINE BW-C,Final AB,,,,,,,,,,,,,,,,20051115,20160708,1,49.211050,-122.879862
124,3,Gate,1000141393,22595,1389303500,200,Ductile Iron,0.09,In Service,S-810,1994,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011017,,1,49.066329,-122.837223
125,2,Expansion Joint,1001699754,,1211011261,50,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.206845,-122.886001
126,3,Gate,1000141396,28241,1840605220,250,Ductile Iron,3.72,In Service,7897-0028-00,2005,Surrey,,,Final AB,,,,,,,,,,,,,,,,20051201,,1,49.097204,-122.712761
127,2,Expansion Joint,1001699755,,1210211254,50,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.206705,-122.886231
128,2,Expansion Joint,1001699756,,1210011252,50,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.206681,-122.886273
129,2,Expansion Joint,1001699753,,1211411262,50,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.206853,-122.885886
130,3,Gate,1000141403,25944,1542405611,100,Ductile Iron,,In Service,7899-0102-00,2004,Surrey,,,Final AB,,,,,,,,,,,,,,,,20041105,,1,49.104477,-122.794895
131,3,Gate,1000141404,21565,1813300702,150,Ductile Iron,8.56,In Service,7886-3820,1987,Private,,,Final AB,,,,,,,,,,,,,,,,19981009,,1,49.015485,-122.720736
132,3,Gate,1000141405,21599,1601301557,450,Ductile Iron,,In Service,4797-5020-00,2000,Surrey,,,Final AB,,,,,,,,,,,,,,,,20010928,20071203,1,49.031077,-122.778980
133,3,Gate,1000141406,21752,1600701543,50,Ductile Iron,,In Service,4514,1979,Surrey,,AIR RELEASE VALVE & BOX,Final AB,,,,,,,,,,,,,,,,20011029,,1,49.030822,-122.779153
134,3,Gate,1000141407,21753,1600701421,50,Ductile Iron,,In Service,4514,1979,Surrey,,AIR RELEASE VALVE & BOX,Final AB,,,,,,,,,,,,,,,,20011029,,1,49.028623,-122.779161
135,3,Gate,1000141409,21754,1600701373,50,Ductile Iron,,In Service,4514,1979,Surrey,,AIR VALVE,Final AB,,,,,,,,,,,,,,,,20011029,,1,49.027751,-122.779165
136,2,Expansion Joint,1001699757,,1215511332,100,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.208116,-122.884756
137,3,Gate,1000141120,26958,1282211151,75,Polyethylene,2.5,In Service,4798-504,2005,Surrey,,,Final AB,,,,,,,,,,,,,,,,20050623,,1,49.204803,-122.866348
138,3,Gate,1000141121,26960,1284711150,200,Ductile Iron,2.95,In Service,4798-504,2005,Surrey,,,Final AB,,,,,,,,,,,,,,,,20050623,,1,49.204777,-122.865632
139,3,Gate,1000141124,21747,1194610421,150,Ductile Iron,,In Service,S-757,1989,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011026,,1,49.191638,-122.890552
140,0,Ball,1000141371,28196,1277111509,75,Ductile Iron,0.76,In Service,4515,1978,Surrey,,LINE BE-F,Final AB,,,,,,,,,,,,,,,,20051128,,1,49.211310,-122.867725
