,AREA_SUBTYPE,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LENGTH_M,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NO_OF_HANDICAPPED_UNITS,NO_OF_SPACES,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_AREA_TYPE,PARK_AREA_TYPE2,PARK_FACILITY_TYPE,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SECURE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,STRUCTURES_INSPECTION_ROUTE,SURFACE_TYPE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH_M,WORK_ASSIGNMENT,YEAR_ADDED,YRS_LIFE_EXPECTANCY
29,Unimproved Land,,,,,20170601,58C - Neighbourhood Park,1001933371,,,,1001933367,,7414 184 St,,,058,,20180320,,,"58C - Neighbourhood Park, 7414 74 Ave",,,0,General Area,,,,,,,,,,,,,,,,,,2017,
30,Unimproved Land,,,,,20180605,37A - Greenbelt,1002055114,,,,1002055113,,9043 184 St,,,037,,20180605,,,"37A - Greenbelt, 9043 184 St",,,0,General Area,,,,,,,,,,,,,,,,,,2018,
31,Unimproved Land,,,,,20180116,"Keery Park, 18791 28 Ave",1001980702,,,,,,,,,,,20180116,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
32,Unimproved Land,,,,,20130315,"118A - Greenbelt,3071 188 St",1001580860,,,,,,,,,118,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
33,Unimproved Land,,,,,20131204,108A - Greenbelt,1001720711,,,,,,,,,,,20131204,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
34,Unimproved Land,,,,,20130325,"88E - Greenbelt,18949 52 Ave",1001581739,,,,,,,,,88,,20130325,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
35,Unimproved Land,,Now larger lot 6495 192 St,,,20130404,"68L - Greenbelt,6497 192 St",1001740107,,,,,,,,,068,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
36,Unimproved Land,,,,,20180117,58B - Neighbourhood Park,1001980783,,,,,,,,,,,20180117,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
37,Unimproved Land,,,,,20160203,58B - Neighbourhood Park,1001857425,,,,,,7271 191 St,,,,,20160203,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
38,Unimproved Land,,,,,20170915,138A - Greenbelt,1001946992,,,,1001946991,,1549 192 St,Parks,,138,,20170915,,,"138A - Greenbelt, 1549 192 St",Park,Parks,0,General Area,,,,,,,,OPERATING,,,,,,,,,,2017,
39,Unimproved Land,,,,,20130315,"68L - Greenbelt,6497 192 St",1001580783,,,,,,,,,068,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
40,Unimproved Land,,,,,20160802,"R.A. Nicholson Park, 12152 75 Avr",1001885556,,,,,,,,,,,20160802,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
41,Unimproved Land,,,,,20140528,"70L - Greenbelt,5804 125 St",1001751335,,,,,,,,,070,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
42,Unimproved Land,,,,,20130315,"Holland Park,13467 98b Ave",1001580763,,,,,,,,,021,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2011,
43,Unimproved Land,,,,,20180320,,1001991294,,,,,,,,,,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,,
44,Unimproved Land,,,,,20130325,"22F - Neighbourhood Park, 9671 137 St",1001581752,,,,,,,,,,,20130325,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
45,Unimproved Land,,,,,20150416,McLeod Park,1001879025,,,,,,,,,,,20180320,,,"McLeod Park, 6306 140 St",,,0,General Area,,,,,,,,,,,,,,,,,,2015,
46,Unimproved Land,,,,,20160322,72S - Greenbelt,1001866042,14094,,,1001866041,,14094 62 Ave,,,072,,20180320,,,72S - Greenbelt; 14094 62 Ave,,,0,General Area,,,,06200,,,,,,,,,,,,,,2016,
47,Unimproved Land,,,,,20161107,"Bonaccord Creek Park, 10927 144 St",1001896139,,,,,,,,,,,20161107,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
48,Unimproved Land,,,,,20160120,103F - Greenbelt,1001854738,,,,,,,,,,,20160120,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
49,Unimproved Land,,,,,20130617,73J - Greenbelt,1001602780,14445,,,,,,,,73,,20130617,,,,,,0,General Area,,,,06000,,,,OPERATING,,,,,,,,,,2013,
50,Unimproved Land,,,,,20130315,"Invergarry Park,11267 Dumbarton Rd",1001580817,,,,,,,,,003,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
51,Unimproved Land,,,,,20130315,"103D - Utility ROW,14900 35 Ave",1001580801,,,,,,,,,103,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2003,
52,Unimproved Land,,,,,20130315,"103D - Utility ROW,3391 150 St",1001580863,,,,,,,,,103,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
53,Unimproved Land,,,,,20170915,43T - Greenbelt,1001946981,,,,,,8021 152 St,,,,,20170915,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
