,AREA_SUBTYPE,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LENGTH_M,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NO_OF_HANDICAPPED_UNITS,NO_OF_SPACES,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_AREA_TYPE,PARK_AREA_TYPE2,PARK_FACILITY_TYPE,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SECURE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,STRUCTURES_INSPECTION_ROUTE,SURFACE_TYPE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH_M,WORK_ASSIGNMENT,YEAR_ADDED,YRS_LIFE_EXPECTANCY
125,Unimproved Land,,,,,20130315,"88C - Greenbelt,18678 Hwy 10 (56 Ave)",1001580804,,,,,,,,,088,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,1998,
126,Unimproved Land,,,,,20160503,Clayton Park,1001874105,,,,,,18588 72 Ave,,,68,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
127,Unimproved Land,,,,,20141027,"88E - Greenbelt, 18958 54 Ave",1001792517,,,,,,,,,088,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
128,Unimproved Land,,,,,20130315,"Latimer Park,2594 192 St",1001580839,,,,,,,,,119,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
129,Unimproved Land,,,,,20130315,"69B - Neighbourhood Park,6491 194 St",1001580855,,,,,,,,,069,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2004,
130,Unimproved Land,,UFEP,,,20130722,"Hi-Knoll Park, 19569 Colebrook Rd",1001606949,,,,,,,,,089,,20130722,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
131,Unimproved Land,,,,,20170608,"21H - Neighbourhood Park, 10347 133 St",1001934925,,,,1001608150,,,,,021,,20170608,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
132,Unimproved Land,,,,,20150825,Unwin Park,1001835601,06811,,,,,Unwin Park,,,061,,20180320,,,,,,0,General Area,,,,13400,,,,,,,,,,,,,,2015,
133,Unimproved Land,,,,,20130315,"Holland Park,13457 98b Ave",1001580747,,,,,,,,,021,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
134,Unimproved Land,,,,,20130315,"Holland Park,13519 98b Ave",1001580746,,,,,,,,,021,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2005,
135,Unimproved Land,,,,,20151006,12K - Neighbourhood Park,1001841320,,,,,,,,,,,20151006,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
136,Unimproved Land,,,,,20130326,12K - Neighbourhood Park,1001581868,,,,,,,,,,,20130326,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
137,Unimproved Land,,,,,20180117,42A - Greenbelt,1001980724,,,,,,,,,,,20180117,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
138,Unimproved Land,,,,,20180315,"Elgin Estates Park, 3102 142 St",1001990477,,,,1001903658,,,,,,,20170124,,,,,,0,General Area,,,,,,,,OPERATING,,,,,,,,,,2017,
139,Unimproved Land,,,,,20130315,"72J - Neighbourhood Park,6154 143 St",1001580740,,,,,,,,,072,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
140,Unimproved Land,,,,,20130315,"Bonaccord Creek Park,10907 144 St",1001580760,,,,,,,,,012,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
141,Unimproved Land,,,,,20180117,"103F - Greenbelt, 14699 Winter Crescent",1001980764,,,,,,,,,,,20180117,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2019,
142,Unimproved Land,,,,,20130315,"103A - Greenbelt,15050 34 Ave",1001580854,,,,,,,,,103,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
143,Unimproved Land,,,,,20170915,43T - Greenbelt,1001946978,,,,,,8043 152 St,,,,,20170915,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
144,Unimproved Land,,,,,20180315,Kettle Crescent Park,1001990464,,,,1001990462,,,,,,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
145,Unimproved Land,,,,,20161214,54D - Greenbelt,1001899864,,,,,,7733 154 St,,,54,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
146,Unimproved Land,,,,,20130315,"Lionel Courchene Park,9877 156 St",1001580813,,,,,,,,,024,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2002,
147,Unimproved Land,,,,,20170315,54G - Greenbelt,1001913184,,,,,,7700 155 St,,,,,20170315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
148,Unimproved Land,,,,,20130315,"North Surrey Community Park,15859 96 Ave",1001580742,,,,,,,,,024,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
149,Unimproved Land,,,,,20170724,"14P - Greenbelt, 15959 Hwy 1",1001941120,15959,,,1001755156,,,Parks,,014,,20170724,,,"14P - Greenbelt, 15959 Hwy 1",,Parks,0,General Area,,,,40101,,,,OPERATING,,,,,,,,,,2014,
150,Unimproved Land,,,,,20161214,Fergus Watershed Biodiversity Preserve,1001899885,16631,,,,,Fergus Watershed Biodiversity Preserve,,,135,,20180320,,,,,,0,General Area,,,,12 Ave,,,,,,,,,,,,,,2016,
151,Unimproved Land,,,,,20180430,55K - Greenbelt,1001998060,,,,,,,,,,,20180430,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
152,Unimproved Land,,,,,20130315,"146C - Neighbourhood Park,194 171 St",1001580764,,,,,,,,,146,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
153,Unimproved Land,,,,,20130315,"The Glades,590 171 St",1001580806,,,,,,,,,146,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2007,
154,Unimproved Land,,,,,20141121,16B - Greenbelt,1001797897,,,,,,16B - Greenbelt / 16A - Greenbelt 17152 104A Ave,,,16,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
155,Unimproved Land,,,,,20130315,"Dufferin Park,17375 2 Ave",1001580761,,,,,,,,,146,,20130808,,,"Dufferin Park,17375 2 Ave",,,0,General Area,,,,,,,,,,,,,,,,,,2010,
156,Unimproved Land,,,,,20170915,26D - Greenbelt,1001946941,,,,,,,,,,,20170915,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
157,Unimproved Land,,,,,20160901,"Clayton Park, 18513 70 Ave",1001890216,,,,,,,,,,,20160901,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
158,Unimproved Land,,,,,20130315,"69H - Greenbelt,19494 65 Ave",1001580807,,,,,,,,,069,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2007,
159,Unimproved Land,,,,,20140619,"Tom Hopkins Ravine Park, 11722 River Rd",1001753953,,,,,,,,,019,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2004,
160,Unimproved Land,,,,,20150814,10A - Greenbelt,1001834684,,,,1001834683,,,,,010,,20180320,,,"10A - Greenbelt, 12499 125A St",,,0,General Area,,,,,,,,,,,,,,,,,,2015,
161,Unimproved Land,,,,,20140619,"41A - Greenbelt, 8613 132 St",1001753954,08613,,,,,,,,041,,,,,"41A - Greenbelt, 8613 132 St",,,0,General Area,,,,13200,,,,,,,,,,,,,,2012,
162,Unimproved Land,,,,,20130315,"71H - Community Park,13123 Hwy 10",1001580774,,,,,,,,,071,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2011,
163,Unimproved Land,,,,,20130315,"71H - Community Park,13141 Hwy 10",1001580770,,,,,,,,,071,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2011,
164,Unimproved Land,,,,,20130315,"71H - Community Park,13152 58a Ave",1001580773,,,,,,,,,071,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2011,
165,Unimproved Land,,,,,20130315,"Unwin Park,68 Ave & 132 St",1001580810,,,,,,,,,061,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,0,
166,Unimproved Land,,,,,20130315,"Holland Park,13451 98b Ave",1001580821,,,,,,,,,021,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2007,
167,Unimproved Land,,,,,20151013,72A - Greenbelt,1001842063,,,,,,,,,,,20151013,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
168,Unimproved Land,,,,,20151006,12K - Neighbourhood Park,1001841319,,,,,,,,,,,20151006,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
169,Unimproved Land,,,,,20140317,12K - Neighbourhood Park,1001735117,,,,,,,,,,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
170,Unimproved Land,,,,,20130315,"Colebrook Park,13881 Colebrook Rd",1001580767,,,,,,,,,082,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
171,Unimproved Land,,,,,20151223,Surrey Nature Centre at Green Timbers Park,1001851604,,,,,,14261 96 Ave,,,,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
172,Unimproved Land,,,,,20170915,103D - Utility ROW,1001946962,,,,,,3583 149A St,,,,,20170915,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
173,Unimproved Land,,,,,20151109,54D - Greenbelt,1001846925,15397,,,1001846916,,15397 77 Ave,,,054,,20180320,,,"54D - Greenbelt, 15397 77 Ave",Park,,0,General Area,,,,07700,,,,,,,,,,,,,,2015,
174,Unimproved Land,,,,,20151109,54C - Greenbelt,1001846920,,,,,,7692 154 St,,,,,20180320,,,"54C - Greenbelt, 7701 155 St",Park,,0,General Area,,,,,,,,,,,,,,,,,,2015,
175,Unimproved Land,,,,,20151028,54C - Greenbelt,1001845249,07701,,,1001845244,,7701 155 St,,,054,,20180320,,,"54C - Greenbelt, 7701 155 St",Park,,0,General Area,,,,15500,,,,,,,,,,,,,,2015,
176,Unimproved Land,,,,,20170208,54G - Greenbelt,1001905563,15515,,,1001905562,,15515 77 Ave,,,054,,20180320,,,"54G - Greenbelt, 15515 77 Ave",,,0,General Area,,,,07700,,,,,,,,,,,,,,2017,
177,Unimproved Land,,,,,20180405,"125F - Greenbelt, 16469 19 Ave",1001994165,,,,1001994164,,16469 19 Ave,,,125,,20180405,,,"125F - Greenbelt, 16469 19 Ave",Park,,0,General Area,,,,,,,,,,,,,,,,,,2018,
178,Unimproved Land,,,,,20180410,25H - Greenbelt,1001994851,,,,1001994843,,,,,025,,20180410,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
179,Unimproved Land,,,,,20130315,"Fergus Watershed Park,1227 168 St",1001580755,,,,,,,,,135,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2007,
180,Unimproved Land,,,,,20170309,115K - Greenbelt,1001912262,,,,,,16589 Northview Cr,,,,,20170309,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
181,Unimproved Land,,,,,20170309,115K - Greenbelt,1001912260,,,,,,2934 165B St,,,,,20170309,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
182,Unimproved Land,,,,,20161107,"55K - Greenbelt, 16675 78 Ave",1001896137,,,,,,,,,,,20161107,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
183,Unimproved Land,,,,,20130315,"Redwood Park,17684 20 Ave",1001580765,,,,,,,,,127,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
184,Unimproved Land,,,,,20151028,117A - Neighbourhood Park,1001845267,,,,1001845266,,2499 184 St,,,117,,20180320,,,"117A - Neighbourhood Park, 2499 184 St",,,0,General Area,,,,,,,,,,,,,,,,,,2015,
185,Unimproved Land,,,,,20170801,127A - Greenbelt,1001942315,,,,,,1933 184 St,,,,,20170801,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
186,Unimproved Land,,UFEP,,,20130325,"118B - Greenbelt, 18615 24 Ave",1001581750,,,,,,,,,,,20130325,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
187,Unimproved Land,,,,,20130315,"59B - Greenbelt,19471 72 Ave",1001580750,,,,,,,,,059,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2005,
188,Unimproved Land,,,,,20140527,71R - Greenbelt,1001751031,12955,,,,,,,,071,,20180320,,,"71R - Greenbelt, 12955 56 Ave",,,0,General Area,,,,05600,,,,,,,,,,,,,,2014,
189,Unimproved Land,,,,,20130315,"71H - Community Park,13121 Hwy 10",1001580769,,,,,,,,,071,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2011,
190,Unimproved Land,,,,,20130315,"Holland Park,13487 98b Ave",1001580748,,,,,,,,,021,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2004,
191,Unimproved Land,,,,,20160728,72T - Greenbelt,1001885272,06195,,,1001885271,,,,,072,,20180320,,,"72T - Greenbelt, 6195 138 St",,,0,General Area,,,,13800,,,,,,,,,,,,,,2016,
192,Unimproved Land,,,,,20130315,"Forsyth Park,10612 139 St",1001580828,,,,,,,,,012,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2009,
193,Unimproved Land,,,,,20160614,12L - Neighbourhood Park,1001880672,,,,1001880669,,,,,012,,20180320,,,"12L - Neighbourhood Park, 13960 Antrim Rd",,,0,General Area,,,,,,,,,,,,,,,,,,2016,
194,Unimproved Land,,UFEP,,,20130924,72P - Greenbelt,1001709297,14050,,,1001709296,,,,,072,,20180320,,,"72P - Greenbelt, 14050 62 Ave",,,0,General Area,,,,06200,,,,,,,,,,,,,,2013,
195,Unimproved Land,,,,,20131216,102I - Greenbelt,1001721574,,,,1001721573,,"102I - Greenbelt, 3652 Elgin Rd",,,102,,20180320,,,"102I - Greenbelt, 3652 Elgin Rd",,,0,General Area,,,,,,,,,,,,,,,,,,2013,
196,Unimproved Land,,,,,20140603,"103E - Greenbelt, 3481 147a St",1001752227,03481,,,,,,,,103,,,,,,,,0,General Area,,,,14750,,,,OPERATING,,,,,,,,,,2014,
197,Unimproved Land,,,,,20140917,"T.E. Scott Elementary School Park, 6998 148 St",1001781262,,,,,,,,,063,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
198,Unimproved Land,,,,,20170612,73N - Greenbelt,1001935371,,,,1001935369,,15149 Edmund Dr,,,073,,20180320,,,"73N - Greenbelt, 15149 Edmund Dr",,,0,General Area,,,,,,,,,,,,,,,,,,2017,
199,Unimproved Land,,,,,20151109,54F - Greenbelt,1001846934,15392,,,1001846917,,15392 77 Ave,,,054,,20180320,,,"54F - Greenbelt, 15392 77 Ave",Park,,0,General Area,,,,07700,,,,,,,,,,,,,,2015,
200,Unimproved Land,,,,,20170801,54G - Greenbelt,1001942239,,,,,,7702 155 St,,,,,20170801,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
201,Unimproved Land,,,,,20130315,"Fergus Watershed Park,16734 15 Ave",1001580753,,,,,,,,,135,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2006,
202,Unimproved Land,,,,,20170612,Charles Richardson Nature Reserve,1001935343,,,,,,17118 Greenway Dr,,,46,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
203,Unimproved Land,,,,,20130315,"77H - Greenbelt,5751 176a St",1001580818,,,,,,,,,077,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2007,
204,Unimproved Land,,,,,20170915,26D - Greenbelt,1001946942,,,,,,,,,,,20170915,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
205,Unimproved Land,,,,,20160120,57B - Neighbourhood Park,1001854710,,,,1001854700,,18271 73 Ave,,,057,,20180320,,,"57B - Neighbourhood Park, 18271 73 Ave",,,0,General Area,,,,,,,,,,,,,,,,,,2016,
206,Unimproved Land,,,,,20180117,128C - Greenbelt,1001980756,,,,1001980753,,18804 24 Ave,,,128,,20180117,,,"128C - Geenbelt, 18804 24 Ave",,,0,General Area,,,,,,,,,,,,,,,,,,2018,
207,Unimproved Land,,,,,20130904,58A - Neighbourhood Park,1001700837,,,,,,,,,,,20130904,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
208,Unimproved Land,,,,,20160503,69M - Greenbelt,1001874118,,,,1001874117,,6413 194 St,,,069,,20180320,,,"69M - Greenbelt, 6413 194 St",,,0,General Area,,,,,,,,,,,,,,,,,,2016,
209,Unimproved Land,,,,,20170606,West Newton Community Park,1001934399,,,,,,12879 Highway 10 (58 Ave),,,,,20170606,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
210,Unimproved Land,,,,,20130315,"Unwin Park,6882 132 St",1001580844,,,,,,,,,061,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2008,
211,Unimproved Land,,,,,20130315,"41B - Utility ROW,8628 Tulsy Cres East",1001580845,,,,,,,,,041,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2008,
212,Unimproved Land,,,,,20151009,72K - Greenbelt,1001841944,,,,,,,,,,,20151009,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
213,Unimproved Land,,,,,20170329,"Forsyth Park,10612 139 St",1001924873,,,,,,,,,012,,20170329,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
214,Unimproved Land,,,,,20150807,72Q - Greenbelt,1001833671,14094,,,1001833665,,14094 61 Ave,,,072,,20180320,,,"72Q - Greenbelt, 14094 61 Ave",,,0,General Area,,,,06100,,,,,,,,,,,,,,2015,
215,Unimproved Land,,,,,20141027,62S - Greenbelt,1001792518,6574,,,,,,,,062,,,,,"62S - Greenbelt, 6574 141B St",,,0,General Area,,,,14170,,,,OPERATING,,,,,,,,,,2014,
216,Unimproved Land,,,,,20151028,14231 Goldstone Dr,1001845285,,,,,,,,,,,20151028,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
217,Unimproved Land,,,,,20130315,"103D - Utility ROW,3435 150 St",1001580862,,,,,,,,,103,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
218,Unimproved Land,,,,,20141027,"T.E. Scott Elementary School Park, 6998 148 St",1001792516,,,,,,,,,063,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
219,Unimproved Land,,,,,20170915,Mountain View Park,1001946920,15777,,,,,,,,114,,20180320,,,"Mountain View Park, 15929 Mountain View Dr",,,0,General Area,,,,15901,,,,OPERATING,,,,,,,,,,2017,
220,Unimproved Land,,,,,20170731,135H - Greenbelt,1001942182,,,,1001942179,,16341 15 Ave,,,135,,20170731,,,"135H - Greenbelt, 16341 15 Ave",,,0,General Area,,,,,,,,,,,,,,,,,,,
221,Unimproved Land,,,,,20161214,125E - Nature Preserve,1001899869,,,,1001899868,,16405 21 Ave,,,,,20161214,,,125E - Nature Preserve,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
222,Unimproved Land,,,,,20130315,"45G - Community Park,16441 Fraser Hwy",1001580852,,,,,,,,,045,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
223,Unimproved Land,,,,,20130315,"45C - Neighbourhood Park,8101 165a St",1001580795,,,,,,,,,045,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2005,
224,Unimproved Land,,,,,20180410,25H - Greenbelt,1001994852,,,,1001994844,,,,,025,,20180410,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
225,Unimproved Land,,,,,20161214,Fergus Watershed Biodiversity Preserve,1001899886,16589,,,,,Fergus Watershed Biodiversity Preserve,,,135,,20180320,,,,,,0,General Area,,,,12 Ave,,,,,,,,,,,,,,2016,
226,Unimproved Land,,Formerly 115J - Greenbelt,,,20170612,Orchard Grove Park,1001935359,,,,,,16715 24 Ave,,,115,,20180423,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
227,Unimproved Land,,,,,20130315,"116D - Community Park,16876 26 Ave",1001580797,,,,,,,,,116,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2005,
228,Unimproved Land,,,,,20170801,146G - Greenbelt,1001942227,,,,1001942195,,164 171 St,,,146,,20180320,,,"146G - Greenbelt, 164 171 St",,,0,General Area,,,,,,,,,,,,,,,,,,2017,
229,Unimproved Land,,,,,20130315,"Redwood Park,1836 176 St",1001580798,,,,,,,,,127,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2004,
230,Unimproved Land,,,,,20170915,26D - Greenbelt,1001946943,,,,,,,,,,,20170915,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
231,Unimproved Land,,,,,20180116,"Keery Park, 18791 28 Ave",1001980703,,,,,,,,,,,20180116,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
232,Unimproved Land,,,,,20131003,108A - Greenbelt,1001712940,,,,,,,,,,,20131003,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
233,Unimproved Land,,,,,20141127,108A - Greenbelt,1001798352,,,,,,,,,,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
234,Unimproved Land,,,,,20150914,"108A - Greenbelt, 18988 40 Ave",1001838610,,,,,,,,,108,,20150914,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
