,ANCILLARYROLE,ENABLED,CHAMBER_TYPE,CHAMBER_TYPE2,FACILITYID,LEGACYID,NODE_NO,CHAMBER_DISCHARGE,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
232,,1,0,Pressure Reducing,1000279534,17326,1519702930,,In Service,,,Surrey,2944 151 ST,At rear on 152 ST - Shut off July 13 to Aug 6/15,,,,,,,20020503,20171220,49.055966,-122.801352
233,,1,0,Pressure Reducing,1000277272,23021,1356408907,,In Service,1202-6110-00,2003,Surrey,88A AVE & KING GEORGE BLVD,Shut off and marked Nov 2014,Final AB,,,,,,20040127,20171220,49.164208,-122.846027
234,,1,0,Pressure Reducing,1001122564,,1580602705,No,In Service,7806-0289-00,2008,Surrey,27 AVE & 158 ST,"Recirculation PRV in 1050 MH - Shut off July 13 to Aug 6, 2015",Final AB,,,,,,20090527,20171220,49.051864,-122.784592
235,,0,0,Pressure Reducing,1000279830,19722,1627701369,,Abandoned,W530,1985,Surrey,1421 KING GEORGE HWY (W),,Final AB,,,,,,20020506,20151015,49.027660,-122.771740
236,,1,0,Pressure Reducing,1000272057,9715,1600408027,,Abandoned,,,Surrey,,,,,,,,,20020430,,49.148166,-122.778705
237,,1,0,Pressure Reducing,1000268509,23435,1918005434,,In Service,1299-5020-00,2004,Surrey,5419 192 ST,,Final AB,,,,,,20041208,20170413,49.101034,-122.691402
238,,1,0,Pressure Reducing,1000269077,22021,1641711236,,In Service,7890-0339-00,1999,Surrey,16418 112 AVE,Secondary - SEE ALSO WD-015-038,Final AB,,,,,,20030516,20170413,49.206195,-122.767053
239,,1,0,Pressure Reducing,1000269116,23083,1676710633,,In Service,7802-0292-00,2003,Surrey,10628 CHERRYHILL CT,SEE ALSO WD-015-045,Final AB,,,,,,20040419,20170413,49.195263,-122.757438
240,,1,0,Pressure Reducing,1000269197,13031,1761406885,,In Service,1296-507,1998,Surrey,68A AVE & 176 ST,,Final AB,,,,,,20020502,20170413,49.127401,-122.734424
241,,1,0,Pressure Reducing,1000269204,22249,1760506547,,In Service,7888-0429-00,1990,Surrey,HWY 15 & 65A AVE,SEE ALSO WD-067-012,Final AB,,,,,,20030609,20170413,49.121290,-122.734700
242,,1,0,Pressure Reducing,1000269981,15690,1881005771,,In Service,W-211,1992,Surrey,57 AVE & 188 ST,,Final AB,,,,,,20020502,20170413,49.107166,-122.701565
243,,1,0,Pressure Reducing,1000270433,5784,1462810549,,In Service,W-901,,Surrey,14620 105A AVE,Whalley Station,Final AB,,,,,,20020426,20170413,49.193869,-122.816502
244,,1,0,Pressure Reducing,1000270755,23617,1958906148,,In Service,WF-1384,1992,Metro Vancouver,196 TH & FRASER HWY,SEE ALSO GVW-079-002,Final AB,,,,,,20050429,20170413,49.113934,-122.680059
245,,1,0,Pressure Reducing,1000272039,9696,1549908031,,In Service,7891-0534,1994,Surrey,15506 80 AVE,,Final AB,,,,,,20020430,20170413,49.148262,-122.792639
246,,1,0,Pressure Reducing,1000272712,13670,1272106264,,In Service,,,Metro Vancouver,6275 128 ST,Newton Station,,,,,,,20020502,20170413,49.116386,-122.869369
247,,1,0,Pressure Reducing,1000273261,7265,1098709626,,In Service,7892-0349-00,2002,Surrey,9600 - ALASKA WAY ,,Final AB,,,,,,20020429,20170413,49.177282,-122.917076
248,,1,0,Pressure Reducing,1000275093,16243,1439603171,,In Service,W-904,,Surrey,3227 144 ST,,Final AB,,,,,,20020502,20170413,49.060357,-122.823378
