,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
74,,,,,,,,,Institutional,,Crescent Beach,Approved,Local Area Plan,1999
75,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
76,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
77,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
78,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
79,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
80,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
81,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
82,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
83,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
84,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
85,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
86,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
87,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
88,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
89,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
90,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
91,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
92,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
93,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
94,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
95,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
96,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
97,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
98,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
99,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
100,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
101,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
102,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
103,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
104,,,,,,,,,Conservation,,Crescent Beach,Approved,Local Area Plan,1999
105,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
106,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
107,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
108,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
109,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
110,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
111,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
112,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
113,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
114,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
115,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
116,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
117,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
118,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
119,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
120,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
121,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
122,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
123,,,,,,,,,Institutional,,Crescent Beach,Approved,Local Area Plan,1999
124,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
125,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
126,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
127,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
128,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
129,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
130,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
131,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
132,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
133,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
134,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
135,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
136,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
137,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
138,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
139,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
140,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
141,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
142,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
143,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
144,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
145,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
146,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
147,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
148,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
149,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
150,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
151,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
152,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
153,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
154,,,,,,,,,Conservation,,Crescent Beach,Approved,Local Area Plan,1999
155,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
156,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
157,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
158,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
159,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
160,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
161,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
162,,,,,,,,,Institutional,,Crescent Beach,Approved,Local Area Plan,1999
