,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
431,, , ,20140509,15,,UPA, ,Townhouses (15 u.p.a. max),20130729,South Newton,Approved,Neighbourhood Concept Plan,1999
432,, , ,20130508,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20130508,South Newton,Approved,Neighbourhood Concept Plan,1999
433,, , ,20171212,15,,UPA, ,Townhouses (15 u.p.a. max),,South Newton,Approved,Neighbourhood Concept Plan,1999
434,, , ,20130130,10,8,UPA, ,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
435,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20130508,South Newton,Approved,Neighbourhood Concept Plan,1999
436,, , ,,,,, ,Creeks & Riparian Set Backs,,South Newton,Approved,Neighbourhood Concept Plan,1999
437,, , ,,,,, ,Proposed Parks & Walkways,,South Newton,Approved,Neighbourhood Concept Plan,1999
438,, , ,,6,,UPA, ,Single Family Residential,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
439,20130311,Portion amended from Dentention Pond to Single Family Residential Flex 6-14.5 u.p.a., ,,14.5,6,UPA,7905-0300-00,Single Family Residential Flex 6-14.5 u.p.a.,20160331,South Newton,Approved,Neighbourhood Concept Plan,1999
440,, , ,,10,8,UPA, ,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
441,, , ,,,,, ,Utility R/W / Greenway,,South Newton,Approved,Neighbourhood Concept Plan,1999
442,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
443,,,,,14.5,6,UPA,,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
444,, , ,,10,8,UPA, ,Single Family Small Lots,20180514,South Newton,Approved,Neighbourhood Concept Plan,1999
445,, , ,,15,,UPA, ,Townhouses (15 u.p.a. max),20130411,South Newton,Approved,Neighbourhood Concept Plan,1999
446,, , ,,2,,UPA, ,Suburban Residential 1/2 Acre,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
447,, , ,,2,,UPA, ,Suburban Residential 1/2 Acre,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
448,, , ,,,,, ,Creeks & Riparian Set Backs,20160205,South Newton,Approved,Neighbourhood Concept Plan,1999
449,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
450,20120206,NCP Amendment from Townhouse15 upa to Townhouse 25 upa   7910-0017-00   Helen Popple,RES.R12-284,,25,,UPA,7910-0017-00,Townhouses (25 u.p.a. max),20140509,South Newton,Approved,Neighbourhood Concept Plan,1999
451,, , ,,2,,UPA, ,Suburban Residential 1/2 Acre,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
452,, , ,,,,, ,Existing & Future Parks,,South Newton,Approved,Neighbourhood Concept Plan,1999
453,, , ,,6,,UPA, ,Single Family Residential,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
454,, , ,,2,,UPA, ,Suburban Residential 1/2 Acre,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
455,, , ,,,,, ,Proposed Parks & Walkways,,South Newton,Approved,Neighbourhood Concept Plan,1999
456,, , ,20150304,15,,UPA, ,Townhouses (15 u.p.a. max),,South Newton,Approved,Neighbourhood Concept Plan,1999
457,, , ,,15,,UPA, ,Townhouses (15 u.p.a. max),,South Newton,Approved,Neighbourhood Concept Plan,1999
458,, , ,,15,,UPA, ,Townhouses (15 u.p.a. max),20150304,South Newton,Approved,Neighbourhood Concept Plan,1999
