,CATCHMENT_TYPE,CATCHMENT_TYPE_2,COMMENTS,CRE_DATE,MOD_DATE,NAME
153,1,Sub Catchments,,,,195
154,1,Sub Catchments,,,,197
155,1,Sub Catchments,,,,150
156,1,Sub Catchments,,,,90
157,1,Sub Catchments,,,,153
158,1,Sub Catchments,,,,149
159,1,Sub Catchments,,,,537
160,1,Sub Catchments,,,,287
161,1,Sub Catchments,,,,546
162,1,Sub Catchments,,,,550
163,1,Sub Catchments,,,,133
164,1,Sub Catchments,,,,134
165,1,Sub Catchments,,,,528
166,1,Sub Catchments,,,,139
167,1,Sub Catchments,,,,425
168,1,Sub Catchments,,,,424
169,1,Sub Catchments,,,,525
170,1,Sub Catchments,,,,447
171,1,Sub Catchments,,,,110
172,1,Sub Catchments,,,,463
173,1,Sub Catchments,,,,421
174,1,Sub Catchments,,,,422
175,1,Sub Catchments,,,,477
176,1,Sub Catchments,,,,473
177,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111201,20111202,Boundary Bay
178,1,Sub Catchments,,,,168
179,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,174
180,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111201,20120620,Sam Hill
181,1,Sub Catchments,,,,526
182,1,Sub Catchments,,,,270
183,1,Sub Catchments,,,,399
184,1,Sub Catchments,,,,403
185,1,Sub Catchments,,,,405
186,1,Sub Catchments,,,,406
187,1,Sub Catchments,,,,504
188,1,Sub Catchments,,,,499
189,1,Sub Catchments,,,,511
190,1,Sub Catchments,,,,509
191,1,Sub Catchments,,,,506
192,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111201,20120620,Twin Creeks
193,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111201,20111202,LCR7 North
194,1,Sub Catchments,,,,263
195,1,Sub Catchments,,,,229
196,1,Sub Catchments,,,,241
197,1,Sub Catchments,,,,239
198,1,Sub Catchments,,,,183
199,1,Sub Catchments,,,,78
200,1,Sub Catchments,,,,83
201,1,Sub Catchments,,,,162
202,1,Sub Catchments,,,,76
203,1,Sub Catchments,,,,163
204,1,Sub Catchments,,,,189
205,1,Sub Catchments,,,,314
206,1,Sub Catchments,,,,312
207,1,Sub Catchments,,,,300
208,1,Sub Catchments,,,,295
209,1,Sub Catchments,,,,328
210,1,Sub Catchments,,,,340
211,1,Sub Catchments,,,,294
212,1,Sub Catchments,,,,373
213,1,Sub Catchments,,,,362
214,1,Sub Catchments,,,,130
215,1,Sub Catchments,,,,521
216,1,Sub Catchments,,,,92
217,1,Sub Catchments,,,,154
218,1,Sub Catchments,,,,201
219,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,175
220,1,Sub Catchments,,,,148
221,1,Sub Catchments,,,,542
222,1,Sub Catchments,,,,289
223,1,Sub Catchments,,,,429
224,1,Sub Catchments,,,,430
225,1,Sub Catchments,,,,132
226,1,Sub Catchments,,,,141
227,1,Sub Catchments,,,,450
228,1,Sub Catchments,,,,453
229,1,Sub Catchments,,,,117
230,1,Sub Catchments,,,,420
231,1,Sub Catchments,,,,487
232,1,Sub Catchments,,,,479
233,1,Sub Catchments,,,,455
234,1,Sub Catchments,,,,457
235,1,Sub Catchments,,,,472
236,1,Sub Catchments,,,,470
237,1,Sub Catchments,,,,203
238,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,171
239,1,Sub Catchments,,,,277
240,1,Sub Catchments,,,,274
241,1,Sub Catchments,,,,466
242,1,Sub Catchments,,,,106
243,1,Sub Catchments,,,,492
244,1,Sub Catchments,,,,497
245,1,Sub Catchments,,,,416
246,1,Sub Catchments,,,,103
247,1,Sub Catchments,,,,414
248,1,Sub Catchments,,,,102
249,1,Sub Catchments,,,,101
250,1,Sub Catchments,,,,389
251,1,Sub Catchments,,,,502
252,1,Sub Catchments,,,,517
253,1,Sub Catchments,,,,516
254,1,Sub Catchments,,,,513
255,1,Sub Catchments,,,,505
256,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111202,20111202,LCR8 North
257,1,Sub Catchments,,,,222
258,1,Sub Catchments,,,,235
259,1,Sub Catchments,,,,226
260,1,Sub Catchments,,,,503
261,1,Sub Catchments,,,,244
262,1,Sub Catchments,,,,246
263,1,Sub Catchments,,,,100
264,1,Sub Catchments,,,,254
265,1,Sub Catchments,,,,251
266,1,Sub Catchments,,,,71
267,1,Sub Catchments,,,,177
268,1,Sub Catchments,,,,75
269,1,Sub Catchments,,,,191
270,1,Sub Catchments,,,,161
271,1,Sub Catchments,,,,292
272,1,Sub Catchments,,,,311
273,1,Sub Catchments,,,,321
274,1,Sub Catchments,,,,320
275,1,Sub Catchments,,,,306
276,1,Sub Catchments,,,,305
277,1,Sub Catchments,,,,531
278,1,Sub Catchments,,,,330
279,1,Sub Catchments,,,,333
280,1,Sub Catchments,,,,332
281,1,Sub Catchments,,,,343
282,1,Sub Catchments,,,,351
283,1,Sub Catchments,,,,358
284,1,Sub Catchments,,,,356
285,1,Sub Catchments,,,,338
286,1,Sub Catchments,,,,107
287,1,Sub Catchments,,,,119
288,1,Sub Catchments,,,,374
289,1,Sub Catchments,,,,384
290,1,Sub Catchments,,,,94
291,1,Sub Catchments,,,,159
292,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,186
293,1,Sub Catchments,,,,281
294,1,Sub Catchments,,,,179
295,1,Sub Catchments,,,,544
296,1,Sub Catchments,,,,524
297,1,Sub Catchments,,,,288
298,1,Sub Catchments,,,,444
299,1,Sub Catchments,,,,548
300,1,Sub Catchments,,,,436
301,1,Sub Catchments,,,,138
302,1,Sub Catchments,,,,462
303,1,Sub Catchments,,,,452
304,1,Sub Catchments,,,,178
305,1,Sub Catchments,,,,116
306,1,Sub Catchments,,,,476
307,1,Sub Catchments,,,,459
308,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20160526,165
309,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111201,20111202,LCR12 North
310,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111202,20160526,Fergus East
311,1,Sub Catchments,,,,152
312,1,Sub Catchments,,,,144
313,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,262
314,1,Sub Catchments,,,,279
315,1,Sub Catchments,,,,273
316,1,Sub Catchments,,,,271
317,1,Sub Catchments,,,,265
318,1,Sub Catchments,,,,519
319,1,Sub Catchments,,,,402
320,1,Sub Catchments,,,,278
321,1,Sub Catchments,,,,404
322,1,Sub Catchments,,,,393
323,1,Sub Catchments,,,,418
324,1,Sub Catchments,,,,105
325,1,Sub Catchments,,,,493
326,1,Sub Catchments,,,,494
327,1,Sub Catchments,,,,387
328,1,Sub Catchments,,,,501
329,1,Sub Catchments,,,,498
330,1,Sub Catchments,,,,515
331,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111202,20111202,LCR10 East
332,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111201,20111202,Kuhn
333,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,261
334,1,Sub Catchments,,,,266
335,1,Sub Catchments,,,,238
336,1,Sub Catchments,,,,248
337,1,Sub Catchments,,,,247
338,1,Sub Catchments,,,,363
339,1,Sub Catchments,,,,68
340,1,Sub Catchments,,,,66
341,1,Sub Catchments,,,,176
342,1,Sub Catchments,,,,323
343,1,Sub Catchments,,,,535
344,1,Sub Catchments,,,,331
345,1,Sub Catchments,,,,348
346,1,Sub Catchments,,,,293
347,1,Sub Catchments,,,,335
348,1,Sub Catchments,,,,361
349,1,Sub Catchments,,,,129
350,1,Sub Catchments,,,,461
351,1,Sub Catchments,,,,383
352,1,Sub Catchments,,,,380
353,1,Sub Catchments,,,,377
354,1,Sub Catchments,,,,481
355,1,Sub Catchments,,,,483
356,1,Sub Catchments,,,,486
357,1,Sub Catchments,,,,156
358,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,89
359,1,Sub Catchments,,,,155
360,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,199
361,1,Sub Catchments,,,,534
362,1,Sub Catchments,,,,533
363,1,Sub Catchments,,,,539
364,1,Sub Catchments,,,,284
365,1,Sub Catchments,,,,283
366,1,Sub Catchments,,,,445
367,1,Sub Catchments,,,,142
368,1,Sub Catchments,,,,128
369,1,Sub Catchments,,,,140
370,1,Sub Catchments,,,,291
371,1,Sub Catchments,,,,109
372,1,Sub Catchments,,,,451
373,1,Sub Catchments,,,,125
374,1,Sub Catchments,,,,478
375,1,Sub Catchments,,,,442
376,1,Sub Catchments,,,,111
377,1,Sub Catchments,,,,485
378,1,Sub Catchments,,,,475
379,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,145
380,1,Sub Catchments,,,,269
381,1,Sub Catchments,,,,276
382,1,Sub Catchments,,,,272
383,1,Sub Catchments,,,,426
384,1,Sub Catchments,,,,398
385,1,Sub Catchments,,,,396
386,1,Sub Catchments,,,,114
387,1,Sub Catchments,,,,409
