,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,CURB_TYPE,CURB_TYPE2,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROFILE,PROJECT_NO,STATUS,WARRANTYDATE,YR,YTD_COST
8529,,,,20150309,0,Barrier,1001811848,,,,,Concrete,,Surrey,,,In Service,,,
8530,,,,20150309,0,Barrier,1001811841,,,,,Concrete,,Surrey,,,In Service,,,
8531,,,,20170613,3,Pavement Edge,1001935475,EC,1001935128,0,,Asphalt,20170613,Surrey,,7815-0102-00,Proposed,,,0
8532,,,,20170726,1,Extruded,1001941573,,,,,Concrete,20170726,Surrey,,,In Service,,,
8533,,,,20150805,0,Barrier,1001833477,Initial AB,,,,Concrete,20150805,Surrey,,7812-0125-00,In Service,,2015,
8534,Digitized Via 2013 Air Photo,,,20140321,2,Rollover,1001736296,,1001736294,0,,Concrete,20140321,Surrey,,,In Service,,,0
8535,,,,20120608,1,Extruded,1001415313,Final AB,,,,Asphalt,20120608,Surrey,,1705-3190-00,In Service,,2012,
8536,,,,20110602,0,Barrier,1001199531,,,,,Concrete,20110602,Surrey,,,In Service,,,
8537,,,,20180326,0,Barrier,1001887471,Final AB,,,,Concrete,20180326,Surrey,,7807-0152-00,In Service,,2017,
8538,,,,20180828,0,Barrier,1002128988,Initial AB,,,,Concrete,20180828,Surrey,,7813-0281-00,In Service,,2018,
8539,,,,20170130,0,Barrier,1001904632,Final AB,1001904617,0,,Concrete,20170130,Surrey,,7805-0224-00,In Service,,2008,0
8540,,,,20170130,2,Rollover,1001904619,Final AB,1001904616,0,,Concrete,20170130,Surrey,,7805-0224-00,In Service,,2008,0
8541,Digitized Via 2011 Air Photo,,,20120618,3,Pavement Edge,1001416039,,,,,Asphalt,20130808,Surrey,,,In Service,,,
8542,Digitized Via 2011 Airphoto,,,20120618,2,Rollover,1001416058,,,,,Concrete,20130808,Surrey,,,In Service,,,
8543,,,,20120220,2,Rollover,1001361201,,,,,Concrete,20120220,Surrey,,,In Service,,,
8544,,,,20150521,1,Extruded,1001823428,,,,,Asphalt,20150521,Surrey,,,In Service,,,
8545,,,,20110601,0,Barrier,1001190824,Final AB,,,,Concrete,20110601,Surrey,,7807-0021-00,In Service,,2011,
