,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,CURB_TYPE,CURB_TYPE2,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROFILE,PROJECT_NO,STATUS,WARRANTYDATE,YR,YTD_COST
0,,,,20160105,3,Pavement Edge,1001852035,,,,,Asphalt,20160105,Private,,,In Service,,,
1,,,,20160105,3,Pavement Edge,1001852034,,,,,Asphalt,20160105,Private,,,In Service,,,
2,,,,20160105,3,Pavement Edge,1001852114,Final AB,,,,Asphalt,20160105,Provincial,,SFPR Seg. 5,In Service,,2014,
3,,,,20160105,0,Barrier,1001851979,Final AB,1001851978,0,,Concrete,20160105,Surrey,,SFPR Seg. 5,In Service,,2014,0
4,Digitized Via 2013 Air Photo,,,20130620,3,Pavement Edge,1001603188,,,,,Asphalt,20150525,Surrey,,,In Service,,,
5,Temporary,,,20131205,0,Extruded,1001563015,Initial AB,,,,Asphalt,20131205,Surrey,,7807-0190-00,In Service,,2013,
6,,,,20130114,0,Extruded,1001563006,Initial AB,,,,Asphalt,20150728,Surrey,,7811-0132-00,In Service,,2015,
7,,,,20160106,3,Pavement Edge,1001852321,Final AB,,,,Asphalt,20160106,Provincial,,SFPR Seg. 6,In Service,,2014,
8,,,,20160106,3,Pavement Edge,1001852337,Final AB,1001852312,0,,Asphalt,20160107,Provincial,,SFPR Seg. 6,In Service,,2014,0
9,,,,20160114,0,Barrier,1001853838,,,,,Concrete,,Surrey,,,In Service,,,
10,Digitized Via 2013 Air Photo,,,20130620,0,Barrier,1001603210,,,,,Concrete,20130808,Surrey,,,In Service,,,
11,,,,20160114,0,Barrier,1001853828,,,,,Concrete,20160114,Private,,,In Service,,,
12,,,,20160115,0,Barrier,1001853869,Final AB,,,,Concrete,20160115,Surrey,,SFPR Seg. 6,In Service,,2014,
13,,,,20160115,3,Pavement Edge,1001853893,Final AB,1001853892,0,,Concrete,20160115,Surrey,,SFPR Seg. 6,In Service,,2014,0
14,,,,20160115,0,Barrier,1001853892,Final AB,,,,Concrete,20160115,Surrey,,SFPR Seg. 6,In Service,,2014,
15,,,,20160107,3,Pavement Edge,1001852538,Final AB,,,,Asphalt,20160107,Provincial,,SFPR Seg. 6,In Service,,2014,
16,,,,20160115,0,Barrier,1001853896,Final AB,,,,Concrete,20160115,Surrey,,SFPR Seg. 6,In Service,,2014,
17,,,,20160115,3,Pavement Edge,1001853899,Final AB,,,,Asphalt,20160115,Surrey,,SFPR Seg. 6,In Service,,2014,
18,,,,20160108,2,Rollover,1001852639,Final AB,1001852638,0,,Concrete,20160108,Surrey,,SFPR Seg. 6,In Service,,2014,0
19,,,,20091208,0,Barrier,1001142900,Final AB,1001142867,,,Concrete,20130715,Surrey,,7806-0185-00,In Service,,2009,
20,,,,20091208,0,Barrier,1001142856,Final AB,,,,Concrete,20130715,Surrey,,7806-0185-00,In Service,,2009,
21,,,,20110915,0,Barrier,1001212948,Final AB,,,,Concrete,20130715,Surrey,,7805-0143-00,In Service,,2009,
22,,,,20160108,3,Pavement Edge,1001852742,Final AB,,,,Asphalt,,Provincial,,SFPR Seg. 6,In Service,,2014,
23,Digitized Via 1709-2250-00 CAD FILE,,,20110915,0,Barrier,1001213005,,,,,Concrete,20121220,Surrey,,,In Service,,,
24,,,,20160107,3,Pavement Edge,1001852580,Final AB,,,,Asphalt,20160107,Provincial,,SFPR Seg. 6,In Service,,2014,
25,,,,20110216,3,Pavement Edge,1001189511,Final AB,1001152414,,,Asphalt,20100310,Provincial,,,In Service,,,
26,,,,20100310,3,Pavement Edge,1001152413,Final AB,,,,Asphalt,20110216,Provincial,,,In Service,,,
27,,,,20170124,0,Barrier,1001903594,,,,,Concrete,,Surrey,,,In Service,,,
28,Digitzed Via 2011 Air Photo,,,20120727,0,Barrier,1001419702,,,,,Concrete,20170125,Surrey,,,In Service,,,
29,,,,20170731,0,Barrier,1001942138,,,,,Concrete,,Surrey,,,In Service,,,
30,Digitized from 2015 Ortho photos,,,20160128,2,Rollover,1001856210,Initial AB,1001852357,0,,Concrete,20180621,Surrey,,,In Service,,,0
31,,,,20160115,0,Barrier,1001756874,,,,,Concrete,20170731,Surrey,,,In Service,,,
32,,,,20160115,0,Barrier,1001853930,Final AB,,,,Concrete,20160115,Surrey,,3814-6220-00,In Service,,2015,
33,Digitized Via 2015 Air Photo,,,20160411,0,Barrier,1001868995,,,,,Concrete,20160411,Surrey,,,In Service,,,
34,Digitized Via 2015 Air Photo,,,20160411,0,Barrier,1001868993,,1001868991,0,,Concrete,20160411,Surrey,,,In Service,,,0
35,,,,20120213,0,Barrier,1001360562,,1001360561,,,Concrete,20130808,Surrey,,,In Service,,,
36,,,,20170118,0,Barrier,1001902725,,1001902707,0,,Concrete,20170118,Surrey,,,In Service,,,0
37,Digitized Via 2016 Air Photo,,,20160927,1,Extruded,1001893101,,,,,Asphalt,20160927,Surrey,,,In Service,,,
38,,,,20110915,0,Barrier,1001213015,Final AB,,,,Concrete,20130715,Surrey,,7805-0143-00,In Service,,2009,
39,,,,20160118,3,Pavement Edge,1001854433,Final AB,1001852587,0,,Asphalt,20160112,Provincial,,SFPR Seg. 6,In Service,,2014,0
40,,,,20160112,3,Pavement Edge,1001853423,,,,,Asphalt,20160118,Surrey,,,In Service,,,
41,,,,20120322,0,Barrier,1001406108,,,,,Concrete,20120322,Surrey,,,In Service,,,
42,,,,20120322,0,Barrier,1001406104,,,,,Concrete,20120322,Surrey,,,In Service,,,
43,,,,20120322,2,Rollover,1001406121,Final AB,1001406120,,,Concrete,20150921,Surrey,,7805-0265-00,In Service,,2007,
44,,,,20120917,0,Barrier,1001433766,Final AB,,,,Concrete,20140319,Surrey,,7811-0332-00,Proposed,,,
45,Digitized from 2015 Ortho photos,,,20160105,2,Rollover,1001852174,Initial AB,,,,Concrete,20160105,Surrey,,,,,,
46,,,,20160105,2,Rollover,1001852182,,,,,,20160105,Surrey,,,,,,
47,Digitized from 2015 Ortho photos,,,20160105,3,Pavement Edge,1001852179,Initial AB,,,,Asphalt,20160105,Surrey,,,In Service,,,
48,,,,20180718,0,Barrier,1002111499,Initial AB,,,,Concrete,20180718,Surrey,,1716-6300-00,In Service,,2018,
49,,,,20120213,2,Rollover,1001360584,,,,,Concrete,20130808,Surrey,,,In Service,,,
50,,,,20171026,2,Rollover,1001884945,Final AB,,,,Concrete,20171026,Surrey,,7813-0202-00,In Service,,2017,
51,,,,20150206,0,Barrier,1001805289,Final AB,,,,Concrete,20170117,Surrey,,1713-3070-00,In Service,,2014,
52,,,,20170117,2,Rollover,1001902522,Final AB,1001902519,0,,Concrete,20170117,Surrey,,1713-3070-00,In Service,,2014,0
53,,,,20170117,0,Barrier,1001902479,,1001902477,0,,Concrete,20170117,Surrey,,,In Service,,,0
54,,,,20160112,0,Barrier,1001204405,Final AB,,,,Concrete,20160112,Provincial,,SFPR Seg. 6,In Service,,2014,
55,,,,20160112,0,Barrier,1001853418,Final AB,,,,Concrete,20160112,Provincial,,SFPR Seg. 6,In Service,,2014,
56,Digitized Via 2013 Air Photo,,,20140603,3,Pavement Edge,1001752146,,1001752143,0,,Asphalt,20140603,Surrey,,,In Service,,,0
57,Digitized Via 2013 Air Photo,,,20140528,3,Pavement Edge,1001751206,,1001751201,0,,Asphalt,20140528,Surrey,,,In Service,,,0
58,Digitized from 2015 Ortho photos,,,20160112,2,Rollover,1001853254,Initial AB,,,,Concrete,20160112,Surrey,,,In Service,,,
59,Digitized from 2015 Ortho photos,,,20160111,2,Rollover,1001853144,Initial AB,,,,Concrete,20160111,Surrey,,,In Service,,,
60,,,,20150925,0,Barrier,1001840303,Final AB,,,,Concrete,20150925,Surrey,,5011-1010-00,In Service,,2015,
61,,,,20160112,0,Barrier,1001853348,EC,1001817843,0,,Concrete,20150414,Surrey,,7813-0035-00,Proposed,,2015,0
62,Digitized from 2015 Ortho photos,,,20160112,2,Rollover,1001853349,Initial AB,,,,Concrete,20160112,Surrey,,,In Service,,,
63,,,,20180416,0,Barrier,1001995613,,,,,Concrete,,Surrey,,,In Service,,,
64,Digitized Via 2014 Air Photo,,,20150327,3,Pavement Edge,1001814354,,,,,Asphalt,20150327,Surrey,,,In Service,,,
65,Digitized Via 2014 Air Photo,,,20150327,2,Rollover,1001814348,,,,,Concrete,20150327,Surrey,,,,,,
66,,,,20140721,3,Pavement Edge,1001756827,,,,,Asphalt,20161108,Surrey,,,In Service,,,
67,,,,20170201,0,Barrier,1001796585,Final AB,,,,Concrete,20170313,Surrey,,7813-0019-00,In Service,,2016,
68,Digitized Via 2016 Air Photo,,,20170201,1,Extruded,1001904849,,1001893121,0,,Asphalt,20170201,Surrey,,,In Service,,,0
69,,,,20170117,0,Barrier,1001902515,,1001902478,0,,Concrete,20170117,Surrey,,,In Service,,,0
70,,,,20170117,2,Rollover,1001902514,,1001902478,0,,Concrete,20170117,Surrey,,,In Service,,,0
71,,,,20170117,0,Barrier,1001902489,,1001902477,0,,Concrete,20170117,Surrey,,,In Service,,,0
72,,,,20151102,0,Barrier,1001846095,Final AB,,,,Concrete,20160112,Surrey,,SFPR Seg. 6,In Service,,2014,
73,,,,20140704,3,Pavement Edge,1001755399,,,,,,20160119,Surrey,,,,,,
74,Digitized Via 2013 Air Photo,,,20140603,3,Pavement Edge,1001752104,,,,,Asphalt,20140604,Surrey,,,In Service,,,
75,Digitized Via 2013 Air Photo,,,20140603,3,Pavement Edge,1001752155,,,,,Asphalt,20140603,Surrey,,,In Service,,,
76,Digitized Via 2013 Air Photo,,,20140603,3,Pavement Edge,1001752154,,,,,Asphalt,20140603,Surrey,,,In Service,,,
77,Digitized Via 2013 Air Photo,,,20140603,3,Pavement Edge,1001752152,,1001752149,0,,Asphalt,20140603,Surrey,,,In Service,,,0
78,Digitized Via 2013 Air Photo,,,20140603,3,Pavement Edge,1001752161,,,,,Asphalt,20140603,Surrey,,,In Service,,,
79,Digitized Via 2013 Air Photo,,,20140603,3,Pavement Edge,1001752106,,,,,Asphalt,20140704,Surrey,,,In Service,,,
80,Digitized Via 2013 Air Photo,,,20140603,3,Pavement Edge,1001752158,,,,,Asphalt,,Surrey,,,In Service,,,
81,Digitized Via 2013 Air Photo,,,20160629,3,Pavement Edge,1001882100,,1001751171,0,,Asphalt,20180516,Surrey,,,In Service,,,0
82,,,,20110216,3,Pavement Edge,1001189515,Final AB,,,,Asphalt,20110216,Surrey,,,In Service,,,
83,Digitized from 2015 Ortho photos,,,20160112,2,Rollover,1001853230,Initial AB,,,,Concrete,20160112,Surrey,,,In Service,,,
84,Digitized from 2015 Ortho photos,,,20160112,2,Rollover,1001853232,Initial AB,,,,Concrete,20160112,Surrey,,,In Service,,,
85,Digitized from 2015 Ortho photos,,,20160112,0,Barrier,1001853284,Final AB,,,,Concrete,,Surrey,,,In Service,,,
86,,,,20160111,3,Pavement Edge,1001853158,,,,,Asphalt,20180328,Surrey,,,In Service,,,
87,Digitized from 2015 Ortho photos,,,20160112,2,Rollover,1001853341,Initial AB,,,,Concrete,20160112,Surrey,,,In Service,,,
88,,,,20151009,0,Barrier,1001841876,Final AB,,,,Concrete,20151009,Surrey,,1711-7090-00,In Service,,2015,
89,,,,20180809,0,Barrier,1002127253,,,,Kabbadi Park,Concrete,20180809,Surrey,,,In Service,,,
90,,,,20180809,0,Barrier,1002127252,,,,Kabbadi Park,Concrete,20180809,Surrey,,,In Service,,,
91,,,,20151008,0,Barrier,1001841807,Final AB,1001433664,0,,Concrete,20151008,Surrey,,1711-7090-00,In Service,,2015,0
92,,,,20180416,0,Barrier,1001995599,,,,,Concrete,,Surrey,,,In Service,,,
93,,,,20180801,3,Pavement Edge,1002123129,,,,,Asphalt,20180801,Surrey,,,In Service,,,
94,,,,20120919,0,Barrier,1001434123,Final AB,1001434122,,,Concrete,20130808,Surrey,,3810-6050-00,In Service,,2012,
95,,,,20110829,0,Barrier,1001210785,,,,,Concrete,20120920,Surrey,,,In Service,,,
96,,,,20160210,0,Barrier,1001796947,Final AB,,,,Concrete,20160210,Surrey,,3814-4070-00,In Service,,2015,
97,,,,20140416,0,Barrier,1001741823,Final AB,,,,Concrete,20150327,Surrey,,7812-0007-00,In Service,,2014,
98,,,,20140416,2,Rollover,1001741855,Final AB,1001741852,0,,Concrete,20150327,Surrey,,7812-0007-00,In Service,,2014,0
99,Digitized Via 2012 Air Photo,,,20121204,3,Pavement Edge,1001560649,,,,,Asphalt,20161108,Surrey,,,In Service,,,
100,,,,20170117,0,Barrier,1001902491,,1001902477,0,,Concrete,20170117,Surrey,,,In Service,,,0
101,,,,20170117,0,Barrier,1001902501,,1001902478,0,,Concrete,20170117,Surrey,,,In Service,,,0
102,,,,20170117,0,Barrier,1001902495,,1001902477,0,,Concrete,20170117,Surrey,,,In Service,,,0
103,,,,20110718,1,Extruded,1001204477,Initial AB,,,,Concrete,20110718,Surrey,,1799-2230-00,In Service,,2001,
104,,,,20160118,0,Barrier,1001854447,,,,,Concrete,,Surrey,,,In Service,,,
105,,,,20150707,3,Pavement Edge,1001830252,Final AB,,,,Asphalt,20160118,Provincial,,SFPR Seg. 6,In Service,,2014,
106,,,,20140108,3,Pavement Edge,1001408971,Final AB,,,,Asphalt,20140108,Surrey,,5011-1060-00,In Service,,2012,
107,,,,20160119,3,Pavement Edge,1001854554,,1001755399,0,,,20160119,Surrey,,,,,,0
108,,,,20160119,3,Pavement Edge,1001854555,,,,,Asphalt,,Surrey,,,In Service,,,
109,Digitized Via 2013 Air Photo,,,20140528,3,Pavement Edge,1001751200,,1001751197,0,,Asphalt,20180516,Surrey,,,In Service,,,0
110,Digitized Via 2013 Air Photo,,,20140528,3,Pavement Edge,1001751212,,,,,Asphalt,20180516,Surrey,,,In Service,,,
111,Digitized Via 2013 Air Photo,,,20140528,3,Pavement Edge,1001751180,,1001751166,0,,Asphalt,20180516,Surrey,,,In Service,,,0
112,,,,20180413,2,Rollover,1001995519,,,,,Concrete,,Surrey,,,In Service,,,
113,Digitized Via 2016 Air Photo,,,20161021,1,Extruded,1001894896,,,,,Asphalt,20161021,Surrey,,,In Service,,,
114,Digitized Via 2012 Air Photo,,,20121203,3,Pavement Edge,1001560582,,,,,Asphalt,20130808,Surrey,,,In Service,,,
115,,,,20170117,0,Barrier,1001902477,,,,,Concrete,20170117,Surrey,,,In Service,,,
116,,,,20180119,0,Barrier,1001980935,EC,,,,Concrete,20180119,Surrey,,7816-0283-00,Proposed,,,
117,,,,20110908,2,Rollover,1001212371,EC,,,,Concrete,20110908,Surrey,,7809-0139-00,Proposed,,2011,
118,,,,20110908,3,Pavement Edge,1001212375,EC,,,,Asphalt,20110908,Surrey,,7809-0139-00,Proposed,,2011,
119,Digitized Via 2016 Air Photo,,,20161026,2,Rollover,1001895168,,,,,Concrete,20161026,Surrey,,,In Service,,,
120,,,,20110722,0,Barrier,1001204909,,,,,Concrete,20110722,Surrey,,,In Service,,,
121,Digitized via 2015 image,,,20160907,1,Extruded,1001891030,,1001891029,0,,Concrete,20160907,Surrey,,,In Service,,,0
122,Digitized via 2015 image,,,20160907,3,Pavement Edge,1001891029,,,,,Asphalt,20160907,Surrey,,,In Service,,,
123,,,,20180619,0,Barrier,1002072524,Initial AB,,,,Concrete,20180619,Surrey,,7816-0110-00,In Service,,2018,
124,,,,20111212,3,Pavement Edge,1001223534,,,,,Asphalt,20111212,Surrey,,,In Service,,,
125,,,,20160128,3,Pavement Edge,1001856246,Final AB,,,,Asphalt,20160128,Surrey,,1713-3180-00,In Service,,2015,
126,Digitized Via 2013 Air Photo,,,20140704,3,Pavement Edge,1001755435,,,,,Asphalt,20140704,Surrey,,,In Service,,,
127,Digitized Via 2015 Air Photo,,,20160210,0,Barrier,1001858319,,,,,Concrete,20160210,Surrey,,,In Service,,,
128,,,,20130514,2,Rollover,1001595224,Final AB,1001595217,,,Concrete,20130919,Surrey,,7812-0045-00,In Service,,2013,
129,Digitized Via 2013 Air Photo,,,20130919,2,Rollover,1001708951,,,,,Concrete,20130919,Surrey,,,In Service,,,
130,Digitzed Via 2011 Air Photo,,,20120808,0,Barrier,1001420681,,,,,Concrete,20130808,Surrey,,,In Service,,,
131,,,,20120808,3,Pavement Edge,1001200314,Final AB,,,,Asphalt,20130808,Surrey,,7809-0133-00,In Service,,2012,
132,,,,20170626,2,Rollover,1001937472,EC,,,,Concrete,20170705,Surrey,,7813-0210-00,Proposed,,,
133,,,,20180412,0,Barrier,1001995112,Final AB,,,,Concrete,20180412,Surrey,,,In Service,,,
134,,,,20110722,0,Barrier,1001204917,Final AB,1001204907,,,Concrete,20110722,Surrey,,1704-3030-00,In Service,,2007,
135,Digitized Via 2016 Air Photo,,,20161021,1,Extruded,1001894898,,,,,Asphalt,20161021,Surrey,,,In Service,,,
136,Digitized Via 2012 Air Photo,,,20121204,3,Pavement Edge,1001560629,,,,,Asphalt,20130808,Surrey,,,In Service,,,
137,Access Road,,,20171222,3,Pavement Edge,1001972549,Initial AB,,,,Gravel,20171222,Surrey,,4815-5030-00,In Service,,2017,
138,,,,20111212,3,Pavement Edge,1001223532,,,,,Asphalt,20111212,Surrey,,,In Service,,,
139,,,,20110610,0,Barrier,1001200665,Final AB,,,,Concrete,20160128,Surrey,,7806-0035-00,In Service,,2010,
140,,,,20171116,0,Barrier,1001955308,EC,,,,Concrete,20171116,Surrey,,7815-0441-00,Proposed,,,
141,,,,20160128,0,Barrier,1001856259,,,,,Concrete,,Surrey,,,In Service,,,
142,,,,20160128,0,Barrier,1001856274,Final AB,,,,Concrete,20160128,Surrey,,1713-3180-00,In Service,,2015,
143,,,,20160128,3,Pavement Edge,1001856284,Final AB,1001856283,0,,Asphalt,20160128,Surrey,,1713-3180-00,In Service,,2015,0
144,,,,20160128,3,Pavement Edge,1001856285,Final AB,,,,Asphalt,20160128,Surrey,,1713-3180-00,In Service,,2015,
145,,,,20170123,0,Barrier,1001903469,,,,,Concrete,,Surrey,,,In Service,,,
146,,,,20160118,1,Extruded,1001854464,Final AB,,,,Asphalt,20160118,Provincial,,SFPR Seg. 6,In Service,,2014,
147,,,,20160114,3,Pavement Edge,1001853591,Final AB,1001829651,0,,Asphalt,20150707,Surrey,,SFPR Seg. 6,In Service,,2014,0
148,,,,20160114,3,Pavement Edge,1001853596,Final AB,1001830259,0,,Asphalt,20160114,Provincial,,SFPR Seg. 6,In Service,,2014,0
149,,,,20150724,0,Barrier,1001832069,,1001832003,0,,Concrete,20150724,Surrey,,,In Service,,,0
150,,,,20140319,0,Barrier,1001221778,Final AB,,,,Concrete,20140319,Surrey,,7809-0261-00,In Service,,2014,
151,,,,20140319,0,Barrier,1001221776,Final AB,,,,Concrete,20140319,Surrey,,7809-0261-00,In Service,,2014,
152,,,,20091207,0,Barrier,1001142738,Final AB,,,,Concrete,20100310,Surrey,,7807-0124-00,In Service,,2009,
153,,,,20120413,3,Pavement Edge,1001408065,,,,,Asphalt,20130808,Surrey,,,In Service,,,
154,Taper 10:1 according to EC,,,20120413,1,Extruded,1001408062,Final AB,1001211434,,,Asphalt,20130808,Surrey,,7806-0400-00,In Service,,2012,
155,,,,20130703,0,Barrier,1001165644,Final AB,,,,Concrete,20130808,Surrey,,7809-0044-00,In Service,,2013,
156,,,,20160316,0,Barrier,1001360248,Initial AB,,,,Concrete,20160316,Surrey,,7804-0099-00,In Service,,2014,
157,Digitized from 2015 Ortho photos,,,20160107,3,Pavement Edge,1001852561,Initial AB,,,,Concrete,20160107,Surrey,,,In Service,,,
158,,,,20151130,3,Pavement Edge,1001848921,,,,,Asphalt,,Surrey,,,In Service,,,
159,,,,20100203,0,Barrier,1001148836,Final AB,,,,Concrete,20130920,Surrey,,7808-0255-00,In Service,,2009,
160,,,,20100809,2,Rollover,1001169448,Final AB,,,,Concrete,20100809,Surrey,,7807-0015-00,In Service,,2010,
161,,,,20111013,2,Rollover,1001215715,Final AB,,,,Concrete,20131211,Surrey,,1707-3030-00,In Service,,2009,
162,Digitized Via 2014 Air Photo,,,20161216,1,Extruded,1001900079,EC,1001223669,0,,Concrete,20171023,Surrey,,7808-0308-00,In Service,,2011,0
163,,,,20170123,0,Barrier,1001903434,,,,,Concrete,,Surrey,,,In Service,,,
164,,,,20160927,3,Pavement Edge,1001893105,,,,,Asphalt,,Surrey,,,In Service,,,
165,,,,20160114,3,Pavement Edge,1001853599,Final AB,1001830259,0,,Asphalt,20160114,Provincial,,SFPR Seg. 6,In Service,,2014,0
166,,,,20160111,0,Barrier,1001226386,Final AB,,,,Concrete,20160111,Surrey,,1712-8020-00,In Service,,2012,
167,,,,20180416,0,Barrier,1001995647,,,,,Concrete,20180416,Surrey,,,In Service,,,
168,,,,20171116,0,Barrier,1001955311,EC,,,,Concrete,20171116,Surrey,,7815-0441-00,Proposed,,,
169,,,,20120528,1,Extruded,1001414012,,1001411483,,,Asphalt,20120528,Surrey,,,In Service,,,
170,,,,20140217,0,Barrier,1001568230,Initial AB,,,,Concrete,20140217,Surrey,,7812-0017-00,In Service,,2014,
171,,,,20170802,1,Extruded,1001942402,,,,,,20170802,Surrey,,,,,,
172,,,,20170802,1,Extruded,1001942427,,,,,Asphalt,20170802,Surrey,,,In Service,,,
173,,,,20160613,0,Barrier,1001753407,Final AB,,,,Concrete,20160613,Surrey,,7812-0240-00,In Service,,2016,
174,Digitized Via 2012 Air Photo,,,20130109,2,Rollover,1001562612,,,,,Concrete,20130808,Surrey,,,In Service,,,
175,,,,20140211,3,Pavement Edge,1001728863,Final AB,,,,Asphalt,20140211,Surrey,,1708-6030-00,In Service,,2013,
176,,,,20140211,0,Barrier,1001728850,,,,,Concrete,20140211,Surrey,,,In Service,,,
177,,,,20140212,0,Barrier,1001729138,Final AB,,,,Concrete,20140212,Surrey,,1708-6030-00,In Service,,2013,
178,,,,20140212,2,Rollover,1001729137,,,,,Concrete,20140212,Surrey,,,In Service,,,
179,Digitized Via 2014 Air Photo,,,20150622,0,Barrier,1001828625,,,,,Concrete,20150622,Surrey,,,In Service,,,
180,,,,20180416,0,Barrier,1001995669,,,,,Concrete,20180827,Surrey,,,In Service,,,
181,Digitized Via 2013 Air Photo,,,20131204,3,Pavement Edge,1001720743,,,,,Asphalt,20150629,Surrey,,,In Service,,,
182,,,,20111013,2,Rollover,1001215674,Final AB,1001215672,,,Concrete,20131211,Surrey,,1707-3030-00,In Service,,2009,
183,Digitized Via 2015 Air Photo,,,20160405,3,Pavement Edge,1001868278,,,,,Concrete,20160405,Surrey,,,In Service,,,
184,Digitized Via 2011 Airphoto,,,20120516,0,Barrier,1001412958,,,,,Concrete,20130808,Surrey,,,In Service,,,
185,Parks Responsibilty,,,20180327,0,Barrier,1001993048,Final AB,,,Newton Athletic Park,Concrete,20180327,Surrey,,,In Service,,,
186,,,,20180416,2,Rollover,1001995650,,1001995649,0,,Concrete,20180416,Surrey,,,In Service,,,0
187,,,,20180416,1,Extruded,1001995658,,1001995656,0,,Asphalt,20180416,Surrey,,,In Service,,,0
188,,,,20150629,2,Rollover,1001829790,,,,,Concrete,,Surrey,,,In Service,,,
189,,,,20150629,2,Rollover,1001829781,,,,,Concrete,,Surrey,,,In Service,,,
190,,,,20111012,0,Barrier,1001215580,,,,,Concrete,20111012,Surrey,,,In Service,,,
191,,,,20160929,1,Extruded,1001893441,EC,,,,Asphalt,20160929,Surrey,,1716-6290-00,Proposed,,,
192,,,,20180717,0,Barrier,1001940493,Initial AB,,,,Concrete,20180717,Surrey,,7815-0294-00,In Service,,2018,
193,,,,20170817,0,Barrier,1001943499,EC,,,,Concrete,20170817,Surrey,,7814-0008-00,Proposed,,,
194,,,,20170817,2,Rollover,1001943500,EC,,,,Concrete,20170817,Surrey,,7814-0008-00,Proposed,,,
195,,,,20120516,3,Pavement Edge,1001413048,,,,,Asphalt,20160928,Surrey,,,In Service,,,
196,,,,20120528,1,Extruded,1001414018,Initial AB,,,,Asphalt,20120528,Surrey,,,In Service,,,
197,,,,20120516,3,Pavement Edge,1001413036,,1001413035,,,Asphalt,20120503,Surrey,,,In Service,,,
198,,,,20120503,3,Pavement Edge,1001411487,,,,,Asphalt,20120503,Surrey,,,In Service,,,
199,,,,20120503,3,Pavement Edge,1001411512,,,,,Asphalt,20160927,Surrey,,,In Service,,,
200,,,,20091207,2,Rollover,1001142742,Final AB,,,,Concrete,20091207,Surrey,,7807-0321-00,In Service,,2009,
201,,,,20160202,3,Pavement Edge,1001857055,,,,,Asphalt,,Surrey,,,In Service,,,
202,,,,20160201,0,Barrier,1001796295,Final AB,,,,Concrete,20160201,Surrey,,3813-4140-00,In Service,,2015,
203,,,,20141210,1,Extruded,1001798943,,,,,Concrete,20141210,Surrey,,,In Service,,,
204,,,,20150622,0,Barrier,1001828656,,,,,,20150622,Surrey,,,,,,
205,Parks Responsibilty,,,20180327,2,Rollover,1001993062,Final AB,,,Newton Athletic Park,Concrete,20180327,Surrey,,,In Service,,,
206,Parks Responsibility,,,20180327,2,Rollover,1001993067,Initial AB,1001993065,0,Newton Athletic Park,Concrete,20180327,Surrey,,,In Service,,,0
207,Parks Responsibilty,,,20180327,0,Barrier,1001993063,,,,Newton Athletic Park,Concrete,,Surrey,,,In Service,,,
208,Parks Responsibilty,,,20180326,0,Barrier,1001992794,Final AB,,,Newton Athletic Park,Concrete,20180327,Surrey,,,In Service,,,
209,Digitized Via  2014 Airphoto,,,20150618,0,Barrier,1001828207,,1001828206,0,,Concrete,20150619,Surrey,,,In Service,,,0
210,Digitized Via  2014 Airphoto,,,20150618,3,Pavement Edge,1001828235,Initial AB,,,,Concrete,20150619,Surrey,,7811-0223-01,In Service,,2014,
211,,,,20150618,0,Barrier,1001828302,,,,,,,Surrey,,,,,,
212,,,,20150618,0,Barrier,1001828303,,,,,,20180412,Surrey,,,,,,
213,Digitized Via  2014 Airphoto,,,20130731,3,Pavement Edge,1001607702,,,,,Concrete,20180412,Surrey,,,In Service,,,
214,Digitized Via  2014 Airphoto,,,20150618,0,Barrier,1001828321,,,,,Concrete,20150619,Surrey,,,In Service,,,
215,,,,20180717,3,Pavement Edge,1001941815,Initial AB,,,,Asphalt,20180717,Surrey,,7815-0294-00,In Service,,2018,
216,,,,20100305,0,Barrier,1001151859,Final AB,,,,Concrete,20100305,Surrey,,7806-0503-00,In Service,,2009,
217,,,,20160111,1,Extruded,1001853039,Final AB,1001853028,0,,Concrete,20160111,Surrey,,3811-6350-00,In Service,,2012,0
218,,,,20160111,3,Pavement Edge,1001853034,Final AB,1001853033,0,,Asphalt,20160111,Surrey,,3811-6350-00,In Service,,2012,0
219,Digitized from 2015 Ortho photos,,,20160129,2,Rollover,1001856679,Initial AB,,,,,,Surrey,,,In Service,,,
220,Digitized from 2015 Ortho photos,,,20160129,2,Rollover,1001856681,Initial AB,,,,,20160129,Surrey,,,In Service,,,
221,Digitized from 2015 Ortho photos,,,20160129,2,Rollover,1001856684,Initial AB,,,,,,Surrey,,,In Service,,,
222,,,,20091207,2,Rollover,1001142741,Final AB,,,,Concrete,20091207,Surrey,,7807-0321-00,In Service,,2009,
223,,,,20120726,0,Barrier,1001419350,Final AB,,,,Concrete,20140409,Surrey,,1708-3040-00,In Service,,2012,
224,Digitized Via 2015 Air Photo,,,20151126,2,Rollover,1001848505,,1001848504,0,,Concrete,20151126,Surrey,,,In Service,,,0
225,,,,20140409,0,Barrier,1001740610,Final AB,,,,Concrete,20140409,Surrey,,1708-3040-00,In Service,,2012,
226,,,,20140408,1,Extruded,1001740360,Final AB,1001419048,0,,Concrete,20140408,Surrey,,1708-3030-00,In Service,,2012,0
227,,,,20110217,2,Rollover,1001152419,Final AB,,,,Concrete,20110217,Provincial,,MOTH 71101-1004,In Service,,2009,
