,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
3269,PTN LT 1 PL LMP40495 (PL LMS4007),LMP40497,7996-0338,3rd Party Agreement,E053-0027,Municipal Right of Way,Registered,6.1,1998
3270,PTN LTS 8-11 PL 82526,82527,7887-1330,Restrictive Covenant,E052-0026,Municipal Right of Way,Registered,0,1996
3271,PTN LTS 3 & 4 PL 77449,77450,7887-1170,3rd Party Agreement,E052-0014,Municipal Right of Way,Registered,1.8,1988
3272,PTN LT 2 PL 77449,77450,7887-1170,3rd Party Agreement,E052-0014,Municipal Right of Way,Registered,1.8,1988
3273,"PTN LTS 21, 22 & 27 PL 67237",67238,2054-002,3rd Party Agreement,E042-0001,Municipal Right of Way,Registered,3,1983
3274,PTN LTS 43 & 44 PL LMP13196,LMP13198,7891-0032,3rd Party Agreement,E042-0037,Municipal Right of Way,Registered,0,1993
3275,PTN LT 16 PL 81927,81929,7886-4600,3rd Party Agreement,E042-0031,Municipal Right of Way,Registered,1.8,1989
3276,OVER LT 16 PL 84758,,7888-0580,Restrictive Covenant,E042-0012,Municipal Right of Way,Registered,0,1990
3277,PTN LT6 PL8956,LMP41545,7896-0075,3rd Party Agreement,E042-0041,Municipal Right of Way,Registered,0,1999
3278,PTN LT 44 PL 84729,84730,7888-0136,3rd Party Agreement,E042-0017,Municipal Right of Way,Registered,3,1990
3279,PTN LTS 29-33 PL 76071,76072,7886-2250,3rd Party Agreement,E032-0010,Municipal Right of Way,Registered,3,1987
3280,PTN LTS 1 & 2 PL LMP12024,LMP20007,6089-0416,Restrictive Covenant,E032-0033,Municipal Right of Way,Registered,0,1994
3281,PTN LTS 19 & 24 PL 75806,75807,7886-5100,3rd Party Agreement,E032-0014,Municipal Right of Way,Registered,1.8,1987
3282,LTS 1-2 & 29-39 PL 70605 ( PL 76071 ),70606,7883-523,Restrictive Covenant,E032-0006,Municipal Right of Way,Registered,0,1985
3283,LTS 8 & 9 PL 75805,,7886-5100,Restrictive Covenant,E032-0012,Municipal Right of Way,Registered,0,1987
3284,E 6.706m LT 3 & ALL LT 2 PL 16376,,2054-002,3rd Party Agreement,E022-0003,Municipal Right of Way,Registered,0,1980
3285,PTN LT 2 PL79014 & W733.4 FT LT17 PL9014,79015,7887-2470,Restrictive Covenant,E012-0016,Municipal Right of Way,Registered,1.8,1988
3286,PTN LT 2 PL79014 & W733.4 FT LT17 PL9014,79015,7887-2470,Restrictive Covenant,E012-0016,Municipal Right of Way,Registered,0,1988
3287,PTN STRATA PL NW2447,72642,7886-1510,3rd Party Agreement,E012-0002,Municipal Right of Way,Registered,6.096,1986
3288,PTN LT 2 PL 72880,72914,7886-317,3rd Party Agreement,E012-0008,Municipal Right of Way,Registered,4.5,1986
3289,PTN LT 2 PL BCP32288,BCP32290,7803-0315-00,3rd Party Agreement,E012-0038,Municipal Right of Way,Registered,VAR,2007
3290,PTN LT B PL 72606,72964,7885-608,3rd Party Agreement,E002-0002,Municipal Right of Way,Registered,3,1986
3291,PTN LT 8 PL 82708 & PTN LT 30 PL 80559,82883,7887-3082,3rd Party Agreement,E113-0005,Municipal Right of Way,Registered,0,1989
3292,PTN LT 7 PL 81468,81593,7888-0632,3rd Party Agreement,E113-0013,Municipal Right of Way,Registered,0,1989
3293,PTN LT 3 PL LMP2572,LMP2573,7890-0174,3rd Party Agreement,E113-0029,Municipal Right of Way,Registered,0,1991
3294,OVER LT 1 PL 87283,,7889-0539,Restrictive Covenant,E113-0010,Municipal Right of Way,Registered,0,1990
3295,PTN LT 8 PL 6951 (PL LMS3267),LMP34616,7995-0272,Restrictive Covenant,E103-0008,Municipal Right of Way,Registered,15.24,1997
3296,PTN LTS 5 & 7 PL LMP36741,LMP36742,7896-0185,3rd Party Agreement,E113-0027,Municipal Right of Way,Registered,0,1998
3297,PTN LTS 39-42 PL LMP32921,LMP32922,7892-0479,3rd Party Agreement,E113-0021,Municipal Right of Way,Registered,3,1997
