,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
0,"PTN LTS 3,4 & 6-8 PL LMP27818",LMP28709,7894-0099,3rd Party Agreement,E019-0015,Municipal Right of Way,Registered,0,1996
1,PTN LTS 1-5 PL LMP42200,LMP42202,7894-0212,3rd Party Agreement,E019-0016,Municipal Right of Way,Registered,0,1999
2,PTN LTS 11 & 12 PL BCP31641,BCP31656,7805-0143-00,3rd Party Agreement,E009-0008,Municipal Right of Way,Registered,11.842,2007
3,PTN LTS 13 & 14 PL BCP31641,BCP31658,7805-0143-00,3rd Party Agreement,E009-0010,Municipal Right of Way,Registered,9.718,2007
4,OVER ALL LT 21 BK 5 PL 2200,,2054-002,3rd Party Agreement,E110-0003,Municipal Right of Way,Registered,15.24,1977
5,PTN LTS 11 & 13-15 PL LMP30205,LMP30206,7892-0633,3rd Party Agreement,E070-0032,Municipal Right of Way,Registered,0,1996
6,PTN LTS A & B PL LMP5385,LMP5388,7890-0158,3rd Party Agreement,E080-0057,Municipal Right of Way,Registered,0,1992
7,PTN LTS 13-15 & 25-27 PL LMP25008,LMP25009,7893-0071,3rd Party Agreement,E070-0026,Municipal Right of Way,Registered,3,1995
8,PTN LT 7 PL LMP2761 PL LMP2762,1992,7890-0259,3rd Party Agreement,E060-0090,Municipal Right of Way,Registered,0,1992
9,PTN LTS 1 & 2 PL LMP13440,LMP13441,7892-0227,3rd Party Agreement,E060-0062,Municipal Right of Way,Registered,1.8,1993
10,PTN LTS 10-12 PL LMP28732,LMP28733,7894-0145,3rd Party Agreement,E060-0072,Municipal Right of Way,Registered,0,1996
11,OVER LT A PL 76496 (Rem NW2768),,7887-3600,Restrictive Covenant,E060-0009,Municipal Right of Way,Registered,0,1987
12,PTN S 5m LTS 22 & 23 PL 87047,,7889-0266,3rd Party Agreement,E060-0021,Municipal Right of Way,Registered,5,1990
13,PTN LTS 24 & 33 PL 78375,,7887-3551,3rd Party Agreement,E060-0010,Municipal Right of Way,Registered,0,1988
14,PTN LT 22 PL 82688,82689,7880-0390,3rd Party Agreement,E060-0014,Municipal Right of Way,Registered,1.8,1989
15,PTN STRATA PL NW3457,88368,7890-0068,3rd Party Agreement,E050-0057,Municipal Right of Way,Registered,0,1991
16,PTN LT 11 PL LMP3710,LMP3765,7889-0497,3rd Party Agreement,E050-0059,Municipal Right of Way,Registered,1.8,1992
17,PTN LTS 12-15 PL LMP3710,LMP3765,7889-0497,3rd Party Agreement,E050-0059,Municipal Right of Way,Registered,1.8,1992
18,LT 19 PL 456 (PL NW2079),,A442,Restrictive Covenant,E040-0007,Municipal Right of Way,Registered,0,1983
19,PTN LT 28 BLK 3 PL 529A,LMP52857,1797-316,Restrictive Covenant,E019-0020,Municipal Right of Way,Registered,11.5,2002
20,PTN LT 27 BLK 3 PL 529A,LMP52857,1797-316,Restrictive Covenant,E019-0019,Municipal Right of Way,Registered,11.5,2002
21,PTN LTS 87 & 88 PL 529A,BCP3445,1799-316,Restrictive Covenant,E019-0029,Municipal Right of Way,Registered,11.5,2003
22,PTN LT 6 PL BCP31641,BCP31653,7805-0143-00,3rd Party Agreement,E009-0005,Municipal Right of Way,Registered,4.32,2007
23,PTN LT 1 PL BCP50197,BCP50198,7811-0128-00,3rd Party Agreement,E019-0033,Municipal Right of Way,Registered,VAR,2012
24,PTN LTS B & C PL LMP17285,LMP17286,7892-0407,3rd Party Agreement,E020-0010,Municipal Right of Way,Registered,1.8,1994
25,PTN LTS 1-3 PL LMP4117,LMP4118,7890-0417,3rd Party Agreement,E020-0017,Municipal Right of Way,Registered,3,1992
26,PTN LT 2 PL BCP03195,BCP03196,7800-0212-00,3rd Party Agreement,E130-0006,Municipal Right of Way,Registered,3.0,2003
27,PTN LT 7 PL LMP25910 (LT 3 PL LMP32629),LMP25911,7894-0343,3rd Party Agreement,E120-0006,Municipal Right of Way,Registered,3,1996
28,PTN LT 11 PL LMP53206,LMP53207,7899-0124,3rd Party Agreement,E120-0010,Municipal Right of Way,Registered,1.8,2003
29,PTNS LTS 403-405 PL 60057,60069,2054-002,3rd Party Agreement,E120-0001,Municipal Right of Way,Registered,3,1980
30,PTN LT 3 PL 84568,84569,7889-0182,3rd Party Agreement,E110-0012,Municipal Right of Way,Registered,3,1990
31,OVER Rem 19 PL 21494 LTS 54-55 PL 57206,,2054-002,Restrictive Covenant,E110-0002,Municipal Right of Way,Registered,0,1976
32,PTN LTS 3 & 4 PL LMP6662 & LT 2 PL 10256,LMP6664,7891-0190,3rd Party Agreement,E110-0020,Municipal Right of Way,Registered,1.8,1992
33,PTN LT 3 PL EPP22935,EPP22937,7807-0101-00,3rd Party Agreement,E080-0077,Municipal Right of Way,Registered,VAR,2014
34,PTN LOT 3 PL BCP4079,BCP40880,7807-0251-00,3rd Party Agreement,E080-0073,Municipal Right of Way,Registered,VAR,2009
35,PTN LTS 1 & 19 PL 83240 (PL LMP11424),83241,7888-0359,3rd Party Agreement,E070-0036,Municipal Right of Way,Registered,1.8,1989
36,PTN LTS 1 & 2 PL BCP46933,BCP46934,7805-0290-00,3rd Party Agreement,E070-0060,Municipal Right of Way,Registered,4.5,2010
37,"LT 29 PL 76012 (LTS 5-7, 11-18 PL 83240)",,7889-0351,Restrictive Covenant,E070-0018,Municipal Right of Way,Registered,0,1987
38,PTN LT 27 PL 80880,80881,7887-0721,3rd Party Agreement,E070-0012,Municipal Right of Way,Registered,3,1989
39,PTN LT 29 PL 80880,80881,7887-0721,3rd Party Agreement,E070-0012,Municipal Right of Way,Registered,3,1989
40,"PTN LT 1,2,3 PL 86739",PL86740,7889-0004,3rd Party Agreement,E070-0042,Municipal Right of Way,Registered,3,1990
41,PTN LTS 1 & 2 PL 81417,81418,7887-5240,3rd Party Agreement,E070-0014,Municipal Right of Way,Registered,0,1989
42,"PTN LTS 34, 36-39 PL 78572",78573,7887-4140,3rd Party Agreement,E070-0010,Municipal Right of Way,Registered,0,1988
43,PTN LT 9 LMP2728,LMP2730,7888-0474,3rd Party Agreement,E070-0047,Municipal Right of Way,Registered,3,1991
44,L 1 - 4 & L 10 PLBCP18051,BCP18052,7803-0412,3rd Party Agreement,E070-0055,Municipal Right of Way,Registered,VAR,2005
45,PTN LTS 4 & 5 PL LMP38525,LMP38526,7896-0281,3rd Party Agreement,E060-0084,Municipal Right of Way,Registered,0,1998
46,PTN LTS 11-14 PL 86966,86967,7889-0370,Restrictive Covenant,E060-0026,Municipal Right of Way,Registered,0,1990
47,PTN N 1.8m LT 11 PL 85045,,7888-0221,3rd Party Agreement,E060-0035,Municipal Right of Way,Registered,1.8,1990
48,PTN LT 21 PL LMP12763,LMP12765,6092-0578,Restrictive Covenant,E060-0051,Municipal Right of Way,Registered,0,1993
49,PTN LT 20 PL LMP12763,LMP12765,6092-0578,Restrictive Covenant,E060-0050,Municipal Right of Way,Registered,8.809,1993
50,PTN LT 3 PL BCP6187,BCP6189,7803-0117,3rd Party Agreement,E060-0102,Municipal Right of Way,Registered,1.8,2003
51,PTN LTS 11 & 12 PL LMP12763,LMP12764,7892-0578,3rd Party Agreement,E060-0057,Municipal Right of Way,Registered,3,1993
52,PTN LT 1 PL LMP27291,LMP27292,7892-0174,3rd Party Agreement,E060-0068,Municipal Right of Way,Registered,3,1996
53,PTN LTS 1 & 2 PL 78992,78993,7885-2772,3rd Party Agreement,E060-0008,Municipal Right of Way,Registered,1.8,1988
54,PTN LTS 14 & 15 PL 78051,78052,7887-2570,3rd Party Agreement,E060-0005,Municipal Right of Way,Registered,1.8,1988
55,PTN LT1 PL BCP41833,BCP41835,7808-0255-00,3rd Party Agreement,E050-0071,Municipal Right of Way,Registered,VAR,2009
56,PTN LTS 11 & 12 PL 86811,86812,7889-0393,3rd Party Agreement,E050-0034,Municipal Right of Way,Registered,0,1990
57,PTN LTS 410 & 411 PL 60967,60968,A258,3rd Party Agreement,E050-0005,Municipal Right of Way,Registered,1.5,1981
58,"PTN LTS 365,366,368 & 377 PL 61020",62719,A249,3rd Party Agreement,E050-0008,Municipal Right of Way,Registered,1.5,1981
59,PTN LT 11 PL 84677,84678,7889-0084,Restrictive Covenant,E050-0028,Municipal Right of Way,Registered,3,1990
60,OVER LT 13 PL 84677,,7889-0084,Restrictive Covenant,E050-0027,Municipal Right of Way,Registered,0,1990
61,PTN LTS 1 & 2 PL LMP14761,LMP14763,7892-0428,3rd Party Agreement,E050-0040,Municipal Right of Way,Registered,3,1994
62,PTN L 2 & 3 PLLMP19651,LMP19653,93-0147,Restrictive Covenant,E050-0044,Municipal Right of Way,Registered,VAR,1997
63,PTN LT 1 PL LMP8874,BCP28551,7802-0271-00,3rd Party Agreement,E040-0022,Municipal Right of Way,Registered,5.0,2007
64,PTN LTS 1 & 2 PL 76992,76993,7887-2512,3rd Party Agreement,E030-0007,Municipal Right of Way,Registered,1.8,1988
65,PTN LT 2 PL LMP50725,LMP50727,7800-0268,3rd Party Agreement,E030-0026,Municipal Right of Way,Registered,1.8,2001
66,PTN LT 4 PL 82785,82786,7888-0671,3rd Party Agreement,E010-0001,Municipal Right of Way,Registered,3,1989
67,PTN LT 4 PL LMP44313,LMP44314,7898-0244,3rd Party Agreement,E010-0003,Municipal Right of Way,Registered,5,1999
68,"PTN LT C PL69522, LT 2 PL6880 (LMP27431)",LMP24933,7893-0309,3rd Party Agreement,E010-0002,Municipal Right of Way,Registered,11,1995
69,PTN LT A PL BCP16849,BCP16850,7803-0368-00,3rd Party Agreement,E131-0021,Municipal Right of Way,Registered,VAR,2005
70,PTN LTS 3 & 4 PL BCP40589,BCP40590,7807-0321-00,3rd Party Agreement,E120-0013,Municipal Right of Way,Registered,2.75,2009
71,"PTN LTS 4,5 & 16 PL BCP24678",BCP24679,7800-0225,3rd Party Agreement,E121-0053,Municipal Right of Way,Registered,VAR,2006
72,OVER LT 1 PL 83789,,7887-1010,Restrictive Covenant,E121-0023,Municipal Right of Way,Partial Release,0,1989
73,PTN LTS 7-9 PL LMP39788,LMP39789,7997-0257,Restrictive Covenant,E110-0022,Municipal Right of Way,Registered,0,1998
74,PTN LT 4 PL BCP43189,BCP43190,7809-0021-00,3rd Party Agreement,E110-0028,Municipal Right of Way,Registered,VAR,2009
75,PTN LTS 1 & 2 PL 81784,81785,7887-0060,3rd Party Agreement,E081-0005,Municipal Right of Way,Registered,10,1989
76,OVER LTS A & B PL 86874,,7889-0361,Restrictive Covenant,E081-0006,Municipal Right of Way,Registered,0,1990
77,PTN LTS 332-334 PL 61987,61988,A281,3rd Party Agreement,E071-0007,Municipal Right of Way,Registered,3,1981
78,"PTN LTS 312,313,315-321 PL 61987",61988,A281,3rd Party Agreement,E071-0007,Municipal Right of Way,Registered,3,1981
79,PTN LTS 323-326 PL 61987,61988,A281,3rd Party Agreement,E071-0007,Municipal Right of Way,Registered,3,1981
80,PTN LT 372 PL 61987,61988,A281,3rd Party Agreement,E071-0007,Municipal Right of Way,Registered,3,1981
81,PTN LTS 9-11 PL LMP37143,LMP37144,7892-0628,3rd Party Agreement,E071-0041,Municipal Right of Way,Registered,3,1998
82,PTNS LTS 15-22 PL 53678,53679,2054-002,3rd Party Agreement,E071-0001,Municipal Right of Way,Registered,3.048,1977
83,S 3m LT 304 PL 63846,,2054-002,3rd Party Agreement,E061-0002,Municipal Right of Way,Registered,3,1982
84,"L 1-5,8-11 SEC 17 TP 2 BCP15994",BCP15995,7803-0185,3rd Party Agreement,E061-0041,Municipal Right of Way,Registered,VAR,2005
85,PTN LT 1 PL LMP48071,LMP46832,7800-0106,3rd Party Agreement,E051-0021,Municipal Right of Way,Registered,4.572,2000
86,PTN LT 3 PL LMP473 & PL LMS1908(LMS4242),LMP41818,7897-0049,3rd Party Agreement,E041-0041,Municipal Right of Way,Registered,7.41,1999
87,OVER LT 1 PL 81742,,7888-0454,Restrictive Covenant,E041-0014,Municipal Right of Way,Registered,0,1989
88,PTN LT A PL LMP10965,LMP10966,,3rd Party Agreement,E041-0031,Municipal Right of Way,Registered,3,1993
89,LTS 1 & REM 2 PL 75967 (PL LMP46782),,7887-2590,Restrictive Covenant,E041-0011,Municipal Right of Way,Registered,0,1987
90,PTN LT 274 PL 50860,76517,7887-0430,3rd Party Agreement,E021-0006,Municipal Right of Way,Registered,0,1987
91,PTN LT B PL BCP22222,BCP22223,7804-0436-00,3rd Party Agreement,E021-0014,Municipal Right of Way,Registered,6,2006
92,"PTN LTS 9,11,13,15 & 16 PL BCP25132",BCP25133,7804-0157-00,3rd Party Agreement,E010-0011,Municipal Right of Way,Registered,3.0,2006
93,PTN LT 70 PL 52196,74584,7885-2630,3rd Party Agreement,E011-0005,Municipal Right of Way,Registered,0,1987
94,PTN LT 1 PL BCP35847,BCP35848,7802-0222-00,3rd Party Agreement,E011-0073,Municipal Right of Way,Registered,13.263,2008
95,PTN PART (24.76 AC) SRW  PL 3379,LMP44275,7998-0283,3rd Party Agreement,E2001-0180,Municipal Right of Way,Registered,0,1999
96,PTN LTS 5 & 6 PL LMP50485,LMP50486,7800-0151,3rd Party Agreement,E131-0015,Municipal Right of Way,Registered,4,2001
97,PTN LT 1 PL LMP22073,LMP22074,7894-0175,3rd Party Agreement,E131-0009,Municipal Right of Way,Registered,3,1995
98,PTN LT 14 PL LMP2459,LMP2460,7890-0336,3rd Party Agreement,E121-0024,Municipal Right of Way,Registered,1.8,1993
99,PTN LT 1 PL LMP13893,BCP51671,7810-0222-00,3rd Party Agreement,E121-0058,Municipal Right of Way,Registered,6.0,2001
100,OVER LT E & F PL 61416,N/A,7889-0027,Restrictive Covenant,E111-0005,Municipal Right of Way,Registered,VAR,1990
101,PTN LTS 27-29 PL LMP7688,LMP8144,7891-0221,3rd Party Agreement,E121-0028,Municipal Right of Way,Registered,3,1992
102,PTN LT 21 PL LMP7688,LMP7689,7891-0221,Restrictive Covenant,E121-0032,Municipal Right of Way,Registered,1.5,1992
103,"PTN LTS 4,14 & 15 PL BCP31430",BCP31431,7805-0029-00,3rd Party Agreement,E071-0062,Municipal Right of Way,Registered,3.0,2008
104,PTN LTS 25 & 26 PL BCP4462,BCP4463,7802-0112,3rd Party Agreement,E071-0053,Municipal Right of Way,Registered,3,2003
105,PTN LT 5 PL LMP11223,LMP11224,7892-0219,3rd Party Agreement,E071-0033,Municipal Right of Way,Registered,1.8,1993
106,PTN LTS 3-5 PL LMP51038,LMP51039,7801-0096,3rd Party Agreement,E071-0047,Municipal Right of Way,Registered,0,2001
107,PTN  LT 11  PL 14304,BCP14305,7802-0364,3rd Party Agreement,E071-0056,Municipal Right of Way,Registered,1.2,2004
108,PTN LT 3 PL 86767,86768,7889-0170,3rd Party Agreement,E071-0031,Municipal Right of Way,Registered,1.8,1990
109,PTN LT 3 PL 87066,87067,7889-0117,3rd Party Agreement,E071-0019,Municipal Right of Way,Registered,1.8,1990
110,PTNS LTS 78-80 PL 60792,60793,2054-002,3rd Party Agreement,E071-0004,Municipal Right of Way,Registered,3,1980
111,PTN LT 396 PL 56437,56684,,3rd Party Agreement,E061-0027,Municipal Right of Way,Registered,0.92,1979
112,PTN LT 394 PL 56437,56684,,3rd Party Agreement,E061-0027,Municipal Right of Way,Registered,0.92,1979
113,PTN LTS 1-3 PL LMP36834,LMP36835,7897-0053,3rd Party Agreement,E071-0042,Municipal Right of Way,Partial Release,7.3,1998
114,PTN LT 370 PL 56437,56684,,3rd Party Agreement,E061-0027,Municipal Right of Way,Registered,0,1979
115,PTN LT 371 PL 56437,56684,,3rd Party Agreement,E061-0027,Municipal Right of Way,Registered,0.92,1979
116,PTN LT 374 PL 56437,56684,,3rd Party Agreement,E061-0027,Municipal Right of Way,Registered,0.92,1979
117,PTN LT 378 PL 56437,56684,,3rd Party Agreement,E061-0027,Municipal Right of Way,Registered,0.92,1979
118,PTN LT 384 PL 56437,56684,,3rd Party Agreement,E061-0027,Municipal Right of Way,Registered,0,1979
119,PTN LT 389 PL 56437,56684,,3rd Party Agreement,E061-0027,Municipal Right of Way,Registered,0.92,1979
120,PTN LTS 4 & 5 PL LMP25298,LMP25299,7894-0074,3rd Party Agreement,E061-0028,Municipal Right of Way,Registered,6,1995
121,PTN LT 70 PL 62854 (NW1914),,A389,3rd Party Agreement,E061-0011,Municipal Right of Way,Registered,3,1988
122,PTN LT A PL LMP40322,LMP40320,7998-0060,3rd Party Agreement,E061-0032,Municipal Right of Way,Registered,0,1998
123,N 3m LTS 15-18 PL 66598,,2054-002,3rd Party Agreement,E041-0002,Municipal Right of Way,Registered,3,1983
124,PTNS LTS 246 & 247 PL 55159,55160,2054-002,3rd Party Agreement,E041-0005,Municipal Right of Way,Registered,3.048,1978
125,PTN LT A BCP5741,BCP5743,7800-0355,3rd Party Agreement,E041-0048,Municipal Right of Way,Registered,0,2003
126,PTN LTS 43 TO 47 PL 80175,80176,7888-0332,3rd Party Agreement,E031-0006,Municipal Right of Way,Registered,1.8,1988
127,PT LT B SEC 32 TP 2 BCP19110 NWD,BCP19111,7803-0369-00,3rd Party Agreement,E031-0011,Municipal Right of Way,Registered,VAR,2005
128,PTN LTS A & B PL LMP17336,LMP2456,5690-0359,Restrictive Covenant,E011-0006,Municipal Right of Way,Registered,0,1993
129,PTN LT 1-2 PL 77504,77505,7886-5290,3rd Party Agreement,E131-0006,Municipal Right of Way,Registered,3,1988
130,PTN LT 9 PL 78425,LMP10993,7886-3290,3rd Party Agreement,E122-0035,Municipal Right of Way,Registered,0.5,1993
131,PTN LTS 11-15 PL 78425,78426,7886-3290,3rd Party Agreement,E122-0010,Municipal Right of Way,Registered,0,1988
132,PTN LTS 1 & 2 PL LMP9845,LMP9846,7891-0485,3rd Party Agreement,E121-0046,Municipal Right of Way,Registered,7,1993
133,"PTN L 2,3 PL75136",N/A,7886-6720,3rd Party Agreement,E122-0014,Municipal Right of Way,Registered,VAR,1988
134,PTN LT 8 PL LMP18839,LMP18840,7891-0449,3rd Party Agreement,E122-0026,Municipal Right of Way,Registered,0,1994
135,PTN LTS 36-39 PL LMP15994,LMP15995,7891-0356,3rd Party Agreement,E122-0027,Municipal Right of Way,Registered,3,1994
136,PTN LTS 16 & 17 PL LMP15994,LMP15995,7891-0356,3rd Party Agreement,E122-0027,Municipal Right of Way,Registered,3,1994
137,PTN LT 2 PL LMP35065,LMP35067,7896-0178,3rd Party Agreement,E112-0027,Municipal Right of Way,Registered,3,1997
138,PTN LTS 1-4 PL LMP31763,LMP31765,7894-0338,3rd Party Agreement,E112-0017,Municipal Right of Way,Registered,4,1997
139,PTN LTS 21-27 PL LMP16088,LMP16089,7892-0063,3rd Party Agreement,E112-0016,Municipal Right of Way,Registered,0,1994
140,PTN LT 1 PL 86635,86636,7889-0085,Restrictive Covenant,E102-0001,Municipal Right of Way,Registered,15.24,1990
141,PTN LT 26 PL 54065,BCP19984,7808-0205-00,3rd Party Agreement,E080-0075,Municipal Right of Way,Registered,3.7,2005
142,PTN LTS 7-9 PL BCP3287,BCP3288,7801-0212,3rd Party Agreement,E071-0057,Municipal Right of Way,Registered,VAR,2003
143,"PTN LTS 2,8-10 & 13 PL LMP52127",LMP52128,7000-0110,3rd Party Agreement,E072-0018,Municipal Right of Way,Registered,3,2001
144,PTN LTS 1-3 PL 86439,86440,7888-0353,3rd Party Agreement,E072-0005,Municipal Right of Way,Registered,1.8,1990
145,"PTN LTS 6-10, 12-15, 24-26,36-44 PL52545",LMP52546,7801-0052,3rd Party Agreement,E072-0013,Municipal Right of Way,Registered,3,2002
146,"PTN LTS 21-24,26-31 & 40 PL LMP45101",LMP45103,7897-0335,3rd Party Agreement,E072-0010,Municipal Right of Way,Registered,0,2000
147,LT Rem A PL 13702,,7886-4770,Restrictive Covenant,E062-0022,Municipal Right of Way,Registered,27.77,1988
148,"PTN LTS 22,24 & 25 PL BCP23526",BCP23527,7803-0361,3rd Party Agreement,E062-0057,Municipal Right of Way,Registered,VAR,2006
149,"PTN LTS 4, 5 & 6 PL 67925",67926,2054-002,Restrictive Covenant,E062-0012,Municipal Right of Way,Registered,0,1984
150,PTN LT 1 PL 67925,67926,2054-002,Restrictive Covenant,E062-0012,Municipal Right of Way,Registered,0,1984
151,LT 71 PL 64152 (NW3056),,7888-0193,Restrictive Covenant,E062-0026,Municipal Right of Way,Registered,0,1988
152,PTN LT 6 PL EPP35486,EPP40241,7811-0335-00,3rd Party Agreement,E062-0065,Municipal Right of Way,Registered,3.0,2014
153,PTN LTS A & B PL BCP44523,BCP49123,7809-0142-00,3rd Party Agreement,E052-0037,Municipal Right of Way,Registered,VAR,2011
154,LT 42 PL 63364,,7881-596,Restrictive Covenant,E052-0005,Municipal Right of Way,Registered,0,1983
155,LT A PL 77980 (NW2969 & LMS247),,7887-1840,Restrictive Covenant,E052-0017,Municipal Right of Way,Registered,0,1988
156,OVER LTS 1 & 2 PL 72399,,2054-002,Restrictive Covenant,E052-0003,Municipal Right of Way,Registered,0,1983
157,PTN LT 2 PL BCP47358,BCP47359,7805-0313-00,3rd Party Agreement,E042-0049,Municipal Right of Way,Registered,3.0,2011
158,PTN LT 130 PL 55249,58725,2054-002,3rd Party Agreement,E022-0006,Municipal Right of Way,Registered,1.219,1980
159,PTN NW2227 & PL 61412 (PL 85996 & LMS46),68383,2054-002,3rd Party Agreement,E022-0005,Municipal Right of Way,Registered,0,1984
160,PTN LT 1 PL BCP39750,BCP39752,7808-0078-00,3rd Party Agreement,E022-0034,Municipal Right of Way,Registered,VAR,2009
161,PTN LTS C & D PL BCP31151,BCP31153,7805-0283-00,3rd Party Agreement,E012-0037,Municipal Right of Way,Registered,VAR,2007
162,PTN LT 110 PL 47596 ( LT 2 PL LMP37233 ),LMP37485,7996-0177,Restrictive Covenant,E002-0023,Municipal Right of Way,Registered,0,1998
163,PTN LTS 1-4 PL LMP12621,LMP12622,7891-0315,Restrictive Covenant,E002-0012,Municipal Right of Way,Registered,0,1994
164,PTN LT 1 PL 78851,78852,7888-0025,3rd Party Agreement,E002-0018,Municipal Right of Way,Registered,3,1988
165,PTN LTS 1-3 PL 72350,72351,7885-3740,3rd Party Agreement,E002-0004,Municipal Right of Way,Registered,5,1986
166,PTN LTS 12-17 PL 75352,75353,7881-562,3rd Party Agreement,E002-0017,Municipal Right of Way,Registered,0,1987
167,PTNS LTS 8-10 PL 71986,71987,7885-519,Restrictive Covenant,E122-0006,Municipal Right of Way,Registered,2.134,1986
168,PTN LTS 481-486 & 507-510 PL 66017,66021,2054-002,3rd Party Agreement,E122-0002,Municipal Right of Way,Registered,3,1983
169,PTN LTS 1-4 & 22-25 PL LMP6048,LMP6049,6091-0329,Restrictive Covenant,E122-0020,Municipal Right of Way,Registered,0,1992
170,PT LT 1 & 2 BCP14699 SEC 21 TP 1 NWD,BCP14701,7803-0200-00,3rd Party Agreement,E112-0043,Municipal Right of Way,Registered,6.0,2004
171,"PTN LTS 1, 2 PL84128",PL84130,7888-0569,3rd Party Agreement,E112-0036,Municipal Right of Way,Registered,0,1988
172,PTN LT 15 PL 83670,83671,7887-3087,3rd Party Agreement,E112-0008,Municipal Right of Way,Registered,0,1989
173,PTN LT 4 PL BCP32067,BCP32068,7805-0271-00,3rd Party Agreement,E112-0040,Municipal Right of Way,Registered,VAR,2007
174,"PTN LTS 6,7 & 8 PL EPP28744",EPP30686,7812-0161-00,3rd Party Agreement,E112-0047,Municipal Right of Way,Registered,3.0,2013
175,PTN LT 1 LMP3544,LMP3545,7890-0399,3rd Party Agreement,E112-0032,Municipal Right of Way,Registered,3,1992
176,"PTN LTS 1-5,7-9,15 & 16 PL EPP49870",EPP49871,7813-0175-00,3rd Party Agreement,E072-0051,Municipal Right of Way,Registered,VAR,2015
177,"PTN LTS 2,4,6,7,8,11,12&14 PL BCP12422",BCP12423,7802-0403,3rd Party Agreement,E062-0055,Municipal Right of Way,Registered,0,2004
178,"PTN LTS E, I & J PL 70609",70613,7881-330,3rd Party Agreement,E062-0019,Municipal Right of Way,Registered,2,1985
179,PTN LT 1 PL BCP50230 & LT 6 PL 2163,BCP50231,7810-0017-00,3rd Party Agreement,E072-0032,Municipal Right of Way,Registered,7.31,2012
180,PTN LT 1 PL EPP42755,EPP42756,7812-0155-00,3rd Party Agreement,E062-0068,Municipal Right of Way,Registered,5.0,2014
181,PTN LT 26 PL 82913,82913,7888-0242,3rd Party Agreement,E062-0027,Municipal Right of Way,Registered,0,1989
182,OVER LTS 5-10 PL 84699,,7887-2820,Restrictive Covenant,E062-0028,Municipal Right of Way,Registered,0,1990
183,PTNS LTS 38-41 PL 67237,67238,2054-002,3rd Party Agreement,E042-0001,Municipal Right of Way,Registered,3,1983
184,PTN LT 48 PL 84729,84730,7888-0136,3rd Party Agreement,E042-0020,Municipal Right of Way,Registered,3,1990
185,PTN LTS 51 & 52 PL 79835,79836,7886-4592,3rd Party Agreement,E042-0008,Municipal Right of Way,Registered,1.8,1988
186,OVER LTS 55-58 PL 84729,,7888-0136,Restrictive Covenant,E042-0024,Municipal Right of Way,Registered,0,1990
187,PTN LTS 15-18 PL 76071,76072,7886-2250,3rd Party Agreement,E032-0010,Municipal Right of Way,Registered,3,1987
188,PTN LTS 21-24 & 116 PL 76071,76072,7886-2250,3rd Party Agreement,E032-0010,Municipal Right of Way,Registered,3,1987
189,"PTN LTS 8,9,10 PL 1076",LMP6,7889-0077,3rd Party Agreement,E032-0044,Municipal Right of Way,Registered,0,1991
190,PTN LTS C & D PL LMP14320,LMP14321,7892-0459,3rd Party Agreement,E032-0032,Municipal Right of Way,Registered,9,1994
191,PTN LTS A - E PL LMP14320,LMP14322,7892-0459,3rd Party Agreement,E032-0026,Municipal Right of Way,Registered,1.8,1994
192,PTN LT 1 PL BCP45786,BCP45787,7808-0074-00,3rd Party Agreement,E033-0013,Municipal Right of Way,Registered,3,2010
193,PTN LT 1 PL LMP43430,LMP43431,7897-0245,3rd Party Agreement,E022-0029,Municipal Right of Way,Registered,3,1999
194,PTN LT 2 PL70830 & LT 1 PL 79955(LMS1773,79957,7886-5600,3rd Party Agreement,E012-0019,Municipal Right of Way,Registered,0,1988
195,PTN LT B PL LMP13956,LMP13957,7892-0178,3rd Party Agreement,E012-0030,Municipal Right of Way,Registered,3,1993
196,PTN LTS 121 & 122 PL 58071,,L9545,3rd Party Agreement,E012-0005,Municipal Right of Way,Registered,3,1979
197,PTN LT 10 PL 85106,85107,7886-6230,3rd Party Agreement,E002-0009,Municipal Right of Way,Registered,3,1990
198,PTN E 3m LT 287 PL 69329,,7884-457,3rd Party Agreement,E123-0004,Municipal Right of Way,Registered,3,1985
199,PTN LT 18 PL 82708,82883,7887-3082,3rd Party Agreement,E113-0005,Municipal Right of Way,Registered,0,1989
200,PTN LT 1 PL EPP41403,EPP41404,7813-0093-00,3rd Party Agreement,E113-0038,Municipal Right of Way,Registered,1.8,2015
201,PTN LTS 2 & 3 PL LMP36741,LMP36743,7896-0185,Restrictive Covenant,E113-0026,Municipal Right of Way,Registered,7.5,1998
202,PTN LTS 1 - 10 PL BCP6132,BCP06133,7802-0136,3rd Party Agreement,E073-0006,Municipal Right of Way,Registered,3,2004
203,PTN LTS 1 & 2 PL BCP42422,BCP42424,7807-0234-00,3rd Party Agreement,E073-0041,Municipal Right of Way,Registered,4.5,2009
204,PTN LTS 4 & 8 PL BCP32480,BCP32481,7804-0151-00,3rd Party Agreement,E073-0027,Municipal Right of Way,Registered,3.0,2007
205,PTN LTS 1 & 4 TO 12 PL BCP47850,BCP47851,7809-0246-00,3rd Party Agreement,E073-0049,Municipal Right of Way,Registered,VAR,2011
206,"PTN LTS 1,4-6,8-11,13&14 PL BCP45895",BCP45896,7809-0007-00,3rd Party Agreement,E063-0066,Municipal Right of Way,Registered,4.57,2012
