,ANCILLARYROLE,ENABLED,FACILITYID,LEGACYID,NODE_NO,STATUS,PROJECT_NO,YR,OWNER,NAME,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CAPACITY,CONTRACTOR_ID,RUPTURE_DISK,MAX_DISCHARGE_PUMPS,CRE_DATE,MOD_DATE,Latitude,Longitude
39,0,1,1000075213,24492,1337501265,In Service,,,Surrey,OCEAN PARK II SS,13365 13A AVE,,Final AB,,,,,,,,,,20031210,20170413,49.025909,-122.851610
40,0,1,1000075214,24469,1439007902,In Service,4703-1180-00,2007,Surrey,BEAR CREEK SS,7850 144 ST,,Final AB,,,,,,,,,,20031209,20170413,49.145967,-122.823250
41,0,1,1000075215,21859,1524706382,In Service,S-209,1982,Surrey,BOSE ROAD SS,6350 152 ST,Proj. 4710-5100-00 in 2014,Final AB,,,,,,,,,,20011108,20170413,49.118424,-122.799726
42,0,1,1000075216,23783,1279201258,In Service,3523,1974,Surrey,STEVENSON SS,1300 128 ST,,Final AB,,,,,,,,,,20030623,20170413,49.025799,-122.867638
43,0,1,1000075217,21576,1612501543,In Service,4793-324-03,1997,Surrey,NORTH BLUFF SS,1577 161 ST,NORTH BLUFF P.S. - 4 PUMPS,Final AB,,,,,,,,,,20010926,20170413,49.030830,-122.775914
44,0,1,1000075220,21718,1603200770,In Service,S-731,1972,Surrey,SEMIAHMOO SS,16025 8 AVE,Dry Pit LS (to be updated by 4706-4550-00),Final AB,,,,,,,,1,,20060201,20170413,49.016835,-122.778522
45,0,1,1000075228,24502,1641705594,In Service,,,Metro Vancouver,CLOVERDALE SS (METRO VAN),HWY 10 & 164 ST,,Final AB,,,,,,,,,,20031211,20170413,49.104115,-122.767533
46,0,1,1000075221,23784,1387703506,In Service,7891-0415-00,1997,Surrey,STEWART FARM  SS,13891 CRESCENT RD,Gen. Upgrade 4714-5370-00 2017,Final AB,,,,,,,,,,20030623,20170413,49.066451,-122.837647
47,0,1,1000075222,24500,1399103600,In Service,3819,,Private,NICO WYND SS (PRIVATE),NICO WYND GOLF COURSE,,Final AB,,,,,,,,,,20031210,20170413,49.068141,-122.834519
48,0,1,1000075223,24499,1899509854,In Service,4469,,Surrey,PORT KELLS  SS,9800 190 ST,,Final AB,,,,,,,,,,20031210,20170413,49.181011,-122.696016
49,0,1,1000075229,24481,1760105513,In Service,4245,,Surrey,CLOVERDALE SS,5522 HWY 15,,Final AB,,,,,,,,,,20031210,20170413,49.102584,-122.734901
50,0,1,1000075230,24485,1917905242,In Service,S-109,,Surrey,LATIMER ROAD SS,5201 192 ST,Upgraded by 4706-1500-00,Final AB,,,,,,,,,,20031210,20170413,49.097567,-122.691458
51,0,1,1000075224,25952,1411808127,In Service,7892-0460-00,1996,Private,PRIVATE SS,BEAR CREEK DR & 141A ST,,Final AB,,,,,,,,,,20041110,20170413,49.150060,-122.830743
52,0,1,1000075225,24468,1489708090,In Service,7881-1281,2011,Surrey,ABBEY DOWNS SS,14890 80B AVE,,Final AB,,,,,,,,,,20031209,20170413,49.149347,-122.809248
53,0,1,1000075226,24484,1520706489,In Service,4794-106,,Surrey,JOHNSTON ROAD  SS,6470 152 ST,,Final AB,,,,,,,,,,20031210,20170413,49.120367,-122.800807
54,0,1,1000075227,26892,1544106807,In Service,4700-5000-00,2005,Surrey,BURKHART SS,15410 68 AVE,Gen. Upgrade 4714-5310-00 2017,Final AB,,,,,,,,,,20050610,20170413,49.126120,-122.794332
55,0,1,1001181592,,1513011608,In Service,SFPR-2010-RU,2010,Surrey,LEACHATE SS,15100 SOUTH FRASER PERIMETER ROAD (HWY 17),At Port Mann Landfill,Final AB,,New,20111201,,,,,,,20101115,20170413,49.213003,-122.802578
56,0,1,1001209266,1001154902,1522803099,In Service,4705-4580-00,2009,Surrey,ROSEMARY ODOUR CONTROL,3144 CROYDON DRIVE,Gas Only,Final AB,,,,,,,,,,20110812,20170413,49.059019,-122.800482
57,0,1,1000075231,26590,1921102058,In Service,4704-7560-00,2005,Surrey,CAMPBELL HEIGHTS SS,2090 192 ST,SEE ALSO S-129.001 TO 017,Final AB,,,,,,,,,,20050511,20170413,49.039936,-122.690918
58,0,1,1001812508,,1514011602,In Service,SFPR-2010-RU,2010,Surrey,METHANE COLLECTION FACILITY,PORTMANN LANDFILL SITE,,Final AB,,,,,,,,,,20150314,20170413,49.212896,-122.802281
59,0,1,1000075232,24482,1707500144,In Service,4514,,Surrey,DOUGLAS SS,173-171 ST,,Final AB,,,,,,,,,,20031210,20170413,49.005460,-122.749894
60,0,1,1000075233,21560,1804100627,In Service,7886-3820,1987,Private,HAZELMERE SS (PRIVATE),431 184 ST (HAZELMERE GOLF COURSE),,Final AB,,,,,,,,,,20010919,20170413,49.014127,-122.723270
61,0,1,1000813064,,1431603612,In Service,4703-5050-00,2009,Surrey,SOUTHPORT SS,3653 ELGIN RD,,Final AB,,New,20080101,,,,,,,20061120,20170413,49.068342,-122.825574
62,0,1,1000818828,,1214111139,In Service,7893-0309-00,1995,Private,PRIVATE SS,11105 BRIDGE RD,,Final AB,,,,,,,,,,20070215,20170413,49.204635,-122.885142
63,0,1,1001079701,,1508203151,In Service,,2008,Private,PRIVATE SS,15078 32 AVE,,Final AB,,,,,,,,,,20090202,20170413,49.059978,-122.804487
64,0,1,1001131152,,1620507882,In Service,7807-0042-00,2009,Surrey,162 ST SS,7838 162 ST,,Final AB,,NEW,,,,,,,,20090904,20170413,49.145525,-122.773180
65,0,1,1001136116,,1467604009,In Service,,1984,Private,PRIVATE SS,14601 40 AVE,Services Peace Arch RV Park,,,,,,,,,,,20091027,20170413,49.075524,-122.815626
66,0,1,1001141438,,1751800348,In Service,7807-0041-00,2012,Surrey,PEACE PORTAL SS,17480-4TH AVE,,Final AB,,,,,,,,,,20120801,20170413,49.009116,-122.737672
67,0,1,1001148689,,1550502957,In Service,7806-0257-00,2009,Private,PRIVATE SS,2979 156 ST,,Final AB,,,,,,,,,,20100202,20170413,49.056444,-122.792873
68,0,1,1001165519,,1323611586,In Service,,,Surrey,LOUGHEED I SS,11568 132A ST,,EC,,,,,,,,,,20100625,20170413,49.212692,-122.854878
