,ANCILLARYROLE,ENABLED,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MAKE,MODEL,CORROSION_PROTECTED,DISASTER_CONTROL,GEARED,PRESSURE_ZONE_VALVE,RESTRAINED,NO_TURNS,STATUS,OPERATING_STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ROTATION,Latitude,Longitude
0,,1,2,Gate,1000273555,21366,1507608890,200,,,,,,,,27,In Service,Open,7894-0476-00,2000,Surrey,15085 88A AVE,Just E of N-S 150mm main on 151 St.,Final AB,,,,,,20021009,20110301,,49.163824,-122.804259
1,,1,2,Gate,1000273207,20309,1586801953,300,,,,,,,,,In Service,Open,1200-6030-00,2001,Surrey,,,Final AB,,,,,,20020710,,,49.038259,-122.782946
2,,1,2,Gate,1000273230,20346,1600201955,200,,,,,,,,,In Service,Closed,1200-6120-00,2001,Surrey,,SEE ALSO WD-124-053,Final AB,,,,,,20020712,,,49.038290,-122.779271
3,,1,2,Gate,1000264543,19408,1749801971,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.038484,-122.738082
4,,1,2,Gate,1000264614,19326,1705502060,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.040120,-122.750274
5,,1,2,Gate,1000264455,23848,1916002168,300,,,,,,,,,In Service,Open,1204-7530-00,2005,Surrey,,,Final AB,,,,,,20051024,,,49.041945,-122.692312
6,,1,2,Gate,1000264221,11614,1675707827,150,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020501,,,49.144492,-122.757976
7,,1,2,Gate,1000264011,18119,1354602321,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.045026,-122.846826
8,,1,2,Gate,1000264024,18135,1291802144,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.041832,-122.864128
9,,1,2,Gate,1000834034,,1839306807,350,,,,,,,,,In Service,Open,1205-3090-00,2007,Surrey,,,Final AB,,,,,,20071010,20080212,,49.125933,-122.712945
10,,1,2,Gate,1000267603,11019,1307707228,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.133830,-122.859497
11,,1,2,Gate,1000267471,10867,1356807915,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.146242,-122.845926
12,,1,2,Gate,1000267483,10888,1316807884,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.145701,-122.856939
13,,1,2,Gate,1000267523,10934,1348007299,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.135102,-122.848372
14,,1,2,Gate,1001558853,,1958606641,150,,,No,,,,Yes,,In Service,Open,7811-0259-00,2013,Surrey,,,Final AB,,,,,,20130913,20161018,,49.122855,-122.680066
15,,1,2,Gate,1000267386,10774,1297107420,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.137303,-122.862418
16,,1,2,Gate,1000267403,10791,1302907320,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.135486,-122.860827
17,,1,2,Gate,1001558854,,1953106642,300,,,No,,,,No,38,In Service,Open,7811-0259-00,2013,Surrey,,,Final AB,,,,,,20130913,20161018,,49.122874,-122.681582
18,,1,2,Gate,1000261517,2498,1569410427,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020424,,,49.191595,-122.787091
19,,1,2,Gate,1000261518,2499,1570310427,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020424,,,49.191609,-122.786830
20,,1,2,Gate,1000824764,,1246809674,200,,,,,,,,,In Service,Open,1205-3150-00,2007,Surrey,,,Final AB,,,,,,20070509,20070509,,49.178107,-122.876184
21,,1,2,Gate,1000827104,,1519205453,350,,,,,,,,,In Service,Open,7803-0150-00,2006,Surrey,,,Final AB,,,,,,20070618,20070618,,49.101617,-122.801294
22,,1,2,Gate,1001558855,,1953106642,150,,,No,,,,Yes,,In Service,Open,7811-0259-00,2013,Surrey,,,Final AB,,,,,,20130913,20161018,,49.122868,-122.681575
23,,1,5,Tap,1001558877,,1953206690,300,,,No,,,,No,,In Service,Open,7811-0259-00,2013,Surrey,,,Final AB,,,,,,20130913,20161018,,49.123744,-122.681563
24,,1,2,Gate,1001563202,,1939106831,200,,,No,,,,No,,In Service,Open,7810-0265-00,2012,Surrey,,,Final AB,,,,,,20130115,20161018,,49.126292,-122.685419
25,,1,2,Gate,1000276872,6442,1336509232,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020429,,,49.170084,-122.851457
26,,1,2,Gate,1000276873,6443,1337009448,150,,,,,,,,,Abandoned,Closed,,1975,Surrey,,,,,,,,,20020429,,,49.173996,-122.851304
27,,1,2,Gate,1000263246,16449,1598203277,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.062211,-122.779692
28,,1,2,Gate,1000263289,20130,1566103607,200,,,,,,,,,In Service,Open,7895-0156-00,2000,Surrey,,,Final AB,,,,,,20020620,,,49.068201,-122.788505
29,,1,2,Gate,1000263303,20146,1538203457,200,,,,,,,,,In Service,Open,7898-0315-00,2002,Surrey,,,Final AB,,,,,,20020621,,,49.065494,-122.796220
30,,1,2,Gate,1000263329,20172,1548703641,200,,,,,,,,,In Service,Open,7895-0258-00,1999,Surrey,,,Final AB,,,,,,20020625,,,49.068814,-122.793301
31,,1,2,Gate,1000263346,16400,1559703826,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.072157,-122.790262
32,,1,2,Gate,1000263349,16403,1559803827,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.072184,-122.790234
33,,1,2,Gate,1000263178,21750,1592303605,200,,,,,,,,,In Service,Open,7800-0323-00,2002,Surrey,,,Final AB,,,,,,20030401,,,49.068154,-122.781302
34,,1,2,Gate,1000263031,1758,1399110755,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020424,,,49.187007,-122.839578
35,,1,2,Gate,1000263732,18273,1306801625,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.032430,-122.860026
36,,1,2,Gate,1000263749,18290,1347101867,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.036813,-122.848934
37,,1,2,Gate,1000263038,20237,1359110337,200,,,,,,,,,In Service,Open,1299-620,2000,Surrey,,,Final AB,,,,,,20020703,20170221,,49.190062,-122.845146
38,,1,2,Gate,1001820467,,1357209866,150,,,,,,,,,Proposed,Closed,7809-0177-00,2014,Surrey,,,EC,,,,,,20150428,20150428,,49.181552,-122.845709
39,,1,2,Gate,1001820468,,1357209866,300,,,,,,,,,Proposed,Closed,7809-0177-00,2014,Surrey,,,EC,,,,,,20150428,20150428,,49.181548,-122.845704
40,,1,2,Gate,1000270234,5640,1477910422,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020426,20090625,,49.191558,-122.812350
41,,1,2,Gate,1000270441,5792,1498710422,300,,,,,,,,38,In Service,Open,,,Surrey,,,,,,,,,20020426,20090625,,49.191541,-122.806601
42,,1,2,Gate,1001127063,,1890807237,300,,,No,No,No,No,Yes,,In Service,Open,7807-0005-00,2008,Surrey,,,Final AB,,,,,,20090703,20090703,,49.133681,-122.698686
43,,1,2,Gate,1001129303,,1629705868,200,,,No,No,No,No,No,,In Service,Open,7803-0334-00,2006,Surrey,,,Final AB,,,,,,20090721,20090721,,49.109076,-122.770800
44,,1,2,Gate,1001129307,,1590702661,300,,,No,No,No,No,No,,In Service,Open,7806-0289-00,2009,Surrey,,,Final AB,,,,,,20090721,20090721,,49.051055,-122.781820
45,,1,2,Gate,1000266576,7819,1544009355,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020429,,,49.172215,-122.794169
46,,1,2,Gate,1000263925,18252,1322602310,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.044824,-122.855653
47,,1,2,Gate,1000263670,18417,1365802085,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.040748,-122.843758
48,,1,2,Gate,1000263159,20192,1578003606,200,,,,,,,,,In Service,Open,7895-0087-01,1998,Surrey,,,Final AB,,,,,,20020626,,,49.068168,-122.785253
49,,1,2,Gate,1000263077,1570,1368511174,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020424,,,49.182733,-122.845100
50,,1,2,Gate,1000263000,1709,1406810422,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020424,,,49.181685,-122.841748
51,,1,2,Gate,1000262767,5360,1760509716,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020426,,,49.178624,-122.734395
52,,1,2,Gate,1000275006,14917,1720005692,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.105836,-122.745941
53,,1,2,Gate,1000262829,22502,1370709613,300,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20030708,,,49.176956,-122.841992
54,,1,2,Gate,1000275007,14918,1720106135,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.113858,-122.745878
55,,1,2,Gate,1000275008,14919,1711405749,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.106872,-122.748319
56,,1,2,Gate,1000278381,13336,1860706818,150,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020502,20080215,,49.126116,-122.707033
57,,1,2,Gate,1000275010,14921,1682005765,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.107175,-122.756400
58,,1,2,Gate,1000262336,19687,1359601328,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020506,,,49.027052,-122.845502
59,,1,2,Gate,1000275011,14922,1690505815,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.108091,-122.754047
60,,1,2,Gate,1000279909,19801,1621400961,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020506,,,49.020281,-122.773507
61,,1,2,Gate,1000275012,14923,1690705845,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.108623,-122.754008
62,,1,2,Gate,1000279095,14106,1379006409,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.118974,-122.839896
63,,1,2,Gate,1000278960,13960,1439406318,150,,,,,,,,,Abandoned,Closed,3800,1976,Surrey,,SEE WD-072-029,Final AB,,,,,,20020502,,,49.117315,-122.823238
64,,1,2,Gate,1000278883,20249,1358205806,150,,,,,,,,,In Service,Open,1299-6220-00,2001,Surrey,,,Final AB,,,,,,20020705,,,49.108072,-122.845662
65,,1,2,Gate,1000275013,14924,1689205787,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.107579,-122.754418
66,,1,2,Gate,1000275014,14925,1687305772,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.107299,-122.754940
67,,1,2,Gate,1000275676,19284,1634001755,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.034651,-122.769978
68,,1,2,Gate,1000275015,14926,1692805752,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.106950,-122.753419
69,,1,2,Gate,1000275016,14927,1687305767,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.107223,-122.754959
70,,1,2,Gate,1000275021,14932,1695906106,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.113343,-122.752539
71,,1,2,Gate,1000275022,14933,1681906110,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.113417,-122.756408
72,,1,2,Gate,1000275023,14934,1690206103,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.113289,-122.754105
73,,1,2,Gate,1000275025,14936,1686505915,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.109887,-122.755161
74,,1,2,Gate,1000275028,14939,1724106279,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.116450,-122.744751
75,,1,2,Gate,1000275030,14941,1712706067,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.112627,-122.747932
76,,1,2,Gate,1000275033,14944,1690805956,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.110629,-122.753971
77,,1,2,Gate,1000275035,14946,1709305938,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.110297,-122.748858
78,,1,2,Gate,1000271021,3852,1206709864,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020425,,,49.181563,-122.887253
79,,1,2,Gate,1000271040,3881,1238010223,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020425,,,49.188037,-122.878578
80,,1,2,Gate,1000271053,3901,1263410071,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020425,,,49.185284,-122.871584
81,,1,2,Gate,1000271060,3912,1264610177,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020425,,,49.187201,-122.871247
82,,1,2,Gate,1000271074,3936,1206309925,150,,,,,,,,,In Service,Open,,,Surrey,,TIE IN ON WRONG SIDE FIELD INFO,,,,,,,20020425,,,49.182654,-122.887356
83,,1,2,Gate,1000814373,,1348906165,200,,,,,,,,,In Service,Open,,2006,Surrey,,,Final AB,,,,,,20061213,20071221,,49.114581,-122.848205
84,,1,2,Gate,1000280130,3073,1681010478,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020425,,,49.192459,-122.756274
85,,1,2,Gate,1000279955,19849,1641001241,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020506,,,49.025346,-122.768080
86,,1,2,Gate,1000278822,14187,1304806353,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.117996,-122.860343
87,,1,2,Gate,1000278690,13826,1312206236,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.115867,-122.858298
88,,1,2,Gate,1000277754,10078,1654308608,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.158643,-122.763810
89,,1,2,Gate,1000277517,21436,1356608474,150,,,,,,,,,Abandoned,Closed,,2001,Surrey,,FIELD INFO,,,,,,,20021023,,,49.156348,-122.845940
90,,1,2,Gate,1000277526,23011,1358008716,300,,,,,,,,,In Service,Open,1202-6110-00,2003,Surrey,,,Final AB,,,,,,20040122,,,49.160730,-122.845578
91,,1,2,Gate,1000277369,8633,1304108015,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.148076,-122.860445
92,,0,2,Gate,1000277437,8703,1348208077,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020430,20090121,,49.149171,-122.848294
93,,1,2,Gate,1000277473,8744,1297808423,300,,,,,,,,,In Service,Open,7889-0164-01,1992,Surrey,,,,,,,,,20020430,20090408,,49.155457,-122.862158
94,,1,2,Gate,1000277287,8550,1321808027,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.148278,-122.855571
95,,1,2,Gate,1000277293,8556,1322708199,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.151401,-122.855315
96,,1,2,Gate,1000277323,8586,1342008121,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.149972,-122.850000
97,,1,2,Gate,1000277926,11078,1403007617,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.140827,-122.833192
98,,1,2,Gate,1000277946,11098,1414107426,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.137367,-122.830151
99,,1,2,Gate,1000277948,11100,1418207517,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.139018,-122.829001
100,,0,2,Gate,1000277953,11105,1438307276,150,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020501,20090105,,49.134641,-122.823475
101,,1,2,Gate,1000277955,11107,1438207310,200,,,,,,,,,In Service,Open,F-531,1986,Surrey,,,Final AB,,,,,,20030326,20071221,,49.135258,-122.823508
102,,1,2,Gate,1000277987,11142,1359007218,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.133626,-122.845358
103,,1,2,Gate,1001435611,,1196010137,250,,,No,,,,Yes,,In Service,Open,1209-5040-00,2011,Surrey,,,Initial AB,,,,,,20121005,20121005,,49.186500,-122.890186
104,,1,2,Gate,1000277691,10013,1629808037,200,,,,,,,,,Abandoned,Closed,,,Surrey,,AS PER OPERATIONS,,,,,,,20020430,,,49.148322,-122.770603
105,,1,2,Gate,1000277692,10014,1629808079,200,,,,,,,,,Abandoned,Closed,,,Surrey,,AS PER OPERATIONS,,,,,,,20020430,,,49.149077,-122.770611
106,,1,2,Gate,1000277624,9944,1639308293,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020430,,,49.152958,-122.767951
107,,1,2,Gate,1000277648,9968,1680708259,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.152309,-122.756535
108,,1,2,Gate,1000277487,8759,1317608425,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.155492,-122.856697
109,,1,2,Gate,1000279748,17515,1531302551,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.049099,-122.798192
110,,1,2,Gate,1000278229,13204,1879506692,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020502,20080215,,49.123832,-122.701876
111,,1,2,Gate,1001739518,,1953106547,300,,,No,,,,Yes,,In Service,Open,7809-0193-00,2014,Surrey,,,Final AB,,,,,,20140404,20161018,,49.121158,-122.681595
112,,1,2,Gate,1000260915,9210,1507708353,200,,,,,,,,27,In Service,Open,F/T,,Surrey,8299 151 ST,,,,,,,,20020430,20110310,,49.154096,-122.804275
113,,1,2,Gate,1000260746,9250,1458408733,200,,,,,,,,27,In Service,Open,F/T,,Surrey,14640 87 AVE,,,,,,,,20020430,20110223,,49.161005,-122.817840
114,,1,2,Gate,1000273273,,1458809028,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20060628,20060802,,49.166338,-122.817717
115,,1,2,Gate,1000273365,7533,1458708986,150,,,,,,,,21,In Service,Open,,,Surrey,14607 89A AVE,,,,,,,,20020429,20110224,,49.165578,-122.817748
116,,1,2,Gate,1000260760,9264,1497408789,150,,,,,,,,21,In Service,Open,F/T,,Surrey,8749 MILTON DR,,,,,,,,20020430,20110222,,49.161992,-122.807084
117,,1,2,Gate,1001189866,,1720900308,200,,,,,,,,,In Service,Open,7806-0098-00,2009,Surrey,,,Final AB,,,,,,20110224,20110224,,49.008414,-122.746186
118,,1,2,Gate,1000260742,9246,1458208648,200,,,,,,,,27,In Service,Open,F/T,,Surrey,14607 86A AVE,,,,,,,,20020430,20110223,,49.159456,-122.817904
119,,1,2,Gate,1000273171,19189,1579101961,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.038402,-122.785066
120,,1,2,Gate,1000273208,20310,1582501953,150,,,,,,,,,In Service,Open,1200-6030-00,2001,Surrey,,,Final AB,,,,,,20020710,,,49.038265,-122.784129
121,,1,2,Gate,1000273225,20341,1598102040,150,,,,,,,,,In Service,Open,1200-6120-00,2001,Surrey,,,Final AB,,,,,,20020712,,,49.039822,-122.779831
122,,1,2,Gate,1000277794,10118,1680008318,300,,,,,,,,38,In Service,Open,F/T,,Surrey,8289 168 ST,,,,,,,,20020430,20110919,,49.153374,-122.756744
123,,1,2,Gate,1000277676,9997,1629808234,300,,,,,,,,38,In Service,Open,F/T,,Surrey,16325 82 AVE,,,,,,,,20020430,20110919,,49.151883,-122.770576
124,,1,2,Gate,1000265189,16760,1320102369,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.045905,-122.856335
125,,1,2,Gate,1001739519,,1953006547,300,,,No,,,,Yes,,In Service,Open,7809-0193-00,2014,Surrey,,,Final AB,,,,,,20140404,20161018,,49.121158,-122.681609
126,,1,2,Gate,1000265223,16794,1297102859,200,,,,,,,,,Abandoned,Closed,,,Surrey,,AS PER OPERATION,,,,,,,20020502,20080714,,49.054777,-122.862645
127,,1,2,Gate,1000265134,23669,1350702365,300,,,,,,,,,In Service,Open,1299-6020-00,2002,Surrey,,,Final AB,,,,,,20050630,,,49.045818,-122.847903
128,,1,2,Gate,1000277819,10147,1666808833,300,,,,,,,,38,In Service,Open,F/T,,Surrey,8787 166B ST,,,,,,,,20020430,20110919,,49.162703,-122.760319
129,,1,2,Gate,1000270990,3805,1267009675,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020425,,,49.178114,-122.870602
130,,1,2,Gate,1000274888,14796,1724606065,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.112582,-122.744630
131,,1,2,Gate,1000274894,14802,1751306010,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.111579,-122.737273
132,,1,2,Gate,1000274895,14803,1751106075,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.112758,-122.737333
133,,1,2,Gate,1000264962,17645,1724402781,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.053158,-122.745004
134,,1,2,Gate,1000264616,19328,1720302058,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.040077,-122.746199
135,,1,2,Gate,1000262625,18799,1516202294,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.044454,-122.802364
136,,1,2,Gate,1001715081,,1920006449,300,,,No,,,,No,,In Service,Open,7809-0116-00,2013,Surrey,,,Initial AB,,,,,,20131028,20131028,,49.119405,-122.690722
137,,1,2,Gate,1000271476,5944,1230909343,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020429,,,49.172128,-122.880591
138,,1,2,Gate,1000271319,4761,1474210123,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020425,,,49.186154,-122.813385
139,,1,2,Gate,1000269452,15191,1841005798,300,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.107682,-122.712593
140,,1,2,Gate,1000261847,21669,1364110878,250,,,,,,,,,In Service,Open,1201-3040-00,2002,Surrey,,,Final AB,,,,,,20030305,,,49.199856,-122.843736
141,,1,2,Gate,1000261848,21670,1364110877,250,,,,,,,,,In Service,Open,1201-3040-00,2002,Surrey,,,Final AB,,,,,,20030305,,,49.199829,-122.843745
142,,1,2,Gate,1000261814,7357,1359210582,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020429,,,49.194494,-122.845116
143,,1,2,Gate,1001136424,,1742300311,200,,,No,No,No,No,No,,In Service,Open,7806-0320-00,2009,Surrey,,,Final AB,,,,,,20091028,20091028,,49.008456,-122.740300
144,,1,2,Gate,1001136435,,1742300367,300,,,No,No,No,No,No,,In Service,Open,7806-0320-00,2009,Surrey,,,Final AB,,,,,,20091028,20091028,,49.009471,-122.740298
145,,1,2,Gate,1000856227,,1640106158,200,,,No,No,No,No,No,,In Service,Open,7806-0228-00,2008,Surrey,,,Final AB,,,,,,20080829,,,49.114313,-122.767927
146,,1,2,Gate,1000260761,9265,1493108787,150,,,,,,,,21,In Service,Open,F/T,,Surrey,8739 MILTON DR,,,,,,,,20020430,20110222,,49.161969,-122.808254
147,,1,2,Gate,1000277965,11117,1413407228,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.133781,-122.830346
148,,1,2,Gate,1000276059,22294,1459505965,300,,,,,,,,,In Service,Open,7801-0201-00,2003,Surrey,,,Final AB,,,,,,20030612,,,49.110937,-122.817724
149,,1,5,Tap,1001218090,,1587502355,350,,,,,,,,,In Service,Open,7806-0137-00,2011,Surrey,,,Final AB,,,,,,20111104,20111104,,49.045531,-122.782723
150,,1,2,Gate,1001422955,,1927806443,300,,,No,,,,No,,In Service,Open,7809-0116-00,2013,Surrey,,,Initial AB,,,,,,20131028,20131028,,49.119292,-122.688579
151,,1,2,Gate,1000274592,12137,1226406692,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.124160,-122.881944
152,,1,2,Gate,1000274645,23199,1257207011,200,,,,,,,,,In Service,Open,7802-0217-00,2004,Surrey,,,Final AB,,,,,,20040621,,,49.129911,-122.873429
153,,1,2,Gate,1000266410,7861,1600109240,250,,,,,,,,33,In Service,Open,F/T,,Surrey,92 AVE & 160 ST,"NE corner, on 92 Ave.",,,,,,,20020429,20111107,,49.170109,-122.778688
154,,1,2,Gate,1000273862,10409,1271207630,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.141105,-122.869534
155,,1,2,Gate,1000814375,,1348206207,200,,,,,,,,,In Service,Open,1206-3130-00,2007,Surrey,,,Final AB,,,,,,20061213,20071221,,49.115330,-122.848400
156,,1,2,Gate,1001422946,,1927706441,300,,,No,,,,No,,In Service,Open,7809-0116-00,2013,Surrey,,,Initial AB,,,,,,20131028,20131028,,49.119255,-122.688606
157,,1,2,Gate,1000269531,15271,1840905609,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.104264,-122.712642
158,,1,2,Gate,1000797124,,1928606952,200,,,,,,,,,In Service,Open,7803-0166-00,2006,Surrey,,,Final AB,,,,,,20060825,,,49.128496,-122.688292
159,,1,2,Gate,1000269456,15195,1841405606,300,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.104198,-122.712483
160,,1,2,Gate,1000269461,15200,1841006404,300,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.118649,-122.712520
161,,1,2,Gate,1000269462,15201,1841006327,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.117250,-122.712527
162,,1,2,Gate,1000275036,14947,1710205933,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.110211,-122.748622
163,,1,2,Gate,1000275038,14949,1714005912,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.109816,-122.747575
164,,1,2,Gate,1000275039,14950,1715205808,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.107945,-122.747254
165,,1,2,Gate,1000275040,14951,1713205907,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.109736,-122.747785
166,,1,2,Gate,1000278384,13339,1879206690,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020502,20080215,,49.123795,-122.701963
167,,1,2,Gate,1000275041,14952,1710205878,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,20161018,,49.109208,-122.748632
168,,1,2,Gate,1000275043,20434,1748205803,300,,,,,,,,,In Service,Open,1200-6080-00,2001,Surrey,,,Final AB,,,,,,20020718,20161018,,49.107838,-122.738154
169,,1,2,Gate,1000275044,20435,1747905805,250,,,,,,,,,In Service,Open,1200-6080-00,2001,Surrey,,,Final AB,,,,,,20020718,20161018,,49.107863,-122.738227
170,,1,2,Gate,1000263528,18491,1405001711,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.033961,-122.832994
171,,1,2,Gate,1000263566,18529,1432201611,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.032139,-122.825516
172,,1,2,Gate,1000263574,18537,1399701665,100,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020503,,,49.033130,-122.834456
