,ANCILLARYROLE,ENABLED,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MAKE,MODEL,CORROSION_PROTECTED,DISASTER_CONTROL,GEARED,PRESSURE_ZONE_VALVE,RESTRAINED,NO_TURNS,STATUS,OPERATING_STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ROTATION,Latitude,Longitude
7786,,1,2,Gate,1000262419,22550,1428410172,250,,,,,,,,33,In Service,Open,,,Surrey,14287 101A Ave.,,,,,,,,20030708,20161018,,49.187048,-122.826034
7787,,1,2,Gate,1000273270,23416,1151910346,200,,,,,,,,,In Service,Open,7803-0456-00,2004,Private,,,Final AB,,,,,,20041202,,,49.190300,-122.902349
7788,,1,2,Gate,1000273271,23417,1147210385,200,,,,,,,,,In Service,Open,7803-0456-00,2004,Private,,,Final AB,,,,,,20041202,,,49.191007,-122.903638
7789,,1,2,Gate,1000273272,,1477708828,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20060628,20060802,,49.162714,-122.812504
7790,,1,2,Gate,1000272641,13598,1200705956,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.110841,-122.889047
7791,,1,2,Gate,1000272643,13600,1210305973,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.111144,-122.886407
7792,,1,2,Gate,1000272646,13603,1226706070,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.112894,-122.881878
7793,,1,2,Gate,1000272647,13604,1230806130,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.113980,-122.880753
7794,,1,2,Gate,1000272648,13605,1236206135,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.114080,-122.879273
7795,,1,2,Gate,1000272649,13606,1234806076,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.113011,-122.879638
7796,,1,2,Gate,1000272653,13610,1254005603,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.104443,-122.874386
7797,,1,2,Gate,1000272655,13612,1277305609,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.104549,-122.867971
7798,,1,2,Gate,1000272443,13386,1236305955,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.110814,-122.879234
7799,,1,2,Gate,1000272446,13389,1237206005,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.111720,-122.878989
7800,,1,2,Gate,1000272448,13391,1231006009,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.111796,-122.880701
7801,,1,2,Gate,1000272449,13392,1211705938,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.110522,-122.886018
7802,,1,2,Gate,1000272450,13393,1198706012,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.111855,-122.889608
7803,,1,2,Gate,1000272452,13395,1201505963,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.110969,-122.888846
7804,,1,2,Gate,1000272455,13398,1214806006,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.111750,-122.885156
7805,,1,2,Gate,1000272456,13399,1218206013,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.111861,-122.884231
7806,,1,2,Gate,1000272457,13400,1228806106,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.113543,-122.881293
7807,,1,2,Gate,1000272459,13402,1230506138,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.114135,-122.880838
7808,,1,2,Gate,1000272460,13403,1236306144,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.114242,-122.879240
7809,,1,2,Gate,1000272461,13404,1218306012,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.111847,-122.884198
7810,,1,2,Gate,1000272463,13406,1230806008,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.111781,-122.880746
7811,,1,2,Gate,1000272466,13409,1232806040,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.112353,-122.880200
