,ANCILLARYROLE,ENABLED,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,LOCATION,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CONDITION_NOTATION,LAST_INSP_DATE,ROTATION,STRUCTURE_TYPE,SPAN_SUPPORTS,CRE_DATE,MOD_DATE,STATUS,YR,OWNER,PROJECT_NO,GIS_ENTRY_STAGE,COMMENTS,Latitude,Longitude
46,0,1,0,Air Valve Assembly,1001185487,,,,,,,,,,,,,20110105,20110105,In Service,2010,Surrey,4709-4010-00,Final AB,,49.099380,-122.723878
47,0,1,5,Odour Control Device,1001198190,,5241 196 St GVRD,,,,,,,,,,,20110518,20140509,In Service,2007,Metro Vancouver,S-3069,Final AB,,49.097728,-122.679913
48,0,1,0,Air Valve Assembly,1001810312,,,,,,,,,,,,,20150228,20150228,In Service,2013,Surrey,SFPR Seg. 6,Final AB,In 1200 MH,49.197388,-122.896005
49,0,1,0,Air Valve Assembly,1001810490,,,,,,,,,,,,,20150302,20150302,In Service,2013,Surrey,SFPR Seg. 6,Final AB,In 1200 MH,49.194985,-122.893353
50,0,1,0,Air Valve Assembly,1001810843,,,,,,,,,,,,,20150303,20150303,In Service,2013,Surrey,SFPR Seg. 6,Final AB,In 1200 MH,49.201738,-122.888150
51,0,1,0,Air Valve Assembly,1001699667,,,,,,,,,,,,,20130826,20130826,In Service,2013,Surrey,4711-9020-00,Final AB,,49.208347,-122.884570
52,0,1,0,Air Valve Assembly,1000849489,,,,,,,,,,,,,20080429,,In Service,,,,,,49.211210,-122.861531
53,0,0,7,P Trap,1001885401,,,,,,,,,,90,,,20160729,20160729,Proposed,,Metro Vancouver,S-3077,EC,,49.102163,-122.850838
54,0,1,0,Air Valve Assembly,1000838896,,,,,,,,,,,,,20071212,,In Service,,,,,,49.066782,-122.822435
55,0,1,7,P Trap,1001985169,,,,,,,,,,,,,20180220,20180220,In Service,2016,Metro Vancouver,SF-1136,Final AB,,49.100940,-122.820319
56,0,1,7,P Trap,1001885352,,,,,,,,,,90,,,20160729,20160729,In Service,2004,Surrey,,Final AB,,49.145545,-122.816017
57,0,1,6,Pipe Bridge,1001174267,,,,,,,,,,,,,20100929,20100929,In Service,1984,Surrey,7882-212,Final AB,,49.159198,-122.813597
58,0,0,5,Odour Control Device,1001896417,,15633 Mountain View Dr,,,,,,,,,,,20170331,20180213,Proposed,,Surrey,4713-5090-00,EC,,49.055893,-122.789910
59,0,0,7,P Trap,1001896423,,,,,,,,,,,,,20161109,20161109,Proposed,,Surrey,7814-0258-00,EC,,49.055707,-122.788791
60,0,1,7,P Trap,1001885421,,,,,,,,,,90,,,20160729,20160729,In Service,2015,Surrey,7811-0287-00,Final AB,,49.055381,-122.787879
61,0,1,6,Pipe Bridge,1001135233,,Wills Brook,,,,,,,,,,,20091021,20091021,In Service,2009,Surrey,7805-0126-00,Final AB,,49.053610,-122.779793
62,0,1,7,P Trap,1001885384,,,,,,,,,,90,,,20160729,20160729,In Service,2005,Surrey,7899-0215-00,Final AB,,49.194020,-122.786897
63,0,1,0,Air Valve Assembly,1001892849,,,,,,,,,,,,,20170620,20170620,In Service,2016,Surrey,4706-4530-00,Final AB,1350 MH,49.038331,-122.769346
64,0,1,7,P Trap,1001885379,,,,,,,,,,90,,,20160729,20160729,In Service,2005,Surrey,7803-0072-00,Final AB,,49.168609,-122.767847
65,0,1,7,P Trap,1001885367,,,,,,,,,,90,,,20160729,,In Service,,Surrey,,Final AB,,49.157771,-122.751776
66,0,1,0,Air Valve Assembly,1001157938,,North Surrey Interceptor,,,,,,,,,,,20100430,20140509,In Service,2010,Metro Vancouver,SF-1784,Final AB,,49.194375,-122.744106
67,0,1,6,Pipe Bridge,1001161169,,Nikomekl River @ 184 St,,,,,,,,,,,20100520,20100520,In Service,2009,Surrey,4707-2040-00,Final AB,,49.085095,-122.713348
68,0,1,1,Air Vent,1001780574,,,,,,,,,,,,,20140911,20140911,In Service,2014,Surrey,7810-0301-00,Initial AB,,49.045703,-122.703753
69,0,1,0,Air Valve Assembly,1000838860,,,,,,,,,,,,,20071211,,In Service,,,,,,49.190234,-122.905344
70,0,1,0,Air Valve Assembly,1000838857,,,,,,,,,,,,,20071211,,In Service,,,,,,49.190936,-122.904486
71,0,1,0,Air Valve Assembly,1000838849,,,,,,,,,,,,,20071211,,In Service,,,,,,49.195644,-122.897904
72,0,1,1,Air Vent,1001120847,,,,,,,,,,,,,20090430,,In Service,,,,,,49.099493,-122.885993
73,0,1,7,P Trap,1001885423,,,,,,,,,,90,,,20160729,20160729,In Service,2008,Metro Vancouver,S-3022,Final AB,,49.097064,-122.880893
74,0,1,7,P Trap,1001885424,,,,,,,,,,90,,,20160729,20160729,In Service,2008,Metro Vancouver,S-3022,Final AB,,49.096904,-122.878388
