,ACCESSIBILITY,ACCESSIBILITY_DETAILS,ARCHITECT,BARCODE,BCH_METER_NUMBER,BC_HYDRO_ACCOUNT_NO,BUILDING_ADDITION,BUILDING_APPRAISAL,BUILDING_INSERVICE_COST,CARETAKER_NAME,CIVIC_FACILITY,COMMENTS,CONTACT_PERSON,CONTACT_PERSON_PHONE_NO,DESCRIPTION,ELECTRICAL_CONTRACTOR,FACILITYID,FACILITY_SERVICE_CLASS,FACILITY_SUBTYPE,FACILITY_TYPE,FLOOR_LEVELS,GAS_MAIN_SHUT_OFF_LOCATIONS,GENERAL_CONTRACTOR,HANDICAPPED_ACCESSIBLE,HOUSE_NO,INSERVICE_DATE,LEGAL_LOT_DESCRIPTION,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MECHANICAL_CONTRACTOR,MODEL,NAME,NATURAL_GAS_ACCOUNT_NO,NO_OF_PARKING_SPACES,OPERATING_HOURS,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OTHER_MAIN_SHUT_OFF_LOCATIONS,PARKING_LEVELS,PARK_LEGACY_ID,PARK_OWNERSHIP,POWER_MAIN_SHUT_OFF_LOCATIONS,PSAB_APPRAISAL_COST,PSAB_APPRAISAL_DATE,ROAD_CODE,SERIAL_NO,SQ_FOOTAGE,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,USE,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WATER_MAIN_SHUT_OFF_LOCATIONS,WEBLINK,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
38,,,,,,,,,,,No,,,,,,1001272079,,Elementary,School,,,,,13455,,,13455 90 AVE,,,031,,,Cindrich Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/cindrich/Pages/default.aspx,,
39,,,,,,,,,,,No,,,,,,1001252893,,Administration,School,,,,,,,,13479 77 AVE,,,,,,North Surrey Learning Centre,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/northsurreylc/Pages/default.aspx,,
40,,,,,,,,,,,No,,,,,,1001269436,,Elementary,School,,,,,13838,,,13838 91 AVE,,,032,,,Creekside Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/creekside/Pages/default.aspx,,
41,,,,,,,,,,,No,,,,,,1001316953,,Elementary,School,,,,,10730,,,10730 139 ST,,,012,,,Forsyth Road Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/forsythroad/Pages/default.aspx,,
42,,,,,,,,,,,No,,,,,,1001353170,,Elementary,School,,,,,9380,,,9380 140 ST,,,032,,,Simon Cunningham Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/scunningham/Pages/default.aspx,,
43,,,,,,,,,,,No,,,,,,1001308847,,Elementary,School,,,,,3040,,,3040 145A ST,,,113,,,Semiahmoo Trail Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/semiahmootrail/Pages/default.aspx,,
44,,,,,,,,,,,No,,,,,,1001706647,,Elementary,School,,,,,6287,,,6287 146 ST,,,073,,,Goldstone Park Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/goldstonepark/pages/default.aspx,,
45,,,,,,,,,,,No,,,,,,1001318845,,Secondary,School,,,,,10707,,,10707 146 ST,,,013,,,Guildford Park Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/guildfordpark/pages/default.aspx,,
46,,,,,,,,,,,No,,,,,,1001322589,,Secondary,School,,,,, 1785,,, 1785 148 ST,,,123,,,Semiahmoo Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/semi/Pages/default.aspx,,
47,,,,,,,,,,,No,,,,,,1001239554,,Elementary,School,,,,,14781,,,14781 104 AVE,,,013,,,Hjorth Road Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/hjorthroad/Pages/default.aspx,,
48,,,,,,,,,,,No,,,,,,1001229054,,Private,School,,,,,15024,,,15024 24 AVE,,,123,,,Star Of The Sea,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.staroftheseaschool.ca/,,
49,,,,,,,,,,,No,,,,,,1001293492,,Elementary,School,,,,,15372,,,15372 94 AVE,,,034,,,Berkshire Park Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/berkshirepark/Pages/default.aspx,,
50,,,,,,,,,,,No,,,,,,1001230731,,Secondary,School,,,,,15350,,,15350 99 ST,,,024,,,Johnston Heights Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/johnht/Pages/default.aspx,,
51,,,,,,,,,,,No,,,,,,1001268816,,Elementary,School,,,,,15550,,,15550 99A AVE,,,024,,,William F. Davidson Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/wfdavidson/Pages/default.aspx,,
52,,,,,,,,,,,No,,,,,,1001299344,,Secondary,School,,,,,7940,,,7940 156 ST,,,054,,,Fleetwood Park Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/fltsec/Pages/default.aspx,,
53,,,,,,,,,,,No,,,,,,1001299949,,Elementary,School,,,,,,,,10752 157 ST,,,014,,,Dogwood Elementary Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/dogwood/Pages/default.aspx,,
54,,,,,,,,,,,No,,,,,,1001318359,,Elementary,School,,,,,8606,,,8606 160 ST,,,045,,,Frost Road Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/frostroad/Pages/default.aspx,,
55,,,,,,,,,,,No,,,,,,1001351971,,Elementary,School,,,,,17070,,,17070 102 AVE,,,026,,,Bothwell Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/bothwell/Pages/default.aspx,,
56,,,,,,,,,,,No,,,,,,1001302403,,Elementary,School,,,,,17857,,,17857 56 AVE,,,077,,,Cloverdale Traditional Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/cloverdaletraditional/Pages/default.aspx,,
57,,,,,,,,,,,No,,,,,,1001317317,,Private,School,,,,,5950,,,5950 149 ST,,,077,,,Zion Lutheran Church & School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://zionlutheran.org,,
58,,,,,,,,,,,No,,,,,,1001305487,,Private,School,,,,,18620,,,18620 56 AVE,,,088,,,Relevant High School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.relevanthighschool.ca,,
59,,,,,,,,,,,No,,,,,,1001319857,,Private,School,,,,,18603,,,18603 60 AVE,,,078,,,Bible Way Christian Academy,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.biblewayacademy.org,,
