,ACCESSIBILITY,ACCESSIBILITY_DETAILS,ARCHITECT,BARCODE,BCH_METER_NUMBER,BC_HYDRO_ACCOUNT_NO,BUILDING_ADDITION,BUILDING_APPRAISAL,BUILDING_INSERVICE_COST,CARETAKER_NAME,CIVIC_FACILITY,COMMENTS,CONTACT_PERSON,CONTACT_PERSON_PHONE_NO,DESCRIPTION,ELECTRICAL_CONTRACTOR,FACILITYID,FACILITY_SERVICE_CLASS,FACILITY_SUBTYPE,FACILITY_TYPE,FLOOR_LEVELS,GAS_MAIN_SHUT_OFF_LOCATIONS,GENERAL_CONTRACTOR,HANDICAPPED_ACCESSIBLE,HOUSE_NO,INSERVICE_DATE,LEGAL_LOT_DESCRIPTION,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MECHANICAL_CONTRACTOR,MODEL,NAME,NATURAL_GAS_ACCOUNT_NO,NO_OF_PARKING_SPACES,OPERATING_HOURS,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OTHER_MAIN_SHUT_OFF_LOCATIONS,PARKING_LEVELS,PARK_LEGACY_ID,PARK_OWNERSHIP,POWER_MAIN_SHUT_OFF_LOCATIONS,PSAB_APPRAISAL_COST,PSAB_APPRAISAL_DATE,ROAD_CODE,SERIAL_NO,SQ_FOOTAGE,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,USE,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WATER_MAIN_SHUT_OFF_LOCATIONS,WEBLINK,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
103,,,,,,,,,,,No,,,,,,1001251854,,Elementary,School,,,,,1650,,,1650 136 ST,,,122,,,Ray Shepherd Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/rayshepherd/Pages/default.aspx,,
104,,,,,,,,,,,No,,,,,,1001249963,,Elementary,School,,,,,13875,,,13875 113 AVE,,,002,,,Surrey Traditional Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/surreytraditional/Pages/default.aspx,,
105,,,,,,,,,,,No,,,,,,1001332426,,Post-Secondary,School,,,,,9260,,,9260 140 ST,,,032,,,Surrey College,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.surreycollege.sd36.bc.ca/,,
106,,,,,,,,,,,No,,,,,,1001311774,,Elementary,School,,,,,8555,,,8555 142A ST,,,042,,,Brookside Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/brookside/Pages/default.aspx,,
107,,,,,,,,,,,No,,,,,,1001314944,,Elementary,School,,,,,10682,,,10682 144 ST,,,013,,,Mary Jane Shannon Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/mjshannon/Pages/default.aspx,,
108,,,,,,,,,,,No,,,,,,1001237458,,Elementary,School,,,,,14755,,,14755 74 AVE,,,053,,,Chimney Hill Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/chimneyhill/Pages/default.aspx,,
109,,,,,,,,,,,No,,,,,,1001348444,,Elementary,School,,,,,10719,,,10719 150 ST,,,013,,,Holly Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/holly/Pages/default.aspx,,
110,,,,,,,,,,,No,,,,,,1001352521,,Private,School,,,,,15295,,,15295 56 AVE,,,074,,,Roots and Wings Montessori,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.rootsandwingsbc.com,,
111,,,,,,,,,,,No,,,,,,1001299446,,Private,School,,,,,15353,,,15353 92 AVE,,,034,,,Surrey Christian (Secondary),,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.surreychristian.com/campuses/secondary/,,
112,,,,,,,,,,,No,,,,,,1001270910,,Secondary,School,,,,,15751,,,15751 16 AVE,,,124,,,Earl Marriott Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/earlmarriott/Pages/default.aspx,,
113,,,,,,,,,,,No,,,,,,1001261444,,Elementary,School,,,,,10929,,,10929 160 ST,,,014,,,Erma Stephenson Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/ermastephenson/Pages/default.aspx,,
114,,,,,,,,,,,No,,,,,,1001284098,,Elementary,School,,,,,16545,,,16545 61 AVE,,,075,,,A.J. McLellan Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/ajmclellan/Pages/default.aspx,,
115,,,,,,,,,,,No,,,,,,1001321842,,Private,School,,,,,10238,,,10238 168 ST,,,026,,,Pacific Academy,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.pacificacademy.net,,
116,,,,,,,,,,,No,,,,,,1001291908,,Elementary,School,,,,,8222,,,8222 168 ST,,,046,,,Coast Meridian Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/coastmeridian/Pages/default.aspx,,
117,,,,,,,,,,,No,,,,,,1001241511,,Elementary,School,,,,,18035,,,18035 8 AVE,,,137,,,Hall's Prairie Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/hallsprairie/Pages/default.aspx,,
118,,,,,,,,,,,No,,,,,,1001251383,,Elementary,School,,,,,7057,,,7057 191 ST,,,068,,,Hazelgrove Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/hazelgrove/Pages/default.aspx,,
119,,,,,,,,,,,Yes,,,,,,1001342089,,Administration,School,,,,,,,,14225 57 AVE,Facilities,,072,,,Annex Office,,,,,,Engineering,,,,,,,,,,,In Service,,,,,,,,,http://www.3d36.bc.ca,,
120,,,,,,,,,,,No,,,,,,1001352087,,Elementary,School,,,,,7676,,,7676 122 ST,,,050,,,Westerman Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/westerman/Pages/default.aspx,,
121,,,,,,,,,,,No,,,,,,1001338933,,Elementary,School,,,,,12370,,,12370 98 AVE,,,020,,,Cedar Hills Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/cedarhill/About/ContactInfo/Pages/default.aspx,,
122,,,,,,,,,,,No,,,,,,1001349430,,Post-Secondary,School,,,,,12666,,,12666 72 AVE,,,060,,,Kwantlen Polytechnic University (Surrey Campus),,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.kpu.ca/surrey,,
123,,,,,,,,,,,No,,,,,,1001249683,,Secondary,School,,,,,12870,,,12870 72 AVE,,,061,,,Princess Margaret Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.sd36.bc.ca/pmarga/,,
124,,,,,,,,,,,No,,,,,,1001314916,,Elementary,School,,,,,9160,,,9160 128 ST,,,031,,,David Brankin Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/davidbrankin/Pages/default.aspx,,
125,,,,,,,,,,,No,,,,,,1001331034,,Elementary,School,,,,,13130,,,13130 106 AVE,,,011,,,K.B. Woodward Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/kbwoodward/Pages/default.aspx,,
126,,,,,,,,,,,No,,,,,,1001264552,,Secondary,School,,,,,9457,,,9457 KING GEORGE BLVD,,,031,,,Queen Elizabeth Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/queene/Pages/default.aspx,,
127,,,,,,,,,,,No,,,,,,1001313031,,Elementary,School,,,,,13780,,,13780 80 AVE,,,052,,,Bear Creek Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/bearcreek/Pages/default.aspx,,
128,,,,,,,,,,,No,,,,,,1001245761,,Elementary,School,,,,,6677,,,6677 140 ST,,,062,,,Hyland Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/hyland/Pages/default.aspx,,
129,,,,,,,,,,,No,,,,,,1001262908,,Administration,School,,,,,14033,,,14123 92 AVE,,,032,,,Surrey Schools - District Education Centre,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/About/ContactUs/Pages/default.aspx,,
130,,,,,,,,,,,No,,,,,,1001313918,,Elementary,School,,,,,14898,,,14898 SPENSER DR,,,043,,,Maple Green Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/maplegreen/Pages/default.aspx,,
131,,,,,,,,,,,No,,,,,,1001797127,,Elementary,School,,,,,,,,"1273 FIR ST, WHITE ROCK",,,,,,White Rock Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/whiterockelem/Pages/default.aspx,,
132,,,,,,,,,,,No,,,,,,1001341239,,Elementary,School,,,,,3366,,,3366 156A ST,,,104,,,Morgan Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/morgan/Pages/default.aspx,,
133,,,,,,,,,,,No,,,,,,1001342029,,Elementary,School,,,,,15670,,,15670 104 AVE,,,024,,,Harold Bishop Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/haroldbishop/Pages/default.aspx,,
134,,,,,,,,,,,No,,,,,,1001295848,,Elementary,School,,,,,16670,,,16670 OLD MCLELLAN RD,,,075,,,Surrey Centre Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/surreycentre/Pages/default.aspx,,
135,,,,,,,,,,,No,,,,,,1001324298,,Elementary,School,,,,,17285,,,17285 61A AVE,,,076,,,George Greenaway Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/georgegreenaway/Pages/default.aspx,,
136,,,,,,,,,,,No,,,,,,1001307578,,Secondary,School,,,,,6151,,,6151 180 ST,,,077,,,Lord Tweedsmuir Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/tweeds/Pages/default.aspx,,
137,,,,,,,,,,,No,,,,,,1001324301,,Elementary,School,,,,,5811,,,5811 184 ST,,,077,,,Martha Currie Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/marthacurrie/Pages/default.aspx,,
138,,,,,,,,,,,No,,,,,,1001352004,,Elementary,School,,,,,7541,,,7541 184 ST,,,057,,,Clayton Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/clayton/Pages/default.aspx,,
139,,,,,,,,,,,No,,,,,,1001283054,,Elementary,School,,,,,19233,,,19233 60 AVE,,,079,,,Latimer Road Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/latimerroad/Pages/default.aspx,,
140,,,,,,,,,,,No,,,,,,1001325105,,Private,School,,,,,7170,,,7170 132 ST,,,061,,,Calvary Christian Academy,,,,,,,,,,,,,,,,,In Service,,,,,,,,,,,
141,,,,,,,,,,,No,,,,,,1001272561,,Elementary,School,,,,,,,,6329 KING GEORGE BLVD,,,071,,,Newton Learning Centre,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.sd36.bc.ca,,
142,,,,,,,,,,,No,,,,,,1001314171,,Private,School,,,,,2239,,,2239 152 ST,,,123,,,White Rock Christian Academy,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.wrca.bc.ca,,
143,,,,,,,,,,,No,,,,,,1001318362,,Private,School,,,,,18620,,,18620 56 AVE,,,088,,,Diamond Elementary,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.relevanthighschool.ca/Diamond_Elementary.html,,
144,,,,,,,,,,,No,,,,,,1001236302,,Elementary,School,,,,,12405,,,12405 100 AVE,,,020,,,Prince Charles Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/princecharles/Pages/default.aspx,,
145,,,,,,,,,,,No,,,,,,1001242319,,Private,School,,,,,13130,,,13130 65B AVE,,,061,,,St. Bernadette School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.stbernadetteschool.ca/silver/news/,,
146,,,,,,,,,,,No,,,,,,1001267188,,Elementary,School,,,,,,,,13104 109 AVE,,,011,,,City Central Learning Centre,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/citycentrallc/Pages/default.aspx,,
147,,,,,,,,,,,No,,,,,,1001254142,,Private,School,,,,,6225,,,6225 136 ST,,,071,,,Traditional Learning Academy Homeschool Centre,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://schoolathome.ca/,,
148,,,,,,,,,,,No,,,,,,1001319040,,Elementary,School,,,,,2575,,,2575 137 ST,,,112,,,Chantrell Creek Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/chantrellcreek/Pages/default.aspx,,
149,,,,,,,,,,,No,,,,,,1001240971,,Elementary,School,,,,,13751,,,13751 112 AVE,,,002,,,James Ardiel Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/jamesardiel/Pages/default.aspx,,
150,,,,,,,,,,,No,,,,,,1001233963,,Secondary,School,,,,,13940,,,13940 77 AVE,,,052,,,Frank Hurt Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/frankhurt/Pages/default.aspx,,
151,,,,,,,,,,,No,,,,,,1001254922,,Private,School,,,,,10504,,,10504 139 ST,,,012,,,Our Lady Of Good Counsel,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.olgcschool.ca,,
152,,,,,,,,,,,No,,,,,,1001234425,,Elementary,School,,,,,6082,,,6082 142 ST,,,072,,,Woodward Hill Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/woodwardhill/Pages/default.aspx,,
153,,,,,,,,,,,No,,,,,,1001319026,,Elementary,School,,,,,6985,,,6985 142 ST,,,062,,,Georges Vanier Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/georgesvanier/Pages/default.aspx,,
154,,,,,,,,,,,No,,,,,,1001303298,,Private,School,,,,,3487,,,3487 KING GEORGE BLVD,,,103,,,Heritage Christian School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.hcs-whiterock.ca,,
155,,,,,,,,,,,No,,,,,,1001231547,,Private,School,,,,,15090,,,15090 66A AVE,,,063,,,Regent Christian Academy,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.regent.bc.ca,,
156,,,,,,,,,,,No,,,,,,1001314522,,Elementary,School,,,,,15225,,,15225 98 AVE,,,024,,,Mountainview Montessori Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/mountainview/Pages/default.aspx,,
157,,,,,,,,,,,No,,,,,,1001797146,,Elementary,School,,,,,,,,"15877 ROPER AVE, WHITE ROCK",,,,,,Peace Arch Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/peacea/Pages/default.aspx,,
158,,,,,,,,,,,No,,,,,,1001329065,,Elementary,School,,,,,16152,,,16152 82 AVE,,,045,,,Walnut Road Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/walnutroad/Pages/default.aspx,,
159,,,,,,,,,,,No,,,,,,1001282866,,Elementary,School,,,,,16126,,,16126 93A AVE,,,035,,,Serpentine Heights Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/serpentineheights/Pages/default.aspx,,
160,,,,,,,,,,,No,,,,,,1001313374,,Elementary,School,,,,,16244,,,16244 13 AVE,,,135,,,South Meridian Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/southmeridian/Pages/default.aspx,,
161,,,,,,,,,,,Yes,,,,,,1001949161,,Secondary,School,,,,,,,,7278 184 ST,,,058,,,Salish Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/salish/Pages/default.aspx,,
162,,,,,,,,,,,No,,,,,,1001294474,,Secondary,School,,,,,7003,,,7003 184 ST,,,068,,,Clayton Heights Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/clyhts/Pages/default.aspx,,
163,,,,,,,,,,,No,,,,,,1001347701,,Administration,School,,,,,5741,,,5741 176 ST,,,076,,,Cloverdale Learning Centre,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/cloverdalelc/Pages/default.aspx,,
