,DEVICE_TYPE,DEVICE_TYPE2,FACILITYID,LEGACYID,MATERIAL,YEAR_BUILT,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
561,7,Speed Hump,1001604837,,Asphalt,,,In Service,7812-0218-00,2014,Surrey,,,Final AB,,,,,,20140228,20140228,49.110576,-122.812832
562,7,Speed Hump,1001735940,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Air Photo,,,,,,,20140320,,49.112294,-122.816505
563,7,Speed Hump,1001718325,,Asphalt,,,In Service,7812-0204-00,2014,Surrey,,,Final AB,,,,,,20141015,20141015,49.043506,-122.766393
564,7,Speed Hump,1001718326,,Asphalt,,,In Service,7812-0204-00,2014,Surrey,,,Final AB,,,,,,20141015,20141015,49.042982,-122.766397
565,7,Speed Hump,1001718327,,Asphalt,,,In Service,7812-0204-00,2014,Surrey,,,Final AB,,,,,,20141015,20141015,49.042463,-122.766400
566,3,Raised Crosswalk,1001075143,256,Asphalt,2008,2,In Service,7807-0032-00,2013,Surrey,256, ,Final AB,,,,,,,20130308,49.065958,-122.781740
567,7,Speed Hump,1001709617,,Asphalt,,,In Service,7812-0037-00,2014,Surrey,,,Final AB,,,,,,20140430,20140430,49.112616,-122.839220
568,7,Speed Hump,1001713324,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Airphoto,,,,,,,20131004,,49.133130,-122.683353
569,7,Speed Hump,1001713326,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Airphoto,,,,,,,20131004,,49.133222,-122.682191
570,7,Speed Hump,1001713325,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Airphoto,,,,,,,20131004,,49.133224,-122.682864
571,4,Raised Intersection,1001713353,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Air Photo,,,,,,,20131004,20131004,49.132051,-122.680236
572,3,Raised Crosswalk,1001713352,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Air Photo,,,,,,,20131004,,49.129995,-122.683476
573,7,Speed Hump,1001713327,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Airphoto,,,,,,,20131004,,49.133215,-122.681355
574,7,Speed Hump,1001604892,,Asphalt,,,In Service,7812-0023-00,2013,Surrey,,,Final AB,,,,,,20140128,20140128,49.035800,-122.835194
575,5,Roundabout,1001086627,,Concrete,2007,,In Service,1705-7110-00,2007,Surrey,,,Final AB,,,,,,20090330,20140128,49.038447,-122.817790
576,7,Speed Hump,1001726438,,Asphalt,,,In Service,7812-0023-00,2013,Surrey,,,Final AB,,,,,,20140128,20140128,49.036641,-122.835172
577,7,Speed Hump,1001709618,,Asphalt,,,In Service,7812-0037-00,2014,Surrey,,,Final AB,,,,,,20140430,20140430,49.112265,-122.838951
578,7,Speed Hump,1001717160,,Asphalt,,,In Service,7812-0153-00,2014,Surrey,,,Final AB,,,,,,20141010,20141010,49.043537,-122.757834
579,7,Speed Hump,1001717161,,Asphalt,,,In Service,7812-0153-00,2014,Surrey,,,Final AB,,,,,,20141010,20141010,49.043225,-122.757833
580,9,Traffic Circle,1001799137,,Asphalt,,,Proposed,7812-0332-00,2014,Surrey,,,EC,,,,,,20141212,20141212,49.181515,-122.843264
581,7,Speed Hump,1001741000,,Asphalt,,,In Service,7812-0244-00,2014,Surrey,,,Final AB,,,,,,20140411,20150119,49.047052,-122.767286
582,7,Speed Hump,1001831582,,Asphalt,2009,,In Service,,,Surrey,,,,,,,,,20150720,20150720,49.173444,-122.774690
583,7,Speed Hump,1001831583,,Asphalt,2009,,In Service,,,Surrey,,,,,,,,,20150720,20150720,49.173157,-122.776537
584,9,Traffic Circle,1001779360,,Asphalt,,,Proposed,7811-0241-00,2014,Surrey,,,EC,,,,,,20140905,20150825,49.064020,-122.806786
585,8,Speed Table,1001075213,240,Asphalt,2008,45,In Service,1708-8040-00,2008,Surrey,240, ,Final AB,,,,,,,20170926,49.194066,-122.751077
586,9,Traffic Circle,1001423893,,Concrete,,,In Service,7807-0101-00,2016,Surrey,,,Initial AB,,,,,,20161205,20161205,49.100677,-122.874490
587,9,Traffic Circle,1001844822,,Asphalt,,,In Service,7813-0295-00,2017,Surrey,,,Final AB,,,,,,20170524,20170524,49.052811,-122.798701
