,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
99,20160725,Amend Lane and Local Road,,20160803,15,10,UPA,7916-0020-00,Small Lot Single Family w/wo Coach House (10-15 upa),20161025,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
100,20121022,Amended From Stormwater Detention Pond to Small Lot Single Family w/wo Coach House (10-15 upa),R223,20150716,15,10,UPA,,Small Lot Single Family w/wo Coach House (10-15 upa),20160205,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
101,20140310,,,20120124,,,UPA,79012-0244-00,Residential Flex Street 14m,20160331,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
102,,,,20140603,30,15,UPA,,Townhouse (15-30 upa),20140422,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
103,,,,20120124,30,15,UPA,,Townhouse (15-30 upa),20140603,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
104,,,,20120124,15,10,UPA,,Small Lot Single Family w/wo Coach House (10-15 upa),20160617,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
105,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
106,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
107,,,,20160309,,,UPA,,Habitat Corridor (20m SROW),20160309,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
108,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
109,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
110,20161024,Amended as of development Application 7914-0354-00 Keith Broersma,RES.R16-2301,20161025,,,UPA,7914-0354-00,Multi-Use Pathway (8m SROW),20161025,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
111,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
112,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
113,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
114,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
115,,,,20120124,15,10,UPA,,Small Lot Single Family w/wo Coach House (10-15 upa),20160309,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
116,,,,20120124,15,10,UPA,,Small Lot Single Family w/wo Coach House (10-15 upa),20160617,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
117,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
118,,,,20120124,,,UPA,,Multi-Use Pathway (8m SROW),20161025,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
119,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
120,,,,20180308,15,10,UPA,,Small Lot Single Family w/wo Coach House (10-15 upa),20180308,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
121,20121022,Amended From Stormwater Detention Pond to Small Lot Single Family w/wo Coach House (10-15 upa),R223,20140602,15,10,UPA,,Small Lot Single Family w/wo Coach House (10-15 upa),20160205,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
122,20121022,Amended From Stormwater Detention Pond to Small Lot Single Family w/wo Coach House (10-15 upa),R223,20160205,10,2,UPA,,Small Lot Single Family w/wo Coach House (10-15 upa),20160205,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
123,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
124,20140310,,,20120124,45,30,UPA,79012-0244-00,Multi-Family (30-45 upa),20160331,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
125,,,,20140422,30,15,UPA,,Residential Flex Street 14m,20140422,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
126,,,,20120124,45,30,UPA,,Multi-Family (30-45 upa),20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
127,,,,20120124,30,15,UPA,,Townhouse (15-30 upa),20160309,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
128,20161024,Amended as of development Application 7914-0354-00 Keith Broersma,RES.R16-2301,20161025,,,UPA,7914-0354-00,Multi-Use Pathway (8m SROW),20180308,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
129,20161024,Amended as of development Application 7914-0354-00 Keith Broersma,RES.R16-2301,20161025,,,UPA,7914-0354-00,Habitat Corridor (20m SROW),20180308,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
130,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
131,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
132,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
133,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
134,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
135,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
