,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_UNITS
169,15168-22 Ave,Monday,Edencrest,,,24
170,15255-36 Ave,Monday,Ferngrove,,,28
171,15355-26 Ave,Monday,Southwind Estates,,,83
172,15450-15550-Rosemary Heights Cr.,Monday,Carrington Estates,,20131023,91
173,10077&10091-156 St,Thursday,Guildford Park,,,57
174,8388-158 St,Wednesday,Summerfield,,,14
175,10468-157 St,Thursday,Guildford Brook Estates,,,15
176,15885 26 Ave,Monday,Skylands,20121012,20131017,38
177,8775-161 St,Wednesday,Ballantyne,,,112
178,16355 82 Ave,Wednesday,The Lotus,20110511,20110511,71
179,6036 - 164 St,Friday,Arbour Village,20121012,20131023,52
180,8606-168 St &8588-168A St,Friday,Brookstone,,,22
181,17097-64 Ave,Friday,Kentucky Lane,,,90
182,6945 185 ST,Friday,Mackenzie Estates,20141114,20141114,71
183,6588-188 St,Friday,Hillcrest Townhomes,,,35
184,6238 - 192 St.,Friday,Bakerview Terrace,20081014,20081014,29
185,4493/4481/4469/4457-196 St,Friday,Anderson Lake Estates,,,4
186,12044-Boundary Dr. S.,Tuesday,Park Wynd,,20130912,30
187,12036 66 Ave,Tuesday,Dubb Villa Estates,20121008,20131021,71
188,12128-68 Ave,Tuesday,Mallard Ridge,,20131023,33
189,7875-122 St,Tuesday,Georgian,,,63
190,8255-120A St,Wednesday,Grange,,20130912,19
191,6116-128 St,Tuesday,Panorama Plateau Gardens,,,36
192,1495-1515-130 St,Monday,Ocean Crest Homes,,,11
193,1701-130 St,Monday,Common Ground Housing Co-op,,,46
194,13360-KGH,Thursday,Mountain Village,,,23
195,1640 140 St,Monday,Ocean Crest Cottages,20121008,20121008,10
196,5858 142 St,Tuesday,Brooklyn Village,20161229,20161229,
197,6299 144 St,Tuesday,Altura Living,20121008,20121008,167
198,14338 - 103 Ave,Thursday,Guildford Villa,20130912,20130912,29
199,3387-KGH,Monday,Silver Pond,,,36
200,14909-32 Ave,Monday,Ponderosa Station,,,80
201,1488 62 Ave,Tuesday,Eton,20161229,20161229,
202,2780-150 St & 15027-15055-27A Ave,Monday,Daventry,,,28
203,2133-151A St,Monday,Kumaken,,,17
204,2672-151 St,Monday,Westerlea,,,48
205,15168-36 Ave,Monday,Solay,,,179
206,2678-KGH,Monday,The Mirada,,,88
207,15233-34 Ave,Monday,The Sundance,,,94
208,15425- Rosemary Heights Cr.,Monday,Braemore @ Carrington,,20131023,20
209,15353-105 Ave/10538-153 St,Thursday,Regents Gate,,,56
210,10038 155 St,Thursday,Spring Meadows,20131023,20131023,64
211,2062-KGH,Monday,Parklane Mobile Homes,,,50
212,2487 156 St,Monday,Sunnyside,20121008,20121008,20
213,15988-83 Ave,Wednesday,Glenridge Townhouse,,,40
214,2501 - 161A St.,Monday,Highland Park,20081014,20131023,260
215,16080-82 Ave,Wednesday,Ponderosa Estates,,,84
216,16031&16071-82 Ave,Wednesday,Springfield,,,39
217,16225-16275-85 Ave,Wednesday,Wapella Place,,,16
218,8567-164 St,Wednesday,Monta Rosa,,,48
219,7168 - 179 St.,Friday,Ovation,20081014,20131023,37
220,18199-70 Ave,Friday,Augusta,20100823,20100823,111
221,19560-68 Ave,Friday,Solana,20100823,20100823,54
222,6061-Boundary Dr. W.,Tuesday,Lakewood Place,,20161229,31
