,ADJACENT_TO_SCHOOL,BARCODE,BASE_PATH_LENGTH_FT,COMMENTS,COMMUNITY,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,DRAINAGE_UPGRADE,FACILITYID,GANG_MOWING_ROUTE,HOUSE_NO,INFIELD_TYPE,INSERVICE_COST,INSERVICE_DATE,IRRIGATED,JOINT_USE_AGREEMENT,LAST_SURFACE_REPLACEMENT,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OVERLAP,PARK,PARK_FACILITY_TYPE,PARK_OWNERSHIP,PRIMARY_USE,REFERENCE_NO,ROAD_CODE,RUNOUT_LENGTH_M,RUNOUT_WIDTH_M,SECONDARY_USE,SERIAL_NO,SERVICE_LEVEL,SPORTS_FIELD_TYPE,SPORTS_FIELD_TYPE2,STATUS,STATUS_DATE,SUBSURFACE_DRAINAGE,SURFACE_LENGTH_FT,SURFACE_TYPE,SURFACE_WIDTH_FT,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
109,Y,,,,Whalley,,,,"Softball Diamond #2; Royal Kwantlen Park, 13035 - 104 Ave",,1001477365,,13035,,0,,Y,,,0729-000000174,North side of Soccer Field #1 (south field),Parks,,011,,,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,,Royal Kwantlen Park,Diamond - Softball,,Softball,2,10400,,,,,,0,Grass,OPERATING,20010201162800,,,,,Y,,,,,
110,Y,,,,Whalley,,,,"Softball Diamond #3; Royal Kwantlen Park, 13035 - 104 Ave",,1001477366,,13035,,0,,Y,,,0729-000000162,SW corner of Soccer Field #2 (north),Parks,,011,,,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,,Royal Kwantlen Park,Diamond - Softball,,Softball,3,10400,,,,,,0,Grass,OPERATING,20010201162300,,,,,Y,,,,,
111,Y,,,,Cloverdale,,,,"Soccer Field; A.J. McLellan Park, 16584 62a Ave",,1001477438,,16584,,0,20030921,Y,,,0729-000000321,,Parks,,075,,,"A.J. McLellan Park, 16584 62a Ave",Park,Parks,N,A.J. McLellan Park,Field - Soccer - Regulation,,Soccer,1,06250,,,,,,0,Grass,OPERATING,20041026130700,,,Sand,,Y,,,,,
112,,,,,South Surrey,,,,"Mini Soccer Field #1 - NE; Crescent Park, 2585 132 St",,1001477349,,02585,,0,,Y,,,0729-000000097,on south field area,Parks,,111,,,"Crescent Park, 2585 132 St",Park,Parks,Y,Crescent Park,Field - Soccer - Mini,,Mini Soccer,1,13200,,,,,,0,Grass,OPERATING,20010201152700,,,,,Y,,,,,
113,,,,surveyed in 2006,South Surrey,,,,"8 Micro Soccer Fields; Crescent Park, 2585 132 St",,1001477350,,02585,,0,,Y,,,0729-000000106,north field area,Parks,,111,,,"Crescent Park, 2585 132 St",Park,Parks,,Crescent Park,Field - Soccer - Micro,,Micro Soccer,1,13200,,,,,,0,Grass,OPERATING,20010201153100,,,,,Y,,,,,
114,,,,,South Surrey,,,,"Mini Soccer Field #4 - NW; Crescent Park, 2585 132 St",,1001477443,,02585,,0,,Y,,,0729-000000076,on south field area,Parks,,111,,,"Crescent Park, 2585 132 St",Park,Parks,,Crescent Park,Field - Soccer - Mini,,Mini Soccer,4,13200,,,,,,0,Grass,OPERATING,20010201151600,,,,,Y,,,,,
115,,,,surveyed in 2006,South Surrey,,,,"8 Micro Soccer Fields; Crescent Park, 2585 132 St",,1001477444,,02585,,0,,Y,,,0729-000000106,north field area,Parks,,111,,,"Crescent Park, 2585 132 St",Park,Parks,,Crescent Park,Field - Soccer - Micro,,Micro Soccer,1,13200,,,,,,0,Grass,OPERATING,20010201153100,,,,,Y,,,,,
116,,,,surveyed in 2006,South Surrey,,,,"8 Micro Soccer Fields; Crescent Park, 2585 132 St",,1001477445,,02585,,0,,Y,,,0729-000000106,north field area,Parks,,111,,,"Crescent Park, 2585 132 St",Park,Parks,,Crescent Park,Field - Soccer - Micro,,Micro Soccer,1,13200,,,,,,0,Grass,OPERATING,20010201153100,,,,,Y,,,,,
117,,,,surveyed in 2006,South Surrey,,,,"8 Micro Soccer Fields; Crescent Park, 2585 132 St",,1001477446,,02585,,0,,Y,,,0729-000000106,north field area,Parks,,111,,,"Crescent Park, 2585 132 St",Park,Parks,,Crescent Park,Field - Soccer - Micro,,Micro Soccer,1,13200,,,,,,0,Grass,OPERATING,20010201153100,,,,,Y,,,,,
118,,,,surveyed in 2006,South Surrey,,,,"8 Micro Soccer Fields; Crescent Park, 2585 132 St",,1001477447,,02585,,0,,Y,,,0729-000000106,north field area,Parks,,111,,,"Crescent Park, 2585 132 St",Park,Parks,,Crescent Park,Field - Soccer - Micro,,Micro Soccer,1,13200,,,,,,0,Grass,OPERATING,20010201153100,,,,,Y,,,,,
119,,,,surveyed in 2006,South Surrey,,,,"8 Micro Soccer Fields; Crescent Park, 2585 132 St",,1001477448,,02585,,0,,Y,,,0729-000000106,north field area,Parks,,111,,,"Crescent Park, 2585 132 St",Park,Parks,,Crescent Park,Field - Soccer - Micro,,Micro Soccer,1,13200,,,,,,0,Grass,OPERATING,20010201153100,,,,,Y,,,,,
