,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,FENCING_TYPE,GIS_ENTRY_STAGE,HOUSE_NO,INSERVICE_COST,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MATERIAL,MEDIAN_TYPE,MEDIAN_TYPE2,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PLANTED,PROJECT_NO,ROAD_CODE,SERIAL_NO,STATUS,STATUS_DATE,STATUS_PARKS,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
1776,,,,,20081215,,1001075566,,Initial AB,,,,,,Engineering,,,Grass,1,Island,,20170717,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1777,,,,,20150605,,1001826997,,Initial AB,,,,,,Engineering,,054,Grass,0,Central,,20170731,,,Engineering,Surrey,,,,,15200,,In Service,,,,,,,,,
1778,,,,,20090109,,1001077630,,Initial AB,,,,,,Engineering,,,Asphalt,0,Central,,20170731,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1779,,,,,20090129,,1001079449,,Initial AB,,,,,,Engineering,,,Concrete,1,Island,,20170731,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1780,,,,,20170731,,1001942136,,Final AB,,,,,,Engineering,,063,Concrete,0,Central,,20170731,,,Engineering,Surrey,,,No,1716-2140-00,,,In Service,,,,,,,2016,,
1781,,,,,20170731,,1001942135,,Final AB,,,,,,Engineering,,063,Concrete,0,Central,,20170731,,,Engineering,Surrey,,,No,1716-2140-00,,,In Service,,,,,,,2016,,
1782,,,,,20150206,,1001805268,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20150211,,,Engineering,Surrey,,,No,1713-3070-00,,,In Service,,,,,,,2014,,
1783,,,,,20090109,,1001077625,,Initial AB,,,,,,Engineering,,,Asphalt,0,Central,,20170731,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1784,,,,,20150206,,1001805270,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20150211,,,Engineering,Surrey,,,No,1713-3070-00,,,In Service,,,,,,,2014,,
1785,,,,,20150206,,1001805271,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20150211,,,Engineering,Surrey,,,No,1713-3070-00,,,In Service,,,,,,,2014,,
