,AAS_ID,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DATE_CLOSED,DATE_CONSTRUCTED,DESCRIPTION,DESIGNATION,DISASTER_RESPONSE_ROUTE,FACILITYID,GCNAME,GCPREDIR,GCROADS,GCSUFDIR,GCTYPE,GIS_ENTRY_STAGE,GREENWAY,INSERVICE_COST,INSERVICE_DATE,LEFTFROM,LEFTTO,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAJOR_ROAD_NETWORK,MAP_PAGE,MATERIAL,MOD_DATE,NO_LANE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PAVING_DATE,PROJECT_NO,RD_CLASS,RIGHTFROM,RIGHTTO,ROADCODE,ROAD_CENTRELINE_TYPE,ROAD_CENTRELINE_TYPE2,ROAD_NAME,ROW_WIDTH,SPEED,STATUS,STATUS_DATE,STATUS_PARKS,STREETSWEEPING_ROUTE,STRUCTURES_INSPECTION_ROUTE,TRUCK_ROUTE,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
139,,,,,19870916,,,,Translink,Secondary,1000976734,KING GEORGE,,KING GEORGE BLVD,,BLVD,,,,,8801,9099,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,8802,9098,13601,0,Road,King George Blvd,42,60,Open,,,TRANSLINK - T2/T4 CURBS,,Dangerous Goods Routes,,,,1973,,
140,,,,,19870916,,,,Translink,Secondary,1000984331,KING GEORGE,,KING GEORGE BLVD,,BLVD,,,,,9201,9449,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,9202,9448,13601,0,Road,King George Blvd,42,60,Open,,,TRANSLINK - T2/T4 CURBS,,Dangerous Goods Routes,,,,1973,,
141,137,,,,19870928,20050915,20061030,,Translink,Secondary,1000979177,KING GEORGE,,KING GEORGE BLVD,,BLVD,,,,,10401,10449,,,,Engineering,Yes,,Asphalt,20171206,6,,,Engineering,Surrey,,,,,Arterial,10402,10448,13601,0,Road,King George Blvd,42,60,Open,,,CITY CENTRE - CONTRACT CURBS,,Dangerous Goods Routes,,,,1963,,
142,,Truck Route restricted to vehicles less than 3.2 m wide,,,19970425,,,,Translink,None,1000979887,108,,108 AVE,,AVE,,,,,13601,13689,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,13602,13688,10800,0,Road,108 Ave,32,60,Open,,,CITY CENTRE - CONTRACT CURBS,,Truck Routes with Restrictions,,,,2010,,
143,,,,,20130716,,,,,None,1001606579,17,,HWY 17 (SOUTH FRASER PERIMETER RD),,HWY,,,,,13601,13799,1001591587,,,Mainroad,Yes,,Asphalt,20171206,4,,,Mainroad,Provincial,,,,,Provincial Highway,13602,13798,11201,0,Road,Hwy 17 (South Fraser Perimeter Rd),Varies,80,Open,,,,,Dangerous Goods Routes,,,,2012,,
144,,,,,19870831,20050915,20061030,,Translink,Secondary,1000983262,KING GEORGE,,KING GEORGE BLVD,,BLVD,,,,,6001,6199,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,6002,6198,13601,0,Road,King George Blvd,42,60,Open,,,TRANSLINK - T5/T3 CURBS,,Dangerous Goods Routes,,,,1992,,
145,,,,,19910917,,,,Translink,None,1000976840,FRASER,,FRASER HWY,,HWY,,,,,13727,13799,,,,Engineering,Yes,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,13728,13798,00101,0,Road,Fraser Hwy,42,60,Open,,,,,Dangerous Goods Routes,,,,1992,,
146,671,,,,19870904,20050915,20061030,,Translink,None,1000983079,88,,88 AVE,,AVE,,,,,13951,13999,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,13952,13998,08800,0,Road,88 Ave,30,50,Open,,,TRANSLINK - T4 CURBS,,Truck Routes,,,,1973,,
147,,,,,19870923,,,,Translink,None,1000983977,FRASER,,FRASER HWY,,HWY,,,,,14001,14199,,,,Engineering,Yes,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,14002,14198,00101,0,Road,Fraser Hwy,40,60,Open,,,,,Dangerous Goods Routes,,,,2006,,
148,,,,,20060629,,,,Translink,None,1000976543,104,,104 AVE,,AVE,,,,,13823,13849,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,13824,13848,10400,0,Road,104 Ave,42,60,Open,,,TRANSLINK - T5 CURBS,,Truck Routes,,,,1963,,
