,FACILITYID,DESCRIPTION,LOCATION,PARK_NAME,LIGHT_NO,PARK_LIGHT_TYPE,NUMBER_OF_LIGHTS,HEIGHT_M,BULB_TYPE,BULB_WATTAGE,LIGHT_AMPERAGE,CANDLE_POWER,LIGHT_ACTIVATION_TYPE,SWITCH_CONTROL_LOCATION,LIGHTING_STANDARD_TYPE,BASE_TYPE,SERVICE_LEVEL,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_DATE,INSERVICE_COST,CONDITION,CONDITIONDATE,YRS_LIFE_EXPECTANCY,WARRANTYDATE,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,LEGACYID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,STRUCTURES_INSPECTION_ROUTE,CRE_DATE,MOD_DATE,Latitude,Longitude
139,1001437941,"Building Exterior Light; Bakerview Park, 1845 154 St","In the park, Light ref 15",Bakerview Park,15,Building Exterior,,,,,,,,,,,,,01761,15895,124,OPERATING,20040812101700,,Parks,Parks,,19870425,0,,,,,,,,,,,0724-000001029,"Bakerview Park, 1845 154 St",Park,,,,49.035407,-122.796785
140,1001437921,"Field Light - Softball City; South Surrey Athletic Park, 1925 148 St","In the park, Light ref 174",South Surrey Athletic Park,174,Field,13,,,,,,,,,,,,01925,14800,123,OPERATING,20040813102700,,Parks,Parks,,19950315,0,,,,,,,,,,,0724-000001708,"South Surrey Athletic Park, 1925 148 St",Park,,,20151112,49.044222,-122.814872
141,1001437922,"Field Light - Softball City; South Surrey Athletic Park, 1925 148 St","In the park, Light ref 175",South Surrey Athletic Park,175,Field,13,,,,,,,,,,,,01925,14800,123,OPERATING,20040813102800,,Parks,Parks,,19950315,0,,,,,,,,,,,0724-000001709,"South Surrey Athletic Park, 1925 148 St",Park,,,20151112,49.043777,-122.814231
142,1001437923,"Field Light - Softball City; South Surrey Athletic Park, 1925 148 St","In the park, Light ref 176",South Surrey Athletic Park,176,Field,13,,,,,,,,,,,13 east,01925,14800,123,OPERATING,20040813102800,,Parks,Parks,,19950315,0,,,,,,,,,,,0724-000001710,"South Surrey Athletic Park, 1925 148 St",Park,,,20151112,49.042645,-122.814252
143,1001437924,"Field Light - Softball City; South Surrey Athletic Park, 1925 148 St","In the park, Light ref 177",South Surrey Athletic Park,177,Field,13,,,,,,,,,,,13 south,01925,14800,123,OPERATING,20040813102800,,Parks,Parks,,19950315,0,,,,,,,,,,,0724-000001711,"South Surrey Athletic Park, 1925 148 St",Park,,,20151112,49.042282,-122.814855
144,1001733457,"Path Light; The Glades, 561 172 St","In the park, Light ref 8",The Glades,8,Path,1,,,,,,,,,,,,00561,17200,146,OPERATING,,,Parks,Parks,,,,,,,,,,,,,,,"The Glades, 561 172 St",Park,,20140307,20160104,49.011210,-122.746674
145,1001733456,"Path Light; The Glades, 561 172 St","In the park, Light ref 6",The Glades,6,Path,1,,,,,,,,,,,,00561,17200,146,OPERATING,,,Parks,Parks,,,,,,,,,,,,,,,"The Glades, 561 172 St",Park,,20140307,20160104,49.011210,-122.746702
146,1001733458,"Path Light; The Glades, 561 172 St","In the park, Light ref 5",The Glades,5,Path,1,,,,,,,,,,,,00561,17200,146,OPERATING,,,Parks,Parks,,,,,,,,,,,,,,,"The Glades, 561 172 St",Park,,20140307,20160104,49.011209,-122.746728
147,1001733463,"Path Light; The Glades, 561 172 St","In the park, Light ref 10",The Glades,10,Path,1,,,,,,,,,,,,00561,17200,146,OPERATING,,,Parks,Parks,,,,,,,,,,,,,,,"The Glades, 561 172 St",Park,,20140307,20160104,49.011210,-122.746650
148,1001733461,"Path Light; The Glades, 561 172 St","In the park, Light ref 7",The Glades,7,Path,1,,,,,,,,,,,,00561,17200,146,OPERATING,,,Parks,Parks,,,,,,,,,,,,,,,"The Glades, 561 172 St",Park,,20140307,20160104,49.011210,-122.746684
