,BOUNDARY_TYPE,NAME
0,Urban Containment Boundary,Urban Containment Boundary - Surrey portion only
1,Urban Containment Boundary,Urban Containment Boundary - Surrey portion only
2,Urban Containment Boundary,Urban Containment Boundary - Surrey portion only
3,Urban Containment Boundary,Urban Containment Boundary - Surrey portion only
4,Urban Containment Boundary,Urban Containment Boundary - Surrey portion only
5,Urban Containment Boundary,Urban Containment Boundary - Surrey portion only
