,STATUS,YR,ELEVATION,X_COORD,Y_COORD,GCM_NO,TABLET_MARKING,MONUMENT_TYPE,WEBLINK,Latitude,Longitude
218,Destroyed,1966,74.533,512588.385,5442332.786,828863,5650, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5650.tif,49.133697,-122.827430
219,Destroyed,1968,67.562,508004.006,5440311.034,865204,5232, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5232.tif,49.115588,-122.890316
220,Destroyed,1964,89.545,514507.77,5447951.571,865857,5537, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5537.tif,49.184198,-122.800915
221,Active,1968,71.14,520929.371,5427733.495,637249,5175,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5175.tif,49.002143,-122.713843
222,Active,1968,37.373,521913.209,5446409.105,637520,5676,ISA-G,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5676.tif,49.170103,-122.699379
223,Active,1964,76.455,516126.977,5449367.597,625020,5277,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5277.tif,49.196895,-122.778639
224,Active,1964,69.455,507540.348,5447466.468,70953,5376,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5376.tif,49.179959,-122.896536
225,Active,1964,17.389,518533.809,5440697.486,588079,5431,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5431.tif,49.118837,-122.746002
226,Active,1964,92.226,510101.29,5448773.556,588848,5319,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5319.tif,49.191680,-122.861363
227,Destroyed,1964,87.746,512871.698,5447142.77,589374,5428, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5428.tif,49.176959,-122.823392
228,Active,1968,7.346,519682.305,5439882.003,604330,5837,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5837.tif,49.111465,-122.730302
229,Destroyed,1968,1.343,520120.239,5435785.015,80671,5093, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5093.tif,49.074597,-122.724506
230,Active,2002,88.068,515059.894,5450396.367,715698,92H0905,HPN,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/92H0905.tif,49.206176,-122.793247
231,Active,1964,69.863,508982.886,5448374.447,65128,5327,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5327.tif,49.188107,-122.876722
