,STATUS,YR,ELEVATION,X_COORD,Y_COORD,GCM_NO,TABLET_MARKING,MONUMENT_TYPE,WEBLINK,Latitude,Longitude
403,Active,1966,75.23,511660.157,5439902.901,677310,5581,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5581.tif,49.111858,-122.840225
404,Destroyed,1964,17.984,523350.112,5439870.932,677260,5085, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5085.tif,49.111237,-122.680045
405,Destroyed,1964,68.681,510433.004,5446356.062,875765,5146, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5146.tif,49.169928,-122.856873
406,Active,1968,64.581,516935.495,5444485.355,814913,5692,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5692.tif,49.152956,-122.767747
407,Active,1968,51.191,516865.897,5430931.401,814921,5750,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5750.tif,49.031035,-122.769267
408,Active,1979,76.554,509636.987,5447572.156,876623,8660,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8660.tif,49.180881,-122.867764
409,Active,1980,39.811,516946.299,5430248.785,752493,80H2010,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2010.tif,49.024892,-122.768196
410,Active,1971,78.68,510455.286,5439288.037,752527,5923,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5923.tif,49.106349,-122.856751
411,Active,1964,71.638,509624.763,5444735.737,63339,5050,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5050.tif,49.155366,-122.868000
412,Active,1964,69.02,520973.558,5440695.733,63446,5013,HPN,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5013.tif,49.118742,-122.712567
413,Active,1968,63.931,516120.052,5447145.23,63867,5068,SBM-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5068.tif,49.176904,-122.778823
414,Active,1971,66.361,521506.515,5439877.52,40378,5935,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5935.tif,49.111364,-122.705307
415,Active,1972,14.36,513704.989,5440715.74,258251,8637,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8637.tif,49.119127,-122.812178
416,Active,1968,95.019,510491.38,5431747.118,258640,5657,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5657.tif,49.038514,-122.856452
417,Active,1979,67.778,515899.044,5447556.487,274217,79H0013,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/79H0013.tif,49.180609,-122.781839
418,Destroyed,1980,73.744,511273.017,5442718.214,274720,80H2085, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2085.tif,49.137190,-122.845451
419,Active,1972,3.821,508793.863,5433388.86,275347,8629,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8629.tif,49.053309,-122.879642
420,Active,1968,65.358,510453.501,5439090.321,202929,5241,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5241.tif,49.104570,-122.856780
421,Destroyed,1966,69.901,512294.474,5439081.466,202986,5626, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5626.tif,49.104456,-122.831558
422,Destroyed,1963,86.53,509630.089,5447215.502,170050,2957, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/2957.tif,49.177673,-122.867867
423,Destroyed,1980,3.971,519340.534,5439287.974,585794,80H2062, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2062.tif,49.106133,-122.735014
424,Destroyed,1964,82.927,509642.125,5449180.95,259812,5337, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5337.tif,49.195352,-122.867655
425,Active,1968,85.994,511652.782,5439092.166,260026,5238,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5238.tif,49.104565,-122.840349
426,Active,1979,57.355,516126.924,5447557.093,260125,79H0021,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/79H0021.tif,49.180609,-122.778712
427,Active,1968,82.819,522555.928,5442708.188,774166,5816,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5816.tif,49.136789,-122.690769
428,Active,1964,3.962,519859.093,5449462.093,723262,5972,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5972.tif,49.197635,-122.727407
429,Active,1966,47.659,509692.143,5433358.535,462184,5480,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5480.tif,49.053022,-122.867349
430,Active,1968,63.356,510485.886,5433361.302,463604,5496,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5496.tif,49.053034,-122.856485
431,Active,1964,103.17,512743.387,5449977.44,463976,5380,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5380.tif,49.202460,-122.825063
432,Active,1964,82.296,511273.358,5449864.276,671156,5402,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5402.tif,49.201471,-122.845246
433,Destroyed,1966,85.514,508829.78,5440716.923,165159,5441, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5441.tif,49.119227,-122.878991
434,Active,1964,105.461,512079.866,5449981.791,947564,5385,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5385.tif,49.202513,-122.834171
435,Destroyed,1968,7.763,519991.267,5442381.161,942219,5695, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5695.tif,49.133936,-122.725945
436,Active,1968,81.846,515843.803,5444761.897,765826,5859,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5859.tif,49.155473,-122.782707
437,Active,1975,83.054,509638.683,5449181.134,765859,8733,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8733.tif,49.195354,-122.867702
438,Active,1968,5.861,519684.425,5439473.141,933507,5827,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5827.tif,49.107787,-122.730293
439,Active,1964,79.256,511098.203,5449770.348,933747,5517,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5517.tif,49.200629,-122.847653
440,Destroyed,1984,91.46,516945.196,5432957.579,756221,84H0589, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/84H0589.tif,49.049259,-122.768097
441,Active,1968,59.402,510046.792,5439105.51,706184,5242,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5242.tif,49.104713,-122.862352
442,Active,1984,80.433,512232.198,5447132.584,693440,84H0558,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/84H0558.tif,49.176880,-122.832167
443,Destroyed,1981,38.219,513674.448,5444758.51,661918,81H4540, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/81H4540.tif,49.155494,-122.812459
444,Destroyed,1966,67.557,509687.545,5431747.587,641548,5477, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5477.tif,49.038531,-122.867450
445,Active,1964,103.976,511683.696,5449574.304,468744,5061,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5061.tif,49.198855,-122.839622
446,Active,1968,19.335,522553.341,5446635.221,469650,5674,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5674.tif,49.172114,-122.690584
447,Destroyed,1971,56.254,510544.866,5445547.687,450528,5916, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5916.tif,49.162655,-122.855360
448,Destroyed,1964,59.142,511244.25,5446886.781,450593,5545, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5545.tif,49.174688,-122.845729
449,Destroyed,1971,14.5,519346.316,5440906.935,450908,5948, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5948.tif,49.120696,-122.734857
450,Active,1966,65.289,509689.716,5432191.839,324061,5490,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5490.tif,49.042527,-122.867410
451,Active,1964,95.081,513252.081,5449976.5,192674,5205,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5205.tif,49.202441,-122.818080
452,Active,2001,79.136,508017.157,5440739.132,102970,92H0875,HPN,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/92H0875.tif,49.119438,-122.890127
453,Destroyed,1980,56.161,511249.53,5446377.018,971655,80H2101, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2101.tif,49.170103,-122.845671
454,Destroyed,1964,85.849,508810.975,5445607.326,980540,5134, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5134.tif,49.163219,-122.879141
455,Destroyed,1964,77.404,509944.565,5449583.671,700542,5566, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5566.tif,49.198970,-122.863494
456,Active,1968,90.96,514894.386,5446386.024,663989,5867,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5867.tif,49.170106,-122.795668
457,Active,1964,85.189,510030.559,5447156.437,631804,5292,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5292.tif,49.177135,-122.862374
458,Active,1971,57.882,521993.398,5439875.316,579102,5936,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5936.tif,49.111327,-122.698635
459,Destroyed,1968,34.293,511684.666,5440703.955,579557,5826, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5826.tif,49.119063,-122.839866
460,Destroyed,1971,10.119,519363.094,5428917.331,579649,8613, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8613.tif,49.012844,-122.735201
461,Active,1964,80.159,511501.218,5450385.182,48520,5391,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5391.tif,49.206152,-122.842103
462,Destroyed,1971,92.766,509327.061,5443142.165,48595,5924, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5924.tif,49.141036,-122.872120
463,Active,1968,40.247,517745.773,5444759.214,800540,5190,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5190.tif,49.155396,-122.756623
464,Active,1964,86.307,508708.137,5447686.822,546564,5308,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5308.tif,49.181926,-122.880507
465,Active,1968,78.027,508832.733,5447756.903,547521,5303,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5303.tif,49.182555,-122.878796
466,Active,1964,88.514,508800.408,5446386.603,365262,5314,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5314.tif,49.170229,-122.879269
467,Active,1979,93.441,513678.163,5446745.605,365114,79H0020,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/79H0020.tif,49.173369,-122.812341
468,Active,1968,83.166,508921.948,5439892.594,365684,5594,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5594.tif,49.111811,-122.877746
469,Active,1966,1.825,513097.495,5436581.728,47019,5629,ISA-G,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5629.tif,49.081954,-122.820637
470,Active,1964,6.236,520966.998,5438268.85,30320,5168,ISA-G,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5168.tif,49.096912,-122.712783
471,Active,1968,-0.038,517760.607,5442332.323,30619,5187,SBM-G,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5187.tif,49.133565,-122.756526
472,Active,1968,28.013,517754.043,5443552.021,15594,5188,ISA-G,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5188.tif,49.144537,-122.756563
473,Active,1971,58.62,512892.835,5439083.25,355388,5930,ISA-G,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5930.tif,49.104460,-122.823360
474,Active,1966,10.661,510110.412,5437481.428,864868,5640,ISA-G,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5640.tif,49.090103,-122.861521
475,Destroyed,1984,6.465,512800.915,5434978.939,315747,84H0592, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/84H0592.tif,49.067542,-122.824750
476,Active,1966,0.496,512229.153,5438189.279,418194,5621,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5621.tif,49.096432,-122.832480
477,Active,1966,59.253,512889.895,5441766.956,431908,5039,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5039.tif,49.128601,-122.823315
478,Active,1966,74.334,508920.801,5439495.858,870972,5590,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5590.tif,49.108242,-122.877770
479,Destroyed,1968,27.426,520163.182,5442213.672,872655,5696, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5696.tif,49.132424,-122.723597
480,Active,1964,68.112,514479.352,5444764.997,898189,5030,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5030.tif,49.155534,-122.801420
481,Active,1971,66.546,511852.643,5446889.7,886200,5897,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5897.tif,49.174703,-122.837382
482,Active,1968,91.869,515662.701,5445251.06,434282,5690,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5690.tif,49.159877,-122.785172
483,Destroyed,1964,53.1,510640.055,5430453.92,538850,5662, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5662.tif,49.026878,-122.854451
484,Active,1980,63.759,508211.725,5447960.706,320226,80H2042,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2042.tif,49.184397,-122.887313
485,Destroyed,1968,55.294,520972.586,5442317.248,763870,5155, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5155.tif,49.133329,-122.712496
486,Destroyed,1968,49.86,512067.668,5443528.313,763961,5653, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5653.tif,49.144462,-122.834532
487,Destroyed,1968,43.166,514104.858,5433750.171,761437,5647, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5647.tif,49.056460,-122.806941
488,Active,1984,91.213,519340.606,5432105.206,614552,84H0570,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/84H0570.tif,49.041521,-122.735356
489,Destroyed,1964,59.083,512504.607,5445570.55,472845,5557, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5557.tif,49.162824,-122.828478
490,Destroyed,1984,70.193,512294.362,5439080.053,474007,84H0581, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/84H0581.tif,49.104444,-122.831560
491,Destroyed,1966,73.289,511255.414,5442485.969,214163,5576, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5576.tif,49.135101,-122.845699
492,Active,1971,67.909,511925.201,5446889.374,214346,5896,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5896.tif,49.174699,-122.836386
493,Destroyed,1971,82,511081.142,5447644.845,214445,5910, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5910.tif,49.181510,-122.847946
494,Active,1968,80.337,508206.077,5447552.188,162214,5503,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5503.tif,49.180722,-122.887399
495,Active,1971,82.265,509423.161,5443940.06,367391,5917,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5917.tif,49.148212,-122.870783
496,Active,1968,62.692,509645.611,5439080.108,368738,5589,SBM-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5589.tif,49.104491,-122.867849
497,Active,1980,85.323,510043.415,5442732.816,263079,80H2024,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2024.tif,49.137343,-122.862308
498,Destroyed,1966,6.776,509079.323,5433482.316,263103,5493, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5493.tif,49.054145,-122.875733
499,Destroyed,1968,79.47,510865.953,5449290.454,618835,5788, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5788.tif,49.196317,-122.850854
500,Destroyed,1968,69.873,510827.862,5446802.429,486985,5339, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5339.tif,49.173937,-122.851444
501,Destroyed,1964,56.154,510218.448,5450221.233,487785,5343, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5343.tif,49.204700,-122.859718
502,Active,1964,47.038,514528.904,5433988.149,489179,5958,HPN,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5958.tif,49.058591,-122.801128
503,Destroyed,1974,52,510835.723,5446161.309,459545,8682, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8682.tif,49.168170,-122.851354
504,Active,1972,76.577,509430.506,5447565.632,212019,8659,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8659.tif,49.180825,-122.870598
505,Destroyed,1980,36.695,511259.936,5444749.745,790915,80H2089, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2089.tif,49.155465,-122.845574
506,Active,1964,,524447.385,5448817.332,999854,5973,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5973.tif,49.191670,-122.664467
507,Active,1914,2.331,514438.673,5429684.979,544254,18-J,FBM,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/18-J.tif,49.019884,-122.802517
508,Active,1914,3.198,513850.137,5429962.129,901371,17-J,FBM,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/17-J.tif,49.022391,-122.810557
509,Active,1999,65.335,516148.38,5430942.852,934976,92H0855,SBM-G,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/92H0855.tif,49.031157,-122.779082
510,Destroyed,1999,71.546,514514.121,5433199.174,848895,92H0851, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/92H0851.tif,49.051494,-122.801359
511,Active,1999,113.354,513732.38,5432540.203,639534,92H0856,ISA-G,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/92H0856.tif,49.045584,-122.812080
512,Destroyed,1963,0.25,516357.071,5440703.207,765941,3129, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/3129.tif,49.118950,-122.775833
513,Active,1973,94.74,515334.763,5431384.048,748798,8671,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8671.tif,49.035146,-122.790196
514,Active,1978,70.233,512071.765,5442931.565,703637,8769,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8769.tif,49.139094,-122.834494
515,Active,1968,61.168,507688.642,5447768.289,704361,5504,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5504.tif,49.182672,-122.894495
516,Active,1964,84.824,512873.844,5446874.548,704387,5559,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5559.tif,49.174546,-122.823372
517,Active,1964,107.732,512164.845,5449981.194,660522,5382,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5382.tif,49.202506,-122.833005
518,Active,1977,13.865,523359.571,5447179.988,567420,77H2729,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/77H2729.tif,49.176984,-122.679492
519,Active,1986,13.621,517909.863,5427720.843,170100,86H1279,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/86H1279.tif,49.002125,-122.755127
520,Active,1966,49.089,512096.525,5433764.268,170829,5437,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5437.tif,49.056630,-122.834429
521,Destroyed,1964,76.092,511247.743,5447969.777,136622,5522, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5522.tif,49.184430,-122.845651
522,Active,1966,62.989,509157.845,5439069.819,121970,5614,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5614.tif,49.104406,-122.874532
523,Active,1968,94.437,515296.68,5445575.105,104513,5255,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5255.tif,49.162802,-122.790180
524,Destroyed,1968,34.18,512909.027,5434165.778,992867,5636, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5636.tif,49.060225,-122.823295
525,Active,1968,12.908,523359.487,5439105.356,993691,5724,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5724.tif,49.104351,-122.679961
526,Destroyed,1981,53.911,510436.83,5444742.461,929109,81H4541, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/81H4541.tif,49.155414,-122.856862
527,Active,1980,83.509,510891.884,5432553.605,891721,80H2071,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2071.tif,49.045762,-122.850950
528,Active,1980,5.572,519112.687,5439671.542,873646,80H2008,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2008.tif,49.109590,-122.738117
529,Active,1968,43.934,514284.008,5439895.517,823179,5607,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5607.tif,49.111736,-122.804272
530,Active,1968,26.997,521768.367,5429343.015,823492,5128,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5128.tif,49.016593,-122.702285
531,Destroyed,1964,72.995,506926.068,5447150.414,823633,5299, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5299.tif,49.177124,-122.904970
532,Destroyed,1981,79.87,510457.617,5441171.186,837609,81H4537, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/81H4537.tif,49.123288,-122.856670
533,Active,1968,96.206,516944.268,5432552.558,735381,5741,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5741.tif,49.045616,-122.768127
534,Active,1964,13.825,522559.418,5445602.19,736207,5158,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5158.tif,49.162821,-122.690559
535,Active,1968,83.555,515308.213,5447142.08,736470,5067,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5067.tif,49.176897,-122.789962
536,Active,1964,36.671,518548.332,5430951.236,736702,5103,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5103.tif,49.031165,-122.746250
537,Destroyed,1964,68.737,510441.854,5443937.481,491233,5139, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5139.tif,49.148172,-122.856814
538,Active,1971,94.205,512910.445,5432804.083,510149,5945,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5945.tif,49.047976,-122.823319
539,Active,1964,81.012,512066.63,5447451.62,400374,5215,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5215.tif,49.179753,-122.834429
540,Active,1978,95.601,508616.051,5443545.46,385674,8774,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8774.tif,49.144674,-122.881859
541,Destroyed,1964,3.252,519338.203,5448774.12,385690,5194, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5194.tif,49.191463,-122.734590
542,Destroyed,1972,14.17,522550.41,5447178.235,215277,8701, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8701.tif,49.176998,-122.690594
543,Destroyed,1964,84.677,508829.739,5441128.511,215962,5442, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5442.tif,49.122930,-122.878982
544,Active,1964,74.243,513648.119,5450287.12,144808,5207,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5207.tif,49.205226,-122.812633
545,Active,1964,83.042,513922.685,5449886.583,145284,5426,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5426.tif,49.201617,-122.808877
546,Active,1968,40.401,508585.029,5432552.753,145326,5483,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5483.tif,49.045790,-122.882518
547,Active,1966,88.699,512608.304,5450701.001,146654,5782,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5782.tif,49.208972,-122.826895
548,Destroyed,1964,95.573,508003.553,5444801.96,146878,5136, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5136.tif,49.155985,-122.890233
549,Active,1971,23.423,522539.605,5439484.542,111096,5939,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5939.tif,49.107792,-122.691173
550,Destroyed,1968,66.548,516131.655,5448987.368,111716,5849, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5849.tif,49.193474,-122.778590
551,Active,1971,54.021,511865.604,5441499.673,111765,5928,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5928.tif,49.126218,-122.837363
552,Destroyed,1964,14.89,513704.993,5440715.739,335430,5007, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5007.tif,49.119127,-122.812178
553,Active,1981,40.883,520630.46,5447203.735,356303,81H4524,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/81H4524.tif,49.177295,-122.716935
554,Destroyed,1966,88.133,512624.146,5447144.504,243717,5793, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5793.tif,49.176980,-122.826789
555,Destroyed,1972,43.87,517745.58,5443954.156,650366,8643, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8643.tif,49.148155,-122.756661
556,Destroyed,1973,88.118,509044.442,5441536.804,650879,8714, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8714.tif,49.126600,-122.876030
557,Active,1972,58.396,509943.911,5439075.616,514943,8648,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8648.tif,49.104446,-122.863762
