,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
1068,,,Perennial, ,,,,"Horticulture Bed; Island, 8667 148a St",1001436806,Area 2,08667,0,,0708-000000290,Entire Island,Parks,,043,,20121016,Island - 8667 148a St,Island,Parks,,Island - 8667 148a St,,043-07,14850,,,OPERATING,,,,,,,
1069,,,Perennial, ,,,,"Horticulture Bed; Island, 7355 146a St",1001436807,Area 2,07355,0,,0708-000000322,Entire island,Parks,,053,,20121016,Island - 7355 146a St,Island,Parks,,Island - 7355 146a St,,053-04,14650,,,OPERATING,,,,,,,
1070,,,Perennial, ,,,,"Horticulture Bed; Island, 7590 151a St",1001436808,Area 2,07590,0,,0708-000000324,Entire island,Parks,,053,,20121016,Island - 7590 151a St,Island,Parks,,Island - 7590 151a St,,053-05,15150,,,OPERATING,,,,,,,
1071,,,Woody - C, ,,,,"Horticulture Bed; Island, 2197 140a St",1001436688,Area 9,02197,0,,0708-000000412,Most of island,Parks,,122,,20121016,Island - 2197 140a St,Island,Parks,,Island - 2197 140a St,,122-23,14050,,,OPERATING,,,,,,,
1072,,,,,,,20150505,"Horticulture Bed; Median, 16 Ave - 164 St to 168 St",1001879237,Contract,16400,,20150505,,on median,Parks,,135,,,Median 16 Ave - 164 St to 168 St,Median,Parks,,Median - 16 Ave - 164 St to 168 St,,135-12,01600,,,OPERATING,,,,,,,
1073,,,Mixed, ,,,,"Horticulture Bed; Median, 24 Ave - 156 St to 157 St",1001437126,Contract,15600,0,20070201,0708-000001186,on median,Parks,,114,,20121016,"Median, 24 Ave - 156 St to 157 St",Median,Parks,,Median - 24 Ave - 156 to 157,,114-07,02400,,,OPERATING,20070918130100,,,,,,
1074,,,Woody - C, ,,,,"Horticulture Bed; Island, 2275 140a St",1001436689,Area 9,02275,0,,0708-000000414,Entire island,Parks,,122,,20121016,Island - 2275 140a St,Island,Parks,,Island - 2275 140a St,,122-24,14050,,,OPERATING,,,,,,,
1075,,,Woody - C, ,,,,"Horticulture Bed; Island, 13911 22a Ave",1001436680,Area 9,13911,0,,0708-000000405,Entire island,Parks,,122,,20121016,Island - 13911 22a Ave,Island,Parks,,Island - 13911 22a Ave,,122-15,02250,,,OPERATING,,,,,,,
1076,,,Woody - C, ,,,,"Horticulture Bed; Island, 13971 22 Ave",1001436681,Area 9,13971,0,,0708-000000410,Entire island,Parks,,122,,20121016,Island - 13971 22 Ave,Island,Parks,,Island - 13971 22 Ave,,122-16,02200,,,OPERATING,,,,,,,
1077,,,Woody - C, ,,,,"Horticulture Bed; Island, 13993 22 Ave",1001436682,Area 9,13993,0,,0708-000000411,Entire island,Parks,,122,,20121016,Island - 13993 22 Ave,Island,Parks,,Island - 13993 22 Ave,,122-17,02200,,,OPERATING,,,,,,,
