,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,,,Mixed,,,,20140902,"Horticulture Bed; Median, 160 St - 24 Ave to 26 Ave",1001781270,Contract,02400,,20140601,,on median,Parks,,114,,,"Median, 160 St - 24 Ave to 26 Ave",Median,Parks,,Median - 160 St - 24 to 26,,114-13,16000,,,OPERATING,,,,,,,
1,,,,,,,20150505,Horticulture Bed; Median - 32 Ave - 189 St to 190 St,1001879234,Contract,18900,,20150505,,Along 32 Ave from 189 St to 190 St,Parks,,108,,,"Median, 32 Ave - 189 Ave to 190 Ave",Median,Parks,,Median - 32 Ave - 189 to 190 St,,108-02,03200,,,OPERATING,,,,,,,
2,,,,,,,20150505,Horticulture Bed; Median - 32 Ave - 190 St to 192 St,1001879217,Contract,18900,,20150505,,Along 32 Ave from 190 St to 192 St,Parks,,108,,,"Median, 32 Ave - 190 Ave to 192 Ave",Median,Parks,,Median - 32 Ave - 190 to 192 St,,108-03,03200,,,OPERATING,,,,,,,
3,,,Mixed,,,,20150603,"Horticulture Bed; Bill Reid Millennium Amphitheatre Grounds, 17728 64 Ave",1001879224,Area 7,17728,,20150603,,Throughout grounds,Parks,,077,,,"Bill Reid Millennium Amphitheatre Grounds, 17728 64 Ave",Park,Parks,,Bill Reid Millennium Amphitheatre Grounds,,077-36,06400,,,OPERATING,,,,,,,
4,,,,,,,20150604,"Horticulture Bed; Chantrell Park, 2198 139a St",1001879229,Area 10,02198,,20150604,,NE corner of park addition,Parks,,122,,,"Chantrell Park, 2254 Chantrell Park Dr",Park,Parks,,Chantrell Park,,122-31,13950,,,OPERATING,,,,,,,
5,,,Woody - C, ,,,20150604,"Horticulture Bed; Blvd, 13993 22 Ave",1001436668,Area 9,13993,0,20150604,0708-000000287,South-East corner of lot,Parks,,122,,20121016,Blvd - 13993 22 Ave,Boulevard,Parks,,Blvd - 13993 22 Ave,,122-30,02200,,,OPERATING,,,,,,,
6,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 140 St - 22 Ave to 23a Ave - W side",1001436668,Area 10,02200,0,,0708-000000287,Along entire blvd,Parks,,122,,20121016,"Blvd, 140 St - 22 Ave to 23a Ave - W side",Boulevard,Parks,,Blvd - 140 St - W side - 22 to 23a,,122-07,14000,,,OPERATING,,,,,,,
7,,,Woody, ,,,,"Horticulture Bed; Blvd, KGBlvd & 128 - NE Corner",1001436863,Contract,12800,0,,0708-000000747,Along blvd,Parks,,001,,20121016,"Blvd, KGBlvd & 128 - NE Corner",Boulevard,Parks,,Blvd - KGBlvd & 128 St - NE corner,,001-07,13601,,,OPERATING,,,,,,,
8,,,Woody, ,,,20080221,"Horticulture Bed; Blvd, KGBlvd - N side - Onramp to Scott Rd Northbound",1001437151,Contract,12501,0,,0708-000001208,on blvd,Parks,,010,,20121016,"Blvd, KGBlvd - N side - Onramp to Scott Rd Northbound",Boulevard,Parks,,Blvd - KGBlvd - N side - Onramp to Scott Rd N,,010-04,13601,,,OPERATING,20080221160400,,,,,,
9,,,Mixed,,,,20170405,"Horticulture Bed; 115M - Greenbelt, 16434 32 Ave",1001925880,Area 9,16434,,20170405,,SE corner of site,Parks,,115,,20170405,"115M - Greenbelt, 16434 32 Ave",Park,Parks,,115M - Greenbelt,,115-03,03200,,,OPERATING,,,,,,,
10,,,Mixed,,,,20170405,"Horticulture bed; Bonaccord Creek Park, 14365 108 Ave",1001925914,Area 2,14365,,20170405,,on 144 St,Parks,,013,,20170405,"Bonaccord Creek Park, 14365 108 Ave",Park,Parks,,"Bonaccord Creek Park, 14365 108 Ave",,013-11,10800,,,OPERATING,,,,,,,
11,,,Woody - C, ,,,,"Horticulture Bed; Island, 6038 187 St",1001437069,Area 9,06038,0,,0708-000000166,Entire Bed,Parks,,078,,20121016,Island - 6038 187 St,Island,Parks,,Island - 6038 187 St,,078-11,18700,,,OPERATING,,,,,,,
12,,,Woody - C, ,,,,"Horticulture Bed; Island, 6032 187a St",1001437070,Area 9,06032,0,,0708-000000163,Entire island,Parks,,078,,20121016,Island - 6032 187a St,Island,Parks,,Island - 6032 187a St,,078-12,18750,,,OPERATING,,,,,,,
13,,,Woody - C, ,,,,"Horticulture Bed; Island, 6136 187 St",1001437071,Area 9,06136,0,,0708-000000170,Entire Island,Parks,,078,,20121016,Island - 6136 187 St,Island,Parks,,Island - 6136 187 St,,078-13,18700,,,OPERATING,,,,,,,
14,,,Woody - C, ,,,,"Horticulture Bed; Island, 18650 61a Ave",1001437072,Area 9,18650,0,,0708-000000149,Entire island,Parks,,078,,20121016,Island - 18650 61a Ave,Island,Parks,,Island - 18650 61a Ave,,078-14,06150,,,OPERATING,,,,,,,
15,,,Woody - C, ,,,,"Horticulture Bed; Island, 6165 185a St",1001437073,Area 9,06165,0,,0708-000000172,Entire Island,Parks,,078,,20121016,Island - 6165 185a St,Island,Parks,,Island - 6165 185a St,,078-15,08550,,,OPERATING,,,,,,,
16,,,Woody - C, ,,,,"Horticulture Bed; Island, 6279 187 St",1001437074,Area 9,06279,0,,0708-000000179,Entire Island,Parks,,078,,20121016,Island - 6279 187 St,Island,Parks,,Island - 6279 187 St,,078-16,18700,,,OPERATING,,,,,,,
17,,,Woody - C, ,,,,"Horticulture Bed; Island, 6226 187b St",1001437075,Area 9,06226,0,,0708-000000176,Entire Island,Parks,,078,,20121016,Island - 6226 187b St,Island,Parks,,Island - 6226 187b St,,078-17,18770,,,OPERATING,,,,,,,
18,,,Woody - C, ,,,,"Horticulture Bed; Island, 6088 195a St",1001437076,Area 9,06088,0,,0708-000000188,Entire Island,Parks,,079,,20121016,Island - 6088 195a St,Island,Parks,,Island - 6088 195a St,,079-01,19550,,,OPERATING,,,,,,,
19,,,Woody - C, ,,,,"Horticulture Bed; Walkway, 5563 183a to 55 Ave",1001437078,Area 7,05563,0,,0708-000000485,In walkway fron 183a St to 55 Ave,Parks,,087,,20121016,Walkway - 5563 183a St,Walkway,Parks,,Walkway - 5563 183a St,,087-01,18350,,,OPERATING,,,,,,,
20,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 8 Ave - 164a St to 165a St - N side",1001437081,Area 9,16450,0,,0708-000000331,Along blvd,Parks,,135,,20121016,"Blvd, 8 Ave - 164a St to 165a St - N side",Boulevard,Parks,,Blvd - 8 Ave - 164a to 165a - N side,,135-01,00800,,,OPERATING,,,,,,,
21,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 8 Ave - 165a St to KGBlvd - N side",1001437082,Area 9,16550,0,,0708-000000333,East end of blvd,Parks,,135,,20121016,"Blvd, 8 Ave - 165a St to KGBlvd - N side",Boulevard,Parks,,Blvd - 8 Ave - 165a to KGHwy - N side,,135-02,00800,,,OPERATING,,,,,,,
22,,,Woody - C, ,,,,"Horticulture Bed; Island, 1045 165 St",1001437083,Area 9,01045,0,,0708-000000433,entire island,Parks,,135,,20121016,Island - 1045 165 St,Island,Parks,,Island - 1045 165 St,,135-03,16500,,,OPERATING,,,,,,,
23,,,Woody, ,,,20080625,Horticulture Bed; Island - 13726 91a Ave,1001437160,Area 2,13726,0,20080101,0708-000001216,on island,Parks,,032,,20121016,Island - 13726 91a Ave,Island,Parks,,Island - 13726 91a Ave,,032-11,09150,,,OPERATING,20080625091700,,,,,,
24,,,Mixed, ,,,20091027,"Horticulture Bed; Median, 96 Ave - 192 St to 193 St",1001437306,Contract,19200,0,20090404,0708-000001268,on median,Parks,,029,,20121016,"Median, 96 Ave - 192 St to 193 St",Median,Parks,,Median - 96 Ave - 192 to 193,,029-03,09600,,,OPERATING,20091027124200,,,,,,
25,,,Mixed, ,,,20091027,"Horticulture Bed; Median, 88 Ave - 132 St to 133a St",1001437307,Contract,13200,0,20090404,0708-000001269,on median,Parks,,031,,20121016,"Median, 88 Ave - 132 St to 133a St",Median,Parks,,Median - 88 Ave - 132 to 133a,,031-05,08800,,,OPERATING,20091027130200,,,,,,
26,,,Mixed, ,,,20091027,"Horticulture Bed; Median, 88 Ave - 133a St to 134 St",1001437308,Contract,13350,0,20090404,0708-000001270,on median,Parks,,031,,20121016,"Median, 88 Ave - 133a St to 134 St",Median,Parks,,Median - 88 Ave - 133a to 134,,031-06,08800,,,OPERATING,20091027130600,,,,,,
27,,,Mixed, ,,,20091027,"Horticulture Bed; Median, Fraser Hwy - 148 St to 150 St",1001437309,Contract,14800,0,20080904,0708-000001271,on median,Parks,,033,,20121016,"Median, Fraser Hwy - 148 St to 150 St",Median,Parks,,Median - Fraser Hwy - 148 to 150,,033-07,00101,,,OPERATING,20091027131100,,,,,,
28,,,Mixed, ,,,20091027,"Horticulture Bed; Median, Fraser Hwy - 150 St to 151 St",1001437310,Contract,15000,0,20080904,0708-000001272,on median,Parks,,033,,20121016,"Median, Fraser Hwy - 150 St to 151 St",Median,Parks,,Median - Fraser Hwy - 150 to 151,,033-08,00101,,,OPERATING,20091027131900,,,,,,
29,,,Woody, ,,,20091124,"Horticulture Bed; Median, King George Blvd - 104 Ave to 105a Ave",1001437321,Contract,10400,0,20080612,0708-000001224,On median,Parks,,011,,20121016,"Median, King George Blvd - 104 Ave to 105a Ave",Median,Parks,,Median - KGBlvd - 104 to 105a,,011-09,13601,,,OPERATING,20080806114200,,,,,,
30,,,Woody, ,,,20091124,"Horticulture Bed; Median, King George Blvd - 105a Ave to 108 Ave",1001437322,Contract,10550,0,20080604,0708-000001225,On median,Parks,,011,,20121016,"Median, King George Blvd - 105a Ave to 108 Ave",Median,Parks,,Median - KGBlvd - 105a to 108,,011-10,13601,,,OPERATING,20080806114600,,,,,,
31,,,Woody, ,,,20110203,"Horticulture Bed; Median, 96 Ave - 125a St to 126 St",1001437409,Contract,12550,0,20100801,0708-000001326,along median,Parks,,020,,20121016,"Median, 96 Ave - 125a St to 126 St",Median,Parks,,Median - 96 Ave - 125a to 126,,020-02,09600,,,OPERATING,20110203112500,,,,,,
32,,,Woody, ,,,20110203,"Horticulture Beds; Median, 96 Ave - 128 St to Prince Charles Blvd",1001437410,Contract,12800,0,20100801,0708-000001327,2 beds along median,Parks,,021,,20121016,"Median, 96 Ave - 128 St to Prince Charles Blvd",Median,Parks,,Median - 96 Ave - 128 to Price Charles Blvd,,021-25,09600,,,OPERATING,20110203113100,,,,,,
33,,,Woody, ,,,20110203,"Horticulture Bed; Median, 96 Ave - 130 St to 130a St",1001437411,Contract,13000,0,20100801,0708-000001328,along median,Parks,,021,,20121016,"Median, 96 Ave - 130 St to 130a St",Median,Parks,,Median - 96 Ave - 130 to 130a,,021-26,09600,,,OPERATING,20110203113800,,,,,,
34,,,Mixed, ,,,20110719,"Horticulture Bed; Median, Whalley Blvd - 99 Ave to 100 Ave",1001437418,Contract,09900,0,20110601,0708-000001333,along median,Parks,,022,,20121016,"Median, Whalley Blvd - 99 Ave to 100 Ave",Median,Parks,,Median - Whalley Blvd - 99 Ave to 100 Ave,,022-06,13710,,,OPERATING,20110719102000,,,,,,
35,,,Mixed, ,,,20110805,"Horticulture Bed; Median, 128 St - 89 Ave to 90 Ave",1001437419,Contract,08900,0,20061101,0708-000001334,along median,Parks,,031,,20121016,"Median, 128 St - 89 Ave to 90 Ave",Median,Parks,,Median - 128 St - 89 to 90,,031-07,12800,,,OPERATING,20110805074000,,,,,,
36,,,Mixed, ,,,,"Horticulture Bed; Blvd, KGBlvd - 128a St to 129 St - N side",1001436864,Contract,12850,0,,0708-000001153,linear strip along blvd,Parks,,001,,20121016,"Blvd, KGBlvd - 128a St to 129 St - N side",Boulevard,Parks,,Blvd - KGBlvd - 128a to 129 - N side,,001-08,13601,,,OPERATING,20061205111600,,,,,,
37,,,Woody, ,,,20080221,"Horticulture Bed; Blvd, KGBlvd - S side - Scott Rd Northbound to 127 St",1001437150,Contract,12600,0,,0708-000001207,on blvd,Parks,,010,,20121016,"Blvd, KGBlvd - S side - Scott Rd Northbound to 127 St",Boulevard,Parks,,Blvd - KGBlvd - S side - Scott Rd N to 127,,010-03,13601,,,OPERATING,20080221160200,,,,,,
38,,,,,,,20150629,Horticulture Bed; Island - 3294 138A St,1001879236,Area 9,03294,,20150629,,on island,Parks,,102,,,Island - 3294 138A St,Island,Parks,,Island - 3294 138A St,,102-15,13850,,,OPERATING,,,,,,,
39,,,Woody - C, ,,,,"Horticulture Bed; Island, 2955 138 St",1001436600,Area 9,02955,0,,0708-000000375,Entire island,Parks,,112,,20121016,Island - 2955 138 St,Island,Parks,,Island - 2955 138 St,,112-24,13800,,,OPERATING,,,,,,,
40,,,,,,,20150629,"Horticulture Bed; Island, 14089 26A Ave",1001879235,Area 9,14089,,20150629,,Entire island,Parks,,112,,,Island - 14089 26A Ave,Island,Parks,,Island - 14089 26A Ave,,112-25,02650,,,OPERATING,,,,,,,
41,,,Woody,,,,20130620,"Horticulture Bed; Median, King George Blvd - 102 Ave to 104 Ave",1001603177,Contract,10200,,20120101,,On median,,,021,,20130620,Median - KGBlvd - 102 to 104,Median,,,Median - KGBlvd - 102 to 104,,021-28,13601,,,OPERATING,,,,,,,
42,,,Woody,,,,20140214,"Horticultural Bed; Median, 100 Ave - 137A St to 138 St",1001729945,Contract,13750,,20131001,,along median,Parks,,022,,,"Median, 100 Ave - 137A St to 138 St",Median,Parks,,Median - 100 Ave - 137A St to 138 St,,022-11,10000,,,OPERATING,,,,,,,
43,,,Mixed,,,,20150130,"Horticulture Bed; Median, Fraser Hwy - 168 St to 170 St",1001804621,Contract,16800,,,,On median,Parks,,056,,,"Median, Fraser Hwy - 168 St to 170 St",Median,Parks,,Median - Fraser Hwy - 168 to 170 St,,056-03,00101,,,OPERATING,,,,,,,
44,,,,,,,20160127,"Horticulture Bed; Island, 2650 141 St",1001856091,Area 9,02650,,20160127,,most of island,Parks,,112,,20160127,Island - 2650 141 St,Island,Parks,,Island - 2650 141 St,,112-26,14100,,,OPERATING,,,,,,,
45,,,Community Garden, ,,,20110524,"Holly Park Community Garden; Holly Park, 10706 148 St",1001437416,Area 2,10706,0,20110501,0708-000001331,north of caretaker house,Parks,,013,,20180809,"Holly Park, 10706 148 St",Park,Parks,Community Garden,Holly Park Community Garden,,013-08,14800,,,OPERATING,20110524083400,Y,,,,,
46,,,Mixed, ,,,20081002,Horticulture Bed; Island - 1400 King George Blvd,1001437161,Area 9,01400,0,20080201,0708-000001219,on island,Parks,,135,,20121016,Island - 1400 King George Blvd,Island,Parks,,Island - 14 Ave & King George Blvd,,135-07,13601,,,OPERATING,20080806100000,,,,,,
47,,,Mixed, ,,,20081023,Horticulture Bed; Island - 13550 98b Ave,1001437164,Area 2,13550,0,20080201,0708-000001228,on island,Parks,,021,,20121016,Island - 13550 98b Ave,Island,Parks,,Island - 13550 98b Ave,,021-11,09870,,,OPERATING,20081023154000,,,,,,
48,,,Woody, ,,,,"Horticulture Beds; Sunnyside Lawn Cemetery, 14850 - 28 Ave",1001437137,,14850,0,20070201,0708-000001195,around columbarium,Parks,,113,,20121016,"Sunnyside Lawn Cemetery, 14850 - 28 Ave",Cemetery,Parks,,Sunnyside Lawn Cemetery,,113-19,02800,,,OPERATING,20071010092200,,,,,,
49,,,Mixed,,,,20160720,"Horticultural Bed; Median, 96 Ave - 152 St to 156 St",1001883900,Contract,15200,,20120101,,on median,Parks,,024,,20160720,"Median, 96 Ave - 152 to 156 St",Median,Parks,,Median - 96 Ave - 152 St to 156 St,,024-15,09600,,,OPERATING,,,,,,,
50,,,Mixed,,,,20160720,"Horticultural Bed; Median, 96 Ave - 156 St to 160 St",1001883914,Contract,15600,,20120101,,on median,Parks,,024,,20160720,"Median, 96 Ave - 156 St to 160 St",Median,Parks,,Median - 96 Ave - 156 st to 160 St,,024-16,09600,,,OPERATING,,,,,,,
51,,,Mixed,,,,20160720,"Horticulture Bed; Median, 96 Ave - 160 St to 162A St",1001883918,Contract,16000,,20120101,,on median,Parks,,025,,20160720,"Median, 96 Ave - 160 St to 162A St",Median,Parks,,Median - 96 Ave - 160 St to 162A St,,025-02,09600,,,OPERATING,,,,,,,
52,,,Mixed,,,,20160720,"Horticulture Bed; Median, 96 Ave - 162A Ave to 168 St",1001883919,Contract,16250,,20120101,,on median,Parks,,025,,20160720,"Median, 96 Ave - 162A St to 168 St",Median,Parks,,Median - 96 Ave - 162A St to 168 St,,025-03,09600,,,OPERATING,,,,,,,
53,,,Mixed,,,,20160720,"Horticulture Beds; Median, 96 Ave - 168 St to 172 St",1001883946,Contract,16800,,20120101,,on median,Parks,,026,,20160720,"Median, 96 Ave - 168 St to 172 St",Median,Parks,,Median - 96 Ave - 168 St to 172 St,,026-01,09600,,,OPERATING,,,,,,,
54,,,Mixed,,,,20160720,"Horticulture Beds; Median, 96 Ave - 172 St to Hwy 15",1001883949,Contract,17200,,20120101,,on median,Parks,,026,,20160720,"Median, 96 Ave - 172 St to Hwy 15",Median,Parks,,Median - 96 Ave - 172 St to Hwy 15,,026-02,09600,,,OPERATING,,,,,,,
55,,,,,,,20160720,"Horticulture Beds; Newton Athletic Park, 7395 128 St",1001884014,Area 3,07395,,20160719,1001883796,along bioswale adjacent to walking path,Parks,,050,,20160720,"Newton Athletic Park, 7395 128 St",Park,Parks,,Newton Athletic Park,,050-14,12800,,,OPERATING,,,,,,,
56,,,,,,,20160720,"Horticulture Beds; Newton Athletic Park, 7395 128 St",1001884027,Area 3,07395,,20160719,,around washroom building,Parks,,050,,20160720,"Newton Athletic Park, 7395 128 St",Park,Parks,,Newton Athletic Park,,050-15,12800,,,OPERATING,,,,,,,
57,,,Woody,,,,20140806,"Horticulture Bed; South Surrey Athletic Park, 1925 148 St",1001781271,Area 10,01925,,20150625,,around Synthetic field 11,,,123,,20171114,"South Surrey Athletic Park, 1925 148 St",Park,,,South Surrey Athletic Park,,123-57,14800,,,OPERATING,,,,,,,
58,,,Mixed, ,,,20171114,"Horticulture Beds; Bakerview Park, 1845 - 154 St",1001954974,Area 10,01845,0,,1001437378,around perimeter of Community Hall,Parks,,124,,20171114,"Bakerview Park, 1845 154 St",Park,Parks,,Bakerview Park,,124-04,15400,,,OPERATING,,,,,,,
59,,,Mixed,,,,20180523,"Horticulture Bed; South Surrey Athletic Park, 1925 148 St",1002036801,Area 10,01925,,20160411,1001904549,Softball City Grounds,Parks,,123,,20180523,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,,123-58,14800,,,OPERATING,,,,,,,
60,,,Woody - C, ,,,20090223,Horticulture Bed; Island - 1840 134 St,1001437166,Area 9,01840,0,,0708-000001229,on island,Parks,,121,,20121016,Island - 1840 134 St,Island,Parks,,Island - 1840 134 St,,121-33,13400,,,OPERATING,20090223164700,,,,,,
61,,,Woody - C, ,,,20090223,Horticulture Bed; Island - 3450 154a St,1001437167,Area 9,03450,0,20080910,0708-000001230,on island,Parks,,104,,20121016,Island - 3450 154a St,Island,Parks,,Island - 3450 154a St,,104-19,15450,,,OPERATING,20090223165400,,,,,,
62,,,Woody - A/B, ,,,20090224,"Horticulture Bed; Elgin Recreation Centre Grounds, 3530 144 St",1001437168,Area 10,03530,0,,0708-000001231,along 144 St blvd to Crescent Rd,Parks,,103,,20121016,"Elgin Recreation Centre Grounds, 3530 144 St",Land,Parks,,Elgin Recreation Centre Grounds,,103-04,14400,,,OPERATING,20090224140400,,,,,,
63,,,Woody - A/B, ,,,20090224,"Horticulture Bed; Elgin Recreation Centre Grounds, 3530 144 St",1001437169,Area 10,03530,0,,0708-000001232,"at entrance to building, just south of stairs",Parks,,103,,20121016,"Elgin Recreation Centre Grounds, 3530 144 St",Land,Parks,,Elgin Recreation Centre Grounds,,103-05,14400,,,OPERATING,20090224140700,,,,,,
64,,,Mixed, ,,,20090224,"Horticulture Bed; Blvd, Beecher St - S side - Gordon Ave to Train Tracks",1001437170,Area 10,12300,0,,0708-000001233,at corner of Gordon Ave and Beecher St,Parks,,110,,20121016,"Blvd, Beecher St - S side - Gordon Ave to Train Tracks",Boulevard,Parks,,Blvd - Beecher St - S side - Gordon to Tracks,,110-14,02780,,,OPERATING,20090224141200,,,,,,
65,,,Mixed, ,,,20090224,"Horticulture Bed; Elgin Heritage Park, 13723 Crescent Rd",1001437172,Area 10,13723,0,,0708-000001234,in either side of entrance to farmhouse site,Parks,,102,,20121016,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,,Elgin Heritage Park,,102-10,80403,,,OPERATING,20090224143100,,,,,,
66,,,Woody - A/B, ,,,,"Horticulture Bed; Elgin Heritage Park, 13723 - Crescent Rd",1001436541,Area 10,13723,0,,0708-000000578,East Side of Stewart Farmhouse,Parks,,102,,20121016,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,,Elgin Heritage Park,,102-04,80403,,,OPERATING,,,,,,,
67,,,Woody - A/B, ,,,,"Horticulture Bed; Elgin Heritage Park, 13723 - Crescent Rd",1001436542,Area 10,13723,0,,0708-000000836,SW. Side of Washroom,Parks,,102,,20121016,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,,Elgin Heritage Park,,102-05,80403,,,OPERATING,,,,,,,
68,,,Annual, ,,,,"Horticulture Bed; Crescent Beach, 12160 Beecher St",1001436543,Area 10,12160,0,20040622,0708-000001113,floral display at Beecher St end of site,Parks,,110,,20121016,"Crescent Beach, 12160 Beecher St",Park,Parks,,Crescent Beach,,110-03,02780,,,OPERATING,20041116113500,,,,,,
69,,,Woody - A/B, ,,,,"Horticulture Bed; Elgin Heritage Park, 13723 - Crescent Rd",1001436544,Area 10,13723,0,,0708-000000860,East Side of Washroom,Parks,,102,,20121016,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,,Elgin Heritage Park,,102-06,80403,,,OPERATING,,,,,,,
70,,,Woody - A/B, ,,,,"Horticulture Bed; Elgin Heritage Park, 13723 - Crescent Rd",1001436545,Area 10,13723,0,,0708-000000872,sign bed south of washroom,Parks,,102,,20121016,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,,Elgin Heritage Park,,102-07,80403,,,OPERATING,,,,,,,
71,,,,,,,,Bed # 3s; Darts Hill Garden Park,1001437434,Area 11,01660,,,0750-000000005,,Parks,,126,,20180306,Bed # 3s; Darts Hill Garden Park,Hort Zone,Parks,,,,3s,16800,,,OPERATING,,,,,,,
72,,,,,,,,Bed # 9w; Darts Hill Garden Park,1001437454,Area 11,01660,,,0750-000000012,,Parks,,126,,20180306,Bed # 9w; Darts Hill Garden Park,Hort Zone,Parks,,,,9w,16800,,,OPERATING,,,,,,,
73,,,,,,,,Bed # 9e; Darts Hill Garden Park,1001437455,Area 11,01660,,,0750-000000028,,Parks,,126,,20180306,Bed # 9e; Darts Hill Garden Park,Hort Zone,Parks,,,,9e,16800,,,OPERATING,,,,,,,
74,,,,,,,,Bed # 35e; Darts Hill Garden Park,1001437472,Area 11,01660,,,0750-000000045,,Parks,,126,,20180306,Bed # 35e; Darts Hill Garden Park,Hort Zone,Parks,,,,35e,16800,,,OPERATING,,,,,,,
75,,,,,,,,Bed # 41; Darts Hill Garden Park,1001437477,Area 11,01660,,,0750-000000050,,Parks,,126,,20180306,Bed # 41; Darts Hill Garden Park,Hort Zone,Parks,,,,41,16800,,,OPERATING,,,,,,,
76,,,,,,,,Bed # 40; Darts Hill Garden Park,1001437478,Area 11,01660,,,0750-000000051,,Parks,,126,,20180306,Bed # 40; Darts Hill Garden Park,Hort Zone,Parks,,,,40,16800,,,OPERATING,,,,,,,
77,,,,,,,,Bed # 24n; Darts Hill Garden Park,1001437483,Area 11,01660,,,0750-000000058,,Parks,,126,,20180306,Bed # 24n; Darts Hill Garden Park,Hort Zone,Parks,,,,24n,16800,,,OPERATING,,,,,,,
78,,,,,,,,Bed # 24e; Darts Hill Garden Park,1001437484,Area 11,01660,,,0750-000000059,,Parks,,126,,20180306,Bed # 24e; Darts Hill Garden Park,Hort Zone,Parks,,,,24e,16800,,,OPERATING,,,,,,,
79,,,,,,,,Bed # 46w; Darts Hill Garden Park,1001437485,Area 11,01660,,,0750-000000060,,Parks,,126,,20180306,Bed # 46w; Darts Hill Garden Park,Hort Zone,Parks,,,,46w,16800,,,OPERATING,,,,,,,
80,,,,,,,,Bed # 46e; Darts Hill Garden Park,1001437486,Area 11,01660,,,0750-000000061,,Parks,,126,,20180306,Bed # 46e; Darts Hill Garden Park,Hort Zone,Parks,,,,46e,16800,,,OPERATING,,,,,,,
81,,,,,,,20150910,Bed # 48w; Darts Hill Garden Park,1001838135,Area 11,01660,,,,,Parks,,126,,20180306,Bed # 48w; Darts Hill Garden Park,Hort Zone,Parks,,,,48w,16800,,,OPERATING,,,,,,,
82,,,,,,,20150910,Bed # 48e; Darts Hill Garden Park,1001838140,Area 11,01660,,,,,Parks,,126,,20180306,Bed # 48e; Darts Hill Garden Park,Hort Zone,Parks,,,,48e,16800,,,OPERATING,,,,,,,
83,,,,,,,20180306,Bed # 24w; Darts Hill Garden Park,1001988456,Area 11,01660,,,1001437484,,Parks,,126,,20180306,Bed # 24w; Darts Hill Garden Park,Hort Zone,Parks,,,,24w,16800,,,OPERATING,,,,,,,
84,,,,,,,20180306,Bed # 35w; Darts Hill Garden Park,1001988461,Area 11,01660,,,1001437472,,Parks,,126,,20180306,Bed # 35w; Darts Hill Garden Park,Hort Zone,Parks,,,,35w,16800,,,OPERATING,,,,,,,
85,,,,,,,20180306,Bed # 35c; Darts Hill Garden Park,1001988462,Area 11,01660,,,1001437472,,Parks,,126,,20180306,Bed # 35c; Darts Hill Garden Park,Hort Zone,Parks,,,,35c,16800,,,OPERATING,,,,,,,
86,,,Woody - C, ,,,,"Horticulture Bed; 121F - Walkway, 12980 20 Ave",1001436552,Area 10,12980,0,,0708-000000440,Either Side of path,Parks,,121,,20121016,"121F - Walkway, 12980 20 Ave",Park,Parks,,121F - Walkway,,121-01,02000,,,OPERATING,,,,,,,
87,,,Woody - C, ,,,,"Horticulture Bed; 121G - Walkway - VIP, 12965 - 19 Ave",1001436553,Area 10,12965,0,,0708-000000442,Along W edge of site,Parks,,121,,20121016,"121G - Walkway - VIP, 12965 19 Ave",Park,Parks,,121G - Walkway,,121-02,01900,,,OPERATING,,,,,,,
88,,,Woody - C, ,,,,"Horticulture Bed; Crescent Beach, 12160 Beecher St",1001436546,Area 10,12160,0,,0708-000000843,hedge at foot of Sullivan St,Parks,,110,,20121016,"Crescent Beach, 12160 Beecher St",Park,Parks,,Crescent Beach,,110-04,02780,,,OPERATING,,,,,,,
89,,,Woody - C, ,,,,"Horticulture Bed; Island, 3750 155 St",1001436510,Area 9,03750,0,20030913,0708-000001067,on island,Parks,,104,,20121016,Island - 3750 155 St,Island,Parks,,Island - 3750 155 St ,,104-02 ,15500,,,OPERATING,20031114080400,,,,,,
90,,,Woody - C, ,,,,"Horticulture Bed; Island, 3355 155b St",1001436511,Area 9,03355,0,20020904,0708-000001056,on island,Parks,,104,,20121016,Island - 3355 155b St,Island,Parks,,Island - 3355 155b St ,,104-03 ,15570,,,OPERATING,20031112143000,,,,,,
