,BAFFLES_END1,BAFFLES_END2,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,COMMENTS,CONDITION,CONDITIONDATE,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,CRE_DATE,DESCRIPTION,EQ_NO,FACILITYID,FENCING_SIDE1,FENCING_SIDE2,GIS_ENTRY_STAGE,HABITAT,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LENGTH,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAP_PAGE,MATERIAL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PRK_BRIDGE_SPECIAL_FEATURES,PRK_TRAIL_SERVICE_CLASS,PROJECT_NO,RAILINGS_MATERIAL1,RAILINGS_MATERIAL2,REFERENCE_NO,ROAD_CODE,ROUTE_TYPE,ROUTE_TYPE2,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,TREES_PLANTED,USE_LEVEL,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
26,,,,,,,,Recreation,South Surrey Elgin Heritage Park 2.5K Route,Other,,,,1001403345,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
27,,,,,,,,Recreation,City Hall 30-40 minutes,Other,,,,1001403670,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
28,,,,,,,,Recreation,South Surrey Urban Forest 4.7K Route,Other,,,,1001403390,,,,,,,,,,,,Engineering,,,20170215,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
29,,,,,,,,Recreation,South Surrey Daytime 6K Route,Other,,,,1001403174,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
30,,,,,,,,Recreation,City Hall 30 minutes A,Other,,,,1001403669,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
31,,,,,,,,Recreation,Guildford Daytime 5.5K Route,Other,,,,1001403742,,,,,,,,,,,,Engineering,,,20170215,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
32,,,,,,,,Recreation,Fraser Heights 3.2K Route,Other,,,,1001403309,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
33,,,,,,,,Recreation,Cloverdale Athletic Park 3.5K Route,Other,,,,1001403441,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
34,,,,,,,,Recreation,Fleetwood Surrey Sport Centre 3K Route,Other,,,,1001403449,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
35,,,,,,,,Recreation,Cloverdale 6.5K Route,Other,,,,1001403912,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
36,,,,,,,,Recreation,South Surrey Sunnyside Acres 4.8K Route,Other,,,,1001402018,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
37,,,,,,,,Recreation,South Surrey Bakerview Park 4.3K Route,Other,,,,1001403343,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
38,,,,,,,,Recreation,City Hall 60 minutes,Other,,,,1001404041,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
39,,,,,,,,Recreation,Newton 2.5K Route,Other,,,,1001403914,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
40,,,,,,,,Recreation,Newton Seniors Centre 3.4K Route,Other,,,,1001403973,,,,,,,,,,,,Engineering,,,20110712,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
41,,,,,,,,Recreation,City Hall 30-40 minutes,Other,,,,1001403317,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
42,,,,,,,,Recreation,North Surrey 4.0K Route A,Other,,,,1001403257,,,,,,,,,,,,Engineering,,,20160215,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
43,,,,,,,,Recreation,North Surrey 4.0K Route A,Other,,,,1001403741,,,,,,,,,,,,Engineering,,,20160215,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
44,,,,,,,,Recreation,South Surrey Daytime 6K Route,Other,,,,1001402019,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
45,,,,,,,,Recreation,South Surrey Bakerview Park 2.9K Route,Other,,,,1001403171,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
46,,,,,,,,Recreation,Guildford Daytime 5.5K Route,Other,,,,1001403258,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
47,,,,,,,,Recreation,Fleetwood Rec Centre 4K Route,Other,,,,1001403342,,,,,,,,,,,,Engineering,,,20180808,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
48,,,,,,,,Recreation,Guildford 3.0K Route,Other,,,,1001403312,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
49,,,,,,,,Recreation,Guildford 3.0K Route,Other,,,,1001403876,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
50,,,,,,,,Recreation,Fraser Heights 5.5K Route,Other,,,,1001403261,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
51,,,,,,,,Recreation,Cloverdale Daylight 3.9K Route,Other,,,,1001403911,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
52,,,,,,,,Recreation,Newton CRO (Unwin Park) 4.3K Route ,Other,,,,1001403915,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
53,,,,,,,,,,,20120717,"P8 Path; Robson Park, 12576 100 Ave",0710-000003255,1001744752,,,,,12576,,,,0,,connect east loop with playground loop,Parks,020,,20180314,"Robson Park, 12576 100 Ave",Park,Parks,Parks,,0710-000003255,,,,,,,P8,10000,11,Other,In Service,20120717085400,OPERATING,,,,,,,,,,
