,ANCILLARYROLE,ENABLED,ASSEMBLY_TYPE,ASSEMBLY_TYPE2,BLOWOFF_TYPE,FACILITYID,LEGACYID,NODE_NO,CHAMBER1_SIZE,CHAMBER1_MATERIAL,CHAMBER2_SIZE,CHAMBER2_MATERIAL,VALVE_TYPE,VALVE_SIZE,VALVE_MAKE,VALVE_MODEL,VALVE_MATERIAL,VALVE_LOCATION,BFP_TYPE,BFP_SIZE,AIR_VALVE_TYPE,AIR_VALVE_SIZE,AIR_VALVE_MAKE,AIR_VALVE_MODEL,AIR_VALVE_MATERIAL,AIR_VALVE_LOCATION,DRAIN_SYSTEM,EXTERNAL_VENTING,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
3824,,1,0,Air Valve,,1000278184,11752,1879507623,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,76 AVE & 188 ST,,Initial AB,,,,,,20020501,20141231,49.140683,-122.701787
3825,,1,0,Air Valve,,1000278182,11750,1919107829,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,192 ST & 78 AVE,,Initial AB,,,,,,20020501,20141231,49.144375,-122.690833
3826,,1,0,Air Valve,,1000278172,21771,1398107430,,,,,,,,,,,,,,50,,,,,,,In Service,12976140-00,2006,Surrey,140 ST & 74 AVE,,Final AB,,,,,,20030407,20141231,49.137451,-122.834551
3827,,1,0,Air Valve,,1000278145,11308,1416607773,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,141B ST & 77A AVE,,Initial AB,,,,,,20020501,20141231,49.143655,-122.829424
3828,,1,0,Air Valve,,1000278137,11299,1381107868,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,78A AVE & 138 ST,,Initial AB,,,,,,20020501,20141231,49.145374,-122.839224
3829,,1,0,Air Valve,,1000278123,11285,1382807251,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,138 ST & 72A AVE,,Initial AB,,,,,,20020501,20141231,49.134212,-122.838780
3830,,1,0,Air Valve,,1000278121,11283,1398107391,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,140 ST & 74 AVE,,Initial AB,,,,,,20020501,20141231,49.136745,-122.834544
3831,,1,0,Air Valve,,1000278120,11282,1398207407,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,140 ST & 74 AVE,,Initial AB,,,,,,20020501,20141231,49.137024,-122.834529
3832,,1,0,Air Valve,,1000278118,11280,1407507224,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,141 ST & 72 AVE,,Initial AB,,,,,,20020501,20141231,49.133715,-122.831982
3833,,1,0,Air Valve,,1000278082,11244,1410307571,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,141 ST & 76 AVE,,Initial AB,,,,,,20020501,20141231,49.139998,-122.831194
3834,,1,0,Air Valve,,1000278081,11243,1403007572,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,75A AVE & 140A ST,,Initial AB,,,,,,20020501,20141231,49.140010,-122.833186
3835,,1,0,Air Valve,,1000278074,11236,1418207721,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,142 ST & 77 AVE,,Initial AB,,,,,,20020501,20141231,49.142700,-122.828993
3836,,1,0,Air Valve,,1000278232,11763,1919107444,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,192 ST & 74 AVE,,Initial AB,,,,,,20020501,20141231,49.137413,-122.690870
3837,,1,0,Air Valve,,1000278217,11809,1919107846,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,78 AVE & 192 ST,,Initial AB,,,,,,20020501,20141231,49.144684,-122.690831
3838,,1,0,Air Valve,,1000278213,11805,1914907440,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,192 ST & 74 AVE,,Initial AB,,,,,,20020501,20141231,49.137340,-122.692033
3839,,1,0,Air Valve,,1000278209,11801,1888707626,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,189 ST & 76 AVE,,Initial AB,,,,,,20020501,20141231,49.140723,-122.699239
