,CONTAINER_TYPE,CONTAINER_TYPE2,FACILITYID,DESCRIPTION,LEGACYID,CONTAINER_NO,SURFACE_TREATMENT,SERVICE_LEVEL,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS_PARKS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_COST,INSERVICE_DATE,YRS_LIFE_EXPECTANCY,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,PARK_LEGACY_ID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
1339,5,Ornamental,1001872235,RDS-MAINT,,,,,In Service,,,Surrey,BS# 56137,,,,,,,,Engineering,Engineering,,,,,,,,,,,,16 Ave W of 148 St N/Side,,,,,,,,20160421,20170518,49.031253,-122.812775
1340,0,Big Belly,1001981369,"Encorp Bin; Crescent Beach, 12160 Beecher St",,804,,,In Service,,,Surrey,,Recycle,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"Crescent Beach, 12160 Beecher St",,,,,,,,20180124,20180124,49.051773,-122.885130
1341,1,Large Barrel,1001971159,"In-Ground Bin; 1001 Steps - Greenbelt, 12590 15A Ave",,773,,2,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R130-01,,,,,,,,,,,"1001 Steps - Greenbelt, 12590 15A Ave",,,,,,,,20171211,20180124,49.030548,-122.873635
1342,1,Large Barrel,1001971225,"In-Ground Bin; Blackie Spit, 3136 McBride Ave",,774,,1,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R110-14,,,,,,,,,,,"Blackie Spit, 3136 McBride Ave",,,,,,,,20171211,20180124,49.059689,-122.882226
1343,1,Large Barrel,1001971226,"In-Ground Bin; Blackie Spit, 3136 McBride Ave",1001971225,775,,1,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R110-13,,,,,,,,,,,"Blackie Spit, 3136 McBride Ave",,,,,,0,0,20171211,20180124,49.059563,-122.881185
1344,2,Small Bin,1001214585,,,,,,In Service,,,Surrey,BS# 55975,As Per Operations,,,,,,,Engineering,Engineering,,,,,,,,,,,,60 Ave E of 168 St S/Side,,,,,,,,20110929,20170518,49.111467,-122.756041
1345,5,Ornamental,1001214775,,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,176 St at 57 Ave NW Corner,,,,,,,,20111004,20170518,49.106101,-122.735044
1346,1,Large Barrel,1001971227,"In-Ground Bin; Blackie Spit, 3136 McBride Ave",1001971225,775,,1,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R110-15,,,,,,,,,,,"Blackie Spit, 3136 McBride Ave",,,,,,0,0,20171211,20180124,49.059191,-122.882612
1347,5,Ornamental,1001214798,,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,176 St at 58A Ave NW Corner,,,,,,,,20111004,20170518,49.108814,-122.735027
1348,5,Ornamental,1001214799,,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,176 St at 58A Ave NE Corner,,,,,,,,20111004,20170518,49.108811,-122.734872
