,AAS_ID,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DATE_CLOSED,DATE_CONSTRUCTED,DESCRIPTION,DESIGNATION,DISASTER_RESPONSE_ROUTE,FACILITYID,GCNAME,GCPREDIR,GCROADS,GCSUFDIR,GCTYPE,GIS_ENTRY_STAGE,GREENWAY,INSERVICE_COST,INSERVICE_DATE,LEFTFROM,LEFTTO,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAJOR_ROAD_NETWORK,MAP_PAGE,MATERIAL,MOD_DATE,NO_LANE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PAVING_DATE,PROJECT_NO,RD_CLASS,RIGHTFROM,RIGHTTO,ROADCODE,ROAD_CENTRELINE_TYPE,ROAD_CENTRELINE_TYPE2,ROAD_NAME,ROW_WIDTH,SPEED,STATUS,STATUS_DATE,STATUS_PARKS,STREETSWEEPING_ROUTE,STRUCTURES_INSPECTION_ROUTE,TRUCK_ROUTE,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
984,495,Offset Centreline Designation,,,19870901,20050915,20061030,,Translink,Secondary,1000976780,KING GEORGE,,KING GEORGE BLVD,,BLVD,,,,,7051,7077,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,7050,7076,13601,0,Road,King George Blvd,42,60,Open,,,TRANSLINK - T2/T4 CURBS,,Dangerous Goods Routes,,,,1966,,
985,495,,,,19870903,,,,Translink,Secondary,1000984595,KING GEORGE,,KING GEORGE BLVD,,BLVD,,,,,7601,7699,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,7602,7698,13601,0,Road,King George Blvd,42,60,Open,,,TRANSLINK - T2/T4 CURBS,,Dangerous Goods Routes,,,,1980,,
986,703,Offset Centreline Designation,,,19870921,,,,Translink,Secondary,1000980432,KING GEORGE,,KING GEORGE BLVD,,BLVD,,,,,9801,9849,,,,Engineering,Yes,,Asphalt,20171206,6,,,Engineering,Surrey,,,,,Arterial,9802,9848,13601,0,Road,King George Blvd,48,60,Open,,,TRANSLINK,,Dangerous Goods Routes,,,,1973,,
987,253,,,,20060216,,,,,None,1000984107,CITY,,CITY PARKWAY,,PARKWAY,,,,,10225,10277,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,10240,10302,13502,0,Road,City Parkway,27,30,Open,,,CITY CENTRE - CONTRACT CURBS,,,,,,2011,,
988,591,,,,19880721,,,,,None,1000974467,18A,,18A AVE,,AVE,,,,,13651,13749,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,13652,13748,01850,0,Road,18A Ave,,50,Open,,,,,,,,,1988,,
989,422,,,,19950524,,,,,None,1000977491,20,,20 AVE,,AVE,,,,,13751,13799,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,13732,13798,02000,0,Road,20 Ave,24,50,Open,,,,,,,,,1994,,
990,583,,,,19950524,,,,,None,1000975398,136A,,136A ST,,ST,,,,,2051,2103,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,2052,2102,13650,0,Road,136A St,,50,Open,,,,,,,,,1994,,
991,612,,,,19950620,,,,,None,1000973702,24,,24 AVE,,AVE,,,,,13751,13899,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,13752,13898,02400,0,Road,24 Ave,24,50,Open,,,,,,,,,1995,,
992,495,,,,19941201,,,,,None,1000982376,72,,72 AVE,,AVE,,,,,13701,13799,,,,Engineering,No,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,13702,13798,07200,0,Road,72 Ave,30,50,Open,,,,,Truck Routes,,,,1978,,
993,674,,,,19870903,,,,,None,1000975472,138,,138 ST,,ST,,,,,7651,7699,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,7652,7698,13800,0,Road,138 St,,50,Open,,,,,,,,,1972,,
