,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_TOTE,NO_OF_UNITS
219,17719 58A AVE,Wednesday,KOLUMBIA GARDEN,,20170616,3,39
220,13947 68 AVE,Tuesday,HYDLAND VILLAGE,,20170616,6,43
221,9821 140 ST,Thursday,GREEN TIMBERS,,20170616,3,51
222,13843 100 AVE,Thursday,THE ODESSEY,,20170616,4,10
223,9328 122 ST,Thursday,WELLINGTON EST,,20170616,4,2
224,15464 89A AVE,Wednesday,AVONDALE,,20170616,12,80
225,14105 104 AVE,Friday,HAWTHORNE PARK,,20170616,18,133
226,13915 72 AVE,Tuesday,NEWTON PARK,,20170616,9,82
227,1630 154 ST,Monday,CARLTON APARTMENT,,20170616,8,53
228,15300 17 AVE,Monday,CAMBRIDGE #2,,20170616,10,56
229,12176 82 AVE,Tuesday,WESTLAND,,20170616,6,60
230,14980 101A AVE,Friday,CARTIER PLACE,,20170616,8,38
231,7521 140 ST,Tuesday,GLENVIEW ESTATES,,20170616,12,37
232,8068 120A ST,Tuesday,MELROSE PLACE,,20170616,6,128
233,1821 SOUTHMERE CRES,Monday,SOMERSET,,20170616,3,66
234,14988 101A AVE,Friday,CARTIER PLACE,,20170616,6,36
235,2855 152 ST,Monday,TRADEWINDS,,20170616,3,35
236,15827 ALDER PL,Monday,ALDER PLACE,,20170616,12,44
237,14981 101A AVE,Friday,CARTIER PLACE #1,,20170616,10,72
238,14881 103A AVE,Friday,SUN WEST ESTATES,,20170616,6,122
239,1653 140 ST,Monday,WHITE ROCK BAPTIST,,20170616,6,116
240,10125 156 ST,Friday,GUILDFORD HOUSING,,20170616,12,62
241,9771 152B ST,Wednesday,TURNBERRY PLACE,,20170616,6,29
242,10320 156 ST,Wednesday,KINGSBROOK,,20180125,6,44
243,15996 84 AVE,Wednesday,FLEETWOOD LIBRARY,,20180125,4,1
244,9952 149 ST,Wednesday,TALL TIMBERS,,20180125,5,45
245,17572 57 AVE,Wednesday,FIRE HALL 8,,20180125,1,1
246,15238 100 AVE,Wednesday,CEDAR GROVE APTS,,20180125,11,153
247,16555 FRASER HWY,Wednesday,SURREY SPORTS & LEISURE COMPLEX,,20180125,4,2
248,6815 188 ST,Wednesday,COMPASS,20121008,20180125,6,104
249,8717 160 ST,Wednesday,VERNAZZA,20121008,20180125,5,57
250,15322 101 AVE,Wednesday,ASCADA,20121008,20180125,6,173
251,6430 194 ST,Wednesday,THE WATERSTONE,20121008,20180125,14,212
252,15915 84 AVE,Wednesday,CATHEDRAL,20121008,20180125,3,33
253,18818 68 AVE,Wednesday,CALERA,20121008,20180125,9,166
254,5875 177B ST,Wednesday,SHERWOOD APARTMENTS,20131115,20180125,3,40
255,6188 176 ST,Wednesday,CLOVERDALE REC CENTER,20140204,20180125,1,1
256,17944 COLEBROOK RD,Wednesday,SURREY ANIMAL SHELTER,20140204,20180125,1,1
257,19201 66A AVE,Wednesday,ONE92,20140204,20180125,5,72
258,17727 58 AVE,Wednesday,SHANNONS GATE,20140204,20180125,6,71
259,16370 64 AVE,Wednesday,THE RIDGE AT BOSE FARMS,20170105,20180125,1,253
260,15956 86A AVE,Wednesday,ASCEND,20170616,20180125,4,
261,15956 86A AVE,Wednesday,ASCEND,20171019,20180125,4,
262,18513 70 AVE,Wednesday,CLAYTON HALL,20180125,20180125,1,
263,6004 GREENSIDE DR W,Wednesday,GREENSIDE ESTATES,20180125,20180125,40,
264,9839 138 ST,Thursday,FRASERVIEW APARTMENTS,,20180126,3,18
265,14225 GREEN TIMBERS WAY,Thursday,SURREY NATURE CENTRE,20140204,20180126,2,1
266,13883 LAUREL DR,Thursday,EMERALD HEIGHTS,20170616,20180126,4,
267,13871 LAUREL DR,Thursday,CHELSEA PLACE,,20180126,3,36
268,15142 FRASER HWY,Wednesday,STS INVESTMENTS,,20180126,3,13
269,13525 96 AVE,Thursday,ARBUTUS,,20180126,1,37
270,9635 121 ST,Thursday,CHANDLERS HILL,,20180126,3,69
271,10732 CITY PARKWAY,Thursday,SURREY FOOD BANK,,20180126,1,0
272,10130 139 ST,Thursday,GLENDALE,,20180126,7,38
273,11030 RAVINE RD,Thursday,KINGSMEN RAVINE,,20180126,4,30
274,10678 138A ST,Thursday,CRESTVIEW COURT,,20180126,7,52
275,13696 100 AVE,Thursday,PARK WEST,20180126,20180126,1,
276,11475 126A ST,Thursday,BRIDGEVIEW COMMUNITY CENTRE,20180126,20180126,1,
277,13880 101 AVE,Thursday,ODESSY TOWERS,,20180126,7,109
278,5909 177B ST,Wednesday,CARRIAGE COURT,,20170616,3,20
279,15150 29A AVE,Monday,THE SANDS,,20170616,9,59
280,15110 108 AVE,Friday,RIVER POINTE,,20170616,18,266
281,1851 SOUTHMERE CRES,Monday,SOMERSET GARDEN,,20170616,3,53
282,12102 92 AVE,Thursday,SOLSTICE CO OP,,20170616,6,34
283,9450 128 ST,Thursday,PACIFIC PARK,,20170616,15,288
284,15885 84 AVE,Wednesday,ABBEY ROAD,,20170616,8,94
285,1635 MARTIN DR,Monday,BARCLAY ARMS,,20170616,36,180
286,1760 SOUTHMERE CR,Monday,CAPSTON WAY,,20170616,8,57
287,13686 107A AVE,Thursday, ,,20170616,3,10
288,13302 102A AVE,Thursday,VILLAGE SRY PLACE,,20170616,12,39
289,7561 140 ST,Tuesday,SOHEYA,,20170616,6,33
290,10530 154 ST,Thursday,CREEKSIDE PLACE,,20170616,3,27
291,1702 LILAC DR,Monday,ALDERWOOD,,20170616,6,36
292,1705 MARTIN DR,Monday,SOUTHWIND,,20170616,15,176
293,1881 SOUTHMERE CR,Monday,SOMERSET GARDEN,,20170616,3,47
294,15915 ALDER PL,Monday,ALDER PLACE,,20170616,8,33
295,7155 HALL RD,Tuesday,CEDAR TREE VILLAGE,,20170616,10,228
296,13927 68 AVE,Tuesday,HYDLAND VILLAGE,,20170616,3,33
297,6502 135 ST,Tuesday,FELLOWS SENIORS COMPLEX,,20170616,6,56
298,10011 150 ST,Friday,CUMBERLAND PARK,,20170616,5,23
299,9801 KING GEORGE BLVD,Thursday,SURREY VILLAGE APT,,20170616,18,170
300,9979 140 ST,Thursday,SHERWOOD GREEN,,20170616,6,120
301,9537 PRINCE CHARLES BLVD,Thursday,PRINCE CHARLES BLVD,,20170616,3,31
302,7027 134 ST,Tuesday,SUNCREEK,,20170616,8,14
303,7575 140 ST,Tuesday,NISTA GREEN,,20170616,5,47
304,7297 138 ST,Tuesday,VILLAGE UMBERTO,,20170616,5,62
305,12854 17 AVE,Monday,OCEAN PARK LIBRARY,,20180126,2,1
306,13895 102 AVE,Friday,WYNDHAM,,20180126,3,62
307,15329 32 AVE,Monday,FIRE HALL 17,,20180126,1,1
308,9672 134 ST,Thursday,DOGWOOD,,20180126,1,144
309,13507 96 AVE,Thursday,BALSAM - PARKWOODS,,20180126,1,129
310,13490 HILTON RD,Thursday,HILTON MANOR,,20180126,3,12
311,10965 136 ST,Thursday,GATEWAY PLACE APTS,20121008,20180126,1,
312,13688 100 AVE,Thursday,PARK PLACE TOWERS,20121008,20180126,24,349
313,13858 102 AVE,Thursday,GLENDALE VILLAGE,20140204,20180126,6,84
314,10720 KING GEORGE BLVD,Thursday,NORTH SURREY OFFICE,20140204,20180126,1,1
315,13393 BARKER ST,Thursday,GRAND LANE,20140204,20180126,3,3
316,13919 FRASER HWY,Thursday,THE VERVE,20140904,20180126,10,198
317,10378 133 ST,Thursday,THE WAVE,20161229,20180126,4,236
318,13750 100 AVE,Thursday,PARK AVENUE,20170105,20180126,12,655
319,10290 133 ST,Thursday,ULTRA,20170616,20180126,5,
320,13228 OLD YALE RD,Thursday,CONNECT,20170616,20180126,6,
321,10188 WHALLEY BLVD,Thursday,SKYVIEW MANOR,20171019,20180126,1,
322,13226 104 AVE,Friday,WEST GATE MANOR,,20180126,3,25
323,15030 101 AVE,Friday,GUILDFORD TOWERS,,20180126,16,180
324,10899 UNIVERSITY DR,Friday,OBSERVATORY,,20180126,9,127
325,2610 128 ST,Monday,FIRE HALL 12,,20180126,1,1
326,13929 101 AVE,Friday,SKYLINE APTS,,20180126,16,102
327,13530 72 AVE,Tuesday,NEWTON CULTURAL CENTRE,,20180126,1,1
328,14904 64 AVE,Tuesday,FIRE HALL 9,,20180126,3,1
329,13079 104 AVE,Thursday,FIRE HALL 2,,20180126,1,1
330,10800 152 ST,Friday,WOODBRIDGE,,20180126,8,82
331,10772 142A ST,Friday, ,,20180126,3,1
332,8767 132 ST,Tuesday,FIRE HALL 1,,20180126,3,1
333,10042 176 ST,Friday,FIRE HALL 5,,20180126,2,1
334,14586 108 AVE,Friday,FIRE HALL 4,,20180126,1,1
335,10567 150 ST,Friday,IMPERIAL PINE,,20180126,6,204
336,12951 106 AVE,Thursday,KWANTLEN PARK,,20180126,"3
3",1
337,13775 70 AVE,Tuesday,NEWTON SENIOR CENTER,,20180126,1,1
338,10736 150 ST,Friday,BON TERRA,,20180126,13,331
339,15105 105 AVE,Friday,GUILDFORD REC CENTRE,,20180126,11,1
340,10420 148 ST,Friday,BONACORD APARTMENTS,,20180126,3,21
341,12863 60 AVE,Tuesday,FIRE HALL 11,,20180126,2,1
342,10588 160 ST,Friday,FRASER HEIGHTS,,20180126,2,1
343,7560 138 ST,Tuesday,PARKSIDE,,20170616,9,26
344,6438 KING GEORGE BLVD,Tuesday,STONEY CREEK,,20170616,6,28
345,14885 105 AVE,Friday,REVIVA,,20170616,4,63
346,13784 101 AVE,Thursday,BURNSIDE APT,,20170616,3,56
347,10045 154 ST,Thursday,HEATHERTON,,20170616,3,38
348,13265 104 AVE,Thursday,ELIZABETH MANOR,,20170616,6,54
349,1725 128 ST,Monday,OCEAN PARK GARDENS,,20170616,4,33
350,14788 105A AVE,Friday,CORONATION PARK,,20170616,3,8
351,9232 121 ST,Thursday,SPRUCE CO OP,,20170616,12,101
352,14998 101A AVE,Friday,CARTIER PLACE,,20170616,5,36
353,16350 14 AVE,Monday,WESTWIND,,20170616,5,30
354,10525 150 ST,Friday,EVERGREEN ESTATES,,20170616,6,206
355,8139 121A ST,Tuesday,BIRCHES,,20170616,9,67
356,14188 103A AVE,Friday,ASHBURY LANE,,20170616,6,38
357,16180 86 AVE,Wednesday,FLEETWOOD GATES,,20170616,4,32
358,9072 FLEETWOOD WAY,Wednesday,WYNDRIDGE,,20170616,3,38
359,13530 HILTON RD,Thursday,HILTON HOUSE,,20170616,3,35
360,7151 121 ST,Tuesday,HIGHLAND #1,,20170616,12,186
361,7420 121A ST,Tuesday,KEKINEN HOUSING,,20170616,3,35
362,1740 SOUTHMERE CR,Monday,CAPSTON WAY,,20170616,8,57
363,15325 17 AVE,Monday,BERKSHIRE PLACE,,20170616,3,29
364,13350 OLD YALE RD,Thursday,TED KUNN TOWERS,,20170616,15,438
365,5956 176A ST,Wednesday,SOUTHDALE MANOR,,20170616,6,50
366,9105 FLEETWOOD WAY,Wednesday,LEXINGTON SQUARE,,20170616,12,62
