,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_TOTE,NO_OF_UNITS
448,15215 105 AVE,Friday,GUILDFORD MEWS,,20170616,16,162
449,8881 142A ST,Tuesday,COVERLANT VILLAGE,,20170616,4,28
450,10662 151A ST,Friday,LINCOLN HILL,,20170616,30,100
451,7011 134 ST,Tuesday,PARK GLEN,,20170616,3,10
452,11022 136 ST,Thursday,WILLOW GLEN #2,,20170616,3,0
453,9088 HOLT RD,Thursday,ASHLEY GROVE,,20170616,5,58
454,13301 104 AVE,Thursday,BRISTOL ESTATES,,20170616,9,154
455,15155 22 AVE,Monday,VILLA PACIFIC,,20170616,8,42
456,13811 101 AVE,Thursday,SUTTON PLACE,,20170616,9,83
457,9400 128 ST,Thursday,CEDAR HILLS,,20170616,3,23
458,10030 137A ST,Thursday,BROOKFIELD MANOR,,20170616,5,57
459,10722 133 ST,Thursday,SUNSHINE HOUSING,,20170616,3,39
460,14440 108 AVE,Friday,COUNTRY SQUARE #1,,20170616,15,112
461,5772 177B ST,Wednesday,CLOVERDALE APTS,,20170616,3,79
462,9320 128 ST,Thursday,SURREY MEADOWS,,20170616,12,6
463,9852 151 ST,Wednesday,THE ORCHARD,,20170616,12,75
464,9644 134 ST,Thursday,FIR APTS,,20170616,4,48
465,12615 72 AVE,Tuesday,KWANTLEN PARK,,20170616,3,39
466,15328 100 AVE,Wednesday,KINGSTON PLACE #4,,20170616,8,44
467,9883 140 ST,Thursday,JESSICA PLACE,,20170616,8,40
468,10050 137A ST,Thursday,CAMDEN COURT,,20170616,3,34
469,15243 99 AVE,Wednesday,KINGSTON PLACE #1,,20170616,24,144
470,15353 100 AVE,Wednesday,COS/ THE SOUL OF GUILDFORD,,20170616,6,88
471,14666 105A AVE,Friday,DONCASTER,,20170616,3,42
472,10698 151A ST,Friday,LINCOLN HILL,,20170616,15,63
473,15298 20 AVE,Monday,WATERFORD,,20170616,2,37
474,6875 121 ST,Tuesday,GLENWOOD VILLAGE,,20170616,8,100
475,15241 18 AVE,Monday,CRANBERRY,,20170616,4,43
476,9865 140 ST,Thursday,FRASER COURT,,20170616,6,22
477,15340 19A AVE,Monday,STRATFORD GARDENS,,20170616,12,125
478,13344 102A AVE,Thursday,TOTERS,,20170616,9,47
479,13370 KING GEORGE BLVD,Thursday,CEDAR GARDENS,,20170616,11,76
480,13860 70 AVE,Tuesday,CHELSEA GARDENS,,20170616,18,395
481,13245 104 AVE,Thursday,ASHIRA COURT,,20170616,3,41
482,10668 138 ST,Thursday,CRESTVIEW GARDENS,,20170616,7,52
483,15258 105 AVE,Friday,GEORGIAN GARDENS,,20170616,6,108
484,8243 152 ST,Wednesday,AMOS FERGUSON MANOR,,20170616,3,51
485,14355 103 AVE,Friday,CLARIDGE COURT,,20170616,9,48
486,5850 177B ST,Wednesday,DOGWOOD GARDENS,,20170616,12,86
487,13727 74 AVE,Tuesday,KING'S COURT,,20170616,8,60
488,13910 101 AVE,Thursday,BREEZEWAY,,20170616,3,48
489,7002 138 ST,Tuesday,BIRCH HOUSING,,20170616,7,54
490,13478 HILTON RD,Thursday,HILTON MANOR,,20170616,3,13
491,15350 16A AVE,Monday,OCEAN BAY VILLAS,,20170616,12,157
492,12045 93A AVE,Thursday,SCOTT CEDAR #5,,20170616,12,24
493,13528 96 AVE,Thursday,KING GEORGE TOWNHOMES,,20170616,7,39
