,ANCILLARYROLE,ENABLED,DETENTION_POND_TYPE,DETENTION_POND_TYPE2,FACILITYID,LEGACYID,NODE_NO,LIVE_STORAGE_CAPACITY,MAX_STORAGE_DEPTH,PEAK_DISCHARGE,STATUS,OPERATING_STATUS,YR,OWNER,PROJECT_NO,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,LAST_INSP_DATE,OPS_POND_TYPE,SPILLWAY,FENCE,CRE_DATE,MOD_DATE,LEGACY_POND_NO,LEGACY_DETAIL_REPORT,Latitude,Longitude
744,,1,0,Above Ground Municipal,1000429534,220577,1328806733,,,,In Service,Open,1979,Surrey,9187,,,Final AB,,,,,,,,20060629,20140723,0293,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0293.pdf,49.124863,-122.853717
745,,1,0,Above Ground Municipal,1000429538,220581,1335306566,,,,In Service,Open,1984,Surrey,7881-0030-00,,,Final AB,,,,,,,,20060629,20140723,0294,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0294.pdf,49.121835,-122.851922
746,,1,0,Above Ground Municipal,1001408179,,1327606574,,,,In Service,Open,1981,Surrey,A-225,,,Final AB,,,,,,,,20120416,20140723,0295,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0295.pdf,49.121979,-122.854042
747,,1,0,Above Ground Municipal,1000429442,266775,1737005720,,,,History,Open,1990,Surrey,D-994,174 St & 57 Ave,"May not have been built. New dyke construction over location, Project 4897-304.",Final AB,,,,,,,,20060629,20111117,1132,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/1132.pdf,49.106340,-122.741243
748,,1,1,Above Ground Private,1001146658,,1761606756,,,,In Service,Open,2007,Provincial,MOTH 71101-2005,,,Final AB,,,,,,,,20100114,20100428,,,49.125062,-122.734385
749,,1,0,Above Ground Municipal,1000429382,370748,1861006939,18950,,0.34,In Service,Open,2002,Surrey,7801-0198-00,,,Final AB,,,,,,Concrete,,20030930,20101129,,,49.128315,-122.706960
750,,1,0,Above Ground Municipal,1001183335,,1866606915,,,,In Service,Open,2005,Surrey,7803-0060-00,,,Final AB,,,,,,Concrete,,20101129,20101129,no_id1p68,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/no_id1p68.pdf,49.127865,-122.705403
751,,0,1,Above Ground Private,1000429336,355525,1538002083,,,,History,Closed,1980,Private,9389,,,Final AB,,,,,,,,20060629,20111118,1138,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/1138.pdf,49.040632,-122.796366
752,,0,0,Above Ground Municipal,1000429334,355523,1532802085,,,,History,Closed,1980,Surrey,9389,,,Final AB,,,,,,,,20060629,20111118,1137,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/1137.pdf,49.040674,-122.797812
753,,1,1,Above Ground Private,1000429377,195246,1373707661,,,,,,1987,Private,7886-1370,,,Final AB,,,,,,,,20060629,20101026,1036,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/1036.pdf,49.141647,-122.841278
