,CRE_DATE,MOD_DATE,PLAN_NO,PLAN_NO_ID
1075,,,J-24658,78090
1076,,,L-7706,78261
1077,,,W-15211,79036
1078,,,Y-107899,79165
1079,,,88099,78793
1080,,,86079,77424
1081,,,S-118082,78855
1082,,,D-70685,77842
1083,,,B-42013,77565
1084,20121016,20121016,PPEPP21880,81358
1085,,,X-87277,79133
1086,,,See Survey,
1087,,,D-3217,77771
1088,,,E-59551,77891
1089,,,E-24292,77873
1090,,,C-13947,77732
1091,20161207,20161207,EPP63154,38491
1092,,,T-110570,78965
1093,,,BCP6652,77647
1094,,,L-19875,78269
1095,20121106,20121106,PPEPP22716,81586
1096,,,D-67372,77834
1097,,,K-7207,78156
1098,,,N-00045,78568
1099,20140508,20140508,PPBCP41921,84598
1100,20140416,20140416,PPLMP54543,84479
1101,,,LMP 13876,78389
1102,,,86106,77427
1103,,,F-60017,77949
1104,,,B-21727,77542
1105,,,A-59308,77519
1106,,,K-78830,78208
1107,,,E-59565,77898
1108,,,C-1389,77724
1109,,,LMP 8943,78365
1110,,,P.P. 114-1,77072
1111,,,P.P. 33-1,77023
1112,,,Z-153693,79220
1113,,,Z-16497,79222
1114,,,81947,77364
1115,20130702,20130702,PPEPP31052,82852
1116,,,T-103064,78954
1117,,,A54811,77510
1118,,,P.P. 124-1,77075
1119,,,64706,77208
1120,,,Y-187886,78984
1121,,,T-85612,78932
1122,,,K-36308,78174
1123,,,85295,77414
1124,,,P.P. 104-2,77064
1125,,,Y-136230,79178
1126,,,Y-136230,79178
1127,,,NWP 88062,78792
1128,,,K-23543,78162
1129,,,84137,77395
1130,,,S-4085,78805
1131,,,87369,77458
1132,,,87912,78788
1133,,,83777,77391
1134,,,BE-49625,77678
1135,,,78084,77297
1136,,,F-63389,77952
1137,20120716,20120716,PPEPP21574,35077
1138,,,E-7083,77853
1139,20161207,20161207,PPEPP60318,38110
1140,,,J-98281,78119
1141,,,J-117642,78127
1142,,,63827,77200
1143,,,A-38264,77502
1144,,,87186,77453
1145,,,Z-100597,79211
1146,20160121,20160121,PPBCP07393,37829
1147,,,LMP 26890,78435
1148,,,G-41898,77982
1149,,,P-81658,78668
1150,20160121,20160121,PPEPP57267,37893
1151,20140508,20140508,PPBCP42699,84605
1152,,,LMP 3293,78333
1153,20140429,20140429,PPBCP40010,84536
1154,,,Y-136232,79180
1155,,,J-29159,78093
1156,,,J-165406,78149
1157,,,J-165406,78149
1158,,,K-109588,78235
1159,,,BCP13437,77578
1160,,,A-57719,77518
1161,,,LMP 17131,78403
1162,,,PP147-01,77084
1163,,,BE-239271,77703
1164,,,J-109760,78124
1165,,,82802,77377
1166,,,P.P. 127-1,77078
1167,20160121,20160121,PPEPP56840,37894
1168,,,C-31452,77744
1169,,,G-81671,78006
1170,,,K-83776,78216
1171,,,P-22137,78646
1172,,,PP077-198,
1173,,,86463,77438
1174,,,J-7425,78077
1175,,,BCP 20949,77592
1176,,,X-107666,79143
1177,,,P.P. 77-2,77050
1178,20140204,20140204,PPBCP13787,83862
1179,,,BE-199173,77698
1180,,,LMP 40140,78494
1181,,,T-18848,78880
1182,20140416,20140416,PPBCP38996,84480
1183,,,R-129980,78785
1184,,,W-155853,79095
1185,,,D-21879,77787
1186,,,81674,77351
1187,,,87368,77457
1188,,,LMP 40139,78493
1189,,,T-48120,78903
1190,,,G-60067,77994
1191,,,S-5799B,78839
1192,,,W-99643,79075
1193,,,B-21725,77540
1194,,,58943,77147
1195,,,LMP 43303,78505
1196,,,C-50690,77757
1197,,,Y-177139,79195
1198,,,S-14243,78812
1199,,,U-74789,79021
1200,,,BCP 19919,
1201,,,LMP 32214,78463
1202,,,LMP 34410,78471
1203,,,Z-96925,79210
1204,,,P.P. 89-1,77058
1205,,,Z-186952,79226
1206,,,E-23498,77872
1207,20150507,20150507,PPBCP36057,37370
1208,20131104,20131104,PPBCP35545,83564
1209,,,K-112390,78246
1210,,,M-12430,78541
1211,,,D-65148,77831
1212,,,J-71893,78108
1213,,,P-8077,78640
1214,,,X-148387,79148
1215,,,R-55127,78719
1216,,,W-104138,79077
1217,,,K-64431,78194
1218,,,81271,77345
1219,,,ForeShore,
1220,,,R-82089,78741
1221,20150507,20150507,PPBCP48715,37367
1222,,,E-45128,77886
1223,,,78146,77298
1224,,,41120,
1225,,,G-109654,78016
1226,,,R-70791,78735
1227,,,77564,77293
1228,,,E-73059,77907
1229,,,B-51065,77570
1230,,,LMP 16910,
1231,,,39271,77239
1232,,,LMP 21682,78412
1233,,,LMP 12623,
1234,,,P-52593,78655
1235,,,55089,77123
1236,,,H-48939,78039
1237,,,S-48300,78833
1238,,,H-97102,78061
1239,,,LMP 44458,78513
1240,,,L-69129,78296
1241,,,E-10806,77862
1242,,,R-114597,78769
1243,,,BCP00074,77627
1244,,,P.P. 110-2,77067
1245,,,Z-66961,79207
1246,,,P-27198,78649
1247,,,D-21889,77790
1248,,,Y-83641,79162
1249,,,46700,77108
1250,,,37762,77235
1251,,,W-34618,79054
1252,,,W-17013,79037
1253,,,T-101087,78950
1254,,,J-71886,78104
1255,,,LMP 27127,78437
1256,,,F-7730,77922
1257,,,P-53225,78657
1258,20160121,20160121,PPEPP54986,37889
1259,20160121,20160121,PPEPP55119,37888
1260,,,A-10204,77486
1261,20140416,20160126,PPEPP40141,36537
1262,20150304,20150304,PPLMP30618,86020
1263,20170510,20170510,PPEPP48449,37119
1264,,,P-55242,78659
1265,,,P.P. O-1,76979
1266,,,B-61404,77574
1267,,,H-94610,78056
1268,,,D-55827,77824
1269,,,J-87891,78115
1270,,,F-76585,
1271,20160819,20160819,PPEPP54676,38102
1272,,,L-67488,78291
1273,,,M-37627,78548
1274,,,J-152145,78141
1275,,,J-87892,78116
1276,,,BE-60753,77680
1277,,,F-54928,77947
1278,,,86423,77435
1279,,,LMP 23824,78423
1280,,,LMP 27459,78441
1281,,,P-109456,78677
1282,,,N-77570,78597
1283,,,BE-325660,77714
1284,,,78672,77302
1285,,,P.P. 31-2,77021
1286,,,X-91887,79137
1287,,,63182,77189
1288,,,E-20456,77867
1289,,,D-25286,77795
1290,,,C-55966,77758
1291,20140502,20140502,PPBCP41609,84582
1292,,,G-31524,77978
1293,,,54870,77121
1294,,,E-64633,77900
1295,,,G-1793,77967
1296,,,R-107079,
1297,,,28323,
1298,,,L-57845,78284
1299,,,87008,77447
1300,,,K-17296,78161
1301,,,T-93324,78944
1302,,,U-5048,
1303,,,80059,77320
1304,,,Z-198025,79233
1305,,,H-20689,78027
1306,,,51226,77116
1307,,,R-47279,78714
1308,,,R-107858,78762
1309,20120703,20120703,PPEPP21157,80870
1310,,,D-65151,77833
1311,,,C-50052,77750
1312,,,C-1387,77722
1313,,,E-71761,77903
1314,,,N-36691,78583
1315,,,LMP 30891,78457
1316,,,Y-192240,79196
1317,,,Z-166407,79223
1318,,,BE-249415,77705
1319,,,L-100388,78322
1320,,,E-23497,77871
1321,,,79933,77318
1322,,,P-64736,78664
1323,,,T-60100,78913
1324,,,LMP 18208,78405
1325,,,N-14639,78577
1326,20130501,20130501,PPEPP29798,82417
1327,,,W-11482,79035
1328,,,R-107863,78764
1329,,,W-20843,79042
1330,,,M-29675,78546
1331,,,L-89525,78315
1332,,,C-50055,77752
1333,,,K-51385,78180
1334,,,A-54812,77511
1335,,,D-29919,77801
1336,,,W-88043,79074
1337,,,F-63388,77951
1338,,,B-4483,77524
1339,20130916,20130916,PPEPP33189,83332
1340,,,K-83773,78213
1341,,,LMP 24704,78427
1342,,,S-14244,78813
1343,,,S-48301,78834
1344,,,62558,77183
1345,,,K-29234,78167
1346,,,L-67481,78290
1347,,,LMP 7086,78360
1348,,,83598,77387
1349,,,76740,77279
1350,,,B-23594,77543
1351,,,LMP 17427,78404
1352,,,84996,77407
1353,,,M-120451,78565
1354,,,G-79259,78004
1355,,,K-85983,78222
1356,,,84874,77405
1357,,,C-35414,77746
1358,,,Y-33702,79153
1359,,,81945,77362
1360,,,R-24782,78705
1361,,,X-57090,79118
1362,,,P.P. 11-3,79261
1363,,,45085,77100
1364,,,A-38267,77504
1365,,,17364,77473
1366,,,63480,77192
1367,,,H-47983,78037
1368,,,P-106421,78674
1369,,,T-105084,78961
1370,,,84893,77406
1371,,,66290,77224
1372,20150515,20150515,PPEPP09062,37364
1373,20111206,20111206,EPP15324,79812
1374,,,K-64836,78195
1375,,,B-4480,77522
1376,,,NWP 88391,78799
1377,,,R-116755,78772
1378,,,W-126308,79088
1379,,,W-85075,79071
1380,,,J-47582,78097
1381,,,81919,77360
1382,,,W-106049,79079
1383,,,Y-161921,79185
1384,,,C-50060,77755
1385,,,B-42014,77566
1386,,,Y-112299,79175
1387,,,U-12830,78989
1388,,,l58877,78287
1389,,,F-14969,77923
1390,20160126,20160126,PPEPP42098,37899
1391,20121126,20121126,PPEPP24684,81744
1392,,,BCP 22957,77599
1393,,,H-27626,
1394,20111206,20111206,EPP13707,79796
1395,,,86168,77430
1396,,,S-20577,78817
1397,,,LMP 3905,78340
1398,,,U-74790,79022
1399,,,D53919,77821
1400,,,P.P. 2-1,79246
1401,20150506,20150506,PPEPP11619,33722
1402,,,P.P. 113-1,77071
1403,,,N-18297,78580
1404,,,A-5423,77480
1405,20150507,20150507,PPEPP09061,36703
1406,,,U-18353,78991
1407,,,A-57349,77517
1408,,,BCP 13689,77580
1409,,,S-67568,78842
1410,,,LMP 10297,78373
1411,,,R-17293,78697
1412,,,A-49090,77508
1413,,,D-59838,77827
1414,,,86460,77437
1415,,,L-69457,78298
1416,,,T-46564,78895
1417,,,P-33042,78650
1418,,,65657,77218
1419,,,E-35341,77884
1420,,,S-128371,78861
1421,,,BE-345198,77720
1422,,,E-71763,77904
1423,,,L-40145,78273
1424,,,P.P. 104-1,77063
1425,20140430,20140430,PPBCP41283,84555
1426,20150507,20150507,PPEPP12751,37365
1427,,,60957,77163
1428,,,C-5514,77728
1429,,,B-6581,77526
1430,,,LMP 10294,78371
1431,,,B-7958,77529
1432,,,86638,77442
1433,,,W-126309,79089
1434,,,W-114994,79083
1435,,,66133,77220
1436,,,T-42004,78890
1437,,,LMP 47618,78524
1438,,,LMP 5600,78352
1439,20140428,20140428,PPBCP39974,84534
1440,20160427,20160427,PPEPP59883,38107
1441,,,LMP 5918,78357
1442,,,NWP 88062,78792
1443,20121016,20121016,PPEPP23532,81408
1444,,,BE-259690,77706
1445,,,T-120252A,78979
1446,,,J-85962,78113
1447,,,LMP 36898,78480
1448,,,R-18858,
1449,,,L-88725,78313
1450,,,X-39027,79107
1451,,,Y-136231,79179
1452,,,P-17010,78644
1453,,,C-72363,77768
1454,,,K-74089,78203
1455,,,U-19826,78992
1456,20160121,20160121,PPEPP54344,37884
1457,,,F-21009,77925
1458,,,Y-136231,79179
1459,,,F-40842,77939
1460,,,J-128541,78131
1461,,,84374,77397
1462,,,T-121090,78983
1463,,,D-70676,77837
1464,,,64497,77203
1465,,,K-113485,78250
1466,,,LMP 24510,78426
1467,,,T-88566,78935
1468,,,LMP 39191,78488
1469,,,LMP 32610,78467
1470,,,LMP 49194,
1471,,,Y-202018,79198
1472,,,K-111269,78239
1473,,,H-47984,78038
1474,,,B-42011,77564
1475,,,LMP 22816,78419
1476,20130305,20130305,PPEPP25254,81882
1477,20140514,20140514,PPLMP53598,84611
1478,,,N-112509,78623
1479,20130926,20130926,EPP04643,83381
1480,,,U-5788,78985
1481,,,LMP 6138,78358
1482,,,J-91907,78118
1483,,,87155,77450
1484,,,B-41817,77559
1485,20140528,20140528,PPBCP31006,84746
1486,,,64520,77205
1487,,,L-81584,78311
1488,,,LMP 45642,78521
1489,,,LMP-14244,78392
1490,,,S-113462,78850
1491,,,R-52128,78717
1492,,,T-77078,78927
1493,,,LMP 19905,78406
1494,,,61257,77167
1495,,,K-112386,78243
1496,20130916,20130916,PPEPP32354,83289
1497,,,BCP11365,77576
1498,,,Y-141358,79183
1499,,,LMP10308,78378
1500,,,Y-141358,79183
1501,,,U-74791,79023
1502,,,P.P. 148-2,77087
1503,20120307,20120307,EPP17925,80462
1504,,,Y-44609,79155
1505,,,K-110996,78238
1506,,,NWP 88101,78795
1507,,,E-24728,77874
1508,,,Y-52023,79156
1509,,,P.P. 3-81,77025
1510,,,H-73738,78047
1511,,,W-56415,79059
1512,,,59650,77150
1513,,,78790,77303
1514,,,L-81582,78310
1515,,,64909,77209
1516,,,Y-141358,79183
1517,,,K-58920,78186
1518,,,J-155833,78143
1519,,,LMP 10690,
1520,,,N-132356,78635
1521,,,Posting Plan,
1522,,,See Survey,
1523,,,73242,77244
1524,,,LMP 10302,78375
1525,,,51119,77114
1526,20140224,20140224,PPEPP21673,84162
1527,,,13963,
1528,,,E-33549,77878
1529,,,R-68782,78734
1530,,,NWP 88312,78797
1531,,,ForeShore,
1532,,,41155,
1533,,,85299,77416
1534,,,76635,77276
1535,,,L-7704,78260
1536,,,G-81168,78005
1537,,,L-6805,78259
1538,,,J-67056,78102
1539,,,F-24047,77927
1540,,,62032,77174
1541,,,J-12618,78082
1542,,,78892,77306
1543,,,14524,77471
1544,,,U-33951,79002
1545,,,W-21703,79045
1546,20170718,20170718,PPEPP63034,39127
1547,,,S-41154,78819
1548,,,E-83774,
1549,,,24247,77088
1550,,,NWP 87934,78790
1551,,,A-3969,77479
1552,,,N-119097,78631
1553,,,80923,77338
1554,,,H-47978,78036
1555,,,BE-228904,77701
1556,,,T-47209,78896
1557,20130702,20130702,PPEPP31394,82854
1558,,,BE-304113,77711
1559,,,X-21788,79099
1560,,,80958,77339
1561,,,75219,77258
1562,20130703,20130703,EC-060-487,82850
1563,,,J-108214,78122
1564,,,87157,77451
1565,,,83266,77380
1566,,,P.P. 20-4,77011
1567,,,A-17299,77491
1568,,,56625,77135
1569,,,K-23862,78163
1570,,,S-118081,78854
1571,20140317,20140317,PPBCP22840,84292
1572,20150304,20150304,PPLMP49906,86023
1573,20150304,20150304,PPLMP43507,86022
1574,,,E-71760,77902
1575,,,P-8078,78641
1576,,,C-13945,77731
1577,,,B-21726,77541
1578,,,F-35530,77934
1579,,,K-116197,78254
1580,,,56191,77134
1581,,,63927,77201
1582,,,D-33062,77803
1583,,,Z-147763,79216
1584,,,E-83774,
1585,,,N-82285,78603
1586,,,LMP 8231,78362
1587,,,59755,77153
1588,,,LMP 32363,78464
1589,,,LMP 5793,78353
1590,,,T-59422,78907
1591,,,T-92206,78942
1592,,,L-8668,78263
1593,,,J-18701,
1594,,,G-73624,78001
1595,,,M-94911,78562
1596,,,E-78969,77913
1597,,,K-99186,78230
1598,,,S-69362,78844
1599,20111201,20111201,EPP12589,79759
1600,,,R-12844,78695
1601,,,D-11850,77778
1602,,,56050,77133
1603,,,P.P. 11-4,79262
1604,,,Z-66960,79206
1605,,,P-55242,78659
1606,,,T-67068,78920
1607,,,R-82094,78742
1608,,,74250,77250
1609,20151211,20151211,PPEPP49525,37817
1610,,,M-5097,78537
1611,,,R-8105,78686
1612,,,BCP-9870,77654
1613,,,83411,77384
1614,20160121,20160121,PPEPP58367,37857
1615,,,84749,77402
1616,,,W-70073,79060
1617,,,T-96229,78947
1618,,,F-38900,77938
1619,,,C-55986,77763
1620,,,P.P. 51-1,77035
1621,,,37712  pg 2-,
1622,,,M-9391,78538
1623,,,74249,77249
1624,,,W-41956,79055
1625,,,A-24454,77495
1626,20121016,20121016,PPEPP20000,81396
1627,,,61515,77169
1628,,,80024,77319
1629,,,87012,77449
1630,20140429,20140429,PPBCP40522,84542
1631,,,W-118314,79086
1632,,,LMP 26508,78433
1633,,,82417,77370
1634,,,U-43148,79012
1635,,,59722,77152
1636,,,LMP 23825,78424
1637,,,N-93732,78610
1638,,,H-54306,78043
1639,,,J-71888,78105
1640,,,S-6007,78808
1641,,,P-39674,78652
1642,,,75291,77260
1643,20130312,20130312,PPEPP24399,82232
1644,,,77934,77296
1645,,,Y-177138,79194
1646,,,D-81998,77848
1647,,,J-71895,78110
1648,,,LMP 36653,78479
1649,,,C55978,77759
1650,,,LMP 14262,78395
1651,,,A-24465,77496
1652,,,E-74766,77909
1653,,,D-21881,77788
1654,,,C-72367,77769
1655,,,C-35414,77745
1656,,,62284,77180
1657,,,46054,77104
1658,,,62788,77186
1659,,,C-50053,77751
1660,,,G-60060,77990
1661,,,B-28557,77549
1662,,,See Survey,
1663,,,N-97626,78612
1664,,,LMP 20603,78408
1665,,,BCP 9367,77653
1666,,,D-38663,77810
1667,,,S-118079,78852
1668,,,Y-112297,79173
1669,,,Y-38871A,79154
1670,20160121,20160121,PPEPP52242,37883
1671,,,S-269,
1672,,,H-15971,78024
1673,,,B-51060,77568
1674,,,B-6584,77527
1675,,,P.P. 2-3,79248
1676,,,H-97101,78060
1677,,,Y-169260,79186
1678,,,X-65729,79121
1679,,,H-84346,78052
1680,,,N-102326,78616
1681,,,H-73985,78048
1682,,,L-68224,78294
1683,,,K-97904,78229
1684,,,L-89577,78317
1685,,,FIL76974A,77286
1686,,,55907,77131
1687,,,Y-112294,79172
1688,,,S-137749,78865
1689,,,P.P. 2-2,79247
1690,,,S-122675,78856
1691,,,LMP 27254,78438
1692,,,T-15734,78878
1693,20120703,20120703,EPP17655,80866
1694,,,LMP 7546,78361
1695,20140204,20140204,PPBCP38650,84085
1696,20150506,20150506,PPBCP47646,37373
1697,,,E-74770,77910
1698,,,LMP 47242,78523
1699,,,K-109589,78236
1700,20150506,20150506,PPBCP44172,37368
1701,,,U-123118,79033
1702,,,L-54579,78281
1703,,,G-100385,78013
1704,,,LMP 16029,78398
1705,,,Z-190586,79227
1706,,,81946,77363
1707,,,A41912,77506
1708,20130916,20130916,PPEPP32329,83330
1709,,,K-2303,78154
1710,,,F-74018,77955
1711,,,H-20687,78026
1712,,,U-34166,79003
1713,20150506,20150506,PPBCP44820,37381
1714,,,LMP 37721,78485
1715,,,LMP 5795,78354
1716,,,BCP 21162,77593
1717,,,W-106922,79081
1718,,,Y-136230,79178
1719,,,B-7959,77530
1720,,,B-42008,77563
1721,,,S-67565,78840
1722,,,81270,77344
1723,,,R-119016,78775
1724,,,S-67566,78841
1725,,,T-45150,78894
1726,,,W-48077,79057
1727,,,F-84063,77965
1728,,,B-37946,77553
1729,,,D-21887,77789
1730,,,R-124532,78777
1731,,,T-18850,78882
1732,,,K-111278,78240
1733,,,X-89071,79134
1734,,,U-6255,78987
1735,,,X-45717,79113
1736,,,L-66225,78289
1737,,,K-112394,78248
1738,,,E-7088,77855
1739,,,B-8057,77535
1740,,,H-133660,78074
1741,,,38388,77236
1742,,,K-78832,78209
1743,,,A-57346,77515
1744,,,NWP 88062,78792
1745,,,G-13946,77973
1746,,,W-21702,79044
1747,,,J-109759,78123
1748,,,W-24709,79052
1749,,,Z-196467,79230
1750,,,P.P. 135-1,77081
1751,,,U-61299,79017
1752,,,H-47975,78035
1753,20120703,20120703,PPEPP19400,80878
1754,,,LMP 32389,78465
1755,,,38388,77236
1756,,,C-1384,77721
1757,,,F-63384,77950
1758,,,U-31064,78998
1759,,,55367,77128
1760,,,EC-24-258,
1761,,,T-109406,78963
1762,20160121,20160121,PPEPP55859,37897
1763,,,83614,77389
1764,,,29868,77092
1765,,,K-113484,78249
1766,,,T-99679,78948
1767,,,LMP 35571,78476
1768,,,J-146725,78135
1769,,,X-83777,79129
1770,,,81680,77355
1771,,,85294,77413
1772,20160823,20160823,PPEPP55443,38314
1773,,,81764,77358
1774,,,86497,77441
1775,,,79598,77316
1776,20130710,20130710,PPBCP23610,82930
1777,,,BCP 17393,77584
1778,,,63390,77190
1779,,,J-152141,78139
1780,,,J-6539,78076
1781,,,S-79195,78846
1782,20120125,20120125,EPP14465,80100
1783,,,M-90294,78559
1784,,,P.P. 146-1,77082
1785,,,G-7146,77972
1786,,,73733,77247
1787,,,LMP 14240,78390
1788,,,BE-59702,77679
1789,,,N-108984,78620
1790,,,U-32435,79000
1791,,,83781,77393
1792,,,X-73376,79124
1793,,,BE-228903,77700
1794,20150506,20150506,PPEPP11245,34032
1795,,,Y-136233,79181
1796,,,K-58916,78183
1797,,,K-83779,78219
1798,,,N-58829,78590
1799,,,X-42119,79111
1800,,,77-254,
1801,,,L-103666,78323
1802,,,F-84065,77966
1803,,,R-98338,78755
1804,,,P.P. 148-1,77086
1805,,20120307,83354,77383
1806,,,LMP 9104,78366
1807,,,BCP 12721,
1808,,,LMP 3074,78331
1809,,,L-41478,78275
1810,,,BE-96936,77686
1811,,,Z-198022,79232
1812,,,T-18854,78884
1813,,,N-30600,78582
1814,,,T-109408,78964
1815,,,S-49690,78835
1816,,,82005,77365
1817,,,LMP10302,78375
1818,20120703,20120703,PPEPP20885,80871
1819,,,P-3638,78637
1820,,,85292,77412
1821,,,U-74788,79020
1822,,,61256,77166
1823,,,61256,77166
1824,,,Posting Plan,
1825,,,59186,
1826,,,55911,
1827,,,T-28401,78889
1828,,,S-3468,78804
1829,,,87915,78789
1830,,,80365,77325
1831,,,LMP 22815,78418
1832,,,57492,
1833,,,87366,77456
1834,,,LMP 43423,78506
1835,,,X-91885,79135
1836,,,D-42473,77813
1837,,,T-28400,78888
1838,,,L-15860,78266
1839,,,61364,77168
1840,,,W-23583,79047
1841,,,N-62146,78592
1842,,,55461,77129
1843,,,P-53225,78657
1844,,,8867,77475
1845,,,87914,77467
1846,,,E-62065,77899
1847,,,P.P. 110-8,
1848,,,D-56284,77825
1849,,,G-23728,77975
1850,,,R-107869,78765
1851,,,E-59252,77890
1852,,,J-69165,78103
1853,,,M-80537,78558
1854,20111201,20111201,EPP12488,79756
1855,,,Z-192785,79228
1856,,,K-48763,78177
1857,,,K-48763,78177
1858,,,U-24130,78993
1859,,,B-21723,77539
1860,,,W-32502,79053
1861,,,P.P. 10-1,79254
1862,,,R-63813,78727
1863,,,25128,
1864,20111206,20111206,EPP13234,79795
1865,,,81908,77359
1866,,,K-69061,78202
1867,20150316,20150316,PPLMP29137,86019
1868,,,P.P. O-2,76980
1869,,,X-22258,79101
1870,,,83342,77381
1871,,,L-106805,78325
1872,,,R-8354,78687
1873,,,J-57350,78100
1874,,,D-25994,77799
1875,,,C-5509,77727
1876,,,J-165409,78150
1877,,,K-29809,78168
1878,,,81057,77340
1879,20140508,20140508,PPBCP42125,84602
1880,,,13563,77469
1881,,,S-52650,78836
1882,,,A-54810,77509
1883,,,A-20817,77494
1884,,,S-81022,78847
1885,20150506,20150506,PPEPP11776,37372
1886,,,N-43693,78584
1887,,,C-50184,77756
1888,,,N-106196,78619
1889,,,R-83877,78744
1890,,,P-14117,78643
1891,,,48475,77112
1892,,,39023,77237
1893,,,E-15010,77863
1894,,,T-90740,78938
1895,,,K-87867,78223
1896,,,79444,77313
1897,,,55192,77124
1898,,,H-47569,78034
1899,,,L-100007,78321
1900,,,P-62399,78661
1901,,,Z-67769,79208
1902,,,55590,77130
1903,20150304,20150304,PPLMP32980,86021
1904,,,Y-169262,79188
1905,,,BE-60759,77683
1906,,,H-20689,78027
1907,20170713,20170713,PPEPP61992,39111
1908,,,N-50930,78587
1909,,,P-121511,78680
1910,20130916,20130916,EC-131-234,83331
1911,,,S-128369,78859
1912,,,R-114118,78768
1913,20120207,20120207,PPBCP49899,80222
1914,,,BE-279610,77707
1915,,,LMP 45383,78518
1916,,,M-50439,78549
1917,,,L-22345,78271
1918,,,K-48762,78176
1919,,,86468,77440
1920,,,J-35347,78094
1921,,,W-24708,79051
1922,,,R-38987,78710
1923,,,W-20842,79041
1924,,,W-41957,79056
1925,,,A-41914,77507
1926,,,S-143208,78874
1927,,,B-7962,77532
1928,,,LMP 26349,
1929,20140715,20160126,PPEPP42899,36788
1930,,,T-77102,78929
1931,,,P.P. 1-1,79244
1932,,,R-129150,78784
1933,,,Z-39362,79204
1934,,,T-66427,78918
1935,,,R-18867,78699
1936,,,P-64728,78662
1937,,,80187,77322
1938,,,K-90058,78226
1939,,,J-41092,78095
1940,,,B-47012,77567
1941,,,S-43078,78827
1942,,,76634,77275
1943,,,78792,77304
1944,,,N-46889,78585
1945,,,K-3636,78155
1946,,,W-24707,79050
1947,,,LMP 3571,78334
1948,,,N-61567,78591
1949,,,P.P. 21-1,77013
1950,,,S-46,
1951,,,LMP 3902,78337
1952,,,U-39502,79007
1953,,,J-13410,78084
1954,,,J-128542,78132
1955,,,Z-26159,79203
1956,,,P.P. 11-1,79260
1957,,,L-76964,78307
1958,,,R-78717,78736
1959,,,R-56200,78722
1960,,,U-32437,79001
1961,,,P.P. 102-8,77060
1962,,,J-150354,78138
1963,,,L-55332,78282
1964,,,N-102325,78615
1965,,,LMP 4053,78343
1966,,,N-105234,78618
1967,,,H-44011,78033
1968,,,W-17098,79039
1969,,,N-99913,78613
1970,,,Y-155874,79184
1971,,,C-50058,77754
1972,,,Y-112298,79174
1973,,,C-12284,77730
1974,,,A-14399,77488
1975,,,63488,77196
1976,20160427,20160427,PPEPP60220,37949
1977,,,E-7085,77854
1978,,,J-24367,78088
1979,,,E-76451,77912
1980,,,K-62942,78192
1981,,,P-106417,78673
1982,,,16400,77472
1983,20121126,20121126,PPEPP24853,81743
1984,,,77493,77291
1985,,,S-115886,78851
1986,,,H-55460,78044
1987,,,S-19596,78814
1988,,,78552,77301
1989,,,78552,77301
1990,,,82668,77376
1991,,,S-20576,78816
1992,,,80280,77324
1993,20160427,20160427,PPEPP56965,38103
1994,,,LMP 45502,78520
1995,,,E59562,77896
1996,,,65283,77215
1997,,,R-128002,78781
1998,,,76054,77267
1999,20160519,20160519,PPBCP27908,38124
2000,20160823,20160823,PPEPP63154,38316
2001,,,LMP 45201,78515
2002,,,60891,77162
2003,,,80677,77335
2004,,,N-80198,78601
2005,,,T-121087,78982
2006,,,S-43075,78825
2007,,,K-111406,78241
2008,,,S-42210,78820
2009,,,L-45600,78278
2010,,,L-58875,78286
2011,,,R-47276,78711
2012,,,C-17774,77737
2013,,,B-61407,77575
2014,,,66147,77221
2015,20111206,20111206,EPP14240,79800
2016,,,E-21158,77869
2017,,,S-43071,78821
2018,,,S-5638,78806
2019,,,75166,77257
2020,,,W-106922,79081
2021,,,60718,77160
2022,,,C-76519,77770
2023,,,N-112512,78626
2024,,,LMP 10279,78367
2025,,,J-121287,78129
2026,,,S-143885,78875
2027,,,Y-93671,79163
2028,,,U-4030,
2029,,,D-16010,77782
2030,,,Y-59298,79159
2031,,,L-57489,
2032,,,86459,77436
2033,,,X-85519,79131
2034,,,Z-8994,79200
2035,,,86371,77432
2036,,,80429,77326
2037,,,A-47347,
2038,,,G-60061,77991
2039,,,D-37281,77808
2040,,,T-53212,78906
2041,,,R-107860,78763
2042,,,R-107871,78767
2043,,,F-21072,77926
2044,,,T-112803,78971
2045,20180301,20180301,PPEPP63171,39500
2046,,,L-70301,78299
2047,,,P-23101,78647
2048,,,76455,77272
2049,,,A-38266,77503
2050,20140430,20140430,PPBCP41242,84554
2051,,,D-81994,77847
2052,,,G-7027,77970
2053,,,X-106006,79140
2054,,,R-82096,78743
2055,,,K-58925,78190
2056,20150507,20150507,PPEPP13009,37366
2057,,,33624,77230
2058,20140508,20140508,PPBCP42124,84601
2059,,,F-33357,77930
2060,,,25270,77089
2061,,,LMP 28190,78443
2062,,,81676,77352
2063,,,86112,77429
2064,,,C-38266,77747
2065,20141014,20160127,PPEPP45689,36968
2066,,,LMP 37027,78482
2067,,,P.P. 15-1,
2068,,,J-98281,78119
2069,,,LMP 29760,78453
2070,,,LMP 17032,78402
2071,,,G-109652,78015
2072,,,P-83015,78669
2073,,,J-87882,78114
2074,,,R-24783,78706
2075,,,B-41731,77558
2076,20120125,20120125,PPEPP07184,80008
2077,,,N-5500,78572
2078,,,K-85673,78220
2079,,,Y-136232,79180
2080,20150522,20150522,PPLMP10309,37371
2081,,,86497,77441
2082,,,S-7401,78810
2083,,,B-40464,77556
2084,,,SRW LMP49278,
