,BIKE_INFRASTRUCTURE_TYPE,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,FACILITYID,HABITAT,INSERVICE_COST,INSERVICE_DATE,LENGTH,LOCATION,MATERIAL,OPERATOR,PROJECT_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,WIDTH,YR
115,,,Multi-use,Rosemary Greenway,Greenway,1001402924,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
116,Boulevard Multi-Use Pathway, ,Multi-use,Wills Brook Greenway,Greenway,1001757959,,,,,,Other,Engineering,,Multi-use Pathway,In Service,,,
117,Boulevard Multi-Use Pathway,,Multi-use,Oliver Greenway,Greenway,1001847111,,,,,,Asphalt,Engineering,7811-0269-00,Multi-use Pathway,In Service,No,4,2015
118,Boulevard Multi-Use Pathway,,Multi-use,Oliver Greenway,Greenway,1001896199,,,,,,Asphalt,Engineering,7815-0157-00,Multi-use Pathway,In Service,,,2017
119,Boulevard Multi-Use Pathway,,Multi-use,Grandview Heights Greenway,Greenway,1001434647,,,,,,Asphalt,Engineering,7806-0306-00,Multi-use Pathway,In Service,No,,2009
120,Cycling-Permitted Sidewalk,,Multi-use,Hook Greenway,Greenway,1001422884,,,,,,Asphalt Concrete,Engineering,,Bike Route,In Service,No,,2009
121,Neighbourhood Bike Route,Part of the Trans Canada Trail,Multi-use,Green Timbers Greenway,Greenway,1001402579,,,,,,Asphalt,Engineering,,Bike Route,In Service,,,
122,Boulevard Separated Multi-Use Pathway,,Multi-use,Fraser Heights Greenway,Greenway,1001402316,,,,,,Asphalt,Engineering,3815-6020-00,Multi-use Pathway,In Service,No,,2016
123,Boulevard Multi-Use Pathway,2.35m Asp Path,Multi-use,Fraser Heights Greenway,Greenway,1001905070,,,,,,Asphalt,Engineering,3815-6020-00,Multi-use Pathway,In Service,,,2016
124,Boulevard Multi-Use Pathway,,Multi-use,Douglas Greenway,Greenway,1001951067,,,,,,Asphalt,Engineering,MOTH 11807,Multi-use Pathway,In Service,No,,2007
125,Boulevard Multi-Use Pathway,,Multi-use,Grandview Ridge Trail Greenway,Greenway,1001943299,,,,,,Asphalt Concrete,Engineering,7814-0159-00,Multi-use Pathway,In Service,No,4,2016
126,,Previous duplicate FACILITYID 1001404828,Multi-use,Sunnyside Greenway,Greenway,1001933872,,,,0,,Other,Engineering,,Multi-use Pathway,Proposed,,,
127,,Previous duplicate FACILITYID 1001404828,Multi-use,Pioneer Greenway,Greenway,1001563796,,,,0,,Other,Engineering,,Multi-use Pathway,Proposed,,,
128,, ,Multi-use,Coast Meridian Greenway,Greenway,1002124541,,,,,,Other,Engineering,7816-0312-00,Multi-use Pathway,Proposed,,,
129,,,Multi-use,Grandview Ridge Trail Greenway,Greenway,1001413475,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
130,,,Multi-use,Grandview Heights Greenway,Greenway,1001887574,,,,,,,Engineering,,Multi-use Pathway,In Service,No,,2009
131,,,Multi-use,Grandview Heights Greenway,Greenway,1001972090,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
132,Boulevard Multi-Use Pathway, ,Multi-use,Bose Greenway,Greenway,1001403136,,,,,,Asphalt,Engineering,7813-0013-00,Multi-use Pathway,In Service,,,2014
133,Boulevard Multi-Use Pathway,,Multi-use,Cloverdale Greenway,Greenway,1001402495,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
134,,,Multi-use,Coast Meridian Greenway,Greenway,1001402913,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
135,Boulevard Multi-Use Pathway,4.0m,Multi-use,Clayton Greenway,Greenway,1001561909,,,,,,Asphalt,Engineering,3809-6070-00,Multi-use Pathway,In Service,No,,2012
136,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Greenway,Greenway,1001567570,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,
137,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Greenway,Greenway,1001880104,,,,,,,Engineering,,Multi-use Pathway,In Service,,,
138,Off-Street Multi-Use Pathway,,Multi-use,Fraser Heights Greenway,Greenway,1001878374,,,,,,Other,Engineering,,Multi-use Pathway,In Service,,,
139,,,Multi-use,Abbey Ridge Greenway,Greenway,1001997178,,,,,,Asphalt,Engineering,7813-0193-00,Multi-use Pathway,Proposed,,,
140,,,Multi-use,Abbey Ridge Greenway,Greenway,1001878749,,,,,,Asphalt,Engineering,,Multi-use Pathway,Proposed,,,
141,Off-Street Multi-Use Pathway,,Multi-use,Cloverdale Greenway,Greenway,1001434512,,,,,throughout park,Asphalt,Parks,3807-6080-00,Multi-use Pathway,In Service,No,,2012
142,Neighbourhood Bike Route,,Multi-use,North Creek Greenway,Greenway,1001402664,,,,,,Asphalt,Engineering,,Bike Route,In Service,No,,2009
143,Boulevard Multi-Use Pathway,,Multi-use,Fraser Greenway,Greenway,1001792483,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
144,Boulevard Multi-Use Pathway,Previous duplicate FACILITYID 1001402817,Multi-use,Bose Greenway,Greenway,1001778027,,,,0,,Asphalt,Engineering,3809-6020-00,Multi-use Pathway,In Service,,,2011
145,Boulevard Multi-Use Pathway,,Multi-use,Fraser Greenway,Greenway,1001402493,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
146,,,Multi-use,Abbey Ridge Greenway,Greenway,1001878747,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
147,Boulevard Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Golden Ears Greenway,Greenway,1001432459,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
148,,,Multi-use,Latimer Greenway,Greenway,1001403022,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
149,, ,Multi-use,Cloverdale Greenway,Greenway,1001789124,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
150,,,Multi-use,Fraser Greenway,Greenway,1001402933,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
151,Boulevard Multi-Use Pathway,3.0m,Multi-use,Clayton Greenway,Greenway,1001598706,,,,,,Asphalt,Engineering,1709-3170-00,Multi-use Pathway,In Service,,,2013
152,Boulevard Multi-Use Pathway,3.0m,Multi-use,Clayton Greenway,Greenway,1001402807,,,,,,Clay,Engineering,1709-3160-00,Multi-use Pathway,In Service,,,
153,,,,Katzie Greenway,Greenway,1001832410,,,,,,,,,Multi-use Pathway,Proposed,,,
154,,,,Katzie Greenway,Greenway,1001832409,,,,,,,,,Multi-use Pathway,Proposed,,,
155,Boulevard Multi-Use Pathway,,Multi-use,Golden Ears Greenway,Greenway,1001432458,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
156,Off-Street Multi-Use Pathway,,Multi-use,Crescent Beach Greenway,Greenway,1001402263,,0,,,along coast from Wickson Rd to Maple St,Gravel,Parks,,Multi-use Pathway,In Service,No,,2009
157,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Mud Bay Dike Trail,Greenway,1001402523,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,,,
158,Boulevard Multi-Use Pathway,,Multi-use,Scott Greenway,Greenway,1001422907,,,,,,,Engineering,,Multi-use Pathway,In Service,No,,2009
159,Off-Street Multi-Use Pathway,(lbob new) ,Multi-use,,Greenway,1001484884,,0,,,"From southeast corner of boat lot, south to acces*",Limestone,Parks,,Multi-use Pathway,In Service,No,3,2009
160,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,,Greenway,1001994158,,,,,from 64 Ave to 62A Ave,Asphalt,Parks,,Multi-use Pathway,In Service,,,2009
161,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001402464,,,,,,Asphalt,Parks,,Multi-use Pathway,In Service,,,
162,Off-Street Multi-Use Pathway,,Multi-use,Scottsdale Greenway,Greenway,1001406771,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
163,, ,Multi-use,Surrey Lake Greenway,Greenway,1001403137,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
164,Boulevard Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001402236,,,,,,Concrete,Engineering,3805-6070-00,Multi-use Pathway,In Service,No,,2009
165,Boulevard Separated Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001603124,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
166,, ,Multi-use,Elgin Greenway,Greenway,1001403017,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
167,,,Multi-use,Pioneer Greenway,Greenway,1001954843,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
168,, ,Multi-use,Elgin Greenway,Greenway,1001890783,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
169,Boulevard Multi-Use Pathway, ,Multi-use,Newton Greenway,Greenway,1001800608,,,,,,Asphalt,Engineering,7810-0309-00,Multi-use Pathway,In Service,,,2014
170,, ,Multi-use,Bear Creek Greenway,Greenway,1001402909,,,,,,Mulch,Engineering,,Multi-use Pathway,Proposed,,,
171,,,Multi-use,Bear Creek Greenway,Greenway,1001403016,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
172,Off-Street Multi-Use Pathway,Input Requested by Tim Kooistra. As built not in yet. Greenway is built. Jan 20116,,Surrey Lake Greenway,Greenway,1001951103,,,,,,,Engineering,5012-1010-00,Multi-use Pathway,In Service,,,2015
173,Off-Street Multi-Use Pathway,,,Surrey Lake Greenway,Greenway,1001953299,,,,,,Asphalt,Parks,3812-6040-00,Multi-use Pathway,In Service,,,2016
174,,,Multi-use,Quibble Creek Greenway,Greenway,1001402826,,,,,,Asphalt,Engineering,,Multi-use Pathway,Proposed,No,,2009
175,Off-Street Multi-Use Pathway,,Multi-use,Green Timbers Greenway,Greenway,1001832211,,0,,,,Asphalt,Parks,3811-6590-00,Multi-use Pathway,In Service,No,,2014
176,Off-Street Multi-Use Pathway,,Multi-use,,Greenway,1001605757,,,20121001,,from P2 to 102 Ave entrance (east side),Gravel,Parks,,Multi-use Pathway,In Service,,,2012
177,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Green Timbers Greenway,Greenway,1001402475,,0,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
178,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Green Timbers Greenway,Greenway,1001947970,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
179,,,Multi-use,,Greenway,1001955047,,,20171001,,along 139 and 140 St park entrances,Asphalt,Parks,,Multi-use Pathway,In Service,,3,
180,Off-Street Multi-Use Pathway,,Multi-use,Quibble Creek Greenway,Greenway,1001994760,,,,,,,Engineering,1717-7040-00,Multi-use Pathway,Proposed,,,
181,Off-Street Multi-Use Pathway,,Multi-use,Bon Accord Greenway,Greenway,1001819611,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
182,,,Multi-use,Hawthorne Greenway,Greenway,1001402884,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
183,,,Multi-use,Marine Greenway,Greenway,1001402886,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
184,Off-Street Multi-Use Pathway,,Multi-use,Pioneer Greenway,Greenway,1001402571,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
185,Boulevard Multi-Use Pathway,,Multi-use,Oliver Greenway,Greenway,1001840380,,,,,,Asphalt,Engineering,7810-0020-00,Multi-use Pathway,In Service,,,2012
186,Boulevard Multi-Use Pathway,,Multi-use,Grandview Heights Greenway,Greenway,1001607328,,,,,,Asphalt,Engineering,7810-0320-00,Multi-use Pathway,In Service,,,2013
187,Boulevard Multi-Use Pathway,,Multi-use,Hook Greenway,Greenway,1001422881,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
188,Boulevard Multi-Use Pathway,,Multi-use,Johnston Greenway,Greenway,1001402148,,,,,,Asphalt Concrete,Engineering,,Multi-use Pathway,In Service,,,
189,, ,Multi-use,Surrey Lake Greenway,Greenway,1001865200,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
190,Neighbourhood Bike Route,,Multi-use,Port Mann Greenway,Greenway,1001779164,,,,,,Other,Engineering,MOTH Ped. Opass 5926,Bike Route,In Service,,,2015
191,Boulevard Multi-Use Pathway,2.35m Asp Path with 1.1m blvd Strip,Multi-use,Fraser Heights Greenway,Greenway,1001905043,,,,,,Asphalt,Engineering,3815-6020-00,Multi-use Pathway,In Service,,,2016
192,Boulevard Multi-Use Pathway,2.35m Asp Path,Multi-use,Fraser Heights Greenway,Greenway,1001951490,,,,,,Asphalt,Engineering,3815-6020-00,Multi-use Pathway,In Service,,,2016
193,Boulevard Multi-Use Pathway,,Multi-use,Fraser Heights Greenway,Greenway,1001951486,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
194,, ,Multi-use,Coast Meridian Greenway,Greenway,1001404828,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
195,, ,Multi-use,Douglas Greenway,Greenway,1001792054,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
196,,,Multi-use,Douglas Greenway,Greenway,1001402830,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
197,Boulevard Separated Multi-Use Pathway,,Multi-use,Grandview Ridge Trail Greenway,Greenway,1001927694,,,,,along 163 St,Asphalt,Parks,7814-0257-00,Multi-use Pathway,In Service,No,,2016
198,Boulevard Separated Multi-Use Pathway,,Multi-use,Grandview Ridge Trail Greenway,Greenway,1001938426,,,,,"within Natural Area, along 163 St",Asphalt,Parks,7814-0257-00,Multi-use Pathway,In Service,No,,2016
199,,Previous duplicate FACILITYID 1001404828,Multi-use,Sunnyside Greenway,Greenway,1001933871,,,,0,,Other,Engineering,,Multi-use Pathway,Proposed,,,
200,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001992674,,,,,,Asphalt,Engineering,7815-0084-00,Multi-use Pathway,In Service,,,2017
201,, ,Multi-use,Coast Meridian Greenway,Greenway,1002124537,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
202,Boulevard Multi-Use Pathway, ,Multi-use,Coast Meridian Greenway,Greenway,1001947528,,,,,,Asphalt,Engineering,7816-0191-00,Multi-use Pathway,In Service,,,2017
203,,,Multi-use,Grandview Heights Greenway,Greenway,1001901556,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
204,,,Multi-use,Grandview Heights Greenway,Greenway,1001422938,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
205,Boulevard Multi-Use Pathway,,Multi-use,Hook Greenway,Greenway,1001947773,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
206,Boulevard Multi-Use Pathway,,Multi-use,Hook Greenway,Greenway,1001758299,,,,,,Asphalt,Engineering,7811-0330-00,Multi-use Pathway,In Service,,,2014
207,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001402497,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,No,,2009
208,Boulevard Multi-Use Pathway,,Multi-use,Bose Greenway,Greenway,1001434531,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
209,Boulevard Multi-Use Pathway,,Multi-use,Bose Greenway,Greenway,1001402407,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
210,Boulevard Multi-Use Pathway,,Multi-use,Bose Greenway,Greenway,1001947088,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
211,Boulevard Multi-Use Pathway,,Multi-use,Fraser Greenway,Greenway,1001403117,,,,,,Asphalt,Engineering,1704-3310-00,Multi-use Pathway,In Service,No,,2013
212,Boulevard Multi-Use Pathway,,Multi-use,Cloverdale Greenway,Greenway,1001778255,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
213,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001830699,,,,,,Asphalt,Engineering,3810-6130-00,Multi-use Pathway,In Service,,,2015
214,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001830661,,,,,,Asphalt,,3810-6130-00,Multi-use Pathway,In Service,,,2015
215,Off-Street Multi-Use Pathway,,Multi-use,Fleetwood Greenway,Greenway,1001402244,,0,20050201,,,Asphalt,Parks,,Multi-use Pathway,In Service,No,,2011
216,,,Multi-use,Fraser Heights Greenway,Greenway,1001992633,,,,,,,Engineering,7814-0322-00,Multi-use Pathway,Proposed,No,,
217,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Greenway,Greenway,1001402238,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
218,Off-Street Multi-Use Pathway,,,Tynehead Pedestrian Bridge,Greenway,1001402965,,,,,Hwy 1 at 168 St,Asphalt,Engineering,3809-6090-00,Pedestrian Bridge,In Service,No,,2011
219,,,Multi-use,Fraser Heights Greenway,Greenway,1001992632,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
220,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Perimeter Trail,Greenway,1001402302,,,,,Tynehead Pedestrian Bridge,Asphalt,Engineering,3809-6090-00,Multi-use Pathway,In Service,No,,2009
221,Boulevard Multi-Use Pathway,,Multi-use,Fraser Heights Greenway,Greenway,1001851233,,,,,,Concrete,,3809-6080-00,Multi-use Pathway,In Service,,,2015
222,,,Multi-use,Abbey Ridge Greenway,Greenway,1001997179,,,,,,Asphalt,Engineering,7813-0193-00,Multi-use Pathway,Proposed,,,
223,,,Multi-use,Abbey Ridge Greenway,Greenway,1001997177,,,,,,Asphalt,Engineering,,Multi-use Pathway,Proposed,,,
224,,,Multi-use,Abbey Ridge Greenway,Greenway,1001402974,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
225,,,Multi-use,Abbey Ridge Greenway,Greenway,1001955836,,,,,,Asphalt,Engineering,7816-0197-00,Multi-use Pathway,Proposed,,,
226,,Previous null FACILITYID,Multi-use,Bothwell Loop Greenway,Greenway,1001563789,,,,0,,,Engineering,,Multi-use Pathway,Proposed,No,,2012
227,,,Multi-use,Surrey Bend Greenway,Greenway,1001402898,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
228,Boulevard Multi-Use Pathway,,,,Greenway,1001836606,,,,,,Concrete,Engineering,1713-3100-00,Multi-use Pathway,In Service,No,,2015
229,Boulevard Multi-Use Pathway,,,,Greenway,1001836605,,,,,,Asphalt,Engineering,1713-3100-00,Multi-use Pathway,In Service,No,,2015
230,Off-Street Multi-Use Pathway,,Multi-use,Cloverdale Greenway,Greenway,1001995645,,,,,,Asphalt,Engineering,3807-6080-00,Multi-use Pathway,In Service,No,,2012
231,,,Multi-use,Great Northern Greenway,Greenway,1001819482,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
232,Boulevard Multi-Use Pathway,,Multi-use,Fraser Greenway,Greenway,1001723591,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
233,,,Multi-use,Armstrong Greenway,Greenway,1001402873,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
234,,,Multi-use,Fraser Greenway,Greenway,1001402882,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
235,,,,Siddons Greenway,Greenway,1001832403,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
236,Boulevard Multi-Use Pathway,,Multi-use,Fraser Greenway,Greenway,1001422503,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
237,Boulevard Multi-Use Pathway,,Multi-use,Fraser Greenway,Greenway,1001598709,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
238,Boulevard Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Golden Ears Greenway,Greenway,1001402304,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
239,Boulevard Multi-Use Pathway,,Multi-use,,Greenway,1001850437,,,,,,Asphalt,Engineering,7813-0287-00,Multi-use Pathway,In Service,,,2015
240,Boulevard Multi-Use Pathway,,Multi-use,Latimer Greenway,Greenway,1001413440,,,,,,Asphalt,Engineering,7810-0179-00,Multi-use Pathway,In Service,,,2013
241,Boulevard Multi-Use Pathway,RBRC,Multi-use,Latimer Greenway,Greenway,1001841650,,,,,,Asphalt,Engineering,1709-3130-00,Multi-use Pathway,In Service,No,,2014
242,Boulevard Multi-Use Pathway,RBRC,Multi-use,Cloverdale Greenway,Greenway,1001950877,,,,,,Other,Engineering,1709-7090-00,Multi-use Pathway,In Service,,,2014
243,,,,Katzie Greenway,Greenway,1001896235,,,,,,,,,Multi-use Pathway,Proposed,,,
244,Boulevard Multi-Use Pathway,4.0m,Multi-use,Clayton Greenway,Greenway,1001850252,,,,,,Asphalt,Engineering,1709-3170-00,Multi-use Pathway,In Service,No,,2013
245,Boulevard Multi-Use Pathway,4.0m,Multi-use,Clayton Greenway,Greenway,1001433188,,,,,,Asphalt,Engineering,1709-3170-00,Multi-use Pathway,In Service,No,,2013
246,,4.0m,Multi-use,Clayton Greenway,Greenway,1001402825,,,,,,Asphalt,Engineering,,Multi-use Pathway,Proposed,No,,
247,Boulevard Multi-Use Pathway,3.0m,Multi-use,Clayton Greenway,Greenway,1001598707,,,,,,Clay,Engineering,1709-3170-00,Multi-use Pathway,In Service,,,2013
248,Boulevard Multi-Use Pathway,3.0m,Multi-use,Clayton Greenway,Greenway,1001434588,,,,,,Other,Engineering,7807-0054-00,Multi-use Pathway,In Service,,,2009
249,Boulevard Multi-Use Pathway,,Multi-use,Green Timbers Greenway,Greenway,1001402296,,,,,,Asphalt,Engineering,1704-7000-00,Multi-use Pathway,In Service,No,,2009
250,,,Multi-use,Riverside Greenway,Greenway,1001811851,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
251,Boulevard Separated Multi-Use Pathway,,Multi-use,Scott Greenway,Greenway,1001402312,,,,,,Asphalt,Engineering,1799-2230-00,Multi-use Pathway,In Service,No,,2001
252,Boulevard Multi-Use Pathway,,Multi-use,Riverside Greenway,Greenway,1001805298,,,,,,Asphalt,Engineering,1713-3070-00,Multi-use Pathway,In Service,No,,2014
253,,,Multi-use,BC Parkway,Greenway,1001403194,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
254,,,Multi-use,Mud Bay Dike Trail,Greenway,1001741950,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
255,Neighbourhood Bike Route,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001402540,,,,,,Asphalt,Engineering,,Bike Route,In Service,,,
256,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001402520,,0,20000711,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,4,
257,Off-Street Multi-Use Pathway,(lbob new) ,Multi-use,Green Timbers Greenway,Greenway,1001484980,,0,,,from 89 Ave to 128 St,Asphalt,Parks,,Multi-use Pathway,In Service,No,,2009
258,Boulevard Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001402248,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
259,,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001422988,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
260,Off-Street Multi-Use Pathway,,Multi-use,Bear Creek Greenway,Greenway,1001402517,,,,,,Asphalt,Parks,,Multi-use Pathway,In Service,,,
261,Off-Street Multi-Use Pathway,,Multi-use,Bear Creek Greenway,Greenway,1001402518,,,,,,Asphalt,Parks,,Multi-use Pathway,In Service,,,
262,Boulevard Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001402491,,,,,,Asphalt,Engineering,7802-0222-00,Multi-use Pathway,In Service,No,,2011
263,Boulevard Multi-Use Pathway,,Multi-use,Bridgeview Greenway,Greenway,1001421131,,,,,,Asphalt,Engineering,7811-0022-00,Multi-use Pathway,In Service,No,,2013
264,Boulevard Multi-Use Pathway, ,Multi-use,Sunnyside Greenway,Greenway,1001402813,,,,,,Other,Engineering,3811-6010-00,Multi-use Pathway,In Service,,,2014
265,Boulevard Multi-Use Pathway, ,Multi-use,Sunnyside Greenway,Greenway,1001726512,,,,,,Other,Engineering,1705-7110-00,Multi-use Pathway,In Service,,,2007
266,, ,Multi-use,Sunnyside Greenway,Greenway,1001403005,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
267,Bike Lanes,,Multi-use,Semiahmoo Trail,Greenway,1001402866,,,,,,Asphalt,Engineering,3809-6050-00,Multi-use Pathway,In Service,No,,2016
268,,Conceptual overpass,Multi-use,Nicomekl Greenway,Greenway,1001403093,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
269,, ,Multi-use,Panorama Greenway,Greenway,1001412196,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
270,Boulevard Multi-Use Pathway,,,,Greenway,1001605055,,,,,,Asphalt,Engineering,7811-0147-00,Multi-use Pathway,In Service,,,2013
271,Boulevard Multi-Use Pathway, ,Multi-use,Panorama Greenway,Greenway,1001419136,,,,,,Asphalt,Engineering,7810-0309-00,Multi-use Pathway,In Service,,,2014
272,Boulevard Multi-Use Pathway,,Multi-use,King George Greenway,Greenway,1001413476,,,,,,Asphalt,Engineering,3808-6050-00,Multi-use Pathway,In Service,No,,2012
273,, ,Multi-use,Newton Greenway,Greenway,1001402948,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
274,,,Multi-use,Bose Greenway,Greenway,1001775307,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
275,,,Multi-use,Bose Greenway,Greenway,1001850256,,,,,,Asphalt,Engineering,7812-0066-00,Multi-use Pathway,Proposed,No,3,2015
276,,,Multi-use,Bose Greenway,Greenway,1001402931,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
277,,,Multi-use,Quibble Creek Greenway,Greenway,1001402824,,,,,,Asphalt,Engineering,,Multi-use Pathway,Proposed,No,,2009
278,,,Multi-use,Quibble Creek Greenway,Greenway,1001402827,,,,,,Asphalt,Engineering,,Multi-use Pathway,Proposed,No,,2009
279,Off-Street Multi-Use Pathway,,Multi-use,Quibble Creek Greenway,Greenway,1001402507,,,,,,Asphalt,Engineering,3805-6050-00,Multi-use Pathway,In Service,,,2007
280,Off-Street Multi-Use Pathway,,Multi-use,Quibble Creek Greenway,Greenway,1001402515,,,,,from 102 Ave to 100 Ave,Asphalt,Parks,,Multi-use Pathway,In Service,,,2009
281,Cycling-Permitted Sidewalk,,Multi-use,Bon Accord Greenway,Greenway,1001402197,,,,,,Concrete,Engineering,,Bike Route,In Service,,,
282,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Green Timbers Greenway,Greenway,1001402474,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
283,, ,Multi-use,Quibble Creek Greenway,Greenway,1001986362,,,,,,Other,Engineering,,Multi-use Pathway,In Service,,,
284,Off-Street Multi-Use Pathway,,Multi-use,Hawthorne Greenway,Greenway,1001402596,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
285,, ,Multi-use,Port Mann Greenway,Greenway,1001819608,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
286,Boulevard Multi-Use Pathway,,,,Greenway,1001831799,,,,,,Asphalt,,7812-0324-00,Multi-use Pathway,In Service,,,2015
287,Off-Street Multi-Use Pathway,,Multi-use,Semiahmoo Trail,Greenway,1001403087,,,,,,,Engineering,,Multi-use Pathway,In Service,No,,2009
