,CRE_DATE,MOD_DATE,PLANID,PLAN_NO,PLAN_TYPE,PLAN_TYPE2,STATUS,YR
3246,20060612,20070509,9303,BCP21214,4,Right of Way,Registered,2005
3247,19960503,20070509,28874,87487,4,Right of Way,Registered,1990
3248,20111129,20111129,34565,BCP49568,4,Right of Way,Registered,2011
3249,20111208,20120215,34600,BCS04303-01,9,Strata,Registered,2011
3250,20120215,20120215,34598,BCS02704-10,9,Strata,Registered,2011
3251,20110817,20120216,34374,BCP49809,2,Explanatory,Registered,2011
3252,20111103,20120216,34542,BCP49832,2,Explanatory,Registered,2011
3253,20111130,20120216,34570,BCP49722,3,Reference Plan,Registered,2011
3254,20111130,20120216,34571,BCP49723,3,Reference Plan,Registered,2011
3255,20860617,20070509,26514,65596,4,Right of Way,Registered,1983
3256,20111202,20120216,34610,BCP50033,4,Right of Way,Registered,2012
3257,20111130,20111130,34588,BCS04242,9,Strata,Registered,2011
3258,20111129,20111129,34560,BCP49480,3,Reference Plan,Registered,2011
3259,20111201,20120215,34602,BCP50011,4,Right of Way,Registered,2012
3260,19860506,20070509,24951,47356,4,Right of Way,Registered,1975
3261,19960808,20070509,30564,LMP28228,4,Right of Way,Registered,1996
3262,20060830,20070509,9873,BCP24893,4,Right of Way,Registered,2006
3263,20020628,20070509,4256,LMP51337,4,Right of Way,Registered,2001
3264,20030227,20070509,30647,LMP29737,4,Right of Way,Registered,1996
3265,19860211,20070509,26574,66266,4,Right of Way,Registered,1983
3266,19860716,20070509,26433,64757,4,Right of Way,Registered,1982
3267,19850801,20070509,29041,B3008,4,Right of Way,,
3268,19891030,20070509,28497,84487,4,Right of Way,Registered,1990
3269,20010517,20070509,30655,LMP29910,4,Right of Way,Registered,1996
3270,19860526,20070509,26623,66669,4,Right of Way,Registered,1983
3271,19860814,20070509,24988,47961,4,Right of Way,Registered,1975
3272,19881109,20070509,27802,78284,4,Right of Way,Registered,1988
3273,20060714,20070509,9612,BCP17582,4,Right of Way,Registered,2005
3274,19940214,20070509,29658,LMP13427,4,Right of Way,Registered,1994
3275,20070329,20070509,9100,BCP20426,4,Right of Way,Registered,2005
3276,20010906,20070509,32062,LMP49516,4,Right of Way,Registered,2001
3277,20010514,20070509,31420,LMP41083,4,Right of Way,Registered,1999
