,CRE_DATE,MOD_DATE,PLANID,PLAN_NO,PLAN_TYPE,PLAN_TYPE2,STATUS,YR
0,20080408,20080408,10595,EC-113-231,4,Right of Way,Early Copy,2008
1,20080408,20080408,10563,EC-055-148,4,Right of Way,Early Copy,2008
2,20080408,20080612,10495,BCP31545,4,Right of Way,Registered,2007
3,20080408,20080623,10456,EC-073-350,2,Explanatory,Early Copy,2008
4,20080408,20080408,10428,EC-010-194,4,Right of Way,Early Copy,2008
5,20080408,20080408,10432,EC-010-197,4,Right of Way,Early Copy,2008
6,20080408,20080408,10431,EC-010-196,4,Right of Way,Early Copy,2008
7,20120213,20150310,34689,BCP50055,4,Right of Way,Registered,2012
8,20070314,20080414,19454,BCS01320,9,Strata,Registered,2006
9,20080414,20080414,255,BCP13749,4,Right of Way,Registered,2004
10,20080414,20080414,9600,BCP17007,4,Right of Way,Registered,2004
11,20080414,20080414,10100,BCP26267,4,Right of Way,Registered,2006
12,20080414,20080414,9715,BCP23516,4,Right of Way,Registered,2006
13,20080627,20110404,21999,EPP00558,3,Reference Plan,Registered,2008
14,20080630,20080630,21994,EPP00329,3,Reference Plan,Registered,2008
15,20120206,20150310,34660,BCP50023,4,Right of Way,Registered,2011
16,20080630,20080630,21993,EPP00328,3,Reference Plan,Registered,2008
17,20120213,20150310,34696,BCP50015,4,Right of Way,Registered,2012
18,20120104,20150310,34644,BCP49980,4,Right of Way,Registered,2011
19,20150203,20150310,37124,EPS02078-01,9,Strata,Registered,2015
20,20110914,20110914,34436,EC-022-381,2,Explanatory,Early Copy,2011
21,20110914,20111024,34440,EPP14299,4,Right of Way,Registered,2011
22,20150206,20150310,37090,EPP48134,3,Reference Plan,Registered,2015
23,20150310,20150310,37205,EPP49381,3,Reference Plan,Registered,2015
24,20070828,20150310,10839,BCP30423,4,Right of Way,Registered,2007
25,20101026,20101213,33814,BCS00675-02,9,Strata,Registered,2010
26,20110105,20110105,33689,EPP05625,3,Reference Plan,Registered,2010
27,20110118,20110118,33996,EPP00200,3,Reference Plan,Registered,2010
28,20110105,20110105,33690,EPP05627,3,Reference Plan,Registered,2010
29,20101026,20101026,33816,BCP45799,3,Reference Plan,Registered,2010
30,20101026,20101026,33819,BCP46040,2,Explanatory,Registered,2010
31,20110118,20110118,33995,BCP47119,2,Explanatory,Registered,2011
32,20101026,20101026,33817,BCP45992,3,Reference Plan,Registered,2010
33,20110118,20110118,33899,EPP00201,3,Reference Plan,Registered,2010
34,20110118,20110118,33998,EPP00203,3,Reference Plan,Registered,2010
35,20110118,20110118,33999,EPP00204,3,Reference Plan,Registered,2010
36,20110118,20110118,34000,EPP00244,3,Reference Plan,Registered,2010
37,20110118,20110118,34004,EPP00332,3,Reference Plan,Registered,2010
38,20110118,20110118,34005,EPP00334,3,Reference Plan,Registered,2010
39,20080402,20080402,21922,BCP34862,2,Explanatory,Registered,2008
40,20100921,20100921,33733,BCP45876,4,Right of Way,Registered,2010
41,20040415,20110412,3113,BCP10170,3,Reference Plan,Registered,2004
42,20040415,20110412,3114,BCP10171,3,Reference Plan,Registered,2004
43,20110412,20110412,9941,BCP25872,3,Reference Plan,Registered,2006
44,20060222,20110412,9250,BCP21780,3,Reference Plan,Registered,2006
45,20100930,20101209,33779,BCP46681,3,Reference Plan,Registered,2010
46,20101029,20101126,33822,BCP46585,6,Subdivision,Registered,2010
47,20101029,20101029,33841,EPP01528,3,Reference Plan,Registered,2010
48,20101029,20101029,33848,EPP08820,3,Reference Plan,Registered,2010
49,20080108,20080108,11146,BCP31599,3,Reference Plan,Registered,2007
50,20080108,20080108,11144,BCP31597,2,Explanatory,Registered,2007
51,20080108,20080108,11351,BCP31138,2,Explanatory,Registered,2007
52,20071210,20071210,11343,BCP29749,3,Reference Plan,Registered,2007
53,20071105,20071105,10278,BCP26826,4,Right of Way,Registered,2006
54,20071128,20071128,11074,BCP32260,2,Explanatory,Registered,2007
55,20071106,20071108,11111,BCP30760,3,Reference Plan,Registered,2007
56,20090730,20090730,22900,BCP41401,4,Right of Way,Registered,2009
57,20071105,20071105,10281,BCP27168,4,Right of Way,Registered,2006
58,20071105,20071105,10282,BCP27167,4,Right of Way,Registered,2006
59,20071106,20071106,11228,BCP23420,4,Right of Way,Registered,2006
60,20101102,20101102,33859,BCP46099,2,Explanatory,Registered,2010
61,20091102,20091102,23062,BCP42548,4,Right of Way,Registered,2009
62,20091102,20100113,23066,BCP43139,2,Explanatory,Registered,2009
63,20091102,20091117,23064,EPP04724,2,Explanatory,Registered,2009
64,20091102,20091102,23047,BCP42232,3,Reference Plan,Registered,2009
65,20091102,20091102,23048,BCP42358,3,Reference Plan,Registered,2009
66,20091102,20091102,23063,BCP42570,2,Explanatory,Registered,2009
67,20090213,20090213,22620,BCP39820,4,Right of Way,Registered,2009
68,20090213,20090305,11149,BCP39982,3,Reference Plan,Registered,2009
69,20090213,20090305,22633,BCP40003,3,Reference Plan,Registered,2009
70,20090213,20090213,22644,BCP39750,3,Reference Plan,Registered,2009
71,20090213,20090213,22337,BCP39749,3,Reference Plan,Registered,2009
72,20090217,20090217,7302,EC-107-004,4,Right of Way,Early Copy,2005
73,20090217,20090217,22630,BCP39686,4,Right of Way,Registered,2009
74,20091116,20100114,23103,BCP42972,6,Subdivision,Registered,2009
75,20091116,20091116,23058,BCP42702,4,Right of Way,Registered,2009
76,20080722,20110628,22199,EPP11016,3,Reference Plan,Registered,2011
77,20110628,20110628,34270,BCP48373,2,Explanatory,Registered,2011
78,20110628,20110628,33561,BCP45227,3,Reference Plan,Registered,2010
79,20110628,20110628,34271,BCP48388,2,Explanatory,Registered,2011
80,20110628,20110920,34265,BCP48990,6,Subdivision,Registered,2011
81,20110727,20110822,34338,EPP13747,4,Right of Way,Registered,2011
82,20110629,20110809,34277,BCP48764,6,Subdivision,Registered,2011
83,20110629,20111107,34275,BCP49331,6,Subdivision,Registered,2011
84,20110802,20110929,34321,BCP49202,6,Subdivision,Registered,2011
85,20110614,20110629,33636,BCP48330,2,Explanatory,Registered,2011
86,20110518,20110629,33948,EPP07250,3,Reference Plan,Registered,2011
87,20110802,20110902,34318,BCP49014,6,Subdivision,Registered,2011
88,20110707,20110707,34283,BCP48477,4,Right of Way,Registered,2011
89,20100617,20100617,33569,BCP44881,2,Explanatory,Registered,2010
90,20100617,20100617,33500,BCP44525,2,Explanatory,Registered,2010
91,20100617,20100617,23080,BCP44817,2,Explanatory,Registered,2010
92,20100617,20100727,33551,BCS03661-03,9,Strata,Registered,2010
93,20100617,20100727,33554,BCS03293-04,9,Strata,Registered,2010
94,20100617,20100726,33542,BCS03581-02,9,Strata,Registered,2010
95,20090318,20090318,22656,BCP39786,3,Reference Plan,Registered,2009
96,20081128,20081128,22493,BCS3177,9,Strata,Registered,2008
97,20081128,20081128,22475,EPP01420,4,Right of Way,Registered,2008
98,20090921,20091102,22917,BCP42483,6,Subdivision,Registered,2009
99,20081128,20081128,22474,EPP01419,4,Right of Way,Registered,2008
100,20081128,20081128,22491,BCS3191,9,Strata,Registered,2008
101,20081128,20110330,22495,EPP00270,3,Reference Plan,Registered,2008
102,20090930,20090930,23012,BCP42105,2,Explanatory,Registered,2009
103,20090921,20090921,22999,BCP42053,2,Explanatory,Registered,2009
104,20091001,20091223,22966,BCP42896,6,Subdivision,Registered,2009
105,20091008,20110214,22945,EPP03754,3,Reference Plan,Registered,2009
106,20091008,20091008,23021,EPP01901,3,Reference Plan,Registered,2009
107,20091013,20100312,23026,BCP43737,2,Explanatory,Registered,2010
108,20101126,20110303,33895,BCP47434,2,Explanatory,Registered,2011
109,20060726,20110512,9416,BCP22674,3,Reference Plan,Registered,2006
110,20110811,20110811,34364,BCP48470,3,Reference Plan,Registered,2011
111,20110811,20110811,34267,BCP48322,3,Reference Plan,Registered,2011
112,20110811,20110811,34268,BCP48323,3,Reference Plan,Registered,2011
113,20091221,20091221,23167,BCS03659,9,Strata,Registered,2009
114,20100120,20100824,33260,BCP45684,6,Subdivision,Registered,2010
115,20100129,20100301,33253,BCP43770,6,Subdivision,Registered,2010
116,20100129,20100310,33255,BCP43766,3,Reference Plan,Registered,2010
117,20100129,20100330,33273,BCP44102,2,Explanatory,Registered,2010
118,20100129,20100217,33272,BCP43641,2,Explanatory,Registered,2010
119,20100129,20100820,33261,BCP45685,3,Reference Plan,Registered,2010
120,20100129,20100429,33271,BCP44270,2,Explanatory,Registered,2010
121,20090325,20090325,22719,BCP40252,3,Reference Plan,Registered,2009
122,19851030,20070522,17579,70143,6,Subdivision,Registered,1985
123,19980717,20070518,31230,LMP38537,3,Reference Plan,Registered,1998
124,19850801,20070518,29003,9722,2,Explanatory,Registered,1946
125,19850801,20070518,26241,62734,0,Bylaw,Registered,1981
126,19850801,20070518,14425,31601,6,Subdivision,Registered,1967
127,19940224,20070518,19718,LMP14011,6,Subdivision,Registered,1993
128,20110321,20110321,34090,BCP47527,3,Reference Plan,Registered,2011
129,20110321,20111025,34097,BCP49287,4,Right of Way,Registered,2011
130,20110321,20110725,34098,BCP48591,2,Explanatory,Registered,2011
131,20110321,20110524,34055,BCP47269,3,Reference Plan,Registered,2011
132,20100714,20111102,33621,BCP48467,2,Explanatory,Registered,2011
133,20100429,20100521,33475,BCP44405,3,Reference Plan,Registered,2010
134,20100429,20100506,33447,BCP44462,3,Reference Plan,Registered,2010
135,20100429,20101213,33442,BCP45071,4,Right of Way,Registered,2010
136,20100429,20100611,33441,BCP44701,4,Right of Way,Registered,2010
137,20100429,20100603,33529,BCP44719,2,Explanatory,Registered,2010
138,20100429,20100429,33472,BCP44456,4,Right of Way,Registered,2010
139,20100429,20100604,22850,BCP44601,3,Reference Plan,Registered,2010
140,20100209,20110412,33292,BCP43779,6,Subdivision,Registered,2010
141,20060322,20110412,9414,BCP22646,3,Reference Plan,Registered,2006
142,20061010,20110412,9498,BCP23411,3,Reference Plan,Registered,2006
143,20110527,20110527,34189,BCP48002,3,Reference Plan,Registered,2011
144,20091110,20100518,23085,BCS03661,9,Strata,Registered,2009
145,20091109,20091110,23070,BCP42423,2,Explanatory,Registered,2009
146,20091110,20091110,23071,BCP42424,2,Explanatory,Registered,2009
147,20091110,20110816,23088,BCP48772,3,Reference Plan,Registered,2011
148,20091110,20110816,23089,BCP48775,2,Explanatory,Registered,2011
149,20110613,20110819,34238,BCS03748-05,9,Strata,Registered,2011
150,20100812,20110210,23081,EPP08493,3,Reference Plan,Registered,2010
151,20100812,20101007,33670,BCS03937-01,9,Strata,Registered,2010
152,20101125,20110104,33366,BCP46888,6,Subdivision,Registered,2010
153,20101125,20110325,33884,BCS03293-06,9,Strata,Registered,2010
154,20110121,20110121,34006,EPP00418,3,Reference Plan,Registered,2010
155,20101101,20110211,33831,BCP47232,2,Explanatory,Registered,2011
156,20101115,20110628,33870,BCS04099-01,9,Strata,Registered,2011
157,20101101,20101101,33792,EPP09307,4,Right of Way,Registered,2010
158,20101115,20110117,22556,BCP47070,6,Subdivision,Registered,2010
159,20101115,20110104,33490,BCP46861,6,Subdivision,Registered,2010
160,20101115,20110426,33871,BCP47850,6,Subdivision,Registered,2011
161,20101115,20110107,33869,BCS03748-03,9,Strata,Registered,2010
162,20101115,20101213,33851,BCP46639,2,Explanatory,Registered,2010
163,20101115,20101213,33873,BCP46664,4,Right of Way,Registered,2010
164,20101115,20101126,33874,BCP46545,4,Right of Way,Registered,2010
165,20091120,20100715,23112,BCP45232,2,Explanatory,Registered,2010
166,20100610,20100610,33545,BCP44569,3,Reference Plan,Registered,2010
167,20100610,20100827,33556,BCP45664,2,Explanatory,Registered,2010
168,20100610,20100610,33560,EC-068-386,2,Explanatory,Early Copy,2010
169,20100610,20100610,33541,BCP44799,4,Right of Way,Registered,2010
170,20100610,20100716,33552,BCS02704-05,9,Strata,Registered,2010
171,20100817,20100817,33674,EPP08503,4,Right of Way,Registered,2010
172,20100928,20101102,33753,BCP46265,6,Subdivision,Registered,2010
173,20100928,20110325,33759,BCS03293-05,9,Strata,Registered,2010
174,20021101,20080128,20705,LMP42537,6,Subdivision,Registered,1999
175,20090831,20090921,22958,BCP42049,4,Right of Way,Registered,2009
176,20090810,20090810,22936,BCP41615,4,Right of Way,Registered,2009
177,20110714,20110823,34292,BCS04188-01,9,Strata,Registered,2011
178,20110714,20110714,,BCP48336,3,Reference Plan,Registered,2011
179,20110719,20110926,34305,BCS04191-01,9,Strata,Registered,2011
180,20110719,20110719,34278,BCP46770,3,Reference Plan,Registered,2011
181,20110719,20110719,34307,BCP48387,3,Reference Plan,Registered,2011
182,20110719,20110719,34272,EPP04732,3,Reference Plan,Registered,2011
183,20110719,,,,3,Reference Plan,,
184,20110804,20110816,34329,BCP48794,4,Right of Way,Registered,2011
185,20110804,20110804,34233,BCP48244,3,Reference Plan,Registered,2011
186,20090217,20090217,22642,BCP39818,4,Right of Way,Registered,2009
187,20090217,20090217,22490,BCP39085,4,Right of Way,Registered,2009
188,20090217,20090311,22647,BCP39937,2,Explanatory,Registered,2009
189,20090217,20090217,11153,BCP32072,4,Right of Way,Registered,2007
190,20090223,20090223,19432,BCP32583,4,Right of Way,Registered,2007
191,20090223,20090325,22653,BCP40243,3,Reference Plan,Registered,2009
192,20090305,20090723,22654,BCP41429,6,Subdivision,Registered,2009
193,20090217,20090311,22646,BCP39938,2,Explanatory,Registered,2009
194,20090217,20090217,22634,LMP51735,2,Explanatory,Registered,2001
195,20090220,20090220,22631,BCP39491,4,Right of Way,Registered,2008
196,20090223,20090223,19432,BCP32583,4,Right of Way,Registered,2007
197,20090306,20090306,22674,BCP05330,4,Right of Way,Registered,2003
198,20090306,20090325,22671,BCP40249,4,Right of Way,Registered,2009
199,20090306,20090306,22670,BCP05129,4,Right of Way,Registered,2003
200,20090306,20090306,22672,BCP05399,4,Right of Way,Registered,2003
201,20090306,20090306,22673,BCP04457,4,Right of Way,Registered,2003
202,20091105,20100119,23075,BCP43037,6,Subdivision,Registered,2009
203,20090130,20090130,22606,LMP53718,4,Right of Way,Registered,2002
204,20091215,20100216,23144,BCP43655,6,Subdivision,Early Copy,2010
205,20091215,20100329,23138,BCP43980,6,Subdivision,Registered,2010
206,20091215,20091215,23140,EC-032-261,3,Reference Plan,Early Copy,2009
207,20091215,20100122,23139,BCP43308,6,Subdivision,Registered,2009
208,20110623,20110829,34258,BCP48974,3,Reference Plan,Registered,2011
209,19850801,20110623,12811,16308,6,Subdivision,Registered,1956
210,20050920,20110623,1187,BCP19485,3,Reference Plan,Registered,2005
211,20080410,20080410,10552,BCP30107,2,Explanatory,Registered,2007
212,19860206,20070509,25311,52779,4,Right of Way,Registered,1977
213,20010615,20070509,31893,LMP47415,4,Right of Way,Registered,2000
214,19860210,20070509,25637,56215,4,Right of Way,Registered,1979
215,19870602,20070509,27371,74408,4,Right of Way,Registered,1987
216,19930505,20070509,28307,82991,4,Right of Way,Registered,1989
217,19860602,20070509,25553,55014,4,Right of Way,Registered,1978
218,19881118,20070509,27790,78234,4,Right of Way,Registered,1988
219,20110727,20110822,34335,EPP13992,4,Right of Way,Registered,2011
220,20110727,20110822,34336,EPP13746,4,Right of Way,Registered,2011
221,20110802,20111109,34327,BCP49281,6,Subdivision,Registered,2011
222,20110802,20111104,34326,BCP49272,6,Subdivision,Registered,2011
223,20091123,20100128,23117,BCS02897-07,9,Strata,Registered,2009
224,20091123,20091123,23116,BCP42860,4,Right of Way,Registered,2009
225,20091123,20100219,23113,BCP43500,4,Right of Way,Registered,2010
226,20100215,20100330,33310,BCP43781,2,Explanatory,Registered,2010
227,20100215,20100216,33308,EPP05913,3,Reference Plan,Registered,2010
228,20100603,20100603,33527,BCP44631,3,Reference Plan,Registered,2010
229,20100603,20100603,33530,BCP44785,4,Right of Way,Registered,2010
230,20100603,20100603,33525,BCP44537,3,Reference Plan,Registered,2010
231,20100603,20100817,33515,BCP45300,4,Right of Way,Registered,2010
232,20100603,20100716,33540,BCP45160,3,Reference Plan,Registered,2010
233,20100603,20100816,33539,BCP45568,3,Reference Plan,Registered,2010
234,20100603,20100816,33538,BCP45502,3,Reference Plan,Registered,2010
235,20100603,20100629,33537,BCP45023,3,Reference Plan,Registered,2010
236,20100621,20100819,23161,BCP45616,6,Subdivision,Registered,2010
237,20100922,20100922,33616,BCP45896,2,Explanatory,Registered,2010
238,20100621,20100709,33579,BCP45190,6,Subdivision,Registered,2010
239,20100621,20100709,33578,BCP45191,3,Reference Plan,Registered,2010
240,20100715,20100715,33604,EPP05059,3,Reference Plan,Registered,2010
241,20100715,20100715,33603,EPP05058,3,Reference Plan,Registered,2010
242,20100818,20100818,33684,LMP34937,4,Right of Way,Registered,1997
243,20100922,20100922,33744,BCP45787,2,Explanatory,Registered,2010
244,20091008,20091201,23018,BCS03003-05,9,Strata,Registered,2009
245,20110517,20110517,33825,BCP47879,2,Explanatory,Registered,2011
246,20110517,20110517,33826,BCP47878,2,Explanatory,Registered,2011
247,20080717,20080815,22188,BCP37175,4,Right of Way,Registered,2008
248,20090722,20090722,22896,BCP41403,4,Right of Way,Registered,2009
249,19910806,20080304,29312,LMP00641,4,Right of Way,Registered,1991
250,20030417,20070509,7659,BCP04192,4,Right of Way,Registered,2003
251,20060302,20070509,1336,BCP13577,4,Right of Way,Registered,2004
252,19850801,20070509,26172,62055,4,Right of Way,,
253,19860415,20070509,25944,59671,4,Right of Way,Registered,1980
254,19981113,20070509,31158,LMP37355,4,Right of Way,Registered,1998
255,19910111,20070509,28875,87522,4,Right of Way,Registered,1990
256,19860219,20070509,25326,52894,4,Right of Way,Registered,1977
257,20000503,20070509,27730,77854,4,Right of Way,Registered,1988
258,20020625,20070509,6816,LMP53265,4,Right of Way,Registered,2002
259,19810717,20070509,26193,62289,4,Right of Way,Registered,1981
260,19950724,20070509,29914,LMP17527,4,Right of Way,Initiated,
261,19890320,20070509,28114,81398,4,Right of Way,Registered,1989
262,19880205,20070509,27434,75046,4,Right of Way,Registered,1987
263,20110321,20110321,34101,BCP47693,2,Explanatory,Registered,2011
264,20110321,20110708,8751,BCP48440,6,Subdivision,Registered,2011
265,20110321,20110615,34100,BCS04076,9,Strata,Registered,2011
266,20110321,20110614,33765,BCP48280,6,Subdivision,Registered,2011
267,20110321,20110426,34079,BCS03910-02,9,Strata,Registered,2011
268,20080723,20080723,22178,BCP36858,4,Right of Way,Registered,2008
269,20080723,20080723,22211,BCP36436,4,Right of Way,Registered,2008
270,20080723,20080723,22213,BCP36912,4,Right of Way,Registered,2008
271,20080723,20080723,22223,BCS02975,9,Strata,Registered,2008
272,20080424,20080424,6741,BCP19984,4,Right of Way,Registered,2005
273,20080501,20080501,22022,EPP00473,3,Reference Plan,Registered,2008
274,20080423,20080423,1762,EC-031-236,4,Right of Way,Early Copy,2005
275,20070530,20080414,10714,BCP32092,6,Subdivision,Registered,2007
276,20080415,20080415,4981,BCP09374,2,Explanatory,Registered,2004
277,20080414,20080414,11308,BCP32094,6,Subdivision,Registered,2007
278,20080414,20080414,10141,BCP28551,6,Subdivision,Registered,2007
279,20080415,20080415,30689,LMP30435,2,Explanatory,Registered,1996
280,20080414,20080414,11352,BCP30838,6,Subdivision,Registered,2007
281,20080415,20080415,11276,BCP23236,2,Explanatory,Registered,2006
282,20080415,20080415,11161,BCP31447,3,Reference Plan,Registered,2007
283,20080414,20080414,21935,BCP34777,6,Subdivision,Registered,2007
284,20080415,20080415,11209,BCP32086,2,Explanatory,Registered,2007
285,20080415,20080415,11154,BCP32430,2,Explanatory,Registered,2007
286,20080415,20080415,5406,BCP00980,2,Explanatory,Registered,2002
287,20100215,20100217,33312,BCP43663,2,Explanatory,Registered,2010
288,20100215,20100216,33307,EPP05912,3,Reference Plan,Registered,2010
289,20100215,20100521,33311,BCP44438,2,Explanatory,Registered,2010
290,20100712,20100913,33608,BCP45895,6,Subdivision,Registered,2010
291,20100215,20100330,33309,BCP43780,2,Explanatory,Registered,2010
292,20100215,20100421,33305,BCP44241,3,Reference Plan,Registered,2010
293,20100215,20100217,33302,BCP43625,3,Reference Plan,Registered,2010
294,20100712,20100910,33611,BCP45738,6,Subdivision,Registered,2010
295,20100712,20100927,33609,BCP45828,6,Subdivision,Registered,2010
296,20100712,20110711,33615,BCP48466,6,Subdivision,Registered,2011
297,20100112,20100112,23163,BCP43225,4,Right of Way,Registered,2010
298,20100112,20100201,23176,BCP43494,4,Right of Way,Registered,2010
299,20100112,20100112,23181,BCP43177,4,Right of Way,Registered,2010
300,20100112,20100112,23015,BCP42155,4,Right of Way,Registered,2010
301,20110328,20110516,34106,BCS02897-15,9,Strata,Registered,2011
302,20110328,20110706,34116,BCP48371,6,Subdivision,Registered,2011
303,20080402,20080402,10658,BCP30642,2,Explanatory,Registered,2007
304,20080402,20080402,11165,BCP34200,2,Explanatory,Registered,2008
305,20080402,20090318,11126,BCP33238,3,Reference Plan,Registered,2007
306,20080402,20080402,11148,BCP32028,3,Reference Plan,Registered,2007
307,20070822,20080128,11014,BCP31240,4,Right of Way,Registered,2007
308,20051209,20080128,9123,BCP24152,6,Subdivision,Registered,2005
309,20070719,20080128,10949,BCP31792,6,Subdivision,Registered,2007
310,20090217,20090217,1215,BCP30516,4,Right of Way,Registered,2007
311,20090217,20090311,22522,BCP40045,3,Reference Plan,Registered,2009
312,20110602,20110602,34230,EPP12859,4,Right of Way,Registered,2011
313,20110621,20110810,34252,BCP48726,6,Subdivision,Registered,2011
314,20091223,20100330,23170,BCS03268-05,9,Strata,Registered,2010
315,19850801,20091223,26345,63803,6,Subdivision,Registered,1982
316,20070117,20091223,9797,BCP28679,6,Subdivision,Registered,2006
317,20081001,20091223,22370,BCS02897-04,9,Strata,Registered,2008
318,20100326,20100514,33379,BCS03648-02,9,Strata,Registered,2010
319,20100326,20100514,33380,BCS03648-03,9,Strata,Registered,2010
320,20100407,20100513,33404,BCP44543,3,Reference Plan,Registered,2010
321,20100407,20100512,33395,BCP44511,3,Reference Plan,Registered,2010
322,20100407,20100816,33396,BCP45544,3,Reference Plan,Registered,2010
323,20100407,20100608,33397,BCP44658,3,Reference Plan,Registered,2010
324,20110406,20110406,34110,BCP46773,3,Reference Plan,Registered,2010
325,20100407,20100517,33403,BCP44439,2,Explanatory,Registered,2010
326,20110622,20110628,34123,BCS04082-01,9,Strata,Registered,2011
327,20110622,20110810,34253,BCP48738,6,Subdivision,Registered,2011
328,20040330,20070509,7062,BCP02274,4,Right of Way,Registered,2003
329,19980626,20070509,30951,LMP34197,4,Right of Way,Registered,1997
330,20010322,20070509,31684,LMP44101,4,Right of Way,Registered,2000
331,19860326,20070509,25140,49924,4,Right of Way,Registered,1976
332,20030708,20070509,30179,LMP21741,4,Right of Way,Registered,1995
333,19900425,20070509,28403,83797,4,Right of Way,Registered,1989
334,19920403,20070509,29809,LMP1573,4,Right of Way,Registered,1991
335,19890922,20070509,28027,80502,4,Right of Way,Registered,1989
336,19980604,20070509,30957,LMP34382,4,Right of Way,Registered,1997
337,20041118,20070509,1681,BCP10620,4,Right of Way,Registered,2004
338,20040616,20070509,1058,BCP03444,4,Right of Way,Registered,2003
339,20070221,20071113,10039,BCP26062,4,Right of Way,Registered,2006
340,19860718,20070509,24645,42940,4,Right of Way,Registered,1975
341,20030326,20070509,31755,LMP45414,4,Right of Way,Registered,2000
342,20070228,20071113,10305,BCP28105,4,Right of Way,Early Copy,2007
343,20010608,20070509,31978,LMP48557,4,Right of Way,Registered,2001
344,19860317,20070509,27029,70842,4,Right of Way,Registered,1986
345,19930420,20070509,29473,LMP10633,4,Right of Way,Registered,1993
346,19860219,20070509,26560,66076,4,Right of Way,Registered,1983
347,19860416,20070509,26168,61986,4,Right of Way,Registered,1981
348,19860214,20070509,26181,62139,4,Right of Way,Registered,1981
349,20010427,20070509,29516,LMP11270,4,Right of Way,Registered,1993
350,20040303,20070509,3900,BCP08517,4,Right of Way,Registered,2003
351,19860611,20070509,26959,70141,4,Right of Way,Registered,1985
352,19860617,20070509,26760,68062,4,Right of Way,Registered,1984
353,19850801,20070509,25541,54881,4,Right of Way,,
354,20000417,20070509,29561,LMP11992,4,Right of Way,Registered,1993
355,20041026,20070509,6309,BCP13586,4,Right of Way,Registered,2004
356,20000425,20070509,30838,LMP32845,4,Right of Way,Registered,1997
357,20070323,20070509,9691,BCP23557,4,Right of Way,Registered,2006
358,19881107,20070509,27908,79216,4,Right of Way,Registered,1988
359,19990713,20070509,29835,LMP16089,4,Right of Way,Registered,1994
360,19860205,20070509,24594,42067,4,Right of Way,Registered,1972
361,20060227,20070509,9340,BCP21662,4,Right of Way,Registered,2006
362,20010409,20070509,29590,LMP12329,4,Right of Way,Registered,1993
363,19900820,20070509,28655,85977,4,Right of Way,Registered,1990
364,19850801,20070509,24135,313441C,4,Right of Way,,
365,19990715,20070509,30048,LMP19564,4,Right of Way,Registered,1994
366,20010514,20070509,31022,LMP35067,4,Right of Way,Registered,1997
367,19850801,20070509,25736,57213,4,Right of Way,,
368,19860124,20070509,26350,63850,4,Right of Way,Registered,1982
369,20040630,20070509,4432,BCP11599,4,Right of Way,Registered,2004
370,19871021,20070509,27198,72538,4,Right of Way,Registered,1986
371,20000504,20070509,28801,86929A,4,Right of Way,Registered,1991
372,19881124,20070509,27769,78109,4,Right of Way,Registered,1988
373,20000501,20070509,31051,LMP35609,4,Right of Way,Registered,1997
374,19920325,20070509,30683,LMP3033,4,Right of Way,Registered,1992
375,19871130,20070509,27564,76317,4,Right of Way,Registered,1987
376,19860908,20070509,27205,72584,4,Right of Way,Registered,1986
377,19870624,20070509,27388,74602,4,Right of Way,Registered,1987
378,19861121,20070509,27146,71960,4,Right of Way,Registered,1986
379,19881129,20070509,27721,77753,4,Right of Way,Registered,1988
380,20000505,20070509,28090,81066,4,Right of Way,Registered,1989
381,19860516,20070509,27091,71317,4,Right of Way,Registered,1986
382,19860730,20070509,27550,76137,4,Right of Way,Registered,1988
383,19890515,20070509,28103,81244,4,Right of Way,Registered,1989
384,19890320,20070509,27801,78279,4,Right of Way,Registered,1988
385,19860929,20070509,26817,68549,4,Right of Way,Registered,1984
386,20111125,20111125,34589,BCS04273,9,Strata,Registered,2011
387,20100121,20100423,22007,BCP44268,6,Subdivision,Registered,2010
388,20100428,20100609,33464,BCP44709,3,Reference Plan,Registered,2010
389,20021025,20100121,31183,LMP3768,4,Right of Way,Registered,1992
390,20100121,20100215,23192,BCP43660,3,Reference Plan,Registered,2010
391,20100121,20100512,33257,BCS03606-02,9,Strata,Registered,2010
392,20100121,20100121,33267,BCS03689,9,Strata,Registered,2010
393,19850801,20070509,24206,332335C,4,Right of Way,,
394,20050707,20070509,4568,BCP17263,4,Right of Way,Registered,2005
395,19860306,20070509,23901,25410,4,Right of Way,Registered,1963
396,19981030,20070509,32533,LMP8808,4,Right of Way,Registered,1993
397,20000504,20070509,28668,86051,4,Right of Way,Registered,1990
398,19860204,20070509,26565,66119,4,Right of Way,Registered,1983
399,19860812,20070509,25707,57005,4,Right of Way,Registered,1979
400,19960214,20070509,30153,LMP21264,4,Right of Way,Registered,1996
401,20030411,20070509,8555,BCP03625,4,Right of Way,Registered,2003
402,20030213,20070509,32051,LMP49429,4,Right of Way,Registered,2001
403,20020322,20070509,32092,LMP49767,4,Right of Way,Registered,2001
404,20010622,20070509,32052,LMP49430,4,Right of Way,,2001
405,20000313,20070509,31583,LMP42745,4,Right of Way,Registered,1999
406,19930816,20070509,29506,LMP11175,4,Right of Way,Registered,1993
407,19860131,20070509,25610,55860,4,Right of Way,Registered,1978
408,20030317,20070509,31792,LMP45860,4,Right of Way,Registered,2000
409,19860710,20070509,25269,52165,4,Right of Way,Registered,1977
410,20010418,20070509,28617,85751,4,Right of Way,Registered,1990
411,19881108,20070509,27010,70713,4,Right of Way,Registered,1985
412,19861002,20070509,25651,56320,4,Right of Way,Registered,1979
