,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LOCATION,MAP_NO,MOD_DATE,NAME,OWNER,PROJECT_NO,SENSITIVITY,STATUS,WARRANTYDATE,WATER_BODY_TYPE,YR
576,,,,20110607,1001200236,,,,146,20111114,,Private,,B,In Service,,Lake,
577,,,,20110607,1001200237,,,,146,20111114,,Private,,B,In Service,,Lake,
578,,,,20110607,1001200238,,,,146,20111114,,Private,,B,In Service,,Lake,
579,"As Per July 20, 2011 Engineering ERC",,,20111114,1001219709,Final AB,,,068,20111114,,Private,,B,In Service,,Lake,2011
580,Guildford Golf Course,,,20111115,1001220470,Final AB,,7929 152 St,053,20120606,Above Ground Municipal DP,Surrey,7899-0172-00,B,In Service,,Lake,2000
581,,,,20111108,1001218427,Final AB,,8022 146 St,043,20120606,Bear Crk Side Pond,Surrey,,A,In Service,,Lake,
582,,,,20111110,1001219480,Final AB,1001218427,8022 146 St,043,20120606,Bear Crk Side Pond,Surrey,,C,In Service,,Lake,
583,,,,20120412,1001407989,,,,097,20120606,,Private,,C,In Service,,Lake,
584,,,,20160223,1001861209,Final AB,,,026,20160224,,Provincial,SFPR Seg. F1,AO,In Service,,Wet Detention Pond,2013
585,,,,20111114,1001220160,Final AB,,Chantrell Park ,112,20120315,Chantrell DP North,Surrey,4895-602,A,In Service,,Lake,1995
586,,,,20111110,1001219671,Final AB,,,059,20120320,Private Pond,Private,,C,In Service,,Lake,2011
587,,,,20111114,1001219703,Final AB,,,056,20120320,,Private,,AO,In Service,,Forebay,2011
588,,,,20111114,1001220186,Final AB,,,117,20120402,Laura Ponds,Private,,A,In Service,,Lake,2011
589,Updated to SHIM 2011,,,20120509,1001412081,,,,048,20120509,South Latimer Crk,Surrey,,A,In Service,,Wetlands,
590,Updated to SHIM 2011,,,20120509,1001412080,,,,,20120509,,Surrey,,B,In Service,,Lake,
591,Updated to SHIM 2011,,,20111114,1001219697,Final AB,,,048,20120509,,Private,,A,In Service,,Lake,2011
592,Updated to SHIM 2011,,,20111114,1001219701,Final AB,,,049,20120509,,Private,,B,In Service,,Lake,2011
593,Updated to SHIM 2011,,,20120509,1001412082,,,,048,20120509,,Surrey,,C,In Service,,Wetlands,
594,,,,20111114,1001219702,Final AB,,,049,20120509,,Private,,A,In Service,,Lake,2011
595,Updated to SHIM 2011,,,20120509,1001412095,,,,048,20120509,,Surrey,,A,In Service,,Wetlands,
596,,,,20120509,1001412076,,,,,20120509,,Surrey,,B,In Service,,Lake,
597,Updated to SHIM 2011,,,20111114,1001219698,Final AB,,,049,20120509,,Private,,B,In Service,,Lake,2011
598,,,,20111115,1001220579,Final AB,,,112,20130723,Above Ground Municipal,Surrey,9444,C,In Service,,Dry Detention Pond,1980
599,,,,20111115,1001220586,Final AB,,,041,20130723,Above Ground Municipal,Surrey,4898-605,C,In Service,,Dry Detention Pond,1999
600,,,,20111115,1001220575,Final AB,,,063,20130723,Above Ground Municipal,Surrey,7801-0135-00,B,In Service,,Wetlands,2003
601,,,,20111115,1001220691,Final AB,,,135,20130723,Above Ground Municipal,Surrey,A166,C,In Service,,Dry Detention Pond,1981
602,,,,20111115,1001220621,Final AB,,,045,20130723,Above Ground Municipal,Surrey,7893-0064-00,C,In Service,,Dry Detention Pond,2000
603,,,,20111115,1001220577,Final AB,,,112,20130723,Above Ground Municipal,Surrey,7887-3087,C,In Service,,Dry Detention Pond,1990
604,,,,20111115,1001220704,,,,050,20130723,Above Ground Municipal,Surrey,9550,C,In Service,,Dry Detention Pond,1980
605,,,,20111115,1001220574,Final AB,,,041,20130723,Above Ground Municipal,Surrey,5097-134,C,In Service,,Dry Detention Pond,1999
606,,,,20111115,1001220692,Final AB,,,135,20130723,Above Ground Municipal,Surrey,A387,C,In Service,,Dry Detention Pond,1983
607,,,,20111115,1001220694,Final AB,,,135,20130723,Above Ground Municipal,Surrey,A558,C,In Service,,Dry Detention Pond,1983
608,Detention Pond,,,20111115,1001220659,Final AB,,,078,20140723,Above Ground Municipal,Surrey,7886-0680-00,C,In Service,,Dry Detention Pond,1990
609,Detention Pond,,,20140721,1001756697,Final AB,,,052,20140722,,Surrey,3486,,In Service,,Lake,1979
610,Detention Pond,,,20140721,1001756749,Final AB,,,,20140722,,Surrey,9462,,In Service,,Lake,1980
611,Detention Pond,,,20140722,1001757161,Final AB,,,,20140722,,Surrey,A-531,,In Service,,Lake,1982
612,Detention Pond,,,20111115,1001220663,Final AB,,,078,20140723,Above Ground Municipal,Surrey,7886-0442-00,C,In Service,,Dry Detention Pond,1987
613,Detention Pond,,,20140722,1001757130,Final AB,,,,20140722,,Surrey,7881-3910-00,,In Service,,Lake,1986
614,Detention Pond,,,20140722,1001756909,Final AB,,,,20140722,,Surrey,7886-4892-00,,In Service,,Lake,1988
615,Detention Pond,,,20140722,1001757168,Final AB,,,,20140722,,Surrey,A-531,,In Service,,Lake,1982
616,Detention Pond,,,20111115,1001220615,Final AB,,,078,20140723,Above Ground Municipal,Surrey,7886-0347-00,C,In Service,,Dry Detention Pond,1988
617,Detention Pond,,,20111115,1001220665,Final AB,,,078,20140723,Above Ground Municipal,Surrey,D-1301,C,In Service,,Dry Detention Pond,1990
618,,,,20140723,1001757175,Final AB,,,061,20140723,,Surrey,A-417,,In Service,,Lake,1983
619,,,,20111115,1001220600,Final AB,,,071,20140722,Above Ground Municipal,Surrey,A-205,C,In Service,,Dry Detention Pond,1981
620,Detention Pond,,,20140703,1001755220,Final AB,,,061,20140723,,Surrey,9187,,In Service,,Lake,1979
621,Detention Pond,,,20140723,1001757210,Final AB,,,061,20140723,,Surrey,7881-0030-00,,In Service,,Lake,1984
622,,,,20111115,1001220596,Final AB,,,061,20140723,Above Ground Municipal,Surrey,A-389,C,In Service,,Dry Detention Pond,1982
623,Detention Pond,,,20140722,1001757101,Final AB,,,,20140722,,Surrey,7882-1920-00,,In Service,,Lake,1984
624,Detention Pond,,,20111115,1001220662,Final AB,,,078,20140723,Above Ground Municipal,Surrey,7887-0139-00,C,In Service,,Dry Detention Pond,1989
625,Detention Pond,,,20111115,1001220664,Final AB,,,078,20140723,Above Ground Municipal,Surrey,7886-0340-00,C,In Service,,Dry Detention Pond,1988
626,Detention Pond,,,20111115,1001220666,Final AB,,,078,20140723,Above Ground Municipal,Surrey,D-1301,C,In Service,,Dry Detention Pond,1990
627,Detention Pond,,,20111115,1001220660,Final AB,,,078,20140723,Above Ground Municipal,Surrey,7888-0574-00,C,In Service,,Dry Detention Pond,1990
628,Detention Pond,,,20140722,1001756956,,,,,20140722,,Surrey,7885-0277-00,,In Service,,Lake,1990
629,Detention Pond,,,20140723,1001757342,Final AB,,,061,20140723,,Surrey,9323,,In Service,,Lake,1979
630,Detention Pond,,,20140723,1001757202,Final AB,,,061,20140723,,Surrey,A-225,,In Service,,Lake,1981
631,Detention Pond,,,20111115,1001220661,Final AB,,,078,20140723,Above Ground Municipal,Surrey,7887-0134-00,C,In Service,,Dry Detention Pond,1988
632,"As per East Fraser Heights Env. Study June, 2015",,,20111110,1001219530,Final AB,,9965 179 St,027,20151013,Lyncean Pond South,Private,,B,In Service,,Lake,2011
633,"As per East Fraser Heights Env. Study June, 2015",,,20151013,1001842145,,,,,20151013,,Surrey,,A,In Service,,Wetlands,
634,"As per East Fraser Heights Env. Study June, 2015",,,20151013,1001842159,,,,,20151013,,Surrey,,B,In Service,,Wet Detention Pond,
635,,,,20111115,1001220608,Final AB,,,032,20140514,Above Ground Municipal,Surrey,7887-0523-00,C,In Service,,Dry Detention Pond,1990
636,,,,20111115,1001220606,Final AB,,,032,20140515,Above Ground Municipal,Surrey,7887-0439-00,C,In Service,,Dry Detention Pond,1990
637,,,,20111115,1001220607,Final AB,,,032,20140514,Above Ground Municipal,Surrey,7886-0225-00,C,In Service,,Dry Detention Pond,1988
638,,,,20111115,1001220605,Final AB,,,032,20140515,Above Ground Municipal,Surrey,A420,C,In Service,,Dry Detention Pond,1981
639,,,,20111115,1001220583,Final AB,,,032,20140514,Above Ground Municipal,Surrey,7886-0225-00,C,In Service,,Dry Detention Pond,1988
640,,,,20111115,1001220708,Final AB,,,022,20140523,Above Ground Municipal,Surrey,A-324,C,In Service,,Dry Detention Pond,1983
641,,,,20111115,1001220646,Final AB,,,014,20160426,Above Ground Municipal,Surrey,7887-3361-00,,In Service,,Wet Detention Pond,1987
642,,,,20111114,1001220102,Final AB,,,098,,,Surrey,,B,In Service,,Lake,2011
643,Updated to SHIM 2011,,,20120510,1001412146,,,,049,20140529,,Surrey,,A,In Service,,Wetlands,
644,,,,20111114,1001220106,Final AB,,,098,,Joey Brk,Surrey,,B,In Service,,Lake,2011
645,,,,20111114,1001220107,Final AB,,,098,,Gary Brk,Surrey,,B,In Service,,Lake,2011
646,,,,20111114,1001220108,Final AB,,,098,,Gary Brk,Surrey,,B,In Service,,Lake,2011
647,,,,20111114,1001220109,Final AB,,,098,,,Surrey,,C,In Service,,Lake,2011
648,Updated to SHIM 2011,,,20140529,1001751375,,1001412146,,049,20140529,,Surrey,,A,In Service,,Wetlands,
649,,,,20111110,1001219575,EC,,8425 196 St,049,20140529,Private Pond,Private,,A,In Service,,Lake,2011
650,,,,20111114,1001220133,Final AB,1001220109,,098,,,Surrey,,C,In Service,,Lake,2011
651,Updated to SHIM 2011,,,20111110,1001219571,EC,,Port Kells Park,049,20140529,Port Kells Park Wetland,Private,,A,In Service,,Wetlands,2001
652,,,,20111115,1001220701,Final AB,,,050,20140722,Above Ground Municipal,Surrey,A-249,C,In Service,,Dry Detention Pond,1981
653,,,,20111115,1001220702,Final AB,,,050,20140722,Above Ground Municipal,Surrey,7883-2820-00,C,In Service,,Dry Detention Pond,1986
