,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LOCATION,MAP_NO,MOD_DATE,NAME,OWNER,PROJECT_NO,SENSITIVITY,STATUS,WARRANTYDATE,WATER_BODY_TYPE,YR
66,"As Per July 20, 2011 Engineering ERC",,,20110817,1001209719,,,Fraser Hwy & 192 St NW Lots,068,20111110,McLellan Crk Ponds,Private,,B,In Service,,Lake,
67,"As Per July 20, 2011 Engineering ERC",,,20111110,1001219667,Final AB,,Fraser Hwy & 192 St NW Lots,068,20111110,McLellan Crk Ponds,Private,,B,In Service,,Lake,2011
68,"As Per July 20, 2011 Engineering ERC",,,20111110,1001219672,Final AB,,Fraser Hwy & 192 St NW Lots,068,20111110,McLellan Crk Ponds,Private,,B,In Service,,Lake,2011
69,,,,20111110,1001219655,Final AB,,,079,,,Surrey,,C,In Service,,Lake,2011
70,,,,20111115,1001220593,Final AB,,,078,20130627,Above Ground Municipal,Surrey,7886-4520,C,In Service,,Dry Detention Pond,1988
71,as per May 2007 ERC,,,20111110,1001219659,Final AB,,,075,,,Surrey,,B,In Service,,Lake,2011
72,,,,20110621,1001202007,EC,,19201 66A Ave,068,20130717,Private DP,Surrey,7807-0204-00,,Proposed,,Wet Detention Pond,2010
73,,,,20111115,1001220645,Final AB,,,014,20130722,Above Ground Municipal,Surrey,7887-5630,C,In Service,,Dry Detention Pond,1990
74,,,,20111110,1001219627,,1001219626,,119,20111114,25th Ave Ponds,Surrey,,A,In Service,,Lake,
75,,,,20111110,1001219628,,1001219626,,119,20111114,25th Ave Ponds,Surrey,,A,In Service,,Lake,
76,,,,20180321,1001925209,Initial AB,,,074,20180321,Harvest P.S.,Surrey,4815-4060-00,A,In Service,,Forebay,2017
77,,,,20111114,1001220141,Final AB,,,103,20111114,,Private,,AO,In Service,,Lake,2011
78,,,,20111115,1001220641,Final AB,,,123,20130723,Above Ground Municipal,Surrey,7884-456,C,In Service,,Dry Detention Pond,1985
79,,,,20111115,1001220711,Final AB,,,024,20130723,Above Ground Municipal,Surrey,7884-214,C,In Service,,Dry Detention Pond,1986
80,,,,20111114,1001220151,Final AB,,,103,20111114,,Private,,AO,In Service,,Lake,2011
81,,,,20170330,1001925224,EC,,Hook Brook P.S.,,20180321,Hook Brook,Surrey,D-958,,In Service,,Forebay,1992
82,Morgan Creek Ponds,,,20101119,1001182440,Final AB,,38 Ave & 158 St,105,20111115,,Surrey,,B,In Service,,Wet Detention Pond,1996
83,Morgan Creek Ponds,,,20101119,1001182442,Final AB,,38 Ave & 158 St,,20111115,,Surrey,,B,In Service,,Lake,1996
84,Morgan Creek Ponds,,,20101119,1001182443,Final AB,,38 Ave & 158 St,105,20111115,,Surrey,,B,In Service,,Wet Detention Pond,1996
85,Above Ground Municipal DP,,,20111115,1001220468,Final AB,,Hawthorne Park,012,20111115,Bon Accord Lake East,Surrey,4898-605,A,In Service,,Lake,1999
86,Greenridge Park Detention Pond,,,20111115,1001220467,Final AB,,3104 160 St,115,20111115,Above Ground Municipal DP,Surrey,7899-0179-00,A,In Service,,Lake,2003
87,Above Ground Muncipal DP,,,20111115,1001220469,Final AB,,Hawthorne Park,012,20111115,Bon Accord Lake East,Surrey,4898-605,A,In Service,,Lake,1999
88,Morgan Creek Ponds,,,20101119,1001182444,Final AB,,38 Ave & 158 St,,20111115,,Surrey,,B,In Service,,Lake,1996
89,Morgan Creek Ponds,,,20101119,1001182445,Final AB,,38 Ave & 158 St,,20111115,,Surrey,,B,In Service,,Lake,1996
90,Morgan Creek Ponds,,,20101119,1001182446,Final AB,,38 Ave & 158 St,,20111115,,Surrey,,B,In Service,,Lake,1996
91,Morgan Creek Ponds,,,20111115,1001220466,Final AB,,38 Ave & 158 St,104,20111115,Above Ground Municipal,Surrey,,B,In Service,,Wet Detention Pond,1996
92,,,,20111115,1001220714,Final AB,,,024,20130723,Above Ground Municipal,Surrey,9204,C,In Service,,Dry Detention Pond,1980
93,Golf Course Lakes,,,20101119,1001182433,Final AB,,16105 Morgan Crk Cresc,105,20111103,,Surrey,,A,In Service,,Lake,1995
94,Golf Course Lakes,,,20101119,1001182434,Final AB,,,105,20111103,,Surrey,,C,In Service,,Wet Detention Pond,
95,"As Per Apr 20, 2011 Engineering ERC",,,20110519,1001198243,,,,137,20110519,South Alder Greenhouses,Private,,C,In Service,,Lake,
96,,,,20160302,1001862605,Final AB,,,014,20160302,,Provincial,Gateway E1,,In Service,,Wet Detention Pond,2014
97,,,,20111115,1001220703,Final AB,,,050,20180403,Above Ground Municipal,Surrey,48996040-00,C,In Service,,Dry Detention Pond,2001
98,Updated by SHIM 2010,,,20111115,1001220542,Final AB,,195A St & 68 Ave,069,20120515,Above Ground Municipal DP,Surrey,7807-0056-00,C,In Service,,Lake,2009
99,Updated by SHIM 2010,,,20111115,1001220456,Final AB,,18590 Fraser Hwy Clayton Heights HS,068,20120515,Above Ground Municipal,Surrey,7801-0198-00,B,In Service,,Lake,2002
100,Updated by SHIM 2010,,,20120515,1001412910,,,,067,20120515,,Surrey,,A,In Service,,Lake,
101,Updated by SHIM 2010,,,20111115,1001220457,Final AB,,18590 Fraser Hwy Clayton Heights HS,068,20120515,Above Ground Municipal,Surrey,7803-0060-00,B,In Service,,Lake,2005
102,Updated by SHIM 2010,,,20111115,1001220535,,,68 Ave & 194 St,069,20120515,Above Ground Municipal,Surrey,4805-6030-00,C,In Service,,Lake,2010
103,,,,20130501,1001593795,,,,103,20130501,,Surrey,,A,In Service,,Lake,
104,,,,20130501,1001593796,,,,103,20130501,,Surrey,,A,In Service,,Lake,
105,,,,20111115,1001220674,Final AB,,,121,20130606,Above Ground Municipal,Surrey,7881-135,C,In Service,,Dry Detention Pond,1984
106,Detention Pond,,,20140721,1001756661,Final AB,,,052,20140721,,Surrey,7885-2890-00,,In Service,,Lake,1987
107,,,,20111115,1001220681,Final AB,,,121,20130606,Above Ground Municipal,Surrey,9367,C,In Service,,Dry Detention Pond,1980
108,,,,20111115,1001220679,Final AB,,,121,20130606,Above Ground Municipal,Surrey,9366,C,In Service,,Dry Detention Pond,1979
109,,,,20111115,1001220677,Final AB,,,121,20130606,Above Ground Municipal,Surrey,9536,C,In Service,,Dry Detention Pond,1980
110,,,,20111115,1001220678,Final AB,,,121,20130606,Above Ground Municipal,Surrey,9536,C,In Service,,Dry Detention Pond,1980
111,End of Road,,,20111116,1001220841,Final AB,,8078 KGB,042,20130712,Detention Pond,Private,7886-0720,C,In Service,,Lake,1989
112,Updated by SHIM 2010,,,20120515,1001220580,Final AB,,,069,20140303,Above Ground Municipal,Surrey,7804-0086-01,B,In Service,20080506,Lake,2007
113,Updated by SHIM 2006,,,20120625,1001416530,,,,,20140310,,Private,,A,In Service,,Lake,
114,Detention Pond,,,20140721,1001756717,Final AB,,,052,20140721,,Surrey,9463,,In Service,,Lake,1979
115,Detention Pond,,,20140721,1001756718,Final AB,,,052,20140721,,Surrey,9463,,In Service,,Lake,1979
116,Detention Pond,,,20140721,1001756702,Final AB,,,052,20140721,,Surrey,3486,,In Service,,Lake,1983
117,,,,20111115,1001220715,Final AB,,,051,20140721,Above Ground Municipal,Surrey,7883-2290-00,C,In Service,,Dry Detention Pond,1984
118,,,,20111115,1001220658,Final AB,,,078,20140721,Above Ground Municipal,Surrey,7887-0288-00,C,In Service,,Dry Detention Pond,1988
119,"As per Dillon O&M Assessment Feb, 2014",,,20111115,1001220687,Final AB,,Behind 6250 Killarny Dr @ 62A Ave,074,20140724,Above Ground Municipal,Surrey,9370,B,In Service,,Lake,1980
120,Detention Pond,,,20141107,1001796515,Final AB,,,112,20141107,,Surrey,4899-3190-00,,In Service,,Lake,2000
121,,,,20141208,1001724733,Final AB,,,115,20141208,Orchard Grove Detention Pond,Surrey,7813-0071-00,B,In Service,,Dry Detention Pond,2014
122,Drainage for Colebrook Park,,,20111114,1001219913,Final AB,,13256 Coulthard Rd,081,20111223,Private Pond,Private,,B,In Service,,Lake,2011
123,,,,20110614,1001201106,,,12300 Old Yale Rd,010,20111223,Private DP,Private,7806-0035-00,C,In Service,,Lake,2010
124,,,,20111117,1001220883,EC,,Between Mall & Hwy 99,124,20111223,Pond,Private,,B,In Service,,Lake,2010
125,,,,20120622,1001416379,Final AB,,,073,20120622,,Surrey,7802-0144-00,B,In Service,,Wetlands,2004
126,,,,20131118,1001718914,,,,114,20131118,,Private,,C,In Service,,Lake,
127,,,,20130227,1001569027,,,Surrey Golf Course,,20130227,056,Private,,C,In Service,,Lake,
128,,,,20130227,1001569032,,,Surrey Golf Course,,20130227,056,Private,,C,In Service,,Lake,
129,,,,20130227,1001569033,,,Surrey Golf Course,,20130227,056,Private,,C,In Service,,Lake,
130,,,,20130227,1001569034,,,Surrey Golf Course,,20130227,056,Private,,C,In Service,,Lake,
131,,,,20130227,1001569035,,,Surrey Golf Course,,20130227,056,Private,,C,In Service,,Lake,
132,,,,20130227,1001569036,,,Surrey Golf Course,,20130227,056,Private,,C,In Service,,Lake,
133,,,,20130227,1001569039,,,Surrey Golf Course,,20130227,056,Private,,C,In Service,,Lake,
134,,,,20130130,1001565661,,,Surrey Golf Course,056,20130227,,Private,,AO,In Service,,Lake,
135,,,,20130130,1001565776,,,Surrey Golf Course,056,20130227,,Private,,AO,In Service,,Lake,
136,,,,20130227,1001569024,,,Surrey Golf Course,,20130227,056,Private,,AO,In Service,,Lake,
137,,,,20130227,1001569025,,,Surrey Golf Course,,20130227,056,Private,,AO,In Service,,Lake,
138,,,,20130227,1001569026,,,Surrey Golf Course,,20130227,056,Private,,AO,In Service,,Lake,
139,,,,20130227,1001569045,,,Surrey Golf Course,056,20130227,,Private,,AO,In Service,,Lake,
140,,,,20111115,1001220595,Final AB,,,034,20140425,Above Ground Municipal,Surrey,7886-0267-00,C,In Service,,Dry Detention Pond,1987
141,,,,20111115,1001220630,Final AB,,,034,20140425,Above Ground Municipal,Surrey,7883-1740-00,C,In Service,,Dry Detention Pond,1986
142,,,,20111115,1001220631,Final AB,,,034,20140425,Above Ground Municipal,Surrey,7883-1740-00,C,In Service,,Dry Detention Pond,1986
143,,,,20111115,1001220670,Final AB,,,034,20140425,Above Ground Municipal,Surrey,7883-1740-00,C,In Service,,Dry Detention Pond,1986
144,,,,20111115,1001220671,Final AB,,,034,20140425,Above Ground Municipal,Surrey,7880-5360-00,C,In Service,,Dry Detention Pond,1986
145,,,,20111115,1001220673,Final AB,,,034,20140425,Above Ground Municipal,Surrey,A-431,C,In Service,,Dry Detention Pond,1982
146,,,,20111115,1001220638,Final AB,,,034,20140428,Above Ground Municipal,Surrey,7883-4060-00,C,In Service,,Dry Detention Pond,1985
147,,,,20140428,1001744152,,,,034,20140428,,Private,,C,In Service,,Wet Detention Pond,
148,,,,20111115,1001220590,Final AB,,,034,20140428,Above Ground Municipal,Surrey,7885-0172-00,C,In Service,,Dry Detention Pond,1986
149,,,,20171011,1001950651,Final AB,,,083,20171011,Panorama P.S.,Surrey,4815-4130-00,A,In Service,,Forebay,2017
150,,,,20111103,1001217913,Final AB,,,114,20140605,Grandview Detention Pond B,Surrey,7812-0166-00,B,In Service,,Lake,2014
151,,,,20111115,1001220636,Final AB,,ROW: 95A Ave & 155A St,034,20140617,Detention Ponds,Surrey,A-158,C,In Service,,Dry Detention Pond,1980
152,,,,20111115,1001220635,Final AB,,ROW: 95A Ave & 155A St,034,20140617,Detention Ponds,Surrey,7888-0001-00,C,In Service,,Dry Detention Pond,1990
153,,,,20111115,1001220632,Final AB,,ROW: 95A Ave & 155A St,034,20140617,Detention Ponds,Surrey,A358,C,In Service,,Dry Detention Pond,1984
154,,,,20111115,1001220684,Final AB,,,122,20130529,Above Ground Municipal,Surrey,7887-0300,C,In Service,,Other,1988
155,,,,20111117,1001220871,EC,1001220867,2204 160 St,125,20111117,Private Pond,Private,,C,In Service,,Other,
156,,,,20111115,1001220683,Final AB,,,122,20130529,Above Ground Municipal,Surrey,7887-6390,C,In Service,,Dry Detention Pond,1989
157,,,,20111117,1001220873,EC,1001220871,2204 160 St,125,20111117,Private Pond,Private,,C,In Service,,Other,
158,In John Tompson Park,,,20111117,1001220912,Final AB,,14324 Hawkstream Dr,052,20111117,Redtail Detention Pond,Surrey,7891-0032-00,B,In Service,,Dry Detention Pond,1994
159,Now with a walkway/Path through park,,,20111117,1001220921,Final AB,1001220919,Behind 9072 142A St,032,20111117,Semi-Dry Detention Pond,Surrey,7888-0672,C,In Service,,Dry Detention Pond,1990
160,Now with a walkway/Path through park,,,20111117,1001220919,Final AB,,Behind 9072 142A St,032,20111117,Semi-Dry Detention Pond,Surrey,7888-0672,C,In Service,,Dry Detention Pond,1990
161,,,,20111115,1001220589,Final AB,,,043,20130723,Above Ground Municipal,Surrey,7886-2250,C,In Service,,Dry Detention Pond,1988
162,"As Per Apr 20, 2011 Engineering ERC",,,20110519,1001198244,,,,137,20110519,South Alder Greenhouses,Surrey,,C,In Service,,Lake,2011
163,,,,20111115,1001220585,Final AB,,,023,20130723,Above Ground Municipal,Surrey,7883-127,C,In Service,,Dry Detention Pond,1987
164,,,,20111115,1001220689,Final AB,,,113,20130723,Above Ground Municipal,Surrey,7888-0020,C,In Service,,Dry Detention Pond,1990
165,,,,20111115,1001220613,Final AB,,,043,20130723,Above Ground Municipal,Surrey,A-572,C,In Service,,Dry Detention Pond,1984
166,,,,20111115,1001220639,Final AB,,,044,20130723,Above Ground Municipal,Surrey,1796-013,C,In Service,,Dry Detention Pond,1997
167,,,,20111115,1001220648,Final AB,,,023,20130723,Above Ground Municipal,Surrey,7886-4591,C,In Service,,Dry Detention Pond,1991
168,,,,20111115,1001220675,Final AB,,,121,20130723,Above Ground Municipal,Surrey,7886-2240 / 7886-453,C,In Service,,Dry Detention Pond,1990
169,,,,20111115,1001220647,Final AB,,,014,20130723,Above Ground Municipal,Surrey,7800-0139-00,C,In Service,,Dry Detention Pond,2001
170,,,,20111115,1001220603,Final AB,,,124,20130723,Above Ground Municipal,Surrey,7887-3810,C,In Service,,Dry Detention Pond,1990
171,,,,20111115,1001220587,Final AB,,,024,20130723,Above Ground Municipal,Surrey,9463,C,In Service,,Dry Detention Pond,1979
172,"As per Dec. 21, 2011 Eng ERC",,,20120202,1001359509,,,,,20120313,,Surrey,,C,In Service,,Lake,
173,As Per Enkon Report Feb 2015,,,20111114,1001220104,Final AB,,,097,20150507,,Surrey,,C,In Service,,Lake,2011
174,Updated by SHIM 2009,,,20110511,1001197469,,,,,20120524,Old Yale PS,Surrey,,AO,In Service,,Forebay,
175,,,,20111110,1001219566,,1001219532,Bothwell Pond,035,20120608,Bothwell Pond 2,Surrey,,A,In Service,,Lake,2011
176,,,,20130201,1001566157,,,Northview Golf Course,,20130201,,Surrey,,C,In Service,,Lake,
177,,,,20130201,1001566176,Initial AB,,Brown Road PS,065,20130201,,Private,,A,In Service,,Forebay,
178,,,,20111115,1001220676,Final AB,,,121,20130522,Above Ground Municipal,Surrey,9445,C,In Service,,Dry Detention Pond,1979
179,,,,20111114,1001220220,Final AB,,,136,20130610,,Private,,B,In Service,,Lake,2011
180,,,,20130820,1001699300,Final AB,,,062,20130820,,Surrey,7885-0180,C,In Service,,Dry Detention Pond,1986
181,,,,20100806,1001169319,Final AB,,,110,20131101,Maple St PS Dunsmuir Channel Forebay,Surrey,4810-3020-00,AO,In Service,,Forebay,2013
182,,,,20131107,1001717872,Final AB,1001220557,9932 127A St,020,20131107,Robson Park Det. Pond D,Surrey,4801-6010-00,B,In Service,,Lake,2010
183,,,,20131106,1001220558,Final AB,,9950 126 St,020,20131107,Robson Park Det. Pond B,Surrey,4801-6010-00,A,In Service,,Lake,2010
184,,,,20131107,1001717867,Final AB,,,020,20131107,Robson Park Pool B1,Surrey,4801-6010-00,A,In Service,,Lake,2010
185,,,,20131107,1001717871,Final AB,,,020,20131107,Robson Park Pool B2,Surrey,4801-6010-00,B,In Service,,Lake,2010
186,,,,20131107,1001220557,Final AB,,9932 127A St,020,20131107,Robson Park Det. Pond C,Surrey,4801-6010-00,B,In Service,,Lake,2010
187,Robson Park,,,20131106,1001220559,Final AB,,12576 100 Ave,020,20131107,Robson Park Det. Pond A,Surrey,4801-6010-00,A,In Service,,Lake,2010
188,,,,20111114,1001220196,Final AB,,,119,20131112,25th Ave Ponds,Surrey,,A,In Service,,Lake,2011
189,,,,20111115,1001220611,Final AB,,,042,20140717,Above Ground Municipal,Surrey,A505,B,In Service,,Dry Detention Pond,1985
190,Rain Garden,,,20120201,1001359448,Final AB,,Tynehead Bridge Pathway,025,20120201,,Surrey,3809-6090-00,C,In Service,,Dry Detention Pond,2011
191,Rain Garden,,,20120201,1001359453,Final AB,,Tynehead Bridge Pathway,025,20120201,,Surrey,3809-6090-00,C,In Service,,Dry Detention Pond,2011
192,,,,20161206,1001899220,Final AB,,,125,20161206,,Private,,,In Service,,Dry Detention Pond,1981
193,,,,20120403,1001407004,,,,,20120403,,Private,,A,In Service,,Lake,
194,,,,20120403,1001407005,,,,,20120403,,Private,,A,In Service,,Lake,
195,,,,20101130,1001183436,Final AB,,Northview GC,065,20130206,,Private,,C,In Service,,Lake,
196,,,,20111114,1001220191,Final AB,,,117,,,Surrey,,B,In Service,,Lake,2011
197,,,,20120412,1001407973,Final AB,,,087,20120413,Kwantlen University Wetland,Surrey,7801-0079-00,B,In Service,,Wetlands,2004
198,,,,20111114,1001220195,Final AB,,,119,20111114,25th Ave Ponds,Surrey,,A,In Service,,Lake,2011
199,,,,20111114,1001220197,Final AB,,,119,20111114,,Private,,B,In Service,,Lake,2011
200,,,,20111114,1001220161,Final AB,,,108,,,Surrey,,AO,In Service,,Lake,2011
201,,,,20111115,1001220685,Final AB,,,122,20130129,Above Ground Municipal,Surrey,A440,C,In Service,,Dry Detention Pond,1980
202,,,,20111115,1001220464,Final AB,,15245 80 Ave,044,20111115,Above Ground Municipal DP,Surrey,7888-0442,C,In Service,,Dry Detention Pond,1986
203,,,,20130121,1001564090,,,,106,20130121,,Private,,C,In Service,,Lake,
204,,,,20140428,1001744151,,,,034,20140428,,Private,,C,In Service,,Wet Detention Pond,
205,"On ""City Road Lot""",,,20111115,1001220566,Final AB,,6740 176 St,067,20111115,Above Ground Private,Provincial,MOTH 71101-2005,B,In Service,,Wet Detention Pond,2007
206,,,,20111115,1001220686,Final AB,,,122,20130129,Above Ground Municipal,Surrey,A440,C,In Service,,Other,1981
207,,,,20111115,1001220572,Final AB,,15350 16A Ave,124,20111115,Above Ground Private DP,Private,7885-5220,C,In Service,,Dry Detention Pond,1990
208,,,,20130204,1001566282,,,,075,20130204,64 Ave PS,Surrey,,A,In Service,,Forebay,
209,Updated to SHIM 2011,,,20120514,1001412387,,,,038,20120514,,Surrey,,C,In Service,,Wetlands,
210,,,,20120514,1001412505,,,,077,20120514,,Surrey,,C,In Service,,Lake,
211,,,,20111115,1001220717,Final AB,,,077,20120514,Above Ground Municipal,Surrey,99029,C,In Service,,Lake,2006
212,,,,20111115,1001220718,Final AB,,,077,20120514,Above Ground Municipal,Surrey,99029,C,In Service,,Lake,2006
213,Updated to SHIM 2011,,,20111110,1001219529,Final AB,,9034 187 St,038,20120514,Private Pond,Private,,B,In Service,,Wetlands,2011
214,Updated to SHIM 2011,,,20111110,1001219524,Final AB,,8908 192 St,039,20120514,Bartesko Pond,Private,,A,In Service,,Lake,2011
215,,,,20101130,1001183391,Final AB,,Northview GC,065,20130207,,Private,,C,In Service,,Wet Detention Pond,
216,,,,20140325,1001736779,Final AB,,,035,20140325,,Surrey,7888-0220-00,C,In Service,,Dry Detention Pond,1990
217,,,,20140321,1001736558,Final AB,,,,20140321,,Surrey,7887-0431-00,C,In Service,,Lake,1988
218,,,,20140321,1001736557,Final AB,,,,20140321,,Surrey,7888-0071-00,C,In Service,,Lake,1989
219,"As Per Apr 20, 2011 Engineering ERC",,,20110519,1001198245,,,,137,20110519,South Alder Greenhouses,Surrey,,C,In Service,,Lake,2011
220,,,,20110519,1001198301,,,,,20110519,,Private,,B,In Service,,Lake,
221,Updated by SHIM 2007 Man Made Pool,,,20120604,1001414620,,,,,20120604,,Surrey,,A,In Service,,Lake,
222,,,,20111114,1001219719,Final AB,,5382 Coulthard Pl,081,20111114,Private DPs,Private,,B,In Service,,Wetlands,
223,,,,20111114,1001219720,Final AB,,5382 Coulthard Pl,081,20111114,Private DPs,Private,,B,In Service,,Wetlands,
224,,,,20111114,1001219721,Final AB,,5382 Coulthard Pl,081,20111114,Private DPs,Private,,B,In Service,,Wetlands,
225,,,,20111114,1001219723,Final AB,,5382 Coulthard Pl,081,20111114,Private DPs,Private,,B,In Service,,Wetlands,
226,,,,20140912,1001780684,Initial AB,,,,20140912,,Surrey,7810-0301-00,,In Service,,Lake,2014
227,Sulivan Park,,,20111114,1001219911,Final AB,,62A Ave & 153 St,074,,Sullivan Pond,Surrey,,B,In Service,,Lake,2011
228,,,,20120611,1001415436,,,,026,20120611,Tynehead Hatchery,Private,,A,In Service,,Lake,
229,,,,20120611,1001415437,,,,026,20120611,Tynehead Hatchery,Private,,A,In Service,,Lake,
230,NE of Serpentine Sea Dam,,,20111114,1001219909,Final AB,,14630 48 Ave,093,,Farmland Pond,Private,,B,In Service,,Lake,2011
231,,,,20111114,1001219910,Final AB,,7092 152 St,064,,Drainage Pond,Private,,B,In Service,,Lake,2011
232,Sulivan Park,,,20111114,1001219912,Final AB,1001219911,62A Ave & 153 St,074,,Sullivan Pond,Surrey,,B,In Service,,Lake,2011
233,,,,20120612,1001415596,,,,025,20120612,,Surrey,,A,In Service,,Lake,
234,7898-0293-00,,,20111114,1001219914,Final AB,,13501 72 Ave,051,,Detention Pond,Private,,C,In Service,,Lake,2000
235,Det Pond,,,20140402,1001739145,Final AB,,,044,20140402,,Surrey,A-467,C,In Service,,Dry Detention Pond,1982
236,,,,20110929,1001214486,Final AB,,Sullivan Heights Park,073,20140407,Sullivan Heights DP,Surrey,4804-6030-00,B,In Service,,Lake,2008
237,,,,20140409,1001740692,,,,015,20140409,,Surrey,,C,In Service,,Lake,
238,NE of Serpentine Sea Dam,,,20111114,1001219918,Final AB,,14630 48 Ave,093,,Farmland Pond,Private,,B,In Service,,Lake,2011
239,NE of Serpentine Sea Dam,,,20111114,1001219919,Final AB,,14630 48 Ave,093,,Farmland Pond,Private,,B,In Service,,Lake,2011
240,SW of Serpentine Sea Dam,,,20111114,1001219920,Final AB,,"Bounded by Hwy 99, KGB, Serpentine River",092,,Farmland Pond,Private,,A,In Service,,Lake,2011
241,Updated by SHIM 2005,,,20111115,1001220473,Final AB,,Guildford Heights Park,024,20120613,Guildford Lake,Surrey,4899-062,A,In Service,,Lake,2002
242,SW of Serpentine Sea Dam,,,20111114,1001219922,Final AB,,"Bounded by Hwy 99, KGB, Serpentine River",092,,Farmland Pond,Private,,A,In Service,,Lake,2011
243,Detention Pond,,,20111115,1001220657,Final AB,,,078,20140910,Above Ground Municipal,Surrey,7887-0563-00,C,In Service,,Dry Detention Pond,1990
244,Updated by SHIM ERC 2011,,,20110629,1001203162,,,Guildford Golf Course,,20120619,,Surrey,,B,In Service,,Lake,
245,Updated by SHIM ERC 2011,,,20110629,1001203163,,,Guildford Golf Course,,20120619,,Surrey,,B,In Service,,Lake,
246,Detention Pond,,,20111115,1001220667,Final AB,,,079,20141117,Above Ground Municipal,Surrey,A-428,C,In Service,,Lake,1982
247,Updated by SHIM 2006,,,20120625,1001416535,,,,,20120628,,Private,,A,In Service,,Lake,
248,,,,20120410,1001407606,,,,084,20120410,48 Avenue P.S.,Surrey,,AO,In Service,,Forebay,
249,,,,20120410,1001407607,,,,094,20120410,40 Avenue P.S.,Surrey,,AO,In Service,,Forebay,
250,At Driving Range,,,20111114,1001219908,Final AB,1001219907,5228 KGB,083,20120417,Golf Course Pond,Private,,AO,In Service,,Lake,2011
251,,,,20120417,1001408276,,,,093,20120417,,Private,,B,In Service,,Lake,
252,,,,20120417,1001408274,,,,093,20120417,,Private,,B,In Service,,Lake,
253,,,,20111103,1001217918,,,,114,20150929,Grandview Detention Pond B1,Private,,B,In Service,,Lake,
254,,,,20120417,1001408275,,,,093,20120417,,Private,,B,In Service,,Lake,
255,Updated by SHIM 2006,,,20120625,1001416538,,,,,20120628,,Private,,A,In Service,,Lake,
256,,,,20111115,1001220543,,,11525 148A St,003,20160401,,Provincial,,A,In Service,,Wet Detention Pond,
257,Updated by SHIM 2007,,,20120531,1001414307,,,,023,20120531,,Surrey,,A,In Service,,Wetlands,
258,Updated by SHIM 2007,,,20110728,1001205211,,,,,20120531,Green Timbers Lake,Surrey,,A,In Service,,Lake,
259,Updated by SHIM 2007,,,20111110,1001219513,Final AB,,8418 144 St,043,20120531,Enver Crk Pond East,Surrey,,A,In Service,,Lake,2011
260,,,,20111013,1001215758,,,13568 Crescent Rd Backyard,101,20120531,Chantrell Lakes,Private,,A,In Service,,Lake,2001
261,,,,20111115,1001220550,,,14828 116 Ave,003,20160401,,Provincial,,A,In Service,,Wet Detention Pond,
262,,,,20160401,1001867893,,,,009,20160401,,Surrey,,A,In Service,,Wet Detention Pond,
263,,,,20121024,1001557892,,,,089,20121024,,Surrey,,A,In Service,,Lake,
264,,,,20120605,1001415003,,,,064,20120605,,Private,,C,In Service,,Lake,
265,,,,20121024,1001557893,,,,089,20121024,,Surrey,,A,In Service,,Lake,
266,,,,20111114,1001220146,Final AB,,,103,20130326,,Private,,AO,In Service,,Lake,2011
267,,,,20111114,1001220216,Final AB,,,126,20130327,Private Ponds,Private,,C,In Service,,Lake,2011
268,Updated by SHIM 2006,,,20120625,1001416533,,,,,20120628,,Private,,A,In Service,,Lake,
269,,,,20120622,1001416397,Final AB,,,073,20120628,,Surrey,7802-0392-00,C,In Service,,Wetlands,2006
270,Archibald DP,,,20111115,1001220463,Final AB,,13859 62 Ave,072,20120628,Above Ground Municipal DP,Surrey,4898-6070-00,B,In Service,,Lake,2002
271,Updated to SHIM 2011,,,20111110,1001219534,Final AB,,18933 86 Ave,048,20120511,Private Pond,Private,,A,In Service,,Lake,2011
272,Updated to SHIM 2011,,,20120511,1001412230,,,,,20120511,,Surrey,,A,In Service,,Lake,
273,Updated to SHIM 2011,,,20120511,1001412232,,,,,20120511,,Surrey,,A,In Service,,Lake,
274,Updated by SHIM 2009,,,20111115,1001220592,Final AB,,,019,20120518,Above Ground Municipal,Surrey,7801-0267-00,A,In Service,,Lake,2004
275,Updated by SHIM 2009,,,20120522,1001413627,,,,019,20120522,Scott Crk,Surrey,,A,In Service,,Lake,
276,Updated by SHIM 2009,,,20120522,1001413654,,,,019,20120522,,Surrey,,A,In Service,,Lake,
277,,,,20120522,1001413657,,,,019,20120522,,Surrey,,A,In Service,,Lake,
278,,,,20111115,1001220699,Final AB,,,030,20140430,Above Ground Municipal,Surrey,A-363,C,In Service,,Dry Detention Pond,1983
279,,,,20111115,1001220651,Final AB,,,023,20140509,Above Ground Municipal,Surrey,7884-2140-00,C,In Service,,Dry Detention Pond,1986
280,,,,20111115,1001220652,Final AB,,,023,20140509,Above Ground Municipal,Surrey,A-478,C,In Service,,Dry Detention Pond,1982
281,,,,20111115,1001220654,Final AB,,,023,20140509,Above Ground Municipal,Surrey,A-419,C,In Service,,Dry Detention Pond,1983
282,,,,20140509,1001748104,,,,023,20140509,,Private,,,In Service,,Lake,
283,Detention Pond,,,20111115,1001220624,Final AB,,,071,20150924,Above Ground Municipal,Surrey,7882-0140-00,C,In Service,,Dry Detention Pond,1986
284,,,,20111114,1001219749,Final AB,,NE of Colebrook Park,081,20111114,Farmland Ponds,Private,,C,In Service,,Other,2011
285,,,,20111114,1001219750,Final AB,,NE of Colebrook Park,081,20111114,Farmland Ponds,Private,,C,In Service,,Other,2011
