,STRUCTURE_TYPE,STRUCTURE_TYPE2,DESCRIPTION,LOCATION,STRUCTURE_DETAIL_TYPE,SPECIAL_FEATURES,MATERIAL_TYPE,WIDTH_M,SEATING_TYPE,GIFT_DONATION,PLAQUE_DETAIL,BENCH_STYLE,CAPACITY,DIMENSION_M2,COMPONENT_TYPE,SURFACE_MATERIAL,WINTERIZED,LENGTH_M,HOUSE_NO,STATUS,STATUS_DATE,PARK_OWNERSHIP,INSERVICE_DATE,INSERVICE_COST,CONDITION,YRS_LIFE_EXPECTANCY,WARRANTYDATE,WARRANTY_PROVIDER,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,Latitude,Longitude
2294,2,Plumbing Fixtures,"Standpipe; Sullivan Park, 6272 152 St",west side of barn,Stand Pipes,,,,,,,,,,,,,,06272,OPERATING,,,20151001,,,,,,"Sullivan Park, 6272 152 St",Park,49.118249,-122.800265
2295,1,Gates,"Chainlink Service Gate; Sullivan Park, 6272 152 St",North side of perimetre fence of barn ,Barrier - Single,,Chain Link,,,,,,,,,,,,06272,OPERATING,,,20151001,,,,,,"Sullivan Park, 6272 152 St",Park,49.118450,-122.800140
2296,0,Benches and Bleachers,"Bench; Heron Park, 12324 Beecher St","In the park, bench ref # 71",,,Other,,Bench,N,,Cast,3,,,,,,12324,OPERATING,20061017073300,,,0,,,,,"Heron Park, 12324 Beecher St",Park,49.053116,-122.879835
2297,0,Benches and Bleachers,"Bench; Crescent Park, 2585 132 St","In the park, bench ref # 11",,,Other,,Bench,Y,,Cast,,,,,,,02585,OPERATING,20061107135400,,20060101,0,,,20160101,,"Crescent Park, 2585 132 St",Park,49.051355,-122.862603
2298,1,Gates,"Service Gate; South Surrey Athletic Park, 1925 148 St",NW corner of athletic field 11,Service,,,,,,,,,,,,,3.6,01925,OPERATING,,,20141031,,,,,,"South Surrey Athletic Park, 1925 148 St",,49.036782,-122.816895
2299,1,Gates,"Service Gate; South Surrey Athletic Park, 1925 148 St",NE corner of athletic field 11,Service,,,,,,,,,,,,,3.6,01925,OPERATING,,,20141031,,,,,,"South Surrey Athletic Park, 1925 148 St",,49.036720,-122.815127
2300,0,Benches and Bleachers,"Bench; Bear Creek Park, 13750 88 Ave","SE of oval, bench ref # 11",,,Other,,Bench,N,,Basic,,,,,,,13750,OPERATING,,,,0,,,,,"Bear Creek Park, 13750 88 Ave",Park,49.159073,-122.840520
2301,0,Benches and Bleachers,"Bench; Bear Creek Park, 13750 88 Ave","SE of oval, bench ref # 12",,,Other,,Bench,N,,Basic,,,,,,,13750,OPERATING,,,,0,,,,,"Bear Creek Park, 13750 88 Ave",Park,49.159065,-122.840570
2302,0,Benches and Bleachers,"Bench; Bear Creek Park, 13750 88 Ave","in playground near waterpark, bench ref # 28",,,,,Bench,Y,,Basic,3,,,,,,13750,OPERATING,20060802120200,,20031231203202,0,,,,,"Bear Creek Park, 13750 88 Ave",Park,49.160159,-122.839998
2303,0,Benches and Bleachers,"Bench; Bear Creek Park, 13750 88 Ave","where P5 meets P4, bench ref # 14",,,Other,,Bench,N,,Basic,,,,,,,13750,OPERATING,,,,0,,,,,"Bear Creek Park, 13750 88 Ave",Park,49.157916,-122.842056
2304,0,Benches and Bleachers,"Bench; Kennedy Park, 9058 Holt Rd","in dog area, ref # 1",,,Other,,Bench,N,,,,,,,,,09058,OPERATING,20101217142100,,20101001,0,,,,,"Kennedy Park, 9058 Holt Rd",Park,49.167220,-122.884957
2305,0,Benches and Bleachers,"Bench; Kennedy Park, 9058 Holt Rd","in dog area, ref # 2",,,Other,,Bench,N,,,,,,,,,09058,OPERATING,20101217142300,,20101001,0,,,,,"Kennedy Park, 9058 Holt Rd",Park,49.167518,-122.884848
2306,0,Benches and Bleachers,"Bench; 111G - Greenbelt, 12911 Crescent Rd","at viewpoint, ref # 1",,,Other,,Bench,N,,Cast,,,,,,,12911,OPERATING,20110107114000,,20100630,0,,,,,"111G - Greenbelt, 12911 Crescent Rd",Park,49.055208,-122.865009
2307,0,Benches and Bleachers,"Bench; 111G - Greenbelt, 12911 Crescent Rd","near south end of T1, ref # 2",,,Other,,Bench,N,,Cast,,,,,,,12911,OPERATING,20110107114300,,20100630,0,,,,,"111G - Greenbelt, 12911 Crescent Rd",Park,49.054208,-122.864824
2308,0,Benches and Bleachers,"Bench; 111G - Greenbelt, 12911 Crescent Rd","at North end of T1 at river's edge, ref # 3",,,Other,,Bench,N,,Cast,,,,,,,12911,OPERATING,20110107114300,,20100630,0,,,,,"111G - Greenbelt, 12911 Crescent Rd",Park,49.055811,-122.865775
2309,0,Benches and Bleachers,"Bench; Bear Creek Park, 13750 88 Ave","in playground near waterpark, bench ref # 27",,,,,Bench,Y,,Basic,3,,,,,,13750,OPERATING,20060802120300,,19961231203322,0,,,,,"Bear Creek Park, 13750 88 Ave",Park,49.159881,-122.834636
