,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
49,, , ,,10,,UPA, ,Small Lot (10 u.p.a.),20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
50,, , ,,13,,UPA, ,Small Lot with Lane (13 u.p.a.),20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
51,, , ,,,,, ,Proposed Institutional,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
52,, , ,,,,, ,Buffers/Greenways,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
53,, , ,,,,, ,Existing Suburban Transition Lots,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
54,,,,,6,,UPA,,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
55,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
56,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
57,, , ,,,,, ,Institutional,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
58,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
59,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
60,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
61,, , ,,10,,UPA, ,Small Lot (10 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
62,, , ,,,,, ,Parks,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
63,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
64,, , ,,,,, ,Parks,20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
65,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
66,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
67,, , ,,10,,UPA, ,Small Lot (10 u.p.a.),20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
