,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESIGNATION,FACILITYID,GIS_ENTRY_STAGE,GREENWAY,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROJECT_NO,STATUS,WARRANTYDATE,WIDTH,YR,YTD_COST
0,,,,20171004,Residential,1001949481,,No,1001071873,0,,Concrete,20180306,Surrey,,In Service,,1.5,1995,0
1,,,,20171006,Residential,1001950342,,No,1001061374,0,,Concrete,20180306,Surrey,,In Service,,1.5,1986,0
2,,,,20170626,Residential,1001937398,,No,1001061374,0,,Concrete,20180306,Surrey,,In Service,,1.5,1990,0
3,DIgitized Via 2016 Air Photo,,,20170626,Residential,1001937401,,No,1001067463,0,,Concrete,20180306,Surrey,,In Service,,1.5,2003,0
4,,,,20171006,Residential,1001950344,,No,1001071605,0,,Concrete,20180306,Surrey,,In Service,,1.5,1973,0
5,,,,20180306,Residential,1001988518,,No,,,,Asphalt,20180306,Surrey,,In Service,,1.5,,
6,,,20180321,20160216,Residential,1001859656,Final AB,No,,,Arterial,Concrete,20180322,Surrey,3805-6080-00,In Service,,1.5,2007,
7,,,20180320,20160516,Residential,1001877513,,No,1001060836,0,Arterial,Concrete,20180322,Surrey,,In Service,,1.5,1994,0
8,,,20180321,20161208,Residential,1001899479,EC,No,,,,Concrete,20180322,Surrey,7816-0244-00,Proposed,,1.7999999523162842,1995,
9,,,,20170626,Residential,1001937402,,No,1001062399,0,,,20180306,Surrey,,In Service,,,1992,0
10,,,,20170626,Residential,1001937403,,No,1001074326,0,,,20180306,Surrey,,In Service,,,1979,0
11,,,,,Commercial,1001073412,Final AB,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2001,
12,,,,20170626,Residential,1001937412,,No,1001072780,0,,Concrete,20180306,Surrey,,In Service,,1.7999999523162842,1990,0
13,,,,20170626,Residential,1001937424,,No,1001066165,0,,,20180306,Surrey,,In Service,,,1986,0
14,,,,20170626,Residential,1001937425,,No,1001068092,0,,Concrete,20180306,Surrey,,In Service,,,2003,0
15,,,,20170831,Residential,1001944931,,No,,0,,Concrete,20180306,Surrey,,In Service,,1.5,1973,0
16,,,,20170831,Residential,1001944947,,No,,0,Collector,Concrete,20180306,Surrey,,In Service,,1.5,1975,0
17,,,,20170831,Residential,1001945321,,,,0,Arterial,Asphalt,20180306,Surrey,,In Service,,1,1988,0
18,,,,20170831,City Facility,1001945699,,,,,Arterial,Asphalt,20180306,Surrey,,In Service,,1,1988,
19,Digitized from 2014 Ortho photos,,,,Residential,1001061566,,No,,,,,20180419,Surrey,,In Service,,,2004,
20,Digitized from 2014 Ortho photos,,,,Residential,1001070211,,No,,,,,20180419,Surrey,,In Service,,,2004,
21,Digitized from 2014 Ortho photos,,,,Residential,1001071150,,No,,,,,20180419,Surrey,,In Service,,,2004,
22,,,,,Residential,1001072344,,No,,,Arterial,Concrete,20180419,Surrey,,In Service,,1.5,1996,
23,,,,,City Facility,1001067482,,No,,,Arterial,,20180419,Surrey,,In Service,,,1996,
24,Digitized from 2014 Ortho photos,,,,Residential,1001072102,,No,,,,,20180419,Surrey,,In Service,,,2004,
25,Digitized from 2014 Ortho photos,,,,City Facility,1001069091,,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2005,
26,,,20180320,20170301,Residential,1001910449,Final AB,No,1001060928,0,,Concrete,20180322,Surrey,,In Service,,,1973,0
27,,,20180321,20170301,Residential,1001910585,,No,1001069016,0,Arterial,Concrete,20180322,Surrey,,In Service,,1.5,1997,0
28,,,20180320,20170301,Residential,1001910613,Initial AB,No,1001060835,0,,Concrete,20180322,Surrey,,In Service,,1.5,1994,0
29,,,,,Residential,1001065052,,No,,,,,20180419,Surrey,,In Service,,,1990,
30,,,,20100407,Commercial,1001154843,Final AB,No,1001060750,,,Concrete,20180419,Surrey,,In Service,,1.5,1990,
31,,,20180321,,School,1001074830,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1993,
32,,9,20180321,,,1001070666,,No,,,,,20180322,Surrey,,In Service,,,1976,
33,,,,,Residential,1001068236,,No,,,,,20180419,Surrey,,In Service,,,2000,
34,,,20180320,,Residential,1001073945,,No,,,Arterial,Concrete,20180322,Surrey,,In Service,,1.5,2009,
35,,,,,Residential,1001070680,,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2005,
36,,,20180321,,Residential,1001063334,,No,,,,Concrete,20180322,Surrey,,In Service,,2.4000000953674316,1996,
37,Digitized Via 2016 Air Photo,,20180320,,Residential,1001063964,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1993,
38,,,20180321,20130607,Residential,1001069137,,No,,,Arterial,Concrete,20180322,Surrey,,In Service,,,2009,
39,,,20180321,,Residential,1001067428,,No,,,,Concrete,20180322,Surrey,,In Service,,1.5,1997,
40,,,20180321,,Residential,1001064810,,No,,,Arterial,Concrete,20180322,Surrey,,In Service,,1.5,2009,
41,,,,,Commercial,1001069936,,No,,,,,20180419,Surrey,,In Service,,,2001,
42,,,20180320,,Commercial,1001071821,,No,,,Arterial,,20180322,Surrey,,In Service,,,2012,
43,,,20180320,,Residential,1001074105,,No,,,,,20180322,Surrey,,In Service,,,1974,
44,,,20180320,,Residential,1001074408,,No,,,,,20180322,Surrey,,In Service,,,1978,
45,,,20180321,,Residential,1001069438,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1999,
46,,,,,Residential,1001063093,,No,,,Arterial,,20180306,Surrey,,In Service,,,1979,
47,,,20180321,,Residential,1001073328,,No,,,Arterial,,20180322,Surrey,,In Service,,,1982,
48,,,20180320,,Residential,1001062588,,No,,,,,20180322,Surrey,,In Service,,,1974,
49,,,20180321,,Residential,1001070912,,No,,,Arterial,,20180322,Surrey,,In Service,,,1976,
50,,,,,Commercial,1001067749,,No,,,,,20180419,Surrey,,In Service,,,2001,
51,,,,,Residential,1001062399,,No,,,,,20180306,Surrey,,In Service,,,1988,
52,,,,,Residential,1001066804,,No,,,,,20180419,Surrey,,In Service,,,2001,
53,,,20180320,,Residential,1001071904,,No,,,,,20180322,Surrey,,In Service,,,1974,
54,,,20180321,20130607,Residential,1001068359,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1991,
55,,,20180321,,Residential,1001067375,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1992,
56,,,20180320,,Residential,1001074898,,No,,,,,20180322,Surrey,,In Service,,,1974,
57,,,,,Residential,1001061075,,No,,,,,20180306,Surrey,,In Service,,,1973,
58,,,20180321,,Residential,1001062153,,No,,,Arterial,,20180322,Surrey,,In Service,,,1982,
59,,,20180320,,Residential,1001070182,,No,,,,Concrete,20180322,Surrey,,In Service,,1.5,1993,
60,Digitized Via 2016 Air Photo,,20180321,,Residential,1001070916,,No,,,,Concrete,20180322,Surrey,,In Service,,1.5,1974,
61,,,,,Residential,1001071892,,No,,,,,20180419,Surrey,,In Service,,,1999,
62,,,,,Residential,1001064146,,No,,,,,20180419,Surrey,,In Service,,,2000,
63,,,,,Residential,1001066763,,No,,,,,20180419,Surrey,,In Service,,,2001,
64,,,,,Residential,1001065769,,No,,,,,20180419,Surrey,,In Service,,,2001,
65,,,,,Residential,1001061841,,No,,,,,20180419,Surrey,,In Service,,,2001,
66,,,,,Residential,1001063261,,No,,,Collector,,20180419,Surrey,,In Service,,,2001,
67,,,,,Residential,1001070001,,No,,,Collector,,20180227,Surrey,,In Service,,,1966,
68,,,,,Residential,1001069380,,No,,,,,20180227,Surrey,,In Service,,,1966,
69,,,,,Commercial,1001060669,,No,,,Arterial,,20180227,Surrey,,In Service,,,1974,
70,,,,,Residential,1001063015,,No,,,Arterial,,20180227,Surrey,,In Service,,,1967,
71,,,,,Residential,1001072087,,No,,,Arterial,,20180227,Surrey,,In Service,,,1967,
72,,,,,Residential,1001060757,,No,,,Arterial,,20180227,Surrey,,In Service,,,1972,
73,,,20180221,20111012,Residential,1001070260,,No,,,Arterial,Asphalt,20180227,Surrey,,In Service,,1.5,1966,
74,,,,,Residential,1001063536,,No,,,Arterial,,20180227,Surrey,,In Service,,,1966,
75,,,,,Residential,1001068547,,No,,,Arterial,,20180227,Surrey,,In Service,,,2014,
76,,,,,Residential,1001067369,,No,,,Arterial,,20180227,Surrey,,In Service,,,1967,
77,,,,,Residential,1001069308,,No,,,,,20180227,Surrey,,In Service,,,1965,
78,,,,,Residential,1001071739,,No,,,Arterial,,20180227,Surrey,,In Service,,,1972,
79,,,,,Residential,1001072777,,No,,,,,20180227,Surrey,,In Service,,,1994,
80,,,,,Residential,1001073623,,No,,,,,20180227,Surrey,,In Service,,,1994,
81,,,20180221,,Commercial,1001071958,,No,,,Arterial,Concrete,20180227,Surrey,,In Service,,2,1966,
82,,,,,Residential,1001067857,,No,,,Arterial,,20180227,Surrey,,In Service,,,1967,
83,,,,,Residential,1001069394,,No,,,,Concrete,20180227,Surrey,,In Service,,1.5,1966,
84,,,,,Residential,1001069599,,No,,,,,20180227,Surrey,,In Service,,,1963,
85,,,,,Residential,1001060824,,No,,,Arterial,Concrete,20180227,Surrey,,In Service,,,1973,
86,,,,,Residential,1001067343,,No,,,Collector,,20180227,Surrey,,In Service,,,1966,
87,,,,,Residential,1001069904,,No,,,Collector,,20180227,Surrey,,In Service,,,1966,
88,,,,,Residential,1001064246,,No,,,Collector,,20180227,Surrey,,In Service,,,1966,
89,,,,,Residential,1001060675,,No,,,,,20180227,Surrey,,In Service,,,1994,
90,,,,,Commercial,1001068638,,No,,,Collector,,20180227,Surrey,,In Service,,,1974,
91,,,,,Residential,1001070433,,No,,,Arterial,,20180227,Surrey,,In Service,,,1972,
92,,,,,Residential,1001068860,,No,,,,,20180227,Surrey,,In Service,,,1966,
93,,,20180221,,Residential,1001066328,,No,,,Arterial,,20180227,Surrey,,In Service,,,1974,
94,,,,20171006,Residential,1001950420,,,1001945277,0,,Concrete,20180305,Surrey,,In Service,,1.5,1974,0
95,,,,20171012,Commercial,1001950955,Final AB,,1001204942,0,Arterial,Concrete,20180305,Surrey,1704-3030-00,In Service,,3.5,2007,0
96,,,,20180305,Residential,1001988145,,No,,,,Asphalt,20180305,Surrey,,In Service,,2,,
97,,,20180219,20170831,City Facility,1001945360,,,,0,,,20180807,Surrey,,In Service,,,1976,0
98,,,,20170831,Residential,1001945328,,,,,,Asphalt1.5,20180807,Surrey,,In Service,,,,
99,,,,20170831,Residential,1001945273,,,,,Collector,Concrete,20180807,Surrey,,In Service,,1.5,1975,
100,,,,20170831,Commercial,1001945266,,,,,,Concrete,20180807,Surrey,,In Service,,1.5,1984,
101,,,,20170831,Residential,1001945215,,,,,,Concrete,20180807,Surrey,,In Service,,1.5,1984,
102,,9,,20170831,,1001945182,,No,,,,Concrete,20180807,Surrey,,In Service,,1.5,2000,
103,,,,,Residential,1001070970,,No,,,,,20180307,Surrey,,In Service,,,1988,
104,,,,,Residential,1001068114,,No,,,,,20180307,Surrey,,In Service,,,1988,
105,,,,,Commercial,1001061581,Final AB,No,,,,Concrete,20180307,Surrey,,In Service,,,1993,
106,,,,20130607,Commercial,1001065866,,No,,,Arterial,Concrete,20180307,Surrey,,In Service,,,2015,
107,,,,,Commercial,1001071419,,No,,,Collector,,20180307,Surrey,,In Service,,,2000,
108,,,,20120921,Residential,1001434257,,,,,,Concrete,20180307,Surrey,,In Service,,,1985,
109,,,,20120921,Residential,1001434258,,,,,,Concrete,20180307,Surrey,,In Service,,,1985,
110,,,,20120921,Residential,1001434261,,No,1001072040,,,Concrete,20180307,Surrey,,In Service,,,1985,
111,Digitized Via 2012 Air Photo,,,20170221,Commercial,1001907395,,No,1001578548,0,,Concrete,20180420,Surrey,,In Service,,1.5,1998,0
112,,,,20170220,City Facility,1001907300,,No,1001066817,0,,Concrete,20180307,Surrey,,In Service,,,1988,0
113,,,,20170301,Commercial,1001910460,,No,1001063263,0,Collector,Concrete,20180307,Surrey,,In Service,,,1991,0
114,,,,20170301,School,1001910462,,No,1001062603,0,,,20180307,Surrey,,In Service,,,1986,0
115,,,,20170426,Residential,1001928526,,No,1001062534,0,Collector,,20180307,Surrey,,In Service,,,1991,0
116,,,,20170626,Commercial,1001937428,Final AB,No,1001070595,0,,Concrete,20180307,Surrey,,In Service,,,2000,0
117,,9,,20170831,,1001945255,,,,0,,Concrete,20180307,Surrey,,In Service,,1.5,2000,0
118,,,,20170831,Commercial,1001945873,,,,,Collector,Concrete,20180307,Surrey,,In Service,,1.5,2000,
119,,,,20171006,Residential,1001950367,,No,1001072040,0,,Concrete,20180307,Surrey,,In Service,,,1988,0
120,,,,20171006,Residential,1001950368,,No,1001950367,0,,Concrete,20180307,Surrey,,In Service,,,1988,0
121,,,,20171006,Residential,1001950369,,No,1001062132,0,,,20180307,Surrey,,In Service,,,1988,0
122,,,,20171006,Residential,1001950370,,No,1001071677,0,,Concrete,20180307,Surrey,,In Service,,,1985,0
123,,,,20170626,Residential,1001937429,,No,1001067614,0,,Concrete,20180307,Surrey,,In Service,,,1991,0
124,,,,20171006,Residential,1001950371,,No,1001067614,0,,Concrete,20180307,Surrey,,In Service,,,2002,0
125,,,,20130607,Residential,1001067614,,No,,,,Concrete,20180307,Surrey,,In Service,,,2002,
126,,,,,Residential,1001069620,,No,,,,,20180307,Surrey,,In Service,,,2002,
127,,,,,Residential,1001069217,,No,,,Collector,Concrete,20180307,Surrey,,In Service,,1.5,1977,
128,,,,,Residential,1001064894,,No,,,,,20180307,Surrey,,In Service,,,1986,
129,,,,,Residential,1001060831,,No,,,Collector,,20180307,Surrey,,In Service,,,1977,
130,,9,,20170615,,1001935895,,No,1001062163,0,,,20180420,Surrey,,In Service,,,1998,0
131,,,,,Residential,1001068439,,No,,,Collector,Concrete,20180307,Surrey,,In Service,,1.5,1977,
132,,,,20120417,City Facility,1001408347,,No,1001064716,,Collector,Concrete,20180420,Surrey,,In Service,,,2001,
133,Digitized Via 2012 Air Photo,,,20130307,Residential,1001578548,,No,1001073500,,,Concrete,20180420,Surrey,,In Service,,1.5,1998,
134,,,,20130307,Commercial,1001578549,Final AB,No,,,Local,Concrete,20180420,Surrey,7807-0032-00,In Service,,1.5,2013,
135,,,,20170220,Residential,1001907163,,No,1001070022,0,,,20180420,Surrey,,In Service,,,1998,0
136,,,,20170220,Residential,1001907305,,No,1001150330,0,,Concrete,20180420,Surrey,,In Service,,1.5,2006,0
137,,,,,Residential,1001068837,,No,,,Collector,,20180313,Surrey,,In Service,,,1984,
138,,,20180320,20170301,Residential,1001910620,,No,1001073308,0,Collector,,20180322,Surrey,,In Service,,,1984,0
139,,,20180321,20170302,Residential,1001910843,,No,1001068813,0,Arterial,Concrete,20180322,Surrey,,In Service,,1.5,2009,0
140,Digitized Via 2016 Air Photo,,20180321,20170221,Residential,1001907780,,No,1001064316,0,,Concrete,20180322,Surrey,,In Service,,1.5,1974,0
141,Digitized via 2016 Air Photo,,,20161028,Commercial,1001895583,,No,,,Arterial,Concrete,20180808,Surrey,,In Service,,2.700000047683716,1972,
142,,9,,20171006,Residential,1001950046,,No,1001066090,0,,,20180807,Surrey,,In Service,,,1976,0
143,,9,,20171006,Residential,1001950045,,No,1001066090,0,,,20180807,Surrey,,In Service,,,1976,0
144,,,,20171006,Residential,1001950043,,No,1001067373,0,,,20180807,Surrey,,In Service,,,1987,0
145,,,,20180807,Residential,1002125558,,No,,,,Concrete,20180807,Surrey,,In Service,,2,,
146,DIgitized Via 2016 Air Photo,,20180321,20170615,Residential,1001935957,,No,1001935955,0,,Concrete,20180322,Surrey,,In Service,,1.5,2002,0
147,Digitized Via 2016 Air Photo,,20180321,20170616,Residential,1001936147,,No,1001074168,0,,Concrete,20180322,Surrey,,In Service,,1.5,1980,0
148,,,20180321,20170616,Residential,1001936149,,No,1001907271,0,,,20180322,Surrey,,In Service,,,1980,0
149,Digitized Via 2016 Air Photo,,20180321,20170616,Residential,1001936151,,No,1001907272,0,,Concrete,20180322,Surrey,,In Service,,1.5,1996,0
150,Digitized Via 2016 Air Photo,,20180321,20170616,Residential,1001936284,,No,1001936277,0,,Concrete,20180322,Surrey,,In Service,,1.5,2004,0
151,,,,,Residential,1001068221,Final AB,No,,,Collector,Concrete,20180313,Surrey,,In Service,,1.5,1993,
152,Digitized Via 2012 Air Photo,,,,City Facility,1001063491,,No,,,Arterial,Concrete,20180313,Surrey,,In Service,,,1994,
153,,,,,Residential,1001071898,,No,,,,,20180313,Surrey,,In Service,,,1973,
154,,9,,,,1001068122,,No,,,,,20180313,Surrey,,In Service,,,1973,
155,,,,,Residential,1001069756,,No,,,,,20180313,Surrey,,In Service,,,1986,
156,,,,,Residential,1001061232,,No,,,,,20180313,Surrey,,In Service,,,1984,
157,,,,20100407,Commercial,1001154845,Final AB,No,1001063099,,Arterial,Concrete,20180419,Surrey,,In Service,,1.5,1993,
158,,,,20120209,Residential,1001188928,Final AB,No,,,Local,Concrete,20180419,Surrey,7808-0082-00,In Service,,1.5,2012,
159,,,,20111219,Residential,1001224265,Final AB,No,,,Local,Asphalt,20180419,Surrey,1706-7030-00,In Service,,1.5,2011,
160,,,,20120210,Residential,1001360372,Final AB,No,,,Local,Concrete,20180419,Surrey,7808-0082-00,In Service,,1.5,2012,
161,,,,20120210,Residential,1001360376,,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2006,
162,,,,20120210,Residential,1001360377,,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2006,
163,,,,20120210,Residential,1001360383,,No,1001360382,,,Concrete,20180419,Surrey,,In Service,,1.5,2006,
164,,,,20120210,Residential,1001360385,,No,1001360384,,,Concrete,20180419,Surrey,,In Service,,1.5,2006,
165,,,,20120210,Residential,1001360389,,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2006,
166,,,,20120210,Residential,1001360391,,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2006,
167,,,,20120210,Residential,1001360395,,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2006,
168,,,,,Commercial,1001068271,,No,,,Collector,,20180419,Surrey,,In Service,,,2006,
169,Digitized Via 2011 Air Photo,,20180320,20120710,Residential,1001417913,,No,,,,Concrete,20180322,Surrey,,In Service,,1.5,2009,
170,Digitized Via 2011 Air Photo,,20180320,20120710,Residential,1001417919,,No,,,,Concrete,20180322,Surrey,,In Service,,1.5,1998,
171,,,20180320,20120726,Residential,1001419418,Final AB,No,,,Collector,Concrete,20180322,Surrey,7811-0109-00,In Service,,1.7999999523162842,2013,
172,,,,,Residential,1001068272,,No,,,,,20180419,Surrey,,In Service,,,2002,
173,,,20180321,,Residential,1001069872,,No,,,,,20180322,Surrey,,In Service,,,1990,
174,Digitzed Via 2011 Air Photo,,20180321,20120727,Commercial,1001419705,,No,,,Arterial,Concrete,20180322,Surrey,,In Service,,3,1995,
175,,,20180321,20121012,Residential,1001556599,,No,1001073460,,Arterial,Concrete,20180322,Surrey,,In Service,,,2009,
176,Digitized Via 2013 Air Photo,,20180321,20140212,Residential,1001729144,Final AB,No,,,,Concrete,20180322,Surrey,,In Service,,1.5,2003,
177,,,,,Residential,1001069475,,No,,,,,20180419,Surrey,,In Service,,,1998,
178,,,20180321,,Residential,1001061410,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1997,
179,,,,20130607,Residential,1001072780,,No,,,,Concrete,20180306,Surrey,,In Service,,1.7999999523162842,1989,
180,,,,,Residential,1001073504,,No,,,,,20180419,Surrey,,In Service,,,2006,
181,,,,,Residential,1001071023,,No,,,,,20180306,Surrey,,In Service,,,1979,
182,,,20180320,,Residential,1001066879,,No,,,Collector,,20180322,Surrey,,In Service,,,1990,
183,,,20180320,20091202,Residential,1001142338,Initial AB,No,1001070640,,Collector,Concrete,20180322,Surrey,Aerial,In Service,,1.5,1987,
184,,,,,Residential,1001061630,,No,,,Collector,Concrete,20180306,Surrey,,In Service,,1.5,1975,
185,,,,,Residential,1001064523,,No,,,,,20180306,Surrey,,In Service,,,1975,
186,,,,20130607,Residential,1001068092,,No,,,,Concrete,20180306,Surrey,,In Service,,,1992,
187,,,20180320,20120710,Commercial,1001143003,Final AB,No,,,Arterial,Concrete,20180322,Surrey,7805-0123-00,In Service,,3,2012,
188,,,,,Residential,1001069598,,No,,,Arterial,,20180306,Surrey,,In Service,,,1979,
189,,,,,Residential,1001061745,,No,,,Arterial,,20180306,Surrey,,In Service,,,1972,
190,Digitized Via 2011 Air Photo,,20180320,20120710,Residential,1001417896,,No,1001417895,,,Concrete,20180322,Surrey,,In Service,,1.5,2009,
191,Digitized Via 2011 Air Photo,,20180320,20120710,Residential,1001417897,,No,1001417896,,Arterial,Concrete,20180322,Surrey,,In Service,,2.5,2008,
192,Digitized Via 2011 Air Photo,,20180320,20120710,Residential,1001417902,,No,,,,Concrete,20180322,Surrey,,In Service,,1.5,2008,
193,,,,,Residential,1001064927,,No,,,Arterial,,20180306,Surrey,,In Service,,,1979,
194,,,,,Residential,1001071229,,No,,,,Concrete,20180306,Surrey,,In Service,,1.5,1973,
195,,,,,Residential,1001074326,,No,,,,,20180306,Surrey,,In Service,,,1990,
196,,,,,Residential,1001066165,,No,,,,,20180306,Surrey,,In Service,,,1991,
197,DIgitized Via 2016 Air Photo,,,,Residential,1001067463,,No,,,,Concrete,20180306,Surrey,,In Service,,1.5,1982,
198,,,20180219,,Residential,1001061008,,No,,,Collector,,20180419,Surrey,,In Service,,,2000,
199,,,,,Residential,1001070780,,No,,,,,20180419,Surrey,,In Service,,,2001,
200,,9,20180221,20170831,,1001945172,,No,,,,Concrete,20180807,Surrey,,In Service,,1.5,1977,
201,,,,20130104,Residential,1001562360,,No,1001072917,,,,20180419,Surrey,,In Service,,,1999,
202,,,,20180305,Residential,1001988160,,No,,,,Concrete,20180305,Surrey,,In Service,,1.600000023841858,,
203,,,,20150612,Residential,1001827843,EC,No,1001827842,0,,Asphalt,20170712,Surrey,7811-0033-00,Proposed,,1.7999999523162842,2015,0
204,,,,20130104,Residential,1001562366,,,,,,,20180419,Surrey,,In Service,,,1999,
205,,,,20180305,Residential,1001988164,,No,,,,Concrete,20180305,Surrey,,In Service,,1.5,,
206,,,,20130719,Residential,1001606747,EC,No,,,,Concrete,20180419,Surrey,7811-0242-00,In Service,,1.7999999523162842,2013,
207,Digitized from 2014 Ortho photos,,,20140908,Residential,1001779401,,No,1001063002,0,,,20180419,Surrey,,In Service,,,2005,0
208,,,,20170831,Residential,1001945181,,,,,,Concrete,20180807,Surrey,,In Service,,1.5,,
209,,,,20180305,Residential,1001988170,,No,,,,Concrete,20180305,Surrey,,In Service,,1.7000000476837158,,
210,,,,20180305,Residential,1001988192,,No,,,,Concrete,20180305,Surrey,,In Service,,1.5,,
211,,,20180221,20170831,Residential,1001945180,,No,,,,Concrete,20180807,Surrey,,In Service,,1.5,1974,
212,,,,20160304,Residential,1001863333,,No,1001863331,0,Arterial,Concrete,20170821,Surrey,,In Service,,1.7999999523162842,1980,0
213,,,,20130607,Commercial,1001071652,,No,,,Arterial,Concrete,20180307,Surrey,,In Service,,,2015,
214,,,20180221,20170831,Residential,1001945179,,No,,0,,Concrete,20180807,Surrey,,In Service,,1.5,1973,0
215,,,,20170831,Residential,1001945178,,,,,,Aspahlt,20180807,Surrey,,In Service,,1.2000000476837158,,
216,,,,,Commercial,1001071554,Final AB,No,,,Arterial,Concrete,20180307,Surrey,,In Service,,,2015,
217,,,,,City Facility,1001067738,Final AB,No,,,,Concrete,20180307,Surrey,,In Service,,1.5,2003,
218,,,,,Residential,1001068461,Initial AB,No,,,Collector,,20180307,Surrey,,In Service,,1.5,1987,
219,,,,,Residential,1001064603,,No,,,Collector,,20180307,Surrey,,In Service,,,1991,
220,,,,,Residential,1001067167,,No,,,Collector,,20180307,Surrey,,In Service,,,1994,
221,,,,,Residential,1001060577,,No,,,,Concrete,20180307,Surrey,,In Service,,1.5,1986,
222,,,,,Residential,1001065874,,No,,,,Concrete,20180307,Surrey,,In Service,,1.5,1986,
223,,9,20180221,20170831,,1001945176,,No,,,,Concrete,20180807,Surrey,,In Service,,1.5,1975,
224,,,,,School,1001066798,,No,,,,,20180307,Surrey,,In Service,,,1983,
225,,,,,Residential,1001060889,,No,,,Collector,Concrete,20180307,Surrey,,In Service,,1.5,1989,
226,Stamped,,20180221,,Commercial,1001070987,,No,,,,Asphalt,20180223,Private,,In Service,,1.5,1995,
227,,,20180221,,Commercial,1001065938,,No,,,Collector,,20180223,Surrey,,In Service,,,2012,
228,,9,20180221,,Commercial,1001068266,,No,,,,Asphalt,20180223,Surrey,,In Service,,,1995,
229,,9,20180221,20170831,,1001945175,,No,,,,Concrete,20180807,Surrey,,In Service,,1.5,1977,
230,,,20180221,,Commercial,1001063244,,No,,,Collector,Concrete,20180223,Surrey,,In Service,,1.5,1974,
231,,,20180221,20170831,Residential,1001945171,,No,,0,Arterial,Concrete,20180807,Surrey,,In Service,,1.5,1977,0
232,,,,20171006,Residential,1001950040,,No,1001068154,0,Collector,Concrete,20180807,Surrey,,In Service,,1.5,1973,0
233,,,,20170831,Residential,1001945174,,No,,0,,Concrete,20180807,Surrey,,In Service,,1.5,1973,0
234,,9,20180221,20170831,,1001945173,,No,,,,Concrete,20180807,Surrey,,In Service,,1.5,1977,
235,,,,20170706,Residential,1001885299,Final AB,No,,,Arterial,Concrete,20170706,Surrey,7815-0286-00,In Service,,,2017,
236,,,,20170706,Residential,1001885302,Final AB,No,1001885294,0,Arterial,Concrete,20170706,Surrey,7815-0286-00,In Service,,1.5,2017,0
237,,,,20170706,Residential,1001885296,Final AB,No,,,Arterial,Concrete,20170706,Surrey,7815-0286-00,In Service,,,2017,
238,Temporary,,,20170706,Residential,1001885304,Final AB,No,,,Arterial,Asphalt,20170706,Surrey,7815-0286-00,In Service,,1.5,2017,
239,Temporary,,,20170706,Residential,1001885297,Final AB,No,,,Arterial,Asphalt,20170706,Surrey,7815-0286-00,In Service,,1.5,2017,
240,,,,20170706,Residential,1001885301,Final AB,No,1001885294,0,Arterial,Concrete,20170706,Surrey,7815-0286-00,In Service,,1.5,2017,0
241,,,,20170706,Residential,1001885295,Final AB,No,,,Arterial,Concrete,20170706,Surrey,7815-0286-00,In Service,,,2017,
242,,,,20170706,Residential,1001885294,Final AB,No,,,Arterial,Concrete,20170706,Surrey,7815-0286-00,In Service,,1.5,2017,
243,,,,20170706,Residential,1001885298,Final AB,No,,,Arterial,Concrete,20170706,Surrey,7815-0286-00,In Service,,,2017,
244,,,,20110606,Residential,1001199834,Final AB,,,,,Concrete,20180307,Surrey,7800-0161-01,In Service,,1.5,2006,
245,,,,20110606,Residential,1001199835,Final AB,,,,,Concrete,20180307,Surrey,7800-0161-01,In Service,,1.5,2006,
246,,,,,Residential,1001074166,,No,,,Arterial,,20180307,Surrey,,In Service,,,1991,
247,3.45m Bus Pad,,,20130214,Residential,1001567209,Final AB,No,,,Arterial,Concrete,20180307,Surrey,1709-3090-00,In Service,,3.450000047683716,2012,
248,,,,,Residential,1001066322,,No,,,Arterial,,20180307,Surrey,,In Service,,,1987,
249,,,,,Residential,1001067096,,No,,,Collector,Concrete,20180808,Surrey,,In Service,,1.5,1971,
250,Digitized Via 2012 Air Photo,,20180219,20130308,Residential,1001580115,,No,,,,Concrete,20180220,Surrey,,In Service,,1.5,1997,
251,,,,20130214,Residential,1001567210,Final AB,No,,,Arterial,Concrete,20180307,Surrey,1709-3090-00,In Service,,1.5,2012,
252,,,,20130215,Residential,1001567293,Final AB,No,,,Arterial,Concrete,20180307,Surrey,1709-3090-00,In Service,,1.5,2012,
253,,,,20130215,Residential,1001567330,Final AB,No,,,Arterial,Concrete,20180307,Surrey,1709-3090-00,In Service,,1.5,2012,
254,,,,,Residential,1001072171,,No,,,,,20180307,Surrey,,In Service,,,1987,
