,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESIGNATION,FACILITYID,GIS_ENTRY_STAGE,GREENWAY,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROJECT_NO,STATUS,WARRANTYDATE,WIDTH,YR,YTD_COST
14875,,,,,Residential,1001074021,,No,,,Collector,,20180809,Surrey,,In Service,,,1987,
14876,,,,,Residential,1001074745,,No,,,Arterial,Asphalt,20180809,Surrey,,In Service,,1.5,1979,
14877,,,,20141027,Residential,1001792435,Final AB,No,,,Local,Concrete,20180413,Surrey,7810-0208-00,In Service,,1.5,2014,
14878,,,,20170831,Residential,1001792511,Final AB,No,,,Local,Concrete,20180413,Surrey,7813-0201-00,In Service,,1.5,2017,
14879,,,,20170831,Residential,1001792514,Final AB,No,,,Local,Concrete,20180413,Surrey,7813-0201-00,In Service,,1.5,2017,
14880,,,,20141028,Residential,1001792569,Final AB,No,1001717127,0,Local,Concrete,20180413,Surrey,7812-0153-00,In Service,,1.5,2014,0
14881,,,,20141028,Residential,1001792570,Final AB,No,1001792569,0,Local,Concrete,20180413,Surrey,7812-0153-00,In Service,,1.5,2014,0
14882,,,,,Commercial,1001060606,Final AB,No,,,Highway,Asphalt,20180809,Provincial,,In Service,,1.5,2009,
14883,,,,,Residential,1001069826,,No,,,,,20180809,Surrey,,In Service,,,1986,
14884,,,,20131018,Residential,1001714394,Final AB,No,1001358992,,Local,Concrete,20180413,Surrey,7810-0146-00,In Service,,1.5,2013,
14885,,,,20141016,Commercial,1001708102,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0160-00,In Service,,1.5,2014,
14886,,,,20150317,Residential,1001812765,Final AB,No,1001741966,0,Local,Concrete,20180413,Surrey,7805-0165-00,In Service,,1.5,2015,0
14887,,,,20180112,Residential,1001813248,Initial AB,No,,,Arterial,Concrete,20180413,Surrey,7807-0205-00,In Service,,1.5,2017,
14888,,,,20160317,Residential,1001817361,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,1.5,2015,
14889,,,,20160317,Residential,1001817364,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,1.5,2015,
14890,,,,20160412,Residential,1001813268,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0142-00,In Service,,1.5,2016,
14891,,,,20150413,Residential,1001817367,Initial AB,No,,,Local,Concrete,20180413,Surrey,,In Service,,1.5,2015,
14892,,,,20160317,Residential,1001817368,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,,2015,
14893,,,,20160317,Residential,1001817369,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,,2015,
14894,,,,20160317,Residential,1001817372,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,1.5,2015,
14895,Digitized Via 2014 Air Photo,,,20150327,Residential,1001814339,,No,,,Local,Concrete,20180413,Surrey,,In Service,,1.5,2014,
14896,,,,20150402,Residential,1001815431,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0343-00,In Service,,1.5,2014,
14897,,,,20170829,Residential,1001816734,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0102-00,In Service,,1.5,2017,
14898,,,,20160317,Residential,1001817353,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,1.5,2015,
14899,,,,20160317,Residential,1001817354,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,1.5,2015,
14900,,,,20160317,Residential,1001817373,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,1.5,2015,
14901,,,,20150413,Commercial,1001817387,Final AB,No,,,Local,Concrete,20180413,Surrey,1709-3130-00,In Service,,3,2014,
14902,,,,20160317,Residential,1001817374,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,,2015,
14903,,,,20160317,Residential,1001817375,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,,2015,
14904,,,,20160317,Residential,1001817376,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,,2015,
14905,,,,20160317,Residential,1001817377,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,,2015,
14906,,,,20160317,Residential,1001817355,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,,2015,
14907,,,,20160317,Residential,1001817378,Initial AB,No,,,Local,Concrete,20180413,Surrey,7814-0138-00,In Service,,1.5,2015,
14908,,,,20180412,Commercial,1001995122,Final AB,No,,,Arterial,Concrete,20180412,Surrey,1716-6390-00,In Service,,2.4000000953674316,2017,
14909,,,,,Residential,1001066061,Final AB,No,,,Highway,Concrete,20180412,Surrey,MOTH 71101-2005,In Service,,1.5,2007,
14910,,,20180215,,Residential,1001066885,Final AB,No,,,Collector,Concrete,20180412,Surrey,,In Service,,1.5,1972,
14911,,,,,Commercial,1001073682,,No,,,Collector,Concrete,20180412,Surrey,,In Service,,,1963,
14912,Digitized Via 2013 Air Photo,,,,Residential,1001069114,,No,,,,Concrete,20180412,Surrey,,In Service,,1.5,2003,
14913,,,20180214,,Residential,1001061362,,No,,,Arterial,Concrete,20180412,Surrey,,In Service,,1.5,1994,
14914,,,20180215,,Commercial,1001074340,Final AB,No,,,Highway,Concrete,20180412,Surrey,MOTH 71101-2005,In Service,,1.5,2007,
14915,,,,,Commercial,1001073716,Final AB,No,,,Collector,Concrete,20180412,Surrey,MOTH 71101-2005,In Service,,1.5,2007,
14916,,,20180215,,Commercial,1001071115,Final AB,No,,,Arterial,Concrete,20180412,Surrey,1701-3210-00,In Service,,1.5,2004,
14917,,,20180215,,Residential,1001061937,,No,,,Collector,,20180412,Surrey,,In Service,,,1986,
14918,,,,,Commercial,1001068091,,No,,,Arterial,,20180412,Surrey,,In Service,,,2014,
14919,,,20180214,,Residential,1001066685,,No,,,Arterial,Concrete,20180412,Surrey,,In Service,,1.5,1994,
14920,,,,,Commercial,1001067590,Final AB,No,,,Collector,Concrete,20180412,Surrey,MOTH 71101-2005,In Service,,1.5,2007,
14921,Digitized Via 2013 Air Photo,,,,Residential,1001061515,,No,,,,Concrete,20180412,Surrey,,In Service,,1.5,2003,
14922,,,20180215,,Commercial,1001070032,Final AB,No,,,Arterial,Concrete,20180412,Surrey,MOTH 71101-2005,In Service,,1.5,2007,
14923,,,,,Commercial,1001065158,,No,,,,Concrete,20180412,Surrey,,In Service,,1.5,1963,
14924,,,,,Residential,1001061579,Final AB,No,,,Highway,Concrete,20180412,Surrey,MOTH 71101-2005,In Service,,1.5,2007,
14925,,,,,Commercial,1001073408,Final AB,No,,,Highway,Concrete,20180412,Provincial,MOTH 71101-2005,In Service,,1.5,2007,
14926,,,20180215,,Residential,1001074891,Final AB,No,,,Arterial,Concrete,20180412,Surrey,1703-3190-00,In Service,,1.5,2006,
14927,,,20180214,,Residential,1001074855,,No,,,Collector,,20180412,Surrey,,In Service,,,2001,
14928,,,20180214,,Residential,1001065400,,No,,,Arterial,Concrete,20180412,Surrey,,In Service,,1.5,1994,
14929,,,,,Residential,1001071794,Final AB,No,,,Highway,Concrete,20180412,Surrey,MOTH 71101-2005,In Service,,1.5,2007,
14930,,,,,Commercial,1001062277,Final AB,No,,,Highway,Concrete,20180412,Surrey,,In Service,,1.5,1963,
14931,,,,,Residential,1001064283,,No,,,Collector,Concrete,20180412,Surrey,,In Service,,1.5,2000,
14932,,,,20171002,Residential,1001948716,Final AB,No,1001835617,0,Local,Concrete,20180413,Surrey,7811-0287-00,In Service,,1.5,2015,0
14933,,,,20171002,Residential,1001948721,Final AB,No,1001416913,0,Local,Concrete,20180413,Surrey,7805-0230-00,In Service,,3,2010,0
14934,,,,20171002,Residential,1001948723,Final AB,No,1001416913,0,Local,Concrete,20180413,Surrey,7805-0230-00,In Service,,3,2010,0
14935,,,,20171002,Residential,1001948724,Final AB,No,1001948723,0,Local,Concrete,20180413,Surrey,7805-0230-00,In Service,,3,2010,0
14936,,,,20171002,Residential,1001948726,Final AB,No,1001416913,0,Local,Concrete,20180413,Surrey,7805-0230-00,In Service,,3,2010,0
14937,,,,20171016,Residential,1001951519,Final AB,No,,,Local,Concrete,20180413,Surrey,1716-2020-00,In Service,,,2017,
14938,,,,20171016,Residential,1001951521,Final AB,No,,,Local,Concrete,20180413,Surrey,1716-2020-00,In Service,,1.5,2017,
14939,,,,20171016,Residential,1001951522,Final AB,No,,,Local,Concrete,20180413,Surrey,1716-2020-00,In Service,,,2017,
14940,,,,20180601,Residential,1002051449,EC,,,,,Asphalt,20180601,Surrey,7816-0360-00,Proposed,,2,,
14941,,,,20151116,Residential,1001758049,Final AB,No,,,Local,Concrete,20180413,Surrey,7811-0269-00,In Service,,2,2015,
14942,,,,20151113,Residential,1001758051,Final AB,No,,,Local,Concrete,20180413,Surrey,7811-0269-00,In Service,,1.5,2015,
