,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,NODE_NO,NODE_SIZE,MATERIAL,INVERT,RIM_ELEVATION,I_I_SOURCE,I_I_QUANTITY,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,INSTALL_DATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ENABLED,ANCILLARYROLE,Latitude,Longitude
105,2,Riser Pocket,1000075067,27728,1284911625,75,PVC Plastic,0.61,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20091221,0,0,49.213378,-122.865572
106,2,Riser Pocket,1000075068,27729,1287911624,75,PVC Plastic,0.61,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20091221,0,0,49.213377,-122.864734
107,2,Riser Pocket,1000075107,27777,1288811625,100,PVC Plastic,0.3,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051108,20091221,0,0,49.213390,-122.864502
108,2,Riser Pocket,1000075108,27779,1288811605,150,PVC Plastic,0.4,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051108,20091221,0,0,49.213038,-122.864505
109,2,Riser Pocket,1000075177,28214,1274211580,75,PVC Plastic,0.43,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051129,20110421,1,0,49.212582,-122.868527
110,2,Riser Pocket,1000075178,28215,1277311580,75,PVC Plastic,0.58,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051129,20110421,1,0,49.212585,-122.867676
111,2,Riser Pocket,1000075089,27754,1305611624,75,PVC Plastic,0.74,1.4,,,Abandoned,4515,1978,Surrey,,LINE BE-G,,,,,,,,20051107,20081120,0,0,49.213369,-122.859849
112,2,Riser Pocket,1000075075,27738,1291811635,75,PVC Plastic,0.69,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213581,-122.863657
113,2,Riser Pocket,1000075072,27734,1286611635,75,PVC Plastic,0.76,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213583,-122.865084
114,2,Riser Pocket,1000075085,27750,1310811635,75,PVC Plastic,1.14,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213573,-122.858404
115,2,Riser Pocket,1000074563,28033,1260611333,75,PVC Plastic,0.63,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051121,20120423,0,0,49.208119,-122.872303
116,2,Riser Pocket,1000074701,27937,1238811424,150,PVC Plastic,0.51,,,,In Service,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051116,,1,0,49.209780,-122.878300
117,2,Riser Pocket,1000074562,28032,1262911333,75,PVC Plastic,0.85,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051121,20120423,0,0,49.208121,-122.871648
118,2,Riser Pocket,1000074585,28074,1265411359,75,PVC Plastic,0.69,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051122,20120423,0,0,49.208595,-122.870971
119,2,Riser Pocket,1000074704,27940,1241911425,150,PVC Plastic,0.46,,,,In Service,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051116,,1,0,49.209779,-122.877453
120,2,Riser Pocket,1000074705,27941,1245011424,150,PVC Plastic,0.46,,,,In Service,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051116,,1,0,49.209778,-122.876606
121,2,Riser Pocket,1000074564,28035,1254611323,63,PVC Plastic,0.73,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051121,20120423,0,0,49.207946,-122.873960
122,1,Pigging Chamber,1001361346,,1558707531,600,Steel,15.68,19.2,,,In Service,4705-6020-00,2011,Surrey,,,Final AB,,,,,,,20120221,20120221,1,0,49.139201,-122.790264
123,1,Pigging Chamber,1001361358,,1558507530,,Steel,15.65,19.2,,,In Service,4705-6020-00,2011,Surrey,,,Final AB,,,,,,,20120221,20120221,1,0,49.139180,-122.790299
124,2,Riser Pocket,1000074556,28025,1252411435,75,PVC Plastic,0.44,,,,Abandoned,4515,1977,Surrey,,LINE BW-D,,,,,,,,20051121,20120418,0,0,49.209975,-122.874552
125,2,Riser Pocket,1000074557,28026,1252411466,75,PVC Plastic,0.55,,,,Abandoned,4515,1977,Surrey,,LINE BW-D,,,,,,,,20051121,20120418,0,0,49.210533,-122.874550
126,2,Riser Pocket,1000074558,28028,1252411497,75,PVC Plastic,0.39,,,,Abandoned,4515,1977,Surrey,,LINE BW-D,,,,,,,,20051121,20120418,0,0,49.211088,-122.874548
127,2,Riser Pocket,1000074559,28029,1252411527,63,PVC Plastic,0.53,,,,Abandoned,4515,1977,Surrey,,LINE BW-D,,,,,,,,20051121,20120418,0,0,49.211643,-122.874546
128,2,Riser Pocket,1000074554,28022,1252411389,100,PVC Plastic,0.61,,,,Abandoned,4515,1998,Surrey,,LINE BW-F,,,,,,,,20051121,20120418,0,0,49.209134,-122.874557
129,2,Riser Pocket,1000074555,28024,1252411412,100,PVC Plastic,0.53,,,,Abandoned,4515,1998,Surrey,,LINE BW-F,,,,,,,,20051121,20120418,0,0,49.209552,-122.874555
130,2,Riser Pocket,1000074606,28098,1255711574,75,PVC Plastic,0.53,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212490,-122.873635
131,2,Riser Pocket,1000074607,28100,1258711574,75,PVC Plastic,0.53,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212489,-122.872809
132,2,Riser Pocket,1000074608,28101,1261711574,75,PVC Plastic,0.53,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212488,-122.871982
133,2,Riser Pocket,1000074613,28107,1262411583,63,PVC Plastic,0.52,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212646,-122.871771
134,2,Riser Pocket,1000074614,28108,1259411583,75,PVC Plastic,0.54,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212648,-122.872601
135,2,Riser Pocket,1000074615,28109,1256511583,75,PVC Plastic,0.57,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212649,-122.873427
136,2,Riser Pocket,1000074616,28110,1253711583,75,PVC Plastic,0.59,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212650,-122.874195
137,2,Riser Pocket,1000074611,28105,1260211533,63,PVC Plastic,0.46,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.211743,-122.872395
138,2,Riser Pocket,1000075090,27755,1302611624,75,PVC Plastic,0.91,1.4,,,Abandoned,4515,1978,Surrey,,LINE BE-G,,,,,,,,20051107,20081120,0,0,49.213371,-122.860686
139,2,Riser Pocket,1000075091,27756,1299711624,75,PVC Plastic,1.14,1.4,,,Abandoned,4515,1978,Surrey,,LINE BE-G,,,,,,,,20051107,20081120,0,0,49.213372,-122.861472
140,2,Riser Pocket,1000075098,27766,1314411581,63,PVC Plastic,1.01,,,,In Service,4515,1978,Surrey,,LINE BE-G,,,,,,,,20051107,,1,0,49.212571,-122.857427
141,2,Riser Pocket,1000075099,27767,1311611580,75,PVC Plastic,1.07,,,,In Service,4515,1978,Surrey,,LINE BE-G,,,,,,,,20051107,,1,0,49.212572,-122.858195
142,2,Riser Pocket,1000075152,28181,1275811470,75,PVC Plastic,0.61,,,,In Service,4515,1978,Surrey,,LINE BE-D,,,,,,,,20051128,,1,0,49.210596,-122.868093
143,2,Riser Pocket,1000075153,28183,1277811487,75,PVC Plastic,0.69,,,,In Service,4515,1978,Surrey,,LINE BE-D,,,,,,,,20051128,,1,0,49.210909,-122.867533
144,2,Riser Pocket,1000075154,28185,1266311500,63,PVC Plastic,0.17,,,,In Service,4515,1978,Surrey,,LINE BE-D,,,,,,,,20051128,,1,0,49.211151,-122.870703
145,2,Riser Pocket,1000075155,28186,1267211501,63,PVC Plastic,0.5,,,,In Service,4515,1978,Surrey,,LINE BE-D,,,,,,,,20051128,,1,0,49.211152,-122.870457
146,2,Riser Pocket,1000075156,28187,1269211501,63,PVC Plastic,0.61,,,,In Service,4515,1978,Surrey,,LINE BE-D,,,,,,,,20051128,,1,0,49.211153,-122.869919
147,2,Riser Pocket,1000075157,28188,1271511501,75,PVC Plastic,0.84,,,,In Service,4515,1978,Surrey,,LINE BE-D,,,,,,,,20051128,,1,0,49.211155,-122.869277
148,2,Riser Pocket,1000075158,28189,1274411501,75,PVC Plastic,0.84,,,,In Service,4515,1978,Surrey,,LINE BE-D,,,,,,,,20051128,,1,0,49.211157,-122.868472
149,2,Riser Pocket,1000075159,28190,1277211501,75,PVC Plastic,0.84,,,,In Service,4515,1978,Surrey,,LINE BE-D,,,,,,,,20051128,,1,0,49.211159,-122.867708
