"[689, 690]"
"[679, 680]"
"[652, 653, 654]"
"[585, 586]"
"[568, 569]"
"[526, 550, 551, 633, 634, 747]"
"[518, 525]"
"[496, 497]"
"[382, 383]"
"[358, 360]"
"[315, 620, 631, 649, 650]"
"[576, 577]"
"[308, 309]"
"[248, 249]"
"[234, 235]"
"[187, 405]"
"[180, 181]"
"[117, 118]"
"[77, 340]"
"[493, 621, 733, 735]"
"[75, 76]"
"[68, 184, 230, 280]"
"[63, 430, 431]"
"[9, 10]"
"[5, 314]"
"[142, 143]"
"[14, 171]"
"[502, 581]"
"[100, 101, 336, 448, 466, 588]"
"[137, 462, 637, 638, 750, 751]"
[416]
"[473, 669]"
[605]
"[125, 126]"
"[514, 515]"
"[306, 615, 736]"
"[21, 22, 138]"
"[603, 604]"
"[241, 266, 413]"
"[622, 623, 624]"
"[463, 464]"
"[82, 83, 254]"
[429]
"[119, 120]"
"[73, 74]"
"[58, 166, 432]"
"[277, 278]"
[451]
"[571, 681]"
"[97, 98]"
"[91, 106, 151]"
"[477, 478]"
[379]
[498]
"[731, 732]"
"[69, 109, 213, 345]"
"[211, 303, 556]"
[205]
"[203, 204]"
"[25, 26, 27, 53, 500, 632]"
"[13, 108]"
[232]
"[172, 691]"
[48]
"[407, 499]"
"[484, 672, 728]"
[359]
[665]
"[39, 348, 487, 488, 524, 643]"
[40]
[186]
[47]
"[555, 660]"
"[104, 105]"
"[559, 560]"
[381]
"[533, 538]"
"[566, 567]"
"[286, 287, 356]"
"[338, 339, 583, 584, 587, 589, 590]"
"[197, 198, 199]"
"[428, 434, 435, 491, 608]"
[423]
[440]
"[243, 244]"
[61]
[318]
"[384, 512, 636]"
"[194, 267]"
"[190, 391]"
"[263, 264, 265, 495, 639, 640]"
[247]
[693]
[409]
"[644, 646]"
"[156, 363, 527]"
"[159, 516, 517]"
"[295, 483]"
[85]
[162]
"[136, 334, 425, 426, 647]"
"[324, 521, 523]"
"[51, 52, 55, 56, 536, 544, 545, 546, 558, 592]"
"[470, 543]"
"[59, 60, 70, 133, 258, 386, 419, 530]"
"[307, 475]"
"[0, 1, 2, 3, 4, 7, 8, 12, 15, 19, 24, 30, 32, 33, 34, 35, 36, 37, 45, 46, 67, 72, 84, 86, 88, 89, 92, 93, 94, 95, 96, 107, 111, 112, 124, 127, 128, 129, 130, 131, 132, 140, 144, 147, 148, 149, 150, 152, 155, 157, 158, 165, 167, 168, 178, 179, 182, 185, 200, 201, 202, 208, 209, 217, 218, 219, 220, 221, 222, 223, 224, 225, 228, 229, 236, 242, 250, 251, 252, 253, 259, 262, 269, 270, 271, 272, 273, 274, 275, 276, 283, 284, 285, 292, 293, 294, 296, 297, 299, 305, 319, 320, 325, 327, 329, 344, 346, 349, 350, 351, 352, 353, 354, 361, 362, 364, 365, 366, 367, 371, 372, 373, 376, 380, 388, 389, 392, 393, 394, 395, 398, 400, 401, 402, 410, 414, 420, 421, 422, 424, 436, 443, 444, 455, 457, 458, 459, 460, 465, 486, 489, 490, 503, 505, 506, 507, 509, 513, 519, 520, 522, 528, 529, 532, 534, 535, 537, 542, 548, 557, 564, 572, 578, 580, 594, 595, 596, 597, 598, 599, 602, 607, 610, 611, 612, 613, 614, 616, 617, 625, 656, 657, 658, 659, 663, 668, 697, 698, 699, 700, 701, 702, 703, 704, 705, 706, 718, 721, 722, 723, 729, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746, 752]"
[87]
[755]
[573]
[16]
[433]
[552]
[288]
"[116, 695, 696]"
"[212, 539, 540, 541, 565, 662]"
"[237, 238]"
"[41, 175, 176, 245, 268, 279, 302, 369, 370, 441, 450, 461, 469, 618, 673, 674, 675, 676, 677, 688, 707, 708, 709, 710, 711, 714, 724, 748]"
[411]
[29]
[467]
[304]
[163]
[57]
[628]
[531]
[31]
[255]
[290]
[50]
[378]
[18]
[726]
[446]
[687]
[374]
[42]
[99]
[439]
[471]
[694]
[397]
[115]
[321]
[417]
[575]
[233]
[730]
[78]
[412]
[406]
[549]
[591]
[141]
[79]
[6]
[11]
[17]
[20]
[23]
[28]
[38]
[43]
[44]
[49]
[54]
[62]
[64]
[65]
[66]
[71]
[80]
[81]
[90]
[102]
[103]
[110]
[113]
[114]
[121]
[122]
[123]
[134]
[135]
[139]
[145]
[146]
[153]
[154]
[160]
[161]
[164]
[169]
[170]
[173]
[174]
[177]
[183]
[188]
[189]
[191]
[192]
[193]
[195]
[196]
[206]
[207]
[210]
[214]
[215]
[216]
[226]
[227]
[231]
[239]
[240]
[246]
[256]
[257]
[260]
[261]
[281]
[282]
[289]
[291]
[298]
[300]
[301]
[310]
[311]
[312]
[313]
[316]
[317]
[322]
[323]
[326]
[328]
[330]
[331]
[332]
[333]
[335]
[337]
[341]
[342]
[343]
[347]
[355]
[357]
[368]
[375]
[377]
[385]
[387]
[390]
[396]
[399]
[403]
[404]
[408]
[415]
[418]
[427]
[437]
[438]
[442]
[445]
[447]
[449]
[452]
[453]
[454]
[456]
[468]
[472]
[474]
[476]
[479]
[480]
[481]
[482]
[485]
[492]
[494]
[501]
[504]
[508]
[510]
[511]
[547]
[553]
[554]
[561]
[562]
[563]
[570]
[574]
[579]
[582]
[593]
[600]
[601]
[606]
[609]
[619]
[626]
[627]
[629]
[630]
[635]
[641]
[642]
[645]
[648]
[651]
[655]
[661]
[664]
[666]
[667]
[670]
[671]
[678]
[682]
[683]
[684]
[685]
[686]
[692]
[712]
[713]
[715]
[716]
[717]
[719]
[720]
[725]
[727]
[734]
[749]
[753]
[754]
[756]
