,comments,condition,conditiondate,corrosion protected,disaster control,facilityid,geared,lifecycle cost,location,make,model,no turns,node no,operating status,owner,pressure zone valve,project no,restrained,rotation,status,valve size,valve type2,warrantydate,yr,ytd cost
comments,1.0,0.2777777777777778,0.3076923076923077,0.2894736842105263,0.15625,0.09999999999999998,0.125,0.1785714285714286,0.125,0.125,0.25,0.1875,0.25,0.09375,0.25,0.07894736842105265,0.19999999999999996,0.09999999999999998,0.125,0.0625,0.09999999999999998,0.18181818181818177,0.16666666666666663,0.0,0.0
description,0.09090909090909094,0.36363636363636365,0.15384615384615385,0.13157894736842102,0.34375,0.18181818181818177,0.18181818181818177,0.1428571428571429,0.40909090909090906,0.0,0.0,0.045454545454545414,0.045454545454545414,0.1875,0.045454545454545414,0.1842105263157895,0.09090909090909094,0.2727272727272727,0.31818181818181823,0.18181818181818177,0.09090909090909094,0.0,0.08333333333333337,0.045454545454545414,0.045454545454545414
facilityid,0.09999999999999998,0.19999999999999996,0.15384615384615385,0.13157894736842102,0.125,1.0,0.050000000000000044,0.2142857142857143,0.19999999999999996,0.09999999999999998,0.050000000000000044,0.0,0.0,0.1875,0.0,0.0,0.09999999999999998,0.050000000000000044,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.2727272727272727,0.25,0.09999999999999998,0.0
house no,0.25,0.16666666666666663,0.15384615384615385,0.21052631578947367,0.15625,0.0,0.125,0.1785714285714286,0.125,0.0625,0.25,0.25,0.5625,0.0625,0.25,0.1842105263157895,0.35,0.09999999999999998,0.125,0.0,0.19999999999999996,0.18181818181818177,0.0,0.0,0.0
location,0.125,0.5,0.34615384615384615,0.2894736842105263,0.1875,0.19999999999999996,0.125,0.25,1.0,0.125,0.125,0.1875,0.1875,0.21875,0.125,0.07894736842105265,0.19999999999999996,0.09999999999999998,0.6875,0.25,0.19999999999999996,0.18181818181818177,0.125,0.0,0.0
maintenance responsibility,0.11538461538461542,0.17307692307692313,0.15384615384615385,0.15384615384615385,0.23076923076923073,0.13461538461538458,0.11538461538461542,0.21153846153846156,0.09615384615384615,0.11538461538461542,0.09615384615384615,0.13461538461538458,0.13461538461538458,0.11538461538461542,0.05769230769230771,0.23076923076923073,0.11538461538461542,0.15384615384615385,0.11538461538461542,0.07692307692307687,0.17307692307692313,0.15384615384615385,0.15384615384615385,0.019230769230769273,0.13461538461538458
map page,0.0,0.0,0.11538461538461542,0.13157894736842102,0.125,0.09999999999999998,0.0625,0.0714285714285714,0.0,0.375,0.1875,0.0,0.0,0.1875,0.0,0.21052631578947367,0.0,0.15000000000000002,0.0,0.0,0.25,0.2272727272727273,0.20833333333333337,0.0,0.125
operational responsibility,0.11538461538461542,0.15384615384615385,0.1923076923076923,0.21153846153846156,0.17307692307692313,0.15384615384615385,0.11538461538461542,0.13461538461538458,0.17307692307692313,0.05769230769230771,0.07692307692307687,0.13461538461538458,0.11538461538461542,0.3653846153846154,0.11538461538461542,0.25,0.15384615384615385,0.15384615384615385,0.17307692307692313,0.09615384615384615,0.1923076923076923,0.11538461538461542,0.15384615384615385,0.019230769230769273,0.13461538461538458
park name,0.11111111111111116,0.0,0.15384615384615385,0.13157894736842102,0.15625,0.09999999999999998,0.11111111111111116,0.0714285714285714,0.0,0.16666666666666663,0.0,0.0,0.2222222222222222,0.25,0.11111111111111116,0.26315789473684215,0.15000000000000002,0.09999999999999998,0.0,0.0,0.25,0.2272727272727273,0.33333333333333337,0.05555555555555558,0.11111111111111116
park ownership,0.1428571428571429,0.1071428571428571,0.0,0.1578947368421053,0.125,0.1428571428571429,0.1071428571428571,0.0714285714285714,0.0714285714285714,0.1071428571428571,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1875,0.3214285714285714,0.2894736842105263,0.25,0.1428571428571429,0.1071428571428571,0.0357142857142857,0.2142857142857143,0.1428571428571429,0.2142857142857143,0.0357142857142857,0.1428571428571429
