,base type,bulb type,bulb wattage,candle power,comments,description,facilityid,height m,light activation type,light amperage,light no,lighting standard type,location,maintenance responsibility,number of lights,operating location,operating location type,operational responsibility,park light type,park name,park ownership,service level,switch control location
comments,0.11111111111111116,0.0,0.08333333333333337,0.20833333333333337,1.0,0.09090909090909094,0.09999999999999998,0.0,0.1428571428571429,0.1428571428571429,0.0,0.15909090909090906,0.125,0.1923076923076923,0.21875,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.06666666666666665,0.11111111111111116,0.1428571428571429,0.15384615384615385,0.21739130434782605
description,0.18181818181818177,0.09090909090909094,0.08333333333333337,0.08333333333333337,0.09090909090909094,1.0,0.18181818181818177,0.18181818181818177,0.26190476190476186,0.0714285714285714,0.09090909090909094,0.13636363636363635,0.40909090909090906,0.17307692307692313,0.125,0.3055555555555556,0.23913043478260865,0.28846153846153844,0.1333333333333333,0.09090909090909094,0.0,0.15384615384615385,0.21739130434782605
facilityid,0.30000000000000004,0.19999999999999996,0.08333333333333337,0.16666666666666663,0.09999999999999998,0.18181818181818177,1.0,0.19999999999999996,0.23809523809523814,0.0,0.19999999999999996,0.18181818181818177,0.19999999999999996,0.17307692307692313,0.125,0.19444444444444442,0.21739130434782605,0.23076923076923073,0.30000000000000004,0.09999999999999998,0.1428571428571429,0.07692307692307687,0.13043478260869568
house no,0.2222222222222222,0.11111111111111116,0.08333333333333337,0.20833333333333337,0.25,0.045454545454545414,0.0,0.1875,0.1428571428571429,0.1428571428571429,0.3125,0.13636363636363635,0.125,0.1923076923076923,0.09375,0.11111111111111116,0.15217391304347827,0.15384615384615385,0.06666666666666665,0.11111111111111116,0.1428571428571429,0.15384615384615385,0.17391304347826086
location,0.11111111111111116,0.11111111111111116,0.25,0.08333333333333337,0.125,0.40909090909090906,0.19999999999999996,0.0,0.30952380952380953,0.1785714285714286,0.3125,0.2727272727272727,1.0,0.17307692307692313,0.125,0.5833333333333333,0.4565217391304348,0.3076923076923077,0.1333333333333333,0.0,0.0714285714285714,0.07692307692307687,0.4782608695652174
maintenance responsibility,0.15384615384615385,0.07692307692307687,0.05769230769230771,0.1923076923076923,0.11538461538461542,0.17307692307692313,0.13461538461538458,0.07692307692307687,0.17307692307692313,0.13461538461538458,0.09615384615384615,0.15384615384615385,0.09615384615384615,1.0,0.21153846153846156,0.15384615384615385,0.11538461538461542,0.5961538461538461,0.11538461538461542,0.13461538461538458,0.17307692307692313,0.21153846153846156,0.13461538461538458
map page,0.2777777777777778,0.16666666666666663,0.29166666666666663,0.29166666666666663,0.0,0.09090909090909094,0.09999999999999998,0.0,0.16666666666666663,0.2857142857142857,0.0,0.20454545454545459,0.0,0.23076923076923073,0.1875,0.16666666666666663,0.21739130434782605,0.15384615384615385,0.19999999999999996,0.38888888888888884,0.1785714285714286,0.11538461538461542,0.13043478260869568
operational responsibility,0.11538461538461542,0.07692307692307687,0.05769230769230771,0.1923076923076923,0.11538461538461542,0.15384615384615385,0.15384615384615385,0.09615384615384615,0.11538461538461542,0.11538461538461542,0.09615384615384615,0.17307692307692313,0.17307692307692313,0.5961538461538461,0.1923076923076923,0.42307692307692313,0.40384615384615385,1.0,0.15384615384615385,0.17307692307692313,0.23076923076923073,0.21153846153846156,0.11538461538461542
park name,0.2777777777777778,0.16666666666666663,0.20833333333333337,0.20833333333333337,0.11111111111111116,0.09090909090909094,0.09999999999999998,0.05555555555555558,0.16666666666666663,0.1785714285714286,0.11111111111111116,0.25,0.0,0.21153846153846156,0.125,0.2222222222222222,0.23913043478260865,0.23076923076923073,0.4,1.0,0.4285714285714286,0.1923076923076923,0.13043478260869568
park ownership,0.1785714285714286,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1428571428571429,0.0,0.1428571428571429,0.0714285714285714,0.09523809523809523,0.1428571428571429,0.0714285714285714,0.15909090909090906,0.0714285714285714,0.17307692307692313,0.1875,0.16666666666666663,0.17391304347826086,0.23076923076923073,0.4,0.4285714285714286,1.0,0.0714285714285714,0.17391304347826086
road code,0.16666666666666663,0.16666666666666663,0.125,0.25,0.11111111111111116,0.0,0.0,0.0,0.19047619047619047,0.1071428571428571,0.05555555555555558,0.18181818181818177,0.2222222222222222,0.11538461538461542,0.125,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.16666666666666663,0.16666666666666663,0.1071428571428571,0.1923076923076923,0.21739130434782605
